Date,CAPUTLB5640CS
1948-01-01,82.30
1948-02-01,81.90
1948-03-01,80.90
1948-04-01,80.61
1948-05-01,80.02
1948-06-01,80.91
1948-07-01,80.48
1948-08-01,79.74
1948-09-01,78.71
1948-10-01,79.13
1948-11-01,78.26
1948-12-01,77.31
1949-01-01,75.84
1949-02-01,75.13
1949-03-01,74.78
1949-04-01,73.69
1949-05-01,73.05
1949-06-01,72.94
1949-07-01,72.97
1949-08-01,72.93
1949-09-01,73.40
1949-10-01,72.84
1949-11-01,70.63
1949-12-01,70.60
1950-01-01,72.50
1950-02-01,72.61
1950-03-01,73.93
1950-04-01,75.80
1950-05-01,77.67
1950-06-01,80.15
1950-07-01,82.20
1950-08-01,85.50
1950-09-01,83.95
1950-10-01,83.94
1950-11-01,83.79
1950-12-01,85.01
1951-01-01,85.39
1951-02-01,85.70
1951-03-01,85.51
1951-04-01,85.05
1951-05-01,83.92
1951-06-01,83.33
1951-07-01,81.67
1951-08-01,81.09
1951-09-01,81.59
1951-10-01,81.36
1951-11-01,82.78
1951-12-01,83.31
1952-01-01,84.09
1952-02-01,84.15
1952-03-01,84.37
1952-04-01,84.20
1952-05-01,84.74
1952-06-01,85.66
1952-07-01,82.85
1952-08-01,84.74
1952-09-01,86.86
1952-10-01,88.40
1952-11-01,89.92
1952-12-01,90.44
1953-01-01,90.78
1953-02-01,91.05
1953-03-01,91.34
1953-04-01,91.33
1953-05-01,91.37
1953-06-01,90.18
1953-07-01,90.72
1953-08-01,89.97
1953-09-01,88.50
1953-10-01,87.88
1953-11-01,85.46
1953-12-01,83.49
1954-01-01,82.31
1954-02-01,81.57
1954-03-01,81.08
1954-04-01,79.78
1954-05-01,79.65
1954-06-01,79.64
1954-07-01,79.40
1954-08-01,78.93
1954-09-01,78.69
1954-10-01,78.69
1954-11-01,79.84
1954-12-01,80.60
1955-01-01,81.59
1955-02-01,82.11
1955-03-01,83.39
1955-04-01,84.20
1955-05-01,85.12
1955-06-01,84.35
1955-07-01,84.36
1955-08-01,84.27
1955-09-01,84.18
1955-10-01,85.52
1955-11-01,85.43
1955-12-01,85.76
1956-01-01,85.21
1956-02-01,84.56
1956-03-01,84.12
1956-04-01,85.31
1956-05-01,84.11
1956-06-01,83.47
1956-07-01,83.47
1956-08-01,84.11
1956-09-01,83.57
1956-10-01,84.73
1956-11-01,84.52
1956-12-01,85.39
1957-01-01,85.00
1957-02-01,86.28
1957-03-01,85.92
1957-04-01,84.53
1957-05-01,83.77
1957-06-01,84.35
1957-07-01,83.59
1957-08-01,83.66
1957-09-01,82.60
1957-10-01,80.83
1957-11-01,79.08
1957-12-01,77.75
1958-01-01,76.43
1958-02-01,74.82
1958-03-01,74.03
1958-04-01,72.94
1958-05-01,73.06
1958-06-01,73.88
1958-07-01,74.39
1958-08-01,74.61
1958-09-01,74.32
1958-10-01,74.84
1958-11-01,78.01
1958-12-01,77.90
1959-01-01,79.07
1959-02-01,79.55
1959-03-01,80.02
1959-04-01,81.55
1959-05-01,82.40
1959-06-01,82.27
1959-07-01,82.62
1959-08-01,82.30
1959-09-01,81.89
1959-10-01,81.19
1959-11-01,78.59
1959-12-01,81.37
1960-01-01,84.04
1960-02-01,83.39
1960-03-01,82.68
1960-04-01,82.17
1960-05-01,81.95
1960-06-01,80.88
1960-07-01,80.11
1960-08-01,79.71
1960-09-01,78.85
1960-10-01,78.55
1960-11-01,77.25
1960-12-01,75.91
1961-01-01,75.40
1961-02-01,75.07
1961-03-01,74.79
1961-04-01,76.22
1961-05-01,76.39
1961-06-01,77.09
1961-07-01,77.43
1961-08-01,78.04
1961-09-01,76.78
1961-10-01,78.36
1961-11-01,80.11
1961-12-01,80.51
1962-01-01,79.68
1962-02-01,80.61
1962-03-01,81.08
1962-04-01,81.81
1962-05-01,82.01
1962-06-01,81.52
1962-07-01,82.33
1962-08-01,82.01
1962-09-01,82.29
1962-10-01,81.98
1962-11-01,82.01
1962-12-01,82.01
1963-01-01,82.69
1963-02-01,83.02
1963-03-01,82.91
1963-04-01,83.47
1963-05-01,83.18
1963-06-01,82.99
1963-07-01,83.12
1963-08-01,83.84
1963-09-01,83.89
1963-10-01,84.19
1963-11-01,83.99
1963-12-01,83.94
1964-01-01,84.37
1964-02-01,84.08
1964-03-01,83.52
1964-04-01,84.98
1964-05-01,84.91
1964-06-01,84.52
1964-07-01,84.68
1964-08-01,84.85
1964-09-01,84.62
1964-10-01,82.42
1964-11-01,85.42
1964-12-01,86.64
1965-01-01,87.45
1965-02-01,87.64
1965-03-01,88.31
1965-04-01,87.99
1965-05-01,88.66
1965-06-01,88.86
1965-07-01,89.14
1965-08-01,88.74
1965-09-01,89.39
1965-10-01,89.73
1965-11-01,89.92
1965-12-01,90.31
1966-01-01,90.90
1966-02-01,90.84
1966-03-01,91.33
1966-04-01,91.46
1966-05-01,91.51
1966-06-01,91.43
1966-07-01,91.13
1966-08-01,90.77
1966-09-01,91.17
1966-10-01,91.77
1966-11-01,90.47
1966-12-01,90.58
1967-01-01,90.05
1967-02-01,88.96
1967-03-01,88.68
1967-04-01,89.16
1967-05-01,88.31
1967-06-01,87.92
1967-07-01,87.11
1967-08-01,87.34
1967-09-01,86.97
1967-10-01,86.93
1967-11-01,88.23
1967-12-01,88.79
1968-01-01,87.84
1968-02-01,87.92
1968-03-01,87.49
1968-04-01,86.81
1968-05-01,87.18
1968-06-01,87.04
1968-07-01,86.41
1968-08-01,86.87
1968-09-01,86.82
1968-10-01,86.69
1968-11-01,87.28
1968-12-01,86.65
1969-01-01,87.16
1969-02-01,87.01
1969-03-01,87.38
1969-04-01,86.48
1969-05-01,85.74
1969-06-01,85.93
1969-07-01,86.24
1969-08-01,85.67
1969-09-01,85.20
1969-10-01,84.74
1969-11-01,82.85
1969-12-01,82.45
1970-01-01,80.63
1970-02-01,80.70
1970-03-01,80.26
1970-04-01,79.79
1970-05-01,79.56
1970-06-01,78.96
1970-07-01,78.71
1970-08-01,77.48
1970-09-01,76.52
1970-10-01,74.96
1970-11-01,74.22
1970-12-01,75.91
1971-01-01,75.89
1971-02-01,75.56
1971-03-01,75.01
1971-04-01,74.89
1971-05-01,75.16
1971-06-01,74.96
1971-07-01,75.71
1971-08-01,75.07
1971-09-01,75.78
1971-10-01,76.32
1971-11-01,76.54
1971-12-01,76.89
1972-01-01,78.22
1972-02-01,78.26
1972-03-01,78.35
