Date,CAPUTLG211S
1972-01-01,92.15
1972-02-01,92.62
1972-03-01,93.96
1972-04-01,95.11
1972-05-01,95.15
1972-06-01,94.98
1972-07-01,94.86
1972-08-01,95.45
1972-09-01,96.34
1972-10-01,95.60
1972-11-01,95.61
1972-12-01,95.43
1973-01-01,94.80
1973-02-01,95.79
1973-03-01,94.67
1973-04-01,94.87
1973-05-01,95.31
1973-06-01,95.36
1973-07-01,95.58
1973-08-01,95.73
1973-09-01,95.14
1973-10-01,95.61
1973-11-01,95.66
1973-12-01,95.09
1974-01-01,95.01
1974-02-01,95.03
1974-03-01,94.56
1974-04-01,94.29
1974-05-01,94.51
1974-06-01,93.47
1974-07-01,93.90
1974-08-01,93.48
1974-09-01,92.97
1974-10-01,92.64
1974-11-01,92.46
1974-12-01,92.30
1975-01-01,92.39
1975-02-01,92.25
1975-03-01,91.75
1975-04-01,92.12
1975-05-01,91.22
1975-06-01,92.01
1975-07-01,91.38
1975-08-01,91.36
1975-09-01,91.35
1975-10-01,91.51
1975-11-01,91.31
1975-12-01,91.91
1976-01-01,92.68
1976-02-01,91.34
1976-03-01,91.76
1976-04-01,91.00
1976-05-01,91.41
1976-06-01,91.76
1976-07-01,91.90
1976-08-01,91.68
1976-09-01,91.76
1976-10-01,91.00
1976-11-01,91.41
1976-12-01,91.52
1977-01-01,90.24
1977-02-01,92.06
1977-03-01,91.56
1977-04-01,91.36
1977-05-01,90.75
1977-06-01,90.86
1977-07-01,90.38
1977-08-01,91.08
1977-09-01,92.13
1977-10-01,91.77
1977-11-01,91.24
1977-12-01,91.16
1978-01-01,90.46
1978-02-01,90.19
1978-03-01,92.03
1978-04-01,93.11
1978-05-01,92.15
1978-06-01,93.10
1978-07-01,93.20
1978-08-01,92.72
1978-09-01,92.68
1978-10-01,92.57
1978-11-01,91.89
1978-12-01,91.78
1979-01-01,91.78
1979-02-01,92.04
1979-03-01,92.22
1979-04-01,92.84
1979-05-01,93.04
1979-06-01,92.33
1979-07-01,91.68
1979-08-01,93.34
1979-09-01,93.38
1979-10-01,94.01
1979-11-01,95.50
1979-12-01,94.53
1980-01-01,95.09
1980-02-01,94.33
1980-03-01,95.12
1980-04-01,94.05
1980-05-01,93.99
1980-06-01,92.88
1980-07-01,92.90
1980-08-01,91.09
1980-09-01,93.60
1980-10-01,92.94
1980-11-01,92.83
1980-12-01,94.64
1981-01-01,93.20
1981-02-01,92.53
1981-03-01,93.55
1981-04-01,93.52
1981-05-01,93.41
1981-06-01,94.53
1981-07-01,93.66
1981-08-01,95.31
1981-09-01,93.74
1981-10-01,93.35
1981-11-01,92.34
1981-12-01,92.79
1982-01-01,91.74
1982-02-01,92.87
1982-03-01,92.77
1982-04-01,91.90
1982-05-01,91.72
1982-06-01,91.97
1982-07-01,91.97
1982-08-01,91.42
1982-09-01,91.44
1982-10-01,91.08
1982-11-01,91.39
1982-12-01,89.63
1983-01-01,90.42
1983-02-01,89.32
1983-03-01,88.49
1983-04-01,89.44
1983-05-01,88.25
1983-06-01,88.87
1983-07-01,89.09
1983-08-01,89.55
1983-09-01,89.66
1983-10-01,90.07
1983-11-01,90.02
1983-12-01,87.78
1984-01-01,92.59
1984-02-01,90.39
1984-03-01,89.54
1984-04-01,91.68
1984-05-01,92.07
1984-06-01,91.88
1984-07-01,92.39
1984-08-01,92.18
1984-09-01,92.50
1984-10-01,91.93
1984-11-01,91.74
1984-12-01,91.14
1985-01-01,89.07
1985-02-01,90.85
1985-03-01,89.88
1985-04-01,89.65
1985-05-01,89.90
1985-06-01,89.90
1985-07-01,89.25
1985-08-01,89.09
1985-09-01,89.96
1985-10-01,89.67
1985-11-01,88.80
1985-12-01,91.42
1986-01-01,90.91
1986-02-01,89.81
1986-03-01,88.87
1986-04-01,86.85
1986-05-01,87.50
1986-06-01,86.62
1986-07-01,87.24
1986-08-01,85.63
1986-09-01,84.93
1986-10-01,85.30
1986-11-01,86.07
1986-12-01,85.82
1987-01-01,87.06
1987-02-01,86.41
1987-03-01,87.03
1987-04-01,87.68
1987-05-01,86.54
1987-06-01,86.87
1987-07-01,86.90
1987-08-01,87.32
1987-09-01,87.35
1987-10-01,88.52
1987-11-01,88.83
1987-12-01,89.16
1988-01-01,88.48
1988-02-01,88.57
1988-03-01,89.66
1988-04-01,89.00
1988-05-01,89.81
1988-06-01,89.94
1988-07-01,89.49
1988-08-01,90.21
1988-09-01,89.10
1988-10-01,89.81
1988-11-01,89.86
1988-12-01,89.65
1989-01-01,89.09
1989-02-01,89.02
1989-03-01,88.26
1989-04-01,90.65
1989-05-01,91.55
1989-06-01,90.67
1989-07-01,90.14
1989-08-01,90.32
1989-09-01,90.28
1989-10-01,88.06
1989-11-01,89.63
1989-12-01,87.85
1990-01-01,90.87
1990-02-01,90.40
1990-03-01,90.00
1990-04-01,90.28
1990-05-01,90.38
1990-06-01,89.48
1990-07-01,90.45
1990-08-01,91.50
1990-09-01,90.87
1990-10-01,92.95
1990-11-01,91.68
1990-12-01,90.98
1991-01-01,92.45
1991-02-01,92.99
1991-03-01,92.79
1991-04-01,93.07
1991-05-01,92.25
1991-06-01,91.64
1991-07-01,91.88
1991-08-01,91.59
1991-09-01,92.61
1991-10-01,92.80
1991-11-01,92.64
1991-12-01,92.81
1992-01-01,92.65
1992-02-01,91.18
1992-03-01,91.38
1992-04-01,92.74
1992-05-01,92.65
1992-06-01,93.51
1992-07-01,94.02
1992-08-01,91.28
1992-09-01,92.68
1992-10-01,92.99
1992-11-01,92.16
1992-12-01,93.03
