Date,CAPUTLG3311A2S
1972-01-01,69.81
1972-02-01,73.20
1972-03-01,78.37
1972-04-01,81.36
1972-05-01,81.98
1972-06-01,80.80
1972-07-01,78.04
1972-08-01,81.16
1972-09-01,82.13
1972-10-01,82.93
1972-11-01,85.32
1972-12-01,88.92
1973-01-01,89.85
1973-02-01,92.03
1973-03-01,90.83
1973-04-01,88.58
1973-05-01,93.27
1973-06-01,91.77
1973-07-01,93.92
1973-08-01,97.38
1973-09-01,96.46
1973-10-01,97.56
1973-11-01,100.72
1973-12-01,106.78
1974-01-01,104.83
1974-02-01,101.33
1974-03-01,98.12
1974-04-01,100.46
1974-05-01,100.73
1974-06-01,103.80
1974-07-01,106.68
1974-08-01,103.05
1974-09-01,104.17
1974-10-01,105.36
1974-11-01,98.84
1974-12-01,91.52
1975-01-01,93.96
1975-02-01,94.93
1975-03-01,94.58
1975-04-01,81.91
1975-05-01,71.07
1975-06-01,69.98
1975-07-01,67.29
1975-08-01,66.88
1975-09-01,71.59
1975-10-01,68.46
1975-11-01,69.50
1975-12-01,69.68
1976-01-01,73.62
1976-02-01,79.66
1976-03-01,78.77
1976-04-01,80.63
1976-05-01,81.60
1976-06-01,83.60
1976-07-01,83.57
1976-08-01,82.23
1976-09-01,79.24
1976-10-01,75.52
1976-11-01,73.97
1976-12-01,71.69
1977-01-01,67.45
1977-02-01,71.81
1977-03-01,76.31
1977-04-01,78.79
1977-05-01,82.34
1977-06-01,80.36
1977-07-01,78.17
1977-08-01,81.19
1977-09-01,76.57
1977-10-01,76.75
1977-11-01,76.16
1977-12-01,76.71
1978-01-01,77.15
1978-02-01,73.67
1978-03-01,74.07
1978-04-01,76.95
1978-05-01,82.57
1978-06-01,83.90
1978-07-01,86.12
1978-08-01,86.36
1978-09-01,89.66
1978-10-01,90.20
1978-11-01,91.63
1978-12-01,92.55
1979-01-01,83.37
1979-02-01,85.76
1979-03-01,87.07
1979-04-01,88.64
1979-05-01,89.46
1979-06-01,93.97
1979-07-01,93.08
1979-08-01,90.47
1979-09-01,89.61
1979-10-01,88.15
1979-11-01,88.40
1979-12-01,86.84
1980-01-01,89.35
1980-02-01,87.76
1980-03-01,90.34
1980-04-01,84.20
1980-05-01,73.01
1980-06-01,64.80
1980-07-01,57.98
1980-08-01,61.25
1980-09-01,65.95
1980-10-01,78.97
1980-11-01,88.86
1980-12-01,87.54
1981-01-01,86.08
1981-02-01,86.95
1981-03-01,84.54
1981-04-01,83.70
1981-05-01,83.85
1981-06-01,82.31
1981-07-01,81.86
1981-08-01,84.70
1981-09-01,82.57
1981-10-01,75.42
1981-11-01,70.97
1981-12-01,66.64
1982-01-01,64.79
1982-02-01,61.27
1982-03-01,59.53
1982-04-01,54.74
1982-05-01,51.09
1982-06-01,50.34
1982-07-01,49.31
1982-08-01,47.32
1982-09-01,48.02
1982-10-01,42.99
1982-11-01,38.28
1982-12-01,38.01
1983-01-01,44.90
1983-02-01,47.18
1983-03-01,49.91
1983-04-01,50.78
1983-05-01,52.14
1983-06-01,53.28
1983-07-01,52.79
1983-08-01,56.18
1983-09-01,57.51
1983-10-01,63.51
1983-11-01,60.49
1983-12-01,56.12
1984-01-01,61.19
1984-02-01,65.27
1984-03-01,65.60
1984-04-01,65.70
1984-05-01,69.50
1984-06-01,66.63
1984-07-01,66.53
1984-08-01,63.53
1984-09-01,57.26
1984-10-01,59.94
1984-11-01,61.22
1984-12-01,59.81
1985-01-01,61.27
1985-02-01,61.23
1985-03-01,61.94
1985-04-01,63.58
1985-05-01,60.15
1985-06-01,61.26
1985-07-01,60.35
1985-08-01,61.50
1985-09-01,61.57
1985-10-01,63.31
1985-11-01,65.18
1985-12-01,65.23
1986-01-01,67.17
1986-02-01,66.01
1986-03-01,63.50
1986-04-01,65.37
1986-05-01,64.88
1986-06-01,62.99
1986-07-01,65.12
1986-08-01,62.22
1986-09-01,62.25
1986-10-01,63.18
1986-11-01,68.15
1986-12-01,65.05
1987-01-01,56.63
1987-02-01,65.03
1987-03-01,67.89
1987-04-01,72.70
1987-05-01,73.98
1987-06-01,79.26
1987-07-01,77.23
1987-08-01,81.08
1987-09-01,83.69
1987-10-01,87.10
1987-11-01,85.44
1987-12-01,97.26
1988-01-01,90.07
1988-02-01,88.96
