Date,CAPUTLHITEK2S
1967-01-01,93.35
1967-02-01,92.89
1967-03-01,91.51
1967-04-01,90.07
1967-05-01,88.69
1967-06-01,88.63
1967-07-01,87.63
1967-08-01,87.63
1967-09-01,86.96
1967-10-01,87.61
1967-11-01,88.99
1967-12-01,89.01
1968-01-01,88.67
1968-02-01,89.88
1968-03-01,88.51
1968-04-01,86.17
1968-05-01,87.75
1968-06-01,87.97
1968-07-01,86.29
1968-08-01,87.44
1968-09-01,87.13
1968-10-01,87.02
1968-11-01,86.79
1968-12-01,86.53
1969-01-01,87.48
1969-02-01,86.91
1969-03-01,88.12
1969-04-01,88.72
1969-05-01,89.00
1969-06-01,89.43
1969-07-01,89.98
1969-08-01,90.78
1969-09-01,90.86
1969-10-01,91.44
1969-11-01,90.51
1969-12-01,89.71
1970-01-01,89.28
1970-02-01,87.26
1970-03-01,86.78
1970-04-01,87.49
1970-05-01,85.64
1970-06-01,84.01
1970-07-01,84.31
1970-08-01,81.30
1970-09-01,79.73
1970-10-01,77.39
1970-11-01,75.56
1970-12-01,75.53
1971-01-01,73.89
1971-02-01,73.04
1971-03-01,72.85
1971-04-01,72.21
1971-05-01,72.07
1971-06-01,72.61
1971-07-01,73.58
1971-08-01,73.31
1971-09-01,74.08
1971-10-01,74.53
1971-11-01,75.18
1971-12-01,76.34
1972-01-01,79.80
1972-02-01,79.02
1972-03-01,78.44
1972-04-01,78.28
1972-05-01,77.74
1972-06-01,76.50
1972-07-01,77.25
1972-08-01,76.80
1972-09-01,77.01
1972-10-01,77.90
1972-11-01,78.29
1972-12-01,79.35
1973-01-01,79.11
1973-02-01,79.91
1973-03-01,79.60
1973-04-01,79.62
1973-05-01,79.93
1973-06-01,82.15
1973-07-01,79.46
1973-08-01,82.08
1973-09-01,82.04
1973-10-01,83.37
1973-11-01,84.48
1973-12-01,84.60
1974-01-01,85.21
1974-02-01,85.67
1974-03-01,85.74
1974-04-01,83.77
1974-05-01,83.45
1974-06-01,83.16
1974-07-01,81.84
1974-08-01,75.61
1974-09-01,79.92
1974-10-01,78.99
1974-11-01,75.58
1974-12-01,73.13
1975-01-01,70.82
1975-02-01,67.06
1975-03-01,65.91
1975-04-01,64.15
1975-05-01,63.29
1975-06-01,62.06
1975-07-01,62.85
1975-08-01,62.91
1975-09-01,63.40
1975-10-01,63.66
1975-11-01,63.49
1975-12-01,64.78
1976-01-01,65.11
1976-02-01,64.85
1976-03-01,65.33
1976-04-01,66.21
1976-05-01,67.83
1976-06-01,67.54
1976-07-01,68.51
1976-08-01,69.31
1976-09-01,71.16
1976-10-01,71.94
1976-11-01,71.95
1976-12-01,72.42
1977-01-01,71.31
1977-02-01,73.54
1977-03-01,72.93
1977-04-01,74.43
1977-05-01,74.90
1977-06-01,76.43
1977-07-01,76.00
1977-08-01,76.96
1977-09-01,77.23
1977-10-01,77.50
1977-11-01,77.78
1977-12-01,77.61
1978-01-01,76.46
1978-02-01,76.84
1978-03-01,78.41
1978-04-01,77.95
1978-05-01,77.64
1978-06-01,78.43
1978-07-01,78.50
1978-08-01,78.62
1978-09-01,78.71
1978-10-01,79.34
1978-11-01,80.37
1978-12-01,80.29
1979-01-01,80.71
1979-02-01,81.35
1979-03-01,81.28
1979-04-01,79.21
1979-05-01,80.08
1979-06-01,81.76
1979-07-01,81.99
1979-08-01,82.98
1979-09-01,83.72
1979-10-01,84.47
1979-11-01,86.40
1979-12-01,87.53
1980-01-01,88.24
1980-02-01,88.71
1980-03-01,88.90
1980-04-01,88.78
1980-05-01,88.13
1980-06-01,86.78
1980-07-01,86.20
1980-08-01,86.93
1980-09-01,86.27
1980-10-01,86.93
1980-11-01,87.19
1980-12-01,87.36
1981-01-01,87.52
1981-02-01,86.88
1981-03-01,86.09
1981-04-01,87.05
1981-05-01,86.51
1981-06-01,85.62
1981-07-01,85.10
1981-08-01,86.01
1981-09-01,85.49
1981-10-01,84.93
1981-11-01,83.22
1981-12-01,82.40
1982-01-01,79.97
1982-02-01,82.48
1982-03-01,80.77
1982-04-01,80.09
1982-05-01,79.63
1982-06-01,79.27
1982-07-01,79.34
1982-08-01,76.87
1982-09-01,76.93
1982-10-01,76.08
1982-11-01,75.59
1982-12-01,75.96
1983-01-01,77.14
1983-02-01,76.64
1983-03-01,77.54
1983-04-01,78.66
1983-05-01,79.26
1983-06-01,79.89
1983-07-01,82.53
1983-08-01,80.33
1983-09-01,84.32
1983-10-01,85.09
1983-11-01,85.20
1983-12-01,84.97
1984-01-01,86.25
1984-02-01,87.29
1984-03-01,87.44
1984-04-01,88.14
1984-05-01,88.21
1984-06-01,88.70
1984-07-01,88.72
1984-08-01,88.84
1984-09-01,88.20
1984-10-01,87.84
1984-11-01,87.27
1984-12-01,86.21
1985-01-01,85.80
1985-02-01,83.63
1985-03-01,82.52
1985-04-01,79.01
1985-05-01,78.59
1985-06-01,78.34
1985-07-01,75.22
1985-08-01,74.74
1985-09-01,73.32
1985-10-01,72.72
1985-11-01,73.01
1985-12-01,72.84
1986-01-01,72.34
1986-02-01,71.98
1986-03-01,72.16
1986-04-01,71.98
1986-05-01,72.25
1986-06-01,69.81
1986-07-01,73.59
1986-08-01,74.18
1986-09-01,74.37
1986-10-01,74.50
1986-11-01,74.93
1986-12-01,75.78
1987-01-01,76.53
1987-02-01,76.99
1987-03-01,75.80
1987-04-01,76.51
1987-05-01,76.86
1987-06-01,76.92
1987-07-01,77.56
1987-08-01,78.47
1987-09-01,78.79
1987-10-01,79.34
1987-11-01,79.11
1987-12-01,79.70
1988-01-01,78.85
1988-02-01,78.22
1988-03-01,78.49
1988-04-01,79.28
1988-05-01,79.64
1988-06-01,80.27
1988-07-01,80.76
1988-08-01,80.77
1988-09-01,80.86
1988-10-01,81.40
1988-11-01,80.85
1988-12-01,80.72
1989-01-01,80.11
1989-02-01,79.27
1989-03-01,78.16
1989-04-01,78.60
1989-05-01,77.35
1989-06-01,77.23
1989-07-01,77.92
1989-08-01,78.28
1989-09-01,77.62
1989-10-01,78.25
1989-11-01,78.13
1989-12-01,77.99
1990-01-01,78.22
1990-02-01,77.99
1990-03-01,77.93
1990-04-01,77.37
1990-05-01,77.38
1990-06-01,77.34
1990-07-01,76.87
1990-08-01,76.45
1990-09-01,76.82
1990-10-01,76.44
1990-11-01,76.27
1990-12-01,76.22
1991-01-01,75.68
1991-02-01,76.66
1991-03-01,77.21
1991-04-01,77.10
1991-05-01,78.23
1991-06-01,78.71
1991-07-01,78.51
1991-08-01,79.00
1991-09-01,78.77
1991-10-01,78.19
1991-11-01,78.30
1991-12-01,79.58
1992-01-01,80.33
1992-02-01,80.02
1992-03-01,79.79
1992-04-01,80.32
1992-05-01,80.16
1992-06-01,80.44
1992-07-01,80.36
1992-08-01,79.58
1992-09-01,79.79
1992-10-01,81.00
1992-11-01,81.50
1992-12-01,80.76
1993-01-01,80.09
1993-02-01,80.25
1993-03-01,80.63
1993-04-01,80.84
1993-05-01,80.84
1993-06-01,80.69
1993-07-01,80.15
1993-08-01,80.04
1993-09-01,80.63
1993-10-01,81.06
1993-11-01,81.35
1993-12-01,81.01
1994-01-01,80.59
1994-02-01,79.54
1994-03-01,80.82
1994-04-01,82.34
1994-05-01,82.81
1994-06-01,82.29
1994-07-01,82.33
1994-08-01,83.19
1994-09-01,84.44
1994-10-01,85.84
1994-11-01,86.32
1994-12-01,86.38
1995-01-01,85.04
1995-02-01,83.96
1995-03-01,84.95
1995-04-01,85.22
1995-05-01,85.81
1995-06-01,85.68
1995-07-01,84.45
1995-08-01,85.37
1995-09-01,86.53
1995-10-01,86.59
1995-11-01,85.63
1995-12-01,85.90
1996-01-01,85.69
1996-02-01,86.33
1996-03-01,85.10
1996-04-01,83.45
1996-05-01,82.69
1996-06-01,82.30
1996-07-01,82.30
1996-08-01,82.24
1996-09-01,81.86
1996-10-01,81.86
1996-11-01,80.96
1996-12-01,80.37
1997-01-01,79.81
1997-02-01,81.19
1997-03-01,81.96
1997-04-01,82.49
1997-05-01,83.50
1997-06-01,83.80
1997-07-01,83.77
1997-08-01,84.41
1997-09-01,84.77
1997-10-01,84.11
1997-11-01,83.93
1997-12-01,83.18
1998-01-01,82.57
1998-02-01,80.74
1998-03-01,78.88
1998-04-01,78.11
1998-05-01,76.41
1998-06-01,76.18
1998-07-01,76.70
1998-08-01,77.40
1998-09-01,78.32
1998-10-01,79.03
1998-11-01,79.46
1998-12-01,80.38
1999-01-01,81.60
1999-02-01,82.99
1999-03-01,83.87
1999-04-01,85.27
1999-05-01,85.61
1999-06-01,86.22
1999-07-01,88.02
1999-08-01,86.44
1999-09-01,84.86
1999-10-01,84.67
1999-11-01,85.09
1999-12-01,85.49
2000-01-01,86.58
2000-02-01,87.34
2000-03-01,88.05
2000-04-01,88.80
2000-05-01,89.76
2000-06-01,89.09
2000-07-01,89.84
2000-08-01,88.97
2000-09-01,88.02
2000-10-01,86.61
2000-11-01,86.23
2000-12-01,85.59
2001-01-01,83.02
2001-02-01,80.02
2001-03-01,78.06
2001-04-01,74.89
2001-05-01,72.23
2001-06-01,69.32
2001-07-01,65.60
2001-08-01,63.78
2001-09-01,62.76
2001-10-01,61.80
2001-11-01,60.04
2001-12-01,60.31
2002-01-01,58.97
2002-02-01,59.48
2002-03-01,59.25
2002-04-01,58.90
2002-05-01,58.32
2002-06-01,58.34
2002-07-01,58.03
2002-08-01,58.24
2002-09-01,58.01
2002-10-01,57.34
2002-11-01,57.28
2002-12-01,57.01
2003-01-01,57.23
2003-02-01,58.54
2003-03-01,58.91
2003-04-01,59.52
2003-05-01,60.76
2003-06-01,62.42
2003-07-01,64.32
2003-08-01,65.30
2003-09-01,66.28
2003-10-01,67.60
2003-11-01,68.63
2003-12-01,69.00
2004-01-01,70.14
2004-02-01,70.77
2004-03-01,70.97
2004-04-01,70.64
2004-05-01,70.86
2004-06-01,70.66
2004-07-01,70.27
2004-08-01,70.54
2004-09-01,71.00
2004-10-01,71.09
2004-11-01,70.77
2004-12-01,71.06
2005-01-01,72.18
2005-02-01,72.88
2005-03-01,72.52
2005-04-01,72.82
2005-05-01,72.62
2005-06-01,72.17
2005-07-01,72.64
2005-08-01,73.67
2005-09-01,75.20
2005-10-01,76.59
2005-11-01,77.03
2005-12-01,77.71
2006-01-01,78.24
