Date,CEU5051500001
1990-01-01,281600.00
1990-02-01,283000.00
1990-03-01,283500.00
1990-04-01,283400.00
1990-05-01,283600.00
1990-06-01,283700.00
1990-07-01,284300.00
1990-08-01,284700.00
1990-09-01,284700.00
1990-10-01,284800.00
1990-11-01,284300.00
1990-12-01,284000.00
1991-01-01,283200.00
1991-02-01,282800.00
1991-03-01,282100.00
1991-04-01,281300.00
1991-05-01,281500.00
1991-06-01,281200.00
1991-07-01,281000.00
1991-08-01,281200.00
1991-09-01,279800.00
1991-10-01,279300.00
1991-11-01,280600.00
1991-12-01,280300.00
1992-01-01,278200.00
1992-02-01,278000.00
1992-03-01,277700.00
1992-04-01,278300.00
1992-05-01,279200.00
1992-06-01,280300.00
1992-07-01,280000.00
1992-08-01,279300.00
1992-09-01,280700.00
1992-10-01,280800.00
1992-11-01,281700.00
1992-12-01,282000.00
1993-01-01,281400.00
1993-02-01,281700.00
1993-03-01,282100.00
1993-04-01,283700.00
1993-05-01,283300.00
1993-06-01,284300.00
1993-07-01,284900.00
1993-08-01,284900.00
1993-09-01,284300.00
1993-10-01,285300.00
1993-11-01,285600.00
1993-12-01,286500.00
1994-01-01,286200.00
1994-02-01,286600.00
1994-03-01,287900.00
1994-04-01,287600.00
1994-05-01,288000.00
1994-06-01,289300.00
1994-07-01,290000.00
1994-08-01,291000.00
1994-09-01,292100.00
1994-10-01,292600.00
1994-11-01,294000.00
1994-12-01,295800.00
1995-01-01,292900.00
1995-02-01,294300.00
1995-03-01,296300.00
1995-04-01,295100.00
1995-05-01,296500.00
1995-06-01,297200.00
1995-07-01,297100.00
1995-08-01,299400.00
1995-09-01,300100.00
1995-10-01,301300.00
1995-11-01,302400.00
1995-12-01,304500.00
1996-01-01,304200.00
1996-02-01,304900.00
1996-03-01,306200.00
1996-04-01,306700.00
1996-05-01,307700.00
1996-06-01,309200.00
1996-07-01,309400.00
1996-08-01,310800.00
1996-09-01,310900.00
1996-10-01,313000.00
1996-11-01,312700.00
1996-12-01,312900.00
1997-01-01,311100.00
1997-02-01,311700.00
1997-03-01,312500.00
1997-04-01,312700.00
1997-05-01,312900.00
1997-06-01,312200.00
1997-07-01,311800.00
1997-08-01,312000.00
1997-09-01,312600.00
1997-10-01,314800.00
1997-11-01,316400.00
1997-12-01,315700.00
1998-01-01,314500.00
1998-02-01,315300.00
1998-03-01,317700.00
1998-04-01,318900.00
1998-05-01,319800.00
1998-06-01,322200.00
1998-07-01,321900.00
1998-08-01,323500.00
1998-09-01,325800.00
1998-10-01,325200.00
1998-11-01,324400.00
1998-12-01,325100.00
1999-01-01,324600.00
1999-02-01,324800.00
1999-03-01,325600.00
1999-04-01,326500.00
1999-05-01,327400.00
1999-06-01,328400.00
1999-07-01,328500.00
1999-08-01,330300.00
1999-09-01,332100.00
1999-10-01,333200.00
1999-11-01,335000.00
1999-12-01,336800.00
2000-01-01,336900.00
2000-02-01,338600.00
2000-03-01,339900.00
2000-04-01,342000.00
2000-05-01,341300.00
2000-06-01,343200.00
2000-07-01,345300.00
2000-08-01,345600.00
2000-09-01,347200.00
2000-10-01,346600.00
2000-11-01,347600.00
2000-12-01,347600.00
2001-01-01,345900.00
2001-02-01,346500.00
2001-03-01,346100.00
2001-04-01,345800.00
2001-05-01,343800.00
2001-06-01,344800.00
2001-07-01,343900.00
2001-08-01,345900.00
2001-09-01,343100.00
2001-10-01,342200.00
2001-11-01,343600.00
2001-12-01,343700.00
2002-01-01,338800.00
2002-02-01,335900.00
2002-03-01,335900.00
2002-04-01,332700.00
2002-05-01,333500.00
2002-06-01,335500.00
2002-07-01,333200.00
2002-08-01,333000.00
2002-09-01,331200.00
2002-10-01,331400.00
2002-11-01,333700.00
2002-12-01,334900.00
2003-01-01,327700.00
2003-02-01,324900.00
2003-03-01,326300.00
2003-04-01,325500.00
2003-05-01,324100.00
2003-06-01,324400.00
2003-07-01,323500.00
2003-08-01,322200.00
2003-09-01,323700.00
2003-10-01,321300.00
2003-11-01,322600.00
2003-12-01,325000.00
2004-01-01,321100.00
2004-02-01,322500.00
2004-03-01,323800.00
2004-04-01,323100.00
2004-05-01,324600.00
2004-06-01,326000.00
2004-07-01,325000.00
2004-08-01,325400.00
2004-09-01,325600.00
2004-10-01,326500.00
2004-11-01,326900.00
2004-12-01,329200.00
2005-01-01,326900.00
2005-02-01,324300.00
2005-03-01,325300.00
2005-04-01,324300.00
2005-05-01,324100.00
2005-06-01,328500.00
2005-07-01,330200.00
2005-08-01,330600.00
2005-09-01,328100.00
2005-10-01,330100.00
2005-11-01,329500.00
2005-12-01,330000.00
2006-01-01,325400.00
2006-02-01,327200.00
2006-03-01,327600.00
2006-04-01,328700.00
2006-05-01,328100.00
2006-06-01,329500.00
2006-07-01,329400.00
2006-08-01,328900.00
2006-09-01,327900.00
2006-10-01,327200.00
2006-11-01,328400.00
2006-12-01,331000.00
2007-01-01,326000.00
2007-02-01,327900.00
2007-03-01,326200.00
2007-04-01,327100.00
2007-05-01,325000.00
2007-06-01,326400.00
2007-07-01,324900.00
2007-08-01,325100.00
2007-09-01,326100.00
2007-10-01,323000.00
2007-11-01,323600.00
2007-12-01,321600.00
2008-01-01,318900.00
2008-02-01,318500.00
2008-03-01,317900.00
2008-04-01,317400.00
2008-05-01,319000.00
2008-06-01,318900.00
2008-07-01,319700.00
2008-08-01,318500.00
2008-09-01,318100.00
2008-10-01,319100.00
2008-11-01,320400.00
2008-12-01,317400.00
2009-01-01,312200.00
2009-02-01,308500.00
2009-03-01,306500.00
2009-04-01,302700.00
2009-05-01,301000.00
2009-06-01,299800.00
2009-07-01,296600.00
2009-08-01,295000.00
2009-09-01,296100.00
2009-10-01,296100.00
2009-11-01,296500.00
2009-12-01,295200.00
2010-01-01,292600.00
2010-02-01,293200.00
2010-03-01,293500.00
2010-04-01,291600.00
2010-05-01,289600.00
2010-06-01,289700.00
2010-07-01,289000.00
2010-08-01,289400.00
2010-09-01,289000.00
2010-10-01,289400.00
2010-11-01,289900.00
2010-12-01,286900.00
2011-01-01,284000.00
2011-02-01,283700.00
2011-03-01,282000.00
2011-04-01,281500.00
2011-05-01,280600.00
2011-06-01,283200.00
2011-07-01,282800.00
2011-08-01,282400.00
2011-09-01,283400.00
2011-10-01,285000.00
2011-11-01,284900.00
2011-12-01,285000.00
2012-01-01,283800.00
2012-02-01,283300.00
2012-03-01,287100.00
2012-04-01,286900.00
2012-05-01,286600.00
2012-06-01,286700.00
2012-07-01,284000.00
2012-08-01,282500.00
2012-09-01,284600.00
2012-10-01,283700.00
2012-11-01,285000.00
2012-12-01,286400.00
2013-01-01,284400.00
2013-02-01,285000.00
2013-03-01,285100.00
2013-04-01,285500.00
2013-05-01,282200.00
2013-06-01,284200.00
2013-07-01,281900.00
2013-08-01,281600.00
2013-09-01,283200.00
2013-10-01,284200.00
2013-11-01,284600.00
2013-12-01,282500.00
2014-01-01,280800.00
2014-02-01,281000.00
2014-03-01,281500.00
2014-04-01,282100.00
2014-05-01,281500.00
2014-06-01,284800.00
2014-07-01,284600.00
2014-08-01,286700.00
2014-09-01,284700.00
2014-10-01,281800.00
2014-11-01,281800.00
2014-12-01,281800.00
2015-01-01,278700.00
2015-02-01,278400.00
2015-03-01,279500.00
2015-04-01,279300.00
2015-05-01,277200.00
2015-06-01,277100.00
2015-07-01,276300.00
2015-08-01,274300.00
2015-09-01,276100.00
2015-10-01,274100.00
2015-11-01,274100.00
2015-12-01,274800.00
2016-01-01,271100.00
2016-02-01,271900.00
2016-03-01,272100.00
2016-04-01,271200.00
2016-05-01,270100.00
2016-06-01,270500.00
2016-07-01,268300.00
2016-08-01,270300.00
2016-09-01,270800.00
2016-10-01,272100.00
2016-11-01,269700.00
2016-12-01,267900.00
2017-01-01,268700.00
2017-02-01,268600.00
2017-03-01,270800.00
2017-04-01,266200.00
2017-05-01,264200.00
2017-06-01,264500.00
2017-07-01,262400.00
2017-08-01,262000.00
2017-09-01,264600.00
2017-10-01,266500.00
2017-11-01,265100.00
2017-12-01,264700.00
2018-01-01,261500.00
2018-02-01,261800.00
2018-03-01,263700.00
2018-04-01,263100.00
2018-05-01,260500.00
