Date,CMLBSHNO
1945-10-01,316000000.00
1946-10-01,414000000.00
1947-10-01,506000000.00
1948-10-01,721000000.00
1949-10-01,966000000.00
1950-10-01,1266000000.00
1951-10-01,1569000000.00
1952-01-01,1619000000.00
1952-04-01,1695000000.00
1952-07-01,1771000000.00
1952-10-01,1836000000.00
1953-01-01,1913000000.00
1953-04-01,1987000000.00
1953-07-01,2050000000.00
1953-10-01,2132000000.00
1954-01-01,2224000000.00
1954-04-01,2322000000.00
1954-07-01,2397000000.00
1954-10-01,2412000000.00
1955-01-01,2441000000.00
1955-04-01,2295000000.00
1955-07-01,2262000000.00
1955-10-01,2166000000.00
1956-01-01,2438000000.00
1956-04-01,2569000000.00
1956-07-01,2787000000.00
1956-10-01,2861000000.00
1957-01-01,2878000000.00
1957-04-01,2923000000.00
1957-07-01,3123000000.00
1957-10-01,3256000000.00
1958-01-01,3579000000.00
1958-04-01,3859000000.00
1958-07-01,3932000000.00
1958-10-01,3874000000.00
1959-01-01,4118000000.00
1959-04-01,4280000000.00
1959-07-01,4382000000.00
1959-10-01,4373000000.00
1960-01-01,4813000000.00
1960-04-01,4946000000.00
1960-07-01,5084000000.00
1960-10-01,5212000000.00
1961-01-01,5333000000.00
1961-04-01,5458000000.00
1961-07-01,5604000000.00
1961-10-01,5747000000.00
1962-01-01,5888000000.00
1962-04-01,6054000000.00
1962-07-01,6215000000.00
1962-10-01,6343000000.00
1963-01-01,6546000000.00
1963-04-01,6653000000.00
1963-07-01,6779000000.00
1963-10-01,6939000000.00
1964-01-01,7085000000.00
1964-04-01,7241000000.00
1964-07-01,7392000000.00
1964-10-01,7544000000.00
1965-01-01,7722000000.00
1965-04-01,7909000000.00
1965-07-01,8090000000.00
1965-10-01,8262000000.00
1966-01-01,8440000000.00
1966-04-01,8620000000.00
1966-07-01,8804000000.00
1966-10-01,8960000000.00
1967-01-01,9153000000.00
1967-04-01,9201000000.00
1967-07-01,9399000000.00
1967-10-01,11951000000.00
1968-01-01,9814000000.00
1968-04-01,9976000000.00
1968-07-01,10157000000.00
1968-10-01,10306000000.00
1969-01-01,10491000000.00
1969-04-01,10689000000.00
1969-07-01,10871000000.00
1969-10-01,11020000000.00
1970-01-01,11335000000.00
1970-04-01,11521000000.00
1970-07-01,11739000000.00
1970-10-01,11907000000.00
1971-01-01,12186000000.00
1971-04-01,12116000000.00
1971-07-01,12351000000.00
1971-10-01,12482000000.00
1972-01-01,12696000000.00
1972-04-01,12882000000.00
1972-07-01,13096000000.00
1972-10-01,13249000000.00
1973-01-01,13526000000.00
1973-04-01,13559000000.00
1973-07-01,13796000000.00
1973-10-01,13862000000.00
1974-01-01,14154000000.00
1974-04-01,14185000000.00
1974-07-01,14432000000.00
1974-10-01,14474000000.00
1975-01-01,14686000000.00
1975-04-01,14703000000.00
1975-07-01,14986000000.00
1975-10-01,14997000000.00
1976-01-01,15185000000.00
1976-04-01,15356000000.00
1976-07-01,15497000000.00
1976-10-01,15558000000.00
1977-01-01,15708000000.00
1977-04-01,15943000000.00
1977-07-01,16093000000.00
1977-10-01,16318000000.00
1978-01-01,16583000000.00
1978-04-01,16910000000.00
1978-07-01,16892000000.00
1978-10-01,17153000000.00
1979-01-01,17231000000.00
1979-04-01,17267000000.00
1979-07-01,17504000000.00
1979-10-01,17612000000.00
1980-01-01,17563000000.00
1980-04-01,17876000000.00
1980-07-01,18332000000.00
1980-10-01,18256000000.00
1981-01-01,18449000000.00
1981-04-01,18723000000.00
1981-07-01,19007000000.00
1981-10-01,19053000000.00
1982-01-01,19928000000.00
1982-04-01,20311000000.00
1982-07-01,20477000000.00
1982-10-01,20918000000.00
1983-01-01,22457000000.00
1983-04-01,23741000000.00
1983-07-01,25988000000.00
1983-10-01,28428000000.00
1984-01-01,31848000000.00
1984-04-01,33865000000.00
1984-07-01,34963000000.00
1984-10-01,35354000000.00
1985-01-01,37066000000.00
1985-04-01,37192000000.00
1985-07-01,37771000000.00
1985-10-01,38572000000.00
1986-01-01,40124000000.00
1986-04-01,43241000000.00
1986-07-01,45612000000.00
1986-10-01,43240000000.00
1987-01-01,46062000000.00
1987-04-01,46958000000.00
1987-07-01,46719000000.00
1987-10-01,53751000000.00
1988-01-01,55794000000.00
1988-04-01,57109000000.00
1988-07-01,58424000000.00
1988-10-01,58332000000.00
1989-01-01,60556000000.00
1989-04-01,62274000000.00
1989-07-01,63827000000.00
1989-10-01,65554000000.00
1990-01-01,67286000000.00
1990-04-01,68845000000.00
1990-07-01,70586000000.00
1990-10-01,72852000000.00
1991-01-01,75032000000.00
1991-04-01,77227000000.00
1991-07-01,79424000000.00
1991-10-01,81608000000.00
1992-01-01,83275000000.00
1992-04-01,84943000000.00
1992-07-01,86610000000.00
1992-10-01,88277000000.00
1993-01-01,90798000000.00
1993-04-01,93317000000.00
1993-07-01,95838000000.00
1993-10-01,99081000000.00
1994-01-01,98883000000.00
1994-04-01,98685000000.00
1994-07-01,98488000000.00
1994-10-01,98289000000.00
1995-01-01,98250000000.00
1995-04-01,98211000000.00
1995-07-01,98172000000.00
1995-10-01,98133000000.00
1996-01-01,98966000000.00
1996-04-01,99800000000.00
1996-07-01,100634000000.00
1996-10-01,101198000000.00
1997-01-01,102076000000.00
1997-04-01,102954000000.00
1997-07-01,103832000000.00
1997-10-01,104710000000.00
1998-01-01,107217000000.00
1998-04-01,109724000000.00
1998-07-01,112231000000.00
1998-10-01,114738000000.00
1999-01-01,115557000000.00
1999-04-01,116376000000.00
1999-07-01,117195000000.00
1999-10-01,118014000000.00
2000-01-01,120826000000.00
2000-04-01,123638000000.00
2000-07-01,126450000000.00
2000-10-01,129262000000.00
2001-01-01,131811000000.00
2001-04-01,134360000000.00
2001-07-01,136909000000.00
2001-10-01,139458000000.00
2002-01-01,141881000000.00
2002-04-01,144304000000.00
2002-07-01,146727000000.00
2002-10-01,149150000000.00
2003-01-01,150645000000.00
2003-04-01,152140000000.00
2003-07-01,153635000000.00
2003-10-01,155130000000.00
2004-01-01,156323000000.00
2004-04-01,157516000000.00
2004-07-01,158709000000.00
2004-10-01,159902000000.00
2005-01-01,161862000000.00
2005-04-01,163822000000.00
2005-07-01,165782000000.00
2005-10-01,167742000000.00
2006-01-01,172135000000.00
2006-04-01,176528000000.00
2006-07-01,180921000000.00
2006-10-01,185314000000.00
2007-01-01,188559000000.00
2007-04-01,191804000000.00
2007-07-01,195049000000.00
2007-10-01,198294000000.00
2008-01-01,200475000000.00
2008-04-01,202656000000.00
2008-07-01,204837000000.00
2008-10-01,207018000000.00
2009-01-01,204570000000.00
2009-04-01,202122000000.00
2009-07-01,199674000000.00
2009-10-01,197226000000.00
2010-01-01,197497000000.00
2010-04-01,197768000000.00
2010-07-01,198039000000.00
2010-10-01,198310000000.00
2011-01-01,199741000000.00
2011-04-01,201172000000.00
2011-07-01,202603000000.00
2011-10-01,204034000000.00
2012-01-01,206213000000.00
2012-04-01,208392000000.00
2012-07-01,210571000000.00
2012-10-01,212750000000.00
2013-01-01,214979000000.00
2013-04-01,217208000000.00
2013-07-01,219437000000.00
2013-10-01,221666000000.00
2014-01-01,223336000000.00
2014-04-01,225006000000.00
2014-07-01,226676000000.00
2014-10-01,228346000000.00
2015-01-01,230287000000.00
2015-04-01,232228000000.00
2015-07-01,234169000000.00
2015-10-01,236110000000.00
2016-01-01,238008000000.00
2016-04-01,239906000000.00
2016-07-01,241804000000.00
2016-10-01,243702000000.00
2017-01-01,245577000000.00
2017-04-01,247452000000.00
2017-07-01,249327000000.00
2017-10-01,251202000000.00
2018-01-01,253095000000.00
