Date,CPGRLE01USQ657N
1960-01-01,0.22
1960-04-01,0.11
1960-10-01,0.65
1961-04-01,0.32
1961-07-01,0.43
1961-10-01,0.54
1962-01-01,0.11
1962-04-01,0.43
1962-07-01,0.21
1962-10-01,0.53
1963-01-01,-0.21
1963-04-01,0.63
1963-07-01,0.42
1963-10-01,0.63
1964-01-01,0.21
1964-04-01,0.31
1964-07-01,0.10
1964-10-01,0.62
1965-01-01,0.41
1965-04-01,0.31
1965-07-01,0.10
1965-10-01,0.61
1966-01-01,0.20
1966-04-01,1.21
1966-07-01,0.90
1966-10-01,1.09
1967-01-01,0.39
1967-04-01,0.88
1967-07-01,0.97
1967-10-01,1.34
1968-01-01,0.94
1968-04-01,1.12
1968-07-01,1.39
1968-10-01,1.46
1969-01-01,1.26
1969-04-01,1.78
1969-07-01,1.22
1969-10-01,1.64
1970-01-01,1.36
1970-04-01,1.76
1970-07-01,1.32
1970-10-01,1.95
1971-01-01,0.64
1971-04-01,1.03
1971-07-01,0.94
1971-10-01,0.78
1972-01-01,0.46
1972-04-01,0.84
1972-07-01,0.84
1972-10-01,0.83
1973-01-01,0.30
1973-04-01,1.19
1973-07-01,1.03
1973-10-01,1.90
1974-01-01,1.14
1974-04-01,2.76
1974-07-01,3.44
1974-10-01,3.19
1975-01-01,1.68
1975-04-01,1.78
1975-07-01,1.43
1975-10-01,1.78
1976-01-01,1.45
1976-04-01,1.67
1976-07-01,1.70
1976-10-01,1.50
1977-01-01,1.25
1977-04-01,1.85
1977-07-01,1.48
1977-10-01,1.41
1978-01-01,1.44
1978-04-01,2.26
1978-07-01,2.27
1978-10-01,2.27
1979-01-01,1.92
1979-04-01,2.61
1979-07-01,2.68
1979-10-01,3.07
1980-01-01,3.29
1980-04-01,3.62
1980-07-01,1.58
1980-10-01,3.19
1981-01-01,1.94
1981-04-01,2.41
1981-07-01,3.49
1981-10-01,2.02
1982-01-01,0.86
1982-04-01,2.07
1982-07-01,1.71
1982-10-01,0.48
1983-01-01,0.38
1983-04-01,0.99
1983-07-01,1.28
1983-10-01,1.57
1984-01-01,0.95
1984-04-01,1.20
1984-07-01,1.25
1984-10-01,1.27
1985-01-01,0.85
1985-04-01,1.06
1985-07-01,0.86
1985-10-01,1.46
1986-01-01,0.78
1986-04-01,0.86
1986-07-01,0.92
1986-10-01,1.23
1987-01-01,0.78
1987-04-01,1.15
1987-07-01,0.94
1987-10-01,1.40
1988-01-01,0.78
1988-04-01,1.18
1988-07-01,1.01
1988-10-01,1.48
1989-01-01,0.95
1989-04-01,1.02
1989-07-01,0.91
1989-10-01,1.39
1990-01-01,1.27
1990-04-01,1.18
1990-07-01,1.41
1990-10-01,1.27
1991-01-01,1.52
1991-04-01,0.78
1991-07-01,0.99
1991-10-01,1.07
1992-01-01,0.97
1992-04-01,0.76
1992-07-01,0.66
1992-10-01,0.99
1993-01-01,1.03
1993-04-01,0.69
1993-07-01,0.51
1993-10-01,0.83
1994-01-01,0.82
1994-04-01,0.65
1994-07-01,0.60
1994-10-01,0.68
1995-01-01,0.97
1995-04-01,0.77
1995-07-01,0.50
1995-10-01,0.76
1996-01-01,0.82
1996-04-01,0.57
1996-07-01,0.48
1996-10-01,0.70
1997-01-01,0.72
1997-04-01,0.61
1997-07-01,0.24
1997-10-01,0.63
1998-01-01,0.70
1998-04-01,0.62
1998-07-01,0.42
1998-10-01,0.58
1999-01-01,0.55
1999-04-01,0.53
1999-07-01,0.32
1999-10-01,0.60
2000-01-01,0.73
2000-04-01,0.74
2000-07-01,0.46
2000-10-01,0.61
2001-01-01,0.84
2001-04-01,0.69
2001-07-01,0.52
2001-10-01,0.64
2002-01-01,0.66
2002-04-01,0.60
2002-07-01,0.35
2002-10-01,0.42
2003-01-01,0.40
2003-04-01,0.35
2003-07-01,0.17
2003-10-01,0.26
2004-01-01,0.55
2004-04-01,0.79
2004-07-01,0.20
2004-10-01,0.56
2005-01-01,0.76
2005-04-01,0.62
2005-07-01,0.13
2005-10-01,0.60
2006-01-01,0.73
2006-04-01,0.98
2006-07-01,0.49
2006-10-01,0.42
2007-01-01,0.70
2007-04-01,0.65
2007-07-01,0.38
2007-10-01,0.57
2008-01-01,0.75
2008-04-01,0.61
2008-07-01,0.56
2008-10-01,0.07
2009-01-01,0.50
2009-04-01,0.69
2009-07-01,0.23
2009-10-01,0.31
2010-01-01,0.09
2010-04-01,0.28
2010-07-01,0.16
2010-10-01,0.19
2011-01-01,0.44
2011-04-01,0.70
2011-07-01,0.56
2011-10-01,0.45
2012-01-01,0.51
2012-04-01,0.72
2012-07-01,0.30
2012-10-01,0.39
2013-01-01,0.51
2013-04-01,0.47
2013-07-01,0.36
2013-10-01,0.37
2014-01-01,0.42
2014-04-01,0.75
2014-07-01,0.22
2014-10-01,0.30
2015-01-01,0.41
2015-04-01,0.82
2015-07-01,0.30
2015-10-01,0.47
2016-01-01,0.65
2016-04-01,0.78
2016-07-01,0.33
2016-10-01,0.38
2017-01-01,0.66
2017-04-01,0.40
2017-07-01,0.24
2017-10-01,0.44
2018-01-01,0.83
