Date,CPIAUCNS
1913-01-01,9.80
1913-02-01,9.80
1913-03-01,9.80
1913-04-01,9.80
1913-05-01,9.70
1913-06-01,9.80
1913-07-01,9.90
1913-08-01,9.90
1913-09-01,10.00
1913-10-01,10.00
1913-11-01,10.10
1913-12-01,10.00
1914-01-01,10.00
1914-02-01,9.90
1914-03-01,9.90
1914-04-01,9.80
1914-05-01,9.90
1914-06-01,9.90
1914-07-01,10.00
1914-08-01,10.20
1914-09-01,10.20
1914-10-01,10.10
1914-11-01,10.20
1914-12-01,10.10
1915-01-01,10.10
1915-02-01,10.00
1915-03-01,9.90
1915-04-01,10.00
1915-05-01,10.10
1915-06-01,10.10
1915-07-01,10.10
1915-08-01,10.10
1915-09-01,10.10
1915-10-01,10.20
1915-11-01,10.30
1915-12-01,10.30
1916-01-01,10.40
1916-02-01,10.40
1916-03-01,10.50
1916-04-01,10.60
1916-05-01,10.70
1916-06-01,10.80
1916-07-01,10.80
1916-08-01,10.90
1916-09-01,11.10
1916-10-01,11.30
1916-11-01,11.50
1916-12-01,11.60
1917-01-01,11.70
1917-02-01,12.00
1917-03-01,12.00
1917-04-01,12.60
1917-05-01,12.80
1917-06-01,13.00
1917-07-01,12.80
1917-08-01,13.00
1917-09-01,13.30
1917-10-01,13.50
1917-11-01,13.50
1917-12-01,13.70
1918-01-01,14.00
1918-02-01,14.10
1918-03-01,14.00
1918-04-01,14.20
1918-05-01,14.50
1918-06-01,14.70
1918-07-01,15.10
1918-08-01,15.40
1918-09-01,15.70
1918-10-01,16.00
1918-11-01,16.30
1918-12-01,16.50
1919-01-01,16.50
1919-02-01,16.20
1919-03-01,16.40
1919-04-01,16.70
1919-05-01,16.90
1919-06-01,16.90
1919-07-01,17.40
1919-08-01,17.70
1919-09-01,17.80
1919-10-01,18.10
1919-11-01,18.50
1919-12-01,18.90
1920-01-01,19.30
1920-02-01,19.50
1920-03-01,19.70
1920-04-01,20.30
1920-05-01,20.60
1920-06-01,20.90
1920-07-01,20.80
1920-08-01,20.30
1920-09-01,20.00
1920-10-01,19.90
1920-11-01,19.80
1920-12-01,19.40
1921-01-01,19.00
1921-02-01,18.40
1921-03-01,18.30
1921-04-01,18.10
1921-05-01,17.70
1921-06-01,17.60
1921-07-01,17.70
1921-08-01,17.70
1921-09-01,17.50
1921-10-01,17.50
1921-11-01,17.40
1921-12-01,17.30
1922-01-01,16.90
1922-02-01,16.90
1922-03-01,16.70
1922-04-01,16.70
1922-05-01,16.70
1922-06-01,16.70
1922-07-01,16.80
1922-08-01,16.60
1922-09-01,16.60
1922-10-01,16.70
1922-11-01,16.80
1922-12-01,16.90
1923-01-01,16.80
1923-02-01,16.80
1923-03-01,16.80
1923-04-01,16.90
1923-05-01,16.90
1923-06-01,17.00
1923-07-01,17.20
1923-08-01,17.10
1923-09-01,17.20
1923-10-01,17.30
1923-11-01,17.30
1923-12-01,17.30
1924-01-01,17.30
1924-02-01,17.20
1924-03-01,17.10
