Date,CPIEBEV
1982-12-01,100.00
1983-01-01,100.50
1983-02-01,100.90
1983-03-01,101.50
1983-04-01,102.00
1983-05-01,102.20
1983-06-01,102.20
1983-07-01,102.30
1983-08-01,102.30
1983-09-01,102.40
1983-10-01,102.50
1983-11-01,102.20
1983-12-01,102.70
1984-01-01,104.90
1984-02-01,106.00
1984-03-01,106.00
1984-04-01,106.00
1984-05-01,105.60
1984-06-01,105.90
1984-07-01,106.30
1984-08-01,106.90
1984-09-01,106.60
1984-10-01,106.70
1984-11-01,106.50
1984-12-01,106.80
1985-01-01,107.60
1985-02-01,108.50
1985-03-01,108.60
1985-04-01,108.50
1985-05-01,108.30
1985-06-01,108.40
1985-07-01,108.50
1985-08-01,108.50
1985-09-01,108.50
1985-10-01,108.60
1985-11-01,108.90
1985-12-01,109.70
1986-01-01,110.70
1986-02-01,110.70
1986-03-01,110.80
1986-04-01,111.10
1986-05-01,111.40
1986-06-01,111.40
1986-07-01,112.50
1986-08-01,113.40
1986-09-01,113.50
1986-10-01,113.70
1986-11-01,113.90
1986-12-01,114.10
1987-01-01,115.50
1987-02-01,116.00
1987-03-01,115.90
1987-04-01,116.20
1987-05-01,116.90
1987-06-01,117.50
1987-07-01,117.20
1987-08-01,117.20
1987-09-01,117.60
1987-10-01,117.70
1987-11-01,117.50
1987-12-01,118.20
1988-01-01,119.20
1988-02-01,119.20
1988-03-01,119.40
1988-04-01,120.10
1988-05-01,120.60
1988-06-01,121.10
1988-07-01,122.40
1988-08-01,123.00
1988-09-01,123.90
1988-10-01,124.00
1988-11-01,123.80
1988-12-01,124.20
1989-01-01,125.80
1989-02-01,126.60
1989-03-01,127.30
1989-04-01,128.10
1989-05-01,128.90
1989-06-01,129.00
1989-07-01,129.60
1989-08-01,129.80
1989-09-01,130.10
1989-10-01,130.80
1989-11-01,131.10
1989-12-01,131.60
1990-01-01,135.20
1990-02-01,136.20
1990-03-01,136.20
1990-04-01,135.70
1990-05-01,135.80
1990-06-01,136.50
1990-07-01,137.40
1990-08-01,137.50
1990-09-01,137.70
1990-10-01,138.10
1990-11-01,138.50
1990-12-01,138.70
1991-01-01,141.10
1991-02-01,141.10
1991-03-01,141.50
1991-04-01,142.50
1991-05-01,142.60
1991-06-01,143.20
1991-07-01,142.20
1991-08-01,141.50
1991-09-01,141.50
1991-10-01,141.00
1991-11-01,141.50
1991-12-01,142.00
1992-01-01,142.60
1992-02-01,143.00
1992-03-01,143.70
1992-04-01,143.70
1992-05-01,142.90
1992-06-01,142.10
1992-07-01,142.00
1992-08-01,142.90
1992-09-01,143.30
1992-10-01,143.20
1992-11-01,143.00
1992-12-01,143.40
1993-01-01,144.70
1993-02-01,144.80
1993-03-01,145.10
1993-04-01,145.60
1993-05-01,146.20
1993-06-01,145.20
1993-07-01,145.20
1993-08-01,145.80
1993-09-01,146.00
1993-10-01,146.70
1993-11-01,146.90
1993-12-01,147.70
1994-01-01,148.80
1994-02-01,148.00
1994-03-01,148.30
1994-04-01,148.50
1994-05-01,148.70
