Date,DHHNGSP
1997-01-07,3820000.00
1997-01-08,3800000.00
1997-01-09,3610000.00
1997-01-10,3920000.00
1997-01-13,4000000.00
1997-01-14,4010000.00
1997-01-15,4340000.00
1997-01-16,4710000.00
1997-01-17,3910000.00
1997-01-20,3260000.00
1997-01-21,2990000.00
1997-01-22,3050000.00
1997-01-23,2960000.00
1997-01-24,2620000.00
1997-01-27,2980000.00
1997-01-28,3050000.00
1997-01-29,2910000.00
1997-01-30,2860000.00
1997-01-31,2770000.00
1997-02-03,2490000.00
1997-02-04,2590000.00
1997-02-05,2650000.00
1997-02-06,2510000.00
1997-02-07,2390000.00
1997-02-10,2420000.00
1997-02-11,2340000.00
1997-02-12,2420000.00
1997-02-13,2220000.00
1997-02-14,2120000.00
1997-02-18,1840000.00
1997-02-19,1950000.00
1997-02-20,1920000.00
1997-02-21,1920000.00
1997-02-24,1920000.00
1997-02-25,1770000.00
1997-02-26,1810000.00
1997-02-27,1800000.00
1997-02-28,1780000.00
1997-03-03,1800000.00
1997-03-04,1870000.00
1997-03-05,1920000.00
1997-03-06,1820000.00
1997-03-07,1890000.00
1997-03-10,1950000.00
1997-03-11,1920000.00
1997-03-12,1960000.00
1997-03-13,1980000.00
1997-03-14,1970000.00
1997-03-17,2010000.00
1997-03-18,1910000.00
1997-03-19,1880000.00
1997-03-20,1880000.00
1997-03-21,1870000.00
1997-03-24,1800000.00
1997-03-25,1850000.00
1997-03-26,1850000.00
1997-03-27,1840000.00
1997-03-31,1840000.00
1997-04-01,1950000.00
1997-04-02,1850000.00
1997-04-03,1870000.00
1997-04-04,1910000.00
1997-04-07,1990000.00
1997-04-08,2010000.00
1997-04-09,1960000.00
1997-04-10,1970000.00
1997-04-11,1980000.00
1997-04-14,2000000.00
1997-04-15,2000000.00
1997-04-16,2020000.00
1997-04-17,2080000.00
1997-04-18,2100000.00
1997-04-21,2090000.00
1997-04-22,2100000.00
1997-04-23,2220000.00
1997-04-24,2110000.00
1997-04-25,2160000.00
1997-04-28,2100000.00
1997-04-29,2090000.00
1997-04-30,2160000.00
1997-05-01,2190000.00
1997-05-02,2210000.00
1997-05-05,2230000.00
1997-05-06,2250000.00
1997-05-07,2340000.00
1997-05-08,2330000.00
1997-05-09,2300000.00
1997-05-12,2270000.00
1997-05-13,2180000.00
1997-05-14,2220000.00
1997-05-15,2250000.00
1997-05-16,2190000.00
1997-05-19,2250000.00
1997-05-20,2220000.00
1997-05-21,2210000.00
1997-05-22,2220000.00
1997-05-23,2200000.00
1997-05-27,2290000.00
1997-05-28,2340000.00
1997-05-29,2290000.00
1997-05-30,2230000.00
1997-06-02,2200000.00
1997-06-03,2110000.00
1997-06-04,2190000.00
1997-06-05,2180000.00
1997-06-06,2190000.00
1997-06-09,2190000.00
1997-06-10,2160000.00
1997-06-11,2160000.00
