Date,DRCCLOBN
1991-01-01,4.65
1991-04-01,4.74
1991-07-01,4.94
1991-10-01,4.66
1992-01-01,4.26
1992-04-01,3.79
1992-07-01,4.04
1992-10-01,3.74
1993-01-01,3.64
1993-04-01,3.55
1993-07-01,3.49
1993-10-01,3.25
1994-01-01,3.17
1994-04-01,3.09
1994-07-01,3.22
1994-10-01,3.10
1995-01-01,3.41
1995-04-01,3.51
1995-07-01,3.78
1995-10-01,3.88
1996-01-01,4.00
1996-04-01,4.18
1996-07-01,5.04
1996-10-01,5.04
1997-01-01,5.07
1997-04-01,5.15
1997-07-01,5.47
1997-10-01,5.01
1998-01-01,5.05
1998-04-01,5.02
1998-07-01,5.19
1998-10-01,5.10
1999-01-01,4.61
1999-04-01,4.82
1999-07-01,5.09
1999-10-01,4.90
2000-01-01,4.61
2000-04-01,4.54
2000-07-01,4.92
2000-10-01,5.05
2001-01-01,5.36
2001-04-01,5.78
2001-07-01,6.23
2001-10-01,5.63
2002-01-01,5.48
2002-04-01,5.38
2002-07-01,6.48
2002-10-01,6.19
2003-01-01,6.17
2003-04-01,5.95
2003-07-01,5.82
2003-10-01,6.64
2004-01-01,4.99
2004-04-01,5.79
2004-07-01,5.80
2004-10-01,5.75
2005-01-01,4.22
2005-04-01,4.02
2005-07-01,4.38
2005-10-01,3.09
2006-01-01,3.02
2006-04-01,3.02
2006-07-01,3.27
2006-10-01,3.51
2007-01-01,3.46
2007-04-01,3.47
2007-07-01,4.26
2007-10-01,4.68
2008-01-01,5.04
2008-04-01,4.78
2008-07-01,5.02
2008-10-01,5.89
2009-01-01,4.57
2009-04-01,4.34
2009-07-01,4.19
2009-10-01,5.35
2010-01-01,5.08
2010-04-01,4.77
2010-07-01,4.86
2010-10-01,4.37
2011-01-01,3.89
2011-04-01,3.50
2011-07-01,3.72
2011-10-01,3.55
2012-01-01,3.21
2012-04-01,3.10
2012-07-01,3.41
2012-10-01,3.42
2013-01-01,3.15
2013-04-01,3.07
2013-07-01,3.53
2013-10-01,3.43
2014-01-01,3.11
2014-04-01,3.13
2014-07-01,3.55
2014-10-01,3.42
2015-01-01,3.24
2015-04-01,3.34
2015-07-01,3.78
2015-10-01,2.88
2016-01-01,2.90
2016-04-01,2.93
2016-07-01,3.26
2016-10-01,3.39
2017-01-01,3.40
2017-04-01,3.81
2017-07-01,5.73
2017-10-01,5.77
2018-01-01,5.90
