Date,HNOREMV
1945-10-01,134635000000.00
1946-10-01,158074000000.00
1947-10-01,206381000000.00
1948-10-01,229359000000.00
1949-10-01,246931000000.00
1950-10-01,278126000000.00
1951-10-01,308963000000.00
1952-01-01,311906000000.00
1952-04-01,322754000000.00
1952-07-01,324183000000.00
1952-10-01,334895000000.00
1953-01-01,340387000000.00
1953-04-01,347238000000.00
1953-07-01,357332000000.00
1953-10-01,355919000000.00
1954-01-01,357485000000.00
1954-04-01,361814000000.00
1954-07-01,371385000000.00
1954-10-01,379599000000.00
1955-01-01,384467000000.00
1955-04-01,394908000000.00
1955-07-01,406169000000.00
1955-10-01,414487000000.00
1956-01-01,424188000000.00
1956-04-01,433166000000.00
1956-07-01,440946000000.00
1956-10-01,445773000000.00
1957-01-01,453596000000.00
1957-04-01,461358000000.00
1957-07-01,468792000000.00
1957-10-01,471674000000.00
1958-01-01,468427000000.00
1958-04-01,474349000000.00
1958-07-01,484262000000.00
1958-10-01,493819000000.00
1959-01-01,493678000000.00
1959-04-01,504127000000.00
1959-07-01,513598000000.00
1959-10-01,521544000000.00
1960-01-01,534527000000.00
1960-04-01,539185000000.00
1960-07-01,545818000000.00
1960-10-01,547589000000.00
1961-01-01,545980000000.00
1961-04-01,556950000000.00
1961-07-01,567010000000.00
1961-10-01,576368000000.00
1962-01-01,584759000000.00
1962-04-01,590011000000.00
1962-07-01,594920000000.00
1962-10-01,603604000000.00
1963-01-01,611427000000.00
1963-04-01,612853000000.00
1963-07-01,623306000000.00
1963-10-01,628622000000.00
1964-01-01,630274000000.00
1964-04-01,643749000000.00
1964-07-01,649814000000.00
1964-10-01,662499000000.00
1965-01-01,669614000000.00
1965-04-01,675093000000.00
1965-07-01,681036000000.00
1965-10-01,696286000000.00
1966-01-01,696079000000.00
1966-04-01,726016000000.00
1966-07-01,728570000000.00
1966-10-01,748935000000.00
1967-01-01,753320000000.00
1967-04-01,762765000000.00
1967-07-01,774483000000.00
1967-10-01,794221000000.00
1968-01-01,817753000000.00
1968-04-01,836122000000.00
1968-07-01,849479000000.00
1968-10-01,889605000000.00
1969-01-01,914582000000.00
1969-04-01,932881000000.00
1969-07-01,945017000000.00
1969-10-01,968674000000.00
1970-01-01,973544000000.00
1970-04-01,1006440000000.00
1970-07-01,1005793000000.00
1970-10-01,1025204000000.00
1971-01-01,1051931000000.00
1971-04-01,1078498000000.00
1971-07-01,1104238000000.00
1971-10-01,1127739000000.00
1972-01-01,1171254000000.00
1972-04-01,1192509000000.00
1972-07-01,1232534000000.00
1972-10-01,1290675000000.00
1973-01-01,1322715000000.00
1973-04-01,1369699000000.00
1973-07-01,1430284000000.00
1973-10-01,1472632000000.00
1974-01-01,1462386000000.00
1974-04-01,1461485000000.00
1974-07-01,1475406000000.00
1974-10-01,1517696000000.00
1975-01-01,1582858000000.00
1975-04-01,1642027000000.00
1975-07-01,1642336000000.00
1975-10-01,1684206000000.00
1976-01-01,1717934000000.00
1976-04-01,1789837000000.00
1976-07-01,1826561000000.00
1976-10-01,1880025000000.00
1977-01-01,1949358000000.00
1977-04-01,2047570000000.00
1977-07-01,2125108000000.00
1977-10-01,2211304000000.00
1978-01-01,2286391000000.00
1978-04-01,2392252000000.00
1978-07-01,2483986000000.00
1978-10-01,2577511000000.00
1979-01-01,2704236000000.00
1979-04-01,2832579000000.00
1979-07-01,2937035000000.00
1979-10-01,3025997000000.00
1980-01-01,3142501000000.00
1980-04-01,3229277000000.00
1980-07-01,3354028000000.00
1980-10-01,3413722000000.00
1981-01-01,3458906000000.00
1981-04-01,3637211000000.00
1981-07-01,3743288000000.00
1981-10-01,3803851000000.00
1982-01-01,3903891000000.00
1982-04-01,3935371000000.00
1982-07-01,3948646000000.00
1982-10-01,3989640000000.00
1983-01-01,4039787000000.00
1983-04-01,4084119000000.00
1983-07-01,4130510000000.00
1983-10-01,4175841000000.00
1984-01-01,4352233000000.00
1984-04-01,4486328000000.00
1984-07-01,4614708000000.00
1984-10-01,4733722000000.00
1985-01-01,4864792000000.00
1985-04-01,5016513000000.00
1985-07-01,5179255000000.00
1985-10-01,5339897000000.00
1986-01-01,5440614000000.00
1986-04-01,5574277000000.00
1986-07-01,5704200000000.00
1986-10-01,5827691000000.00
1987-01-01,5957731000000.00
1987-04-01,6091726000000.00
1987-07-01,6217384000000.00
1987-10-01,6308917000000.00
1988-01-01,6447460000000.00
1988-04-01,6623799000000.00
1988-07-01,6754602000000.00
1988-10-01,6876482000000.00
1989-01-01,7000760000000.00
1989-04-01,7138430000000.00
1989-07-01,7337085000000.00
1989-10-01,7444347000000.00
1990-01-01,7536707000000.00
1990-04-01,7571918000000.00
1990-07-01,7618773000000.00
1990-10-01,7603748000000.00
1991-01-01,7640823000000.00
1991-04-01,7674975000000.00
1991-07-01,7685801000000.00
1991-10-01,7729102000000.00
1992-01-01,7811586000000.00
1992-04-01,7831417000000.00
1992-07-01,7899703000000.00
1992-10-01,7961963000000.00
1993-01-01,7970362000000.00
1993-04-01,8053287000000.00
1993-07-01,8138363000000.00
1993-10-01,8225597000000.00
1994-01-01,8296160000000.00
1994-04-01,8389125000000.00
1994-07-01,8470836000000.00
1994-10-01,8537227000000.00
1995-01-01,8586510000000.00
1995-04-01,8659034000000.00
1995-07-01,8751790000000.00
1995-10-01,8834746000000.00
1996-01-01,8940298000000.00
1996-04-01,9036315000000.00
1996-07-01,9127763000000.00
1996-10-01,9227427000000.00
1997-01-01,9389446000000.00
1997-04-01,9499979000000.00
1997-07-01,9645184000000.00
1997-10-01,9835857000000.00
1998-01-01,10073307000000.00
1998-04-01,10288767000000.00
1998-07-01,10540235000000.00
1998-10-01,10797587000000.00
1999-01-01,10998939000000.00
1999-04-01,11228065000000.00
1999-07-01,11540754000000.00
1999-10-01,11823675000000.00
2000-01-01,12205379000000.00
2000-04-01,12613905000000.00
2000-07-01,13096429000000.00
2000-10-01,13539494000000.00
2001-01-01,13946156000000.00
2001-04-01,14293779000000.00
2001-07-01,14674382000000.00
2001-10-01,14886391000000.00
2002-01-01,15176298000000.00
2002-04-01,15544933000000.00
2002-07-01,15933993000000.00
2002-10-01,16295560000000.00
2003-01-01,16684174000000.00
2003-04-01,17048979000000.00
2003-07-01,17500526000000.00
2003-10-01,18017524000000.00
2004-01-01,18650672000000.00
2004-04-01,19420686000000.00
2004-07-01,20167890000000.00
2004-10-01,20916151000000.00
2005-01-01,21747624000000.00
2005-04-01,22627459000000.00
2005-07-01,23476035000000.00
2005-10-01,24306600000000.00
2006-01-01,24848855000000.00
2006-04-01,24961348000000.00
2006-07-01,24967488000000.00
2006-10-01,25020448000000.00
2007-01-01,24923253000000.00
2007-04-01,24428472000000.00
2007-07-01,23881447000000.00
2007-10-01,23258569000000.00
2008-01-01,22317513000000.00
2008-04-01,21297236000000.00
2008-07-01,20505269000000.00
2008-10-01,19491025000000.00
