Date,HOUSTNSA
1959-01-01,96200.00
1959-02-01,99000.00
1959-03-01,127700.00
1959-04-01,150800.00
1959-05-01,152500.00
1959-06-01,147800.00
1959-07-01,148100.00
1959-08-01,138200.00
1959-09-01,136400.00
1959-10-01,120000.00
1959-11-01,104700.00
1959-12-01,95600.00
1960-01-01,86000.00
1960-02-01,90700.00
1960-03-01,90500.00
1960-04-01,123000.00
1960-05-01,130200.00
1960-06-01,122800.00
1960-07-01,114300.00
1960-08-01,130300.00
1960-09-01,96900.00
1960-10-01,110400.00
1960-11-01,92800.00
1960-12-01,64200.00
1961-01-01,70400.00
1961-02-01,74100.00
1961-03-01,104200.00
1961-04-01,112800.00
1961-05-01,127600.00
1961-06-01,134800.00
1961-07-01,126600.00
1961-08-01,127100.00
1961-09-01,125400.00
1961-10-01,124800.00
1961-11-01,103000.00
1961-12-01,82200.00
1962-01-01,81200.00
1962-02-01,77100.00
1962-03-01,116200.00
1962-04-01,147800.00
1962-05-01,155200.00
1962-06-01,136800.00
1962-07-01,136500.00
1962-08-01,147700.00
1962-09-01,114300.00
1962-10-01,135200.00
1962-11-01,120900.00
1962-12-01,93900.00
1963-01-01,79000.00
1963-02-01,89600.00
1963-03-01,124800.00
1963-04-01,164200.00
1963-05-01,172700.00
1963-06-01,154200.00
1963-07-01,151300.00
1963-08-01,144000.00
1963-09-01,143700.00
1963-10-01,165300.00
1963-11-01,119300.00
1963-12-01,95000.00
1964-01-01,97900.00
1964-02-01,101300.00
1964-03-01,129100.00
1964-04-01,147100.00
1964-05-01,152800.00
1964-06-01,157200.00
1964-07-01,140600.00
1964-08-01,138300.00
1964-09-01,119800.00
1964-10-01,141200.00
1964-11-01,110600.00
1964-12-01,93000.00
1965-01-01,81700.00
1965-02-01,80900.00
1965-03-01,119900.00
1965-04-01,148600.00
1965-05-01,153300.00
1965-06-01,151800.00
1965-07-01,139100.00
1965-08-01,128300.00
1965-09-01,124600.00
1965-10-01,133100.00
1965-11-01,110500.00
1965-12-01,101100.00
1966-01-01,79400.00
1966-02-01,76200.00
1966-03-01,118100.00
1966-04-01,140900.00
1966-05-01,130000.00
1966-06-01,120600.00
1966-07-01,99200.00
1966-08-01,101800.00
1966-09-01,89100.00
1966-10-01,76600.00
1966-11-01,72800.00
1966-12-01,60200.00
1967-01-01,59100.00
1967-02-01,61400.00
1967-03-01,91500.00
1967-04-01,113700.00
1967-05-01,132000.00
1967-06-01,125400.00
1967-07-01,125300.00
1967-08-01,127400.00
1967-09-01,121900.00
1967-10-01,135400.00
1967-11-01,118400.00
1967-12-01,80100.00
1968-01-01,80500.00
1968-02-01,84600.00
1968-03-01,126600.00
1968-04-01,162000.00
1968-05-01,140900.00
1968-06-01,137900.00
1968-07-01,139800.00
1968-08-01,136600.00
1968-09-01,134200.00
1968-10-01,140800.00
1968-11-01,127100.00
1968-12-01,96400.00
1969-01-01,101500.00
1969-02-01,90100.00
1969-03-01,131900.00
1969-04-01,159000.00
1969-05-01,155500.00
1969-06-01,147300.00
1969-07-01,125200.00
1969-08-01,124900.00
1969-09-01,129300.00
1969-10-01,123400.00
1969-11-01,94600.00
1969-12-01,84100.00
1970-01-01,66400.00
1970-02-01,74300.00
1970-03-01,114700.00
1970-04-01,128400.00
1970-05-01,125000.00
1970-06-01,135200.00
1970-07-01,140800.00
1970-08-01,128700.00
1970-09-01,130900.00
1970-10-01,140900.00
1970-11-01,126900.00
1970-12-01,121400.00
1971-01-01,110600.00
1971-02-01,102200.00
1971-03-01,167900.00
1971-04-01,201100.00
1971-05-01,198500.00
1971-06-01,193800.00
1971-07-01,194300.00
1971-08-01,204500.00
1971-09-01,173800.00
1971-10-01,179700.00
1971-11-01,173700.00
1971-12-01,152100.00
1972-01-01,149100.00
1972-02-01,152200.00
1972-03-01,203900.00
1972-04-01,211600.00
1972-05-01,225800.00
1972-06-01,223100.00
1972-07-01,206500.00
1972-08-01,228600.00
1972-09-01,203000.00
1972-10-01,216500.00
1972-11-01,185700.00
1972-12-01,150500.00
1973-01-01,146600.00
1973-02-01,138000.00
1973-03-01,200000.00
1973-04-01,205000.00
1973-05-01,234000.00
1973-06-01,202600.00
1973-07-01,202600.00
1973-08-01,197200.00
1973-09-01,148400.00
1973-10-01,147100.00
1973-11-01,133300.00
1973-12-01,90400.00
1974-01-01,84500.00
1974-02-01,109400.00
1974-03-01,124800.00
1974-04-01,159500.00
1974-05-01,149000.00
1974-06-01,147600.00
1974-07-01,126600.00
1974-08-01,111100.00
1974-09-01,98300.00
1974-10-01,96700.00
1974-11-01,75100.00
1974-12-01,55100.00
1975-01-01,56100.00
1975-02-01,54700.00
1975-03-01,80200.00
1975-04-01,97900.00
1975-05-01,116100.00
1975-06-01,110300.00
1975-07-01,119300.00
1975-08-01,117300.00
1975-09-01,111900.00
1975-10-01,123600.00
1975-11-01,96900.00
1975-12-01,76100.00
1976-01-01,72500.00
1976-02-01,89900.00
1976-03-01,118400.00
1976-04-01,137200.00
1976-05-01,147900.00
1976-06-01,154200.00
1976-07-01,136600.00
1976-08-01,145900.00
1976-09-01,151800.00
1976-10-01,148400.00
1976-11-01,127100.00
1976-12-01,107400.00
1977-01-01,81300.00
1977-02-01,112500.00
1977-03-01,173600.00
1977-04-01,182200.00
1977-05-01,201300.00
1977-06-01,197600.00
1977-07-01,189800.00
1977-08-01,194000.00
1977-09-01,177700.00
1977-10-01,193100.00
1977-11-01,154800.00
1977-12-01,129200.00
1978-01-01,88600.00
1978-02-01,101300.00
1978-03-01,172100.00
1978-04-01,197500.00
