Date,IPB511222N
1947-01-01,28.02
1947-02-01,28.94
1947-03-01,29.00
1947-04-01,29.05
1947-05-01,28.40
1947-06-01,28.78
1947-07-01,26.46
1947-08-01,29.38
1947-09-01,29.92
1947-10-01,32.19
1947-11-01,32.46
1947-12-01,33.11
1948-01-01,33.11
1948-02-01,33.87
1948-03-01,33.76
1948-04-01,31.54
1948-05-01,30.95
1948-06-01,31.27
1948-07-01,27.48
1948-08-01,30.73
1948-09-01,32.24
1948-10-01,33.06
1948-11-01,31.60
1948-12-01,31.65
1949-01-01,29.65
1949-02-01,29.81
1949-03-01,29.59
1949-04-01,27.75
1949-05-01,25.70
1949-06-01,25.81
1949-07-01,23.10
1949-08-01,27.05
1949-09-01,29.92
1949-10-01,31.54
1949-11-01,31.27
1949-12-01,33.06
1950-01-01,32.51
1950-02-01,34.79
1950-03-01,35.49
1950-04-01,35.44
1950-05-01,34.46
1950-06-01,36.19
1950-07-01,31.92
1950-08-01,37.22
1950-09-01,38.95
1950-10-01,39.01
1950-11-01,38.95
1950-12-01,37.49
1951-01-01,36.03
1951-02-01,37.11
1951-03-01,36.41
1951-04-01,33.92
1951-05-01,29.81
1951-06-01,28.19
1951-07-01,24.29
1951-08-01,26.29
1951-09-01,27.54
1951-10-01,28.73
1951-11-01,29.32
1951-12-01,30.24
1952-01-01,30.78
1952-02-01,31.22
1952-03-01,31.70
1952-04-01,31.54
1952-05-01,30.73
1952-06-01,29.27
1952-07-01,28.40
1952-08-01,32.19
1952-09-01,34.35
1952-10-01,36.41
1952-11-01,36.25
1952-12-01,36.57
1953-01-01,35.65
1953-02-01,36.57
1953-03-01,36.52
1953-04-01,35.33
1953-05-01,33.33
1953-06-01,32.73
1953-07-01,29.21
1953-08-01,32.57
1953-09-01,33.06
1953-10-01,34.03
1953-11-01,32.46
1953-12-01,32.14
1954-01-01,31.32
1954-02-01,33.38
1954-03-01,34.46
1954-04-01,33.65
1954-05-01,32.89
1954-06-01,34.14
1954-07-01,32.89
1954-08-01,37.82
1954-09-01,39.87
1954-10-01,41.17
1954-11-01,39.60
1954-12-01,39.71
1955-01-01,39.01
1955-02-01,40.31
1955-03-01,40.74
1955-04-01,39.71
1955-05-01,39.01
1955-06-01,40.79
1955-07-01,37.87
1955-08-01,42.42
1955-09-01,44.74
1955-10-01,45.72
1955-11-01,45.17
1955-12-01,45.72
1956-01-01,43.82
1956-02-01,44.80
1956-03-01,43.98
1956-04-01,42.25
1956-05-01,40.79
1956-06-01,40.90
1956-07-01,38.95
1956-08-01,43.12
1956-09-01,45.61
1956-10-01,45.72
1956-11-01,43.98
1956-12-01,44.80
1957-01-01,42.96
1957-02-01,44.42
1957-03-01,44.15
1957-04-01,43.28
1957-05-01,41.06
1957-06-01,42.25
1957-07-01,40.90
1957-08-01,45.12
1957-09-01,46.31
1957-10-01,45.39
1957-11-01,43.71
1957-12-01,43.39
1958-01-01,41.17
1958-02-01,40.90
1958-03-01,40.47
1958-04-01,38.36
1958-05-01,37.44
1958-06-01,38.95
1958-07-01,38.68
1958-08-01,43.61
1958-09-01,46.31
1958-10-01,48.04
