Date,IPFPNSN
1939-01-01,7.74
1939-02-01,7.74
1939-03-01,7.77
1939-04-01,7.74
1939-05-01,7.83
1939-06-01,7.97
1939-07-01,8.06
1939-08-01,8.14
1939-09-01,8.46
1939-10-01,8.81
1939-11-01,8.98
1939-12-01,9.06
1940-01-01,8.86
1940-02-01,8.75
1940-03-01,8.60
1940-04-01,8.66
1940-05-01,8.81
1940-06-01,9.06
1940-07-01,8.98
1940-08-01,9.15
1940-09-01,9.44
1940-10-01,9.70
1940-11-01,9.93
1940-12-01,10.27
1941-01-01,10.50
1941-02-01,10.76
1941-03-01,10.99
1941-04-01,11.16
1941-05-01,11.57
1941-06-01,11.77
1941-07-01,11.77
1941-08-01,11.97
1941-09-01,12.09
1941-10-01,12.29
1941-11-01,12.34
1941-12-01,12.49
1942-01-01,12.78
1942-02-01,13.04
1942-03-01,13.09
1942-04-01,12.29
1942-05-01,12.34
1942-06-01,12.49
1942-07-01,12.80
1942-08-01,13.27
1942-09-01,13.67
1942-10-01,14.16
1942-11-01,14.62
1942-12-01,15.08
1943-01-01,15.08
1943-02-01,15.39
1943-03-01,15.57
1943-04-01,15.80
1943-05-01,16.00
1943-06-01,16.32
1943-07-01,16.60
1943-08-01,17.01
1943-09-01,17.32
1943-10-01,17.52
1943-11-01,17.70
1943-12-01,17.38
1944-01-01,17.61
1944-02-01,17.81
1944-03-01,17.87
1944-04-01,17.93
1944-05-01,18.01
1944-06-01,18.27
1944-07-01,18.21
1944-08-01,18.47
1944-09-01,18.13
1944-10-01,18.01
1944-11-01,17.75
1944-12-01,17.64
1945-01-01,17.52
1945-02-01,17.41
1945-03-01,17.18
1945-04-01,16.92
1945-05-01,16.57
1945-06-01,16.43
1945-07-01,15.97
1945-08-01,14.27
1945-09-01,12.80
1945-10-01,12.34
1945-11-01,12.46
1945-12-01,12.46
1946-01-01,12.32
1946-02-01,12.23
1946-03-01,12.49
1946-04-01,12.69
1946-05-01,12.60
1946-06-01,12.92
1946-07-01,13.09
1946-08-01,13.67
1946-09-01,14.04
1946-10-01,14.10
1946-11-01,14.19
1946-12-01,14.27
1947-01-01,14.27
1947-02-01,14.53
1947-03-01,14.62
1947-04-01,14.39
1947-05-01,14.30
1947-06-01,14.59
1947-07-01,13.98
1947-08-01,14.96
1947-09-01,15.39
1947-10-01,15.74
1947-11-01,15.57
1947-12-01,15.25
1948-01-01,15.14
1948-02-01,15.37
1948-03-01,15.34
1948-04-01,15.14
1948-05-01,14.99
1948-06-01,15.39
1948-07-01,14.88
1948-08-01,15.71
1948-09-01,16.06
1948-10-01,16.29
1948-11-01,15.68
1948-12-01,15.11
1949-01-01,14.73
1949-02-01,14.85
1949-03-01,14.88
1949-04-01,14.53
1949-05-01,14.39
1949-06-01,14.62
1949-07-01,14.13
1949-08-01,15.19
1949-09-01,15.62
1949-10-01,15.74
1949-11-01,15.02
1949-12-01,14.65
1950-01-01,14.99
1950-02-01,15.39
1950-03-01,15.71
1950-04-01,16.00
1950-05-01,16.09
1950-06-01,16.80
1950-07-01,16.46
1950-08-01,18.30
1950-09-01,18.36
1950-10-01,18.70
1950-11-01,17.93
1950-12-01,17.90
1951-01-01,17.98
1951-02-01,18.50
1951-03-01,18.65
1951-04-01,18.27
1951-05-01,17.90
1951-06-01,18.13
1951-07-01,17.01
1951-08-01,17.90
1951-09-01,18.39
1951-10-01,18.42
1951-11-01,18.21
1951-12-01,17.98
1952-01-01,18.13
1952-02-01,18.65
1952-03-01,18.88
1952-04-01,18.42
1952-05-01,18.30
1952-06-01,18.96
1952-07-01,17.75
1952-08-01,19.22
1952-09-01,20.08
1952-10-01,20.52
1952-11-01,20.29
1952-12-01,19.85
1953-01-01,20.08
1953-02-01,20.63
1953-03-01,20.92
1953-04-01,20.66
1953-05-01,20.55
1953-06-01,20.63
1953-07-01,19.83
1953-08-01,20.78
1953-09-01,20.80
1953-10-01,21.03
1953-11-01,19.85
1953-12-01,19.11
1954-01-01,19.19
1954-02-01,19.57
1954-03-01,19.62
1954-04-01,19.37
1954-05-01,19.31
1954-06-01,19.51
1954-07-01,18.62
1954-08-01,19.51
1954-09-01,20.03
1954-10-01,20.08
1954-11-01,19.97
1954-12-01,19.80
1955-01-01,20.08
1955-02-01,20.55
1955-03-01,21.01
1955-04-01,21.15
1955-05-01,21.24
1955-06-01,21.55
1955-07-01,20.63
1955-08-01,21.55
1955-09-01,22.04
1955-10-01,22.50
1955-11-01,22.21
1955-12-01,21.90
1956-01-01,21.93
1956-02-01,22.33
1956-03-01,22.44
1956-04-01,22.53
1956-05-01,22.24
1956-06-01,22.53
1956-07-01,21.52
1956-08-01,22.85
1956-09-01,23.25
1956-10-01,23.42
1956-11-01,22.93
1956-12-01,22.76
1957-01-01,22.73
1957-02-01,23.42
1957-03-01,23.54
1957-04-01,23.13
1957-05-01,22.93
1957-06-01,23.45
1957-07-01,22.50
1957-08-01,23.68
1957-09-01,23.80
1957-10-01,23.31
1957-11-01,22.59
1957-12-01,21.84
1958-01-01,21.55
1958-02-01,21.52
1958-03-01,21.44
1958-04-01,21.24
1958-05-01,21.32
1958-06-01,22.21
1958-07-01,21.41
1958-08-01,22.62
1958-09-01,23.05
1958-10-01,23.19
1958-11-01,23.25
1958-12-01,22.73
1959-01-01,23.05
1959-02-01,23.60
1959-03-01,23.91
1959-04-01,24.31
1959-05-01,24.46
1959-06-01,25.06
1959-07-01,24.14
1959-08-01,24.75
1959-09-01,25.06
