Date,IPG211111CN
1972-01-01,141.62
1972-02-01,145.28
1972-03-01,147.41
1972-04-01,148.34
1972-05-01,149.89
1972-06-01,148.47
1972-07-01,148.07
1972-08-01,147.88
1972-09-01,148.25
1972-10-01,147.86
1972-11-01,147.00
1972-12-01,145.60
1973-01-01,143.07
1973-02-01,146.46
1973-03-01,144.67
1973-04-01,144.95
1973-05-01,144.47
1973-06-01,143.69
1973-07-01,143.77
1973-08-01,143.04
1973-09-01,141.48
1973-10-01,143.90
1973-11-01,142.94
1973-12-01,141.44
1974-01-01,139.43
1974-02-01,142.63
1974-03-01,139.96
1974-04-01,139.77
1974-05-01,139.08
1974-06-01,137.07
1974-07-01,137.05
1974-08-01,135.77
1974-09-01,133.75
1974-10-01,134.46
1974-11-01,133.80
1974-12-01,133.16
1975-01-01,132.04
1975-02-01,134.11
1975-03-01,132.64
1975-04-01,132.06
1975-05-01,130.85
1975-06-01,131.46
1975-07-01,130.15
1975-08-01,128.82
1975-09-01,129.29
1975-10-01,129.98
1975-11-01,129.26
1975-12-01,128.89
1976-01-01,128.55
1976-02-01,128.54
1976-03-01,128.55
1976-04-01,126.16
1976-05-01,126.89
1976-06-01,126.40
1976-07-01,126.90
1976-08-01,126.63
1976-09-01,127.22
1976-10-01,125.89
1976-11-01,126.10
1976-12-01,125.78
1977-01-01,122.57
1977-02-01,126.98
1977-03-01,126.20
1977-04-01,127.05
1977-05-01,125.95
1977-06-01,126.31
1977-07-01,126.31
1977-08-01,129.31
1977-09-01,131.88
1977-10-01,133.33
1977-11-01,133.40
1977-12-01,131.97
1978-01-01,129.95
1978-02-01,130.22
1978-03-01,135.34
1978-04-01,136.71
1978-05-01,136.82
1978-06-01,136.90
1978-07-01,135.70
1978-08-01,135.69
1978-09-01,136.35
1978-10-01,136.62
1978-11-01,135.37
1978-12-01,134.14
1979-01-01,131.18
1979-02-01,132.09
1979-03-01,133.17
1979-04-01,132.41
1979-05-01,133.15
1979-06-01,130.61
1979-07-01,129.34
1979-08-01,132.18
1979-09-01,131.79
1979-10-01,133.26
1979-11-01,135.25
1979-12-01,133.08
1980-01-01,133.88
1980-02-01,134.33
1980-03-01,134.20
1980-04-01,133.91
1980-05-01,133.21
1980-06-01,131.92
1980-07-01,131.83
1980-08-01,129.68
1980-09-01,132.92
1980-10-01,131.59
1980-11-01,131.02
1980-12-01,132.70
1981-01-01,131.66
1981-02-01,132.63
1981-03-01,132.78
1981-04-01,131.90
1981-05-01,131.05
1981-06-01,132.93
1981-07-01,130.94
1981-08-01,132.22
1981-09-01,132.55
1981-10-01,131.92
1981-11-01,132.21
1981-12-01,132.19
1982-01-01,130.87
1982-02-01,133.87
1982-03-01,133.39
1982-04-01,132.20
1982-05-01,133.56
1982-06-01,133.02
1982-07-01,133.10
1982-08-01,132.73
1982-09-01,133.79
1982-10-01,133.77
1982-11-01,133.77
1982-12-01,132.21
1983-01-01,133.65
1983-02-01,134.62
1983-03-01,133.72
1983-04-01,134.85
1983-05-01,132.65
1983-06-01,133.19
1983-07-01,132.69
1983-08-01,133.27
1983-09-01,134.88
1983-10-01,134.66
1983-11-01,134.68
1983-12-01,128.85
1984-01-01,136.22
1984-02-01,136.19
1984-03-01,133.15
1984-04-01,136.06
1984-05-01,137.33
1984-06-01,135.73
1984-07-01,136.19
1984-08-01,135.18
1984-09-01,137.81
1984-10-01,136.54
1984-11-01,137.68
1984-12-01,136.39
1985-01-01,133.96
1985-02-01,138.46
1985-03-01,139.42
1985-04-01,138.81
1985-05-01,140.01
1985-06-01,138.38
1985-07-01,137.21
1985-08-01,135.27
1985-09-01,137.47
1985-10-01,137.73
1985-11-01,136.75
1985-12-01,138.56
1986-01-01,140.05
1986-02-01,140.64
1986-03-01,138.24
1986-04-01,135.88
1986-05-01,135.71
1986-06-01,132.60
1986-07-01,132.96
1986-08-01,128.64
1986-09-01,127.85
1986-10-01,129.55
1986-11-01,129.31
1986-12-01,128.25
1987-01-01,130.48
1987-02-01,128.92
1987-03-01,130.15
1987-04-01,130.66
1987-05-01,128.18
1987-06-01,127.30
1987-07-01,126.89
1987-08-01,126.24
1987-09-01,126.19
1987-10-01,128.60
1987-11-01,129.08
1987-12-01,127.86
1988-01-01,126.83
1988-02-01,128.74
1988-03-01,128.74
1988-04-01,127.42
1988-05-01,126.52
1988-06-01,125.62
1988-07-01,123.62
1988-08-01,124.24
1988-09-01,121.42
1988-10-01,123.37
1988-11-01,123.38
1988-12-01,122.12
1989-01-01,122.05
1989-02-01,119.76
1989-03-01,116.47
1989-04-01,119.50
1989-05-01,120.18
1989-06-01,117.23
1989-07-01,114.46
1989-08-01,116.00
1989-09-01,116.05
1989-10-01,114.59
1989-11-01,115.87
1989-12-01,112.81
1990-01-01,116.03
1990-02-01,115.28
1990-03-01,114.29
1990-04-01,113.89
1990-05-01,112.68
1990-06-01,109.26
1990-07-01,110.30
1990-08-01,112.04
1990-09-01,111.07
1990-10-01,115.97
1990-11-01,113.58
1990-12-01,112.83
1991-01-01,115.32
1991-02-01,117.43
1991-03-01,116.03
1991-04-01,115.45
1991-05-01,113.92
1991-06-01,112.56
1991-07-01,112.97
1991-08-01,112.49
1991-09-01,113.28
1991-10-01,114.36
1991-11-01,112.67
1991-12-01,112.23
