Date,IPG21N
1919-01-01,23.72
1919-02-01,20.13
1919-03-01,19.48
1919-04-01,20.79
1919-05-01,23.94
1919-06-01,26.14
1919-07-01,27.89
1919-08-01,26.36
1919-09-01,29.72
1919-10-01,30.38
1919-11-01,20.13
1919-12-01,22.33
1920-01-01,25.99
1920-02-01,24.67
1920-03-01,25.63
1920-04-01,23.28
1920-05-01,27.16
1920-06-01,30.09
1920-07-01,29.94
1920-08-01,31.12
1920-09-01,29.72
1920-10-01,31.85
1920-11-01,30.68
1920-12-01,27.82
1921-01-01,24.53
1921-02-01,22.99
1921-03-01,21.45
1921-04-01,20.79
1921-05-01,23.14
1921-06-01,23.21
1921-07-01,22.18
1921-08-01,22.70
1921-09-01,22.70
1921-10-01,24.75
1921-11-01,22.48
1921-12-01,20.21
1922-01-01,23.28
1922-02-01,25.63
1922-03-01,28.04
1922-04-01,15.16
1922-05-01,16.77
1922-06-01,19.91
1922-07-01,19.48
1922-08-01,21.45
1922-09-01,28.11
1922-10-01,31.19
1922-11-01,31.12
1922-12-01,29.94
1923-01-01,30.60
1923-02-01,29.65
1923-03-01,30.53
1923-04-01,31.19
1923-05-01,34.26
1923-06-01,35.73
1923-07-01,36.68
1923-08-01,36.97
1923-09-01,34.41
1923-10-01,36.24
1923-11-01,34.34
1923-12-01,29.36
1924-01-01,31.34
1924-02-01,31.34
1924-03-01,29.14
1924-04-01,26.36
1924-05-01,29.43
1924-06-01,30.16
1924-07-01,30.02
1924-08-01,30.31
1924-09-01,32.95
1924-10-01,32.95
1924-11-01,31.26
1924-12-01,29.72
1925-01-01,31.85
1925-02-01,29.72
1925-03-01,27.97
1925-04-01,28.85
1925-05-01,33.09
1925-06-01,33.09
1925-07-01,33.90
1925-08-01,35.44
1925-09-01,31.34
1925-10-01,31.41
1925-11-01,31.48
1925-12-01,28.55
1926-01-01,28.77
1926-02-01,28.99
1926-03-01,30.53
1926-04-01,29.87
1926-05-01,32.07
1926-06-01,34.41
1926-07-01,35.07
1926-08-01,36.39
1926-09-01,37.78
1926-10-01,39.10
1926-11-01,38.95
1926-12-01,35.73
1927-01-01,35.44
1927-02-01,35.73
1927-03-01,35.29
1927-04-01,30.75
1927-05-01,34.12
1927-06-01,34.26
1927-07-01,32.73
1927-08-01,35.44
1927-09-01,35.36
1927-10-01,35.66
1927-11-01,33.17
1927-12-01,30.75
1928-01-01,31.63
1928-02-01,31.19
1928-03-01,30.75
1928-04-01,29.72
1928-05-01,32.95
1928-06-01,33.09
1928-07-01,33.09
1928-08-01,35.22
1928-09-01,36.61
1928-10-01,38.95
1928-11-01,37.12
1928-12-01,33.39
1929-01-01,35.73
1929-02-01,36.39
1929-03-01,31.70
1929-04-01,33.39
1929-05-01,36.75
1929-06-01,36.61
1929-07-01,37.78
1929-08-01,38.66
1929-09-01,40.49
1929-10-01,40.41
1929-11-01,36.02
1929-12-01,34.56
1930-01-01,33.46
1930-02-01,32.65
1930-03-01,28.99
1930-04-01,29.72
1930-05-01,33.09
1930-06-01,33.39
1930-07-01,32.65
1930-08-01,32.65
1930-09-01,32.51
1930-10-01,33.17
