Date,IPN3311A2BN
1972-01-01,69.43
1972-02-01,80.12
1972-03-01,93.67
1972-04-01,96.08
1972-05-01,100.03
1972-06-01,94.83
1972-07-01,91.13
1972-08-01,95.48
1972-09-01,94.50
1972-10-01,98.18
1972-11-01,96.12
1972-12-01,98.21
1973-01-01,87.49
1973-02-01,102.20
1973-03-01,115.57
1973-04-01,114.46
1973-05-01,120.29
1973-06-01,116.28
1973-07-01,113.54
1973-08-01,121.41
1973-09-01,119.25
1973-10-01,122.65
1973-11-01,119.65
1973-12-01,124.90
1974-01-01,127.95
1974-02-01,121.28
1974-03-01,133.90
1974-04-01,140.66
1974-05-01,142.59
1974-06-01,140.39
1974-07-01,133.31
1974-08-01,134.90
1974-09-01,133.04
1974-10-01,133.35
1974-11-01,115.35
1974-12-01,110.90
1975-01-01,109.41
1975-02-01,118.57
1975-03-01,117.41
1975-04-01,117.09
1975-05-01,92.73
1975-06-01,83.14
1975-07-01,79.37
1975-08-01,72.23
1975-09-01,77.48
1975-10-01,74.30
1975-11-01,68.59
1975-12-01,71.00
1976-01-01,62.39
1976-02-01,73.03
1976-03-01,77.36
1976-04-01,83.00
1976-05-01,88.59
1976-06-01,98.27
1976-07-01,94.71
1976-08-01,80.38
1976-09-01,78.95
1976-10-01,75.45
1976-11-01,68.57
1976-12-01,66.06
1977-01-01,55.69
1977-02-01,61.88
1977-03-01,65.98
1977-04-01,87.11
1977-05-01,90.51
1977-06-01,93.98
1977-07-01,81.65
1977-08-01,82.30
1977-09-01,74.96
1977-10-01,74.25
1977-11-01,71.61
1977-12-01,73.18
1978-01-01,74.11
1978-02-01,66.36
1978-03-01,76.11
1978-04-01,86.73
1978-05-01,89.70
1978-06-01,93.37
1978-07-01,91.87
1978-08-01,87.13
1978-09-01,86.52
1978-10-01,88.12
1978-11-01,89.30
1978-12-01,94.26
1979-01-01,75.54
1979-02-01,80.54
1979-03-01,87.59
1979-04-01,103.48
1979-05-01,99.42
1979-06-01,100.34
1979-07-01,95.71
1979-08-01,92.67
1979-09-01,95.31
1979-10-01,90.90
1979-11-01,94.85
1979-12-01,89.43
1980-01-01,86.96
1980-02-01,89.61
1980-03-01,96.90
1980-04-01,95.14
1980-05-01,80.50
1980-06-01,68.68
1980-07-01,61.31
1980-08-01,61.74
1980-09-01,69.72
1980-10-01,81.36
1980-11-01,82.42
1980-12-01,87.38
1981-01-01,82.87
1981-02-01,91.67
1981-03-01,97.12
1981-04-01,95.89
1981-05-01,89.19
1981-06-01,83.22
1981-07-01,82.50
1981-08-01,81.10
1981-09-01,81.15
1981-10-01,68.72
1981-11-01,61.96
1981-12-01,59.74
1982-01-01,56.78
1982-02-01,59.83
1982-03-01,63.69
1982-04-01,58.53
1982-05-01,54.59
1982-06-01,52.66
1982-07-01,51.78
1982-08-01,48.89
1982-09-01,56.94
1982-10-01,45.39
1982-11-01,39.08
1982-12-01,34.65
1983-01-01,43.89
1983-02-01,45.20
1983-03-01,52.39
1983-04-01,52.13
1983-05-01,52.60
1983-06-01,56.29
1983-07-01,52.05
1983-08-01,50.84
1983-09-01,51.16
1983-10-01,54.15
1983-11-01,49.81
1983-12-01,41.87
1984-01-01,47.16
1984-02-01,53.03
1984-03-01,55.73
1984-04-01,54.86
1984-05-01,59.44
1984-06-01,57.60
1984-07-01,45.60
1984-08-01,50.78
1984-09-01,49.90
1984-10-01,44.64
1984-11-01,43.31
1984-12-01,42.80
1985-01-01,44.28
1985-02-01,46.22
1985-03-01,52.98
1985-04-01,50.17
1985-05-01,51.49
1985-06-01,52.54
1985-07-01,48.69
1985-08-01,48.75
1985-09-01,51.19
1985-10-01,49.11
1985-11-01,48.22
1985-12-01,46.26
1986-01-01,51.52
1986-02-01,50.45
1986-03-01,48.03
1986-04-01,54.50
1986-05-01,53.74
1986-06-01,50.30
1986-07-01,50.89
1986-08-01,47.98
1986-09-01,44.10
1986-10-01,44.01
1986-11-01,44.90
1986-12-01,41.75
1987-01-01,32.71
1987-02-01,43.08
1987-03-01,43.13
1987-04-01,49.37
1987-05-01,50.42
1987-06-01,56.19
1987-07-01,49.63
1987-08-01,54.44
1987-09-01,57.36
1987-10-01,59.70
1987-11-01,54.10
1987-12-01,60.81
1988-01-01,56.06
1988-02-01,55.83
1988-03-01,56.00
1988-04-01,56.79
1988-05-01,58.02
1988-06-01,52.63
1988-07-01,54.94
1988-08-01,52.06
1988-09-01,56.89
1988-10-01,52.86
1988-11-01,54.28
1988-12-01,47.77
1989-01-01,56.52
1989-02-01,46.60
1989-03-01,56.76
1989-04-01,60.38
1989-05-01,59.93
1989-06-01,59.69
1989-07-01,60.77
1989-08-01,55.66
1989-09-01,58.68
1989-10-01,60.67
1989-11-01,54.86
1989-12-01,49.27
1990-01-01,53.50
1990-02-01,59.02
1990-03-01,56.93
1990-04-01,59.65
1990-05-01,58.78
1990-06-01,61.70
1990-07-01,54.25
1990-08-01,64.39
1990-09-01,59.48
1990-10-01,56.81
