Date,IZ32621
2005-12-01,100.00
2006-01-01,100.30
2006-02-01,100.40
2006-03-01,101.40
2006-04-01,102.20
2006-05-01,102.20
2006-06-01,103.20
2006-07-01,103.90
2006-08-01,106.00
2006-09-01,107.60
2006-10-01,107.40
2006-11-01,107.80
2006-12-01,107.80
2007-01-01,107.60
2007-02-01,107.80
2007-03-01,108.60
2007-04-01,108.70
2007-05-01,108.70
2007-06-01,108.70
2007-07-01,109.70
2007-08-01,109.90
2007-09-01,109.60
2007-10-01,110.50
2007-11-01,110.80
2007-12-01,111.20
2008-01-01,111.70
2008-02-01,111.80
2008-03-01,112.20
2008-04-01,112.30
2008-05-01,113.80
2008-06-01,114.40
2008-07-01,116.50
2008-08-01,116.60
2008-09-01,117.20
2008-10-01,118.40
2008-11-01,118.40
2008-12-01,119.00
2009-01-01,121.40
2009-02-01,121.40
2009-03-01,122.20
2009-04-01,121.70
2009-05-01,121.70
2009-06-01,121.70
2009-07-01,121.60
2009-08-01,121.60
2009-09-01,121.60
2009-10-01,121.30
2009-11-01,121.40
2009-12-01,121.50
2010-01-01,123.30
2010-02-01,123.20
2010-03-01,123.60
2010-04-01,123.00
2010-05-01,125.90
2010-06-01,127.00
2010-07-01,127.80
2010-08-01,128.00
2010-09-01,128.40
2010-10-01,129.00
2010-11-01,129.20
2010-12-01,129.50
2011-01-01,133.50
2011-02-01,133.70
2011-03-01,135.00
2011-04-01,139.60
2011-05-01,140.60
2011-06-01,140.90
2011-07-01,144.90
2011-08-01,145.20
2011-09-01,145.60
2011-10-01,148.20
2011-11-01,148.50
2011-12-01,148.40
2012-01-01,153.40
2012-02-01,153.30
2012-03-01,152.70
2012-04-01,152.50
2012-05-01,152.50
2012-06-01,152.30
2012-07-01,151.90
2012-08-01,152.40
2012-09-01,152.50
2012-10-01,152.10
2012-11-01,151.90
2012-12-01,151.70
2013-01-01,148.70
2013-02-01,148.50
2013-03-01,147.80
2013-04-01,146.70
2013-05-01,146.30
2013-06-01,145.20
2013-07-01,143.70
2013-08-01,142.80
2013-09-01,141.10
2013-10-01,140.40
2013-11-01,140.60
2013-12-01,140.70
2014-01-01,138.30
2014-02-01,137.80
2014-03-01,137.50
2014-04-01,137.00
2014-05-01,136.30
2014-06-01,136.00
2014-07-01,132.00
2014-08-01,132.00
2014-09-01,132.20
2014-10-01,132.00
2014-11-01,133.00
2014-12-01,134.20
2015-01-01,130.60
2015-02-01,129.90
2015-03-01,129.70
2015-04-01,129.00
2015-05-01,128.90
2015-06-01,128.70
2015-07-01,127.30
2015-08-01,127.30
2015-09-01,127.40
2015-10-01,127.00
2015-11-01,126.50
2015-12-01,125.80
2016-01-01,125.10
2016-02-01,125.50
2016-03-01,124.20
2016-04-01,123.50
2016-05-01,124.00
2016-06-01,124.20
2016-07-01,126.00
2016-08-01,126.20
2016-09-01,125.90
2016-10-01,125.30
2016-11-01,125.50
2016-12-01,125.40
2017-01-01,125.40
2017-02-01,125.10
2017-03-01,126.50
2017-04-01,128.20
2017-05-01,128.20
2017-06-01,127.30
2017-07-01,125.20
2017-08-01,125.80
2017-09-01,125.90
2017-10-01,125.80
2017-11-01,125.10
2017-12-01,125.10
2018-01-01,124.70
2018-02-01,126.00
2018-03-01,125.80
2018-04-01,127.10
2018-05-01,127.10
