Date,JTS7000HIL
2000-12-01,941000.00
2001-01-01,953000.00
2001-02-01,947000.00
2001-03-01,990000.00
2001-04-01,1031000.00
2001-05-01,945000.00
2001-06-01,901000.00
2001-07-01,944000.00
2001-08-01,862000.00
2001-09-01,916000.00
2001-10-01,838000.00
2001-11-01,819000.00
2001-12-01,809000.00
2002-01-01,800000.00
2002-02-01,891000.00
2002-03-01,793000.00
2002-04-01,817000.00
2002-05-01,792000.00
2002-06-01,792000.00
2002-07-01,816000.00
2002-08-01,839000.00
2002-09-01,809000.00
2002-10-01,795000.00
2002-11-01,809000.00
2002-12-01,829000.00
2003-01-01,869000.00
2003-02-01,798000.00
2003-03-01,761000.00
2003-04-01,806000.00
2003-05-01,822000.00
2003-06-01,816000.00
2003-07-01,774000.00
2003-08-01,804000.00
2003-09-01,810000.00
2003-10-01,822000.00
2003-11-01,815000.00
2003-12-01,879000.00
2004-01-01,825000.00
2004-02-01,827000.00
2004-03-01,912000.00
2004-04-01,840000.00
2004-05-01,869000.00
2004-06-01,850000.00
2004-07-01,844000.00
2004-08-01,862000.00
2004-09-01,886000.00
2004-10-01,884000.00
2004-11-01,840000.00
2004-12-01,862000.00
2005-01-01,904000.00
2005-02-01,853000.00
2005-03-01,872000.00
2005-04-01,875000.00
2005-05-01,870000.00
2005-06-01,928000.00
2005-07-01,916000.00
2005-08-01,911000.00
2005-09-01,936000.00
2005-10-01,873000.00
2005-11-01,944000.00
2005-12-01,903000.00
2006-01-01,944000.00
2006-02-01,1018000.00
2006-03-01,979000.00
2006-04-01,865000.00
2006-05-01,851000.00
2006-06-01,898000.00
2006-07-01,946000.00
2006-08-01,897000.00
2006-09-01,859000.00
2006-10-01,929000.00
2006-11-01,1004000.00
2006-12-01,972000.00
2007-01-01,919000.00
2007-02-01,960000.00
2007-03-01,916000.00
2007-04-01,964000.00
2007-05-01,920000.00
2007-06-01,934000.00
2007-07-01,915000.00
2007-08-01,905000.00
2007-09-01,911000.00
2007-10-01,934000.00
2007-11-01,902000.00
2007-12-01,905000.00
2008-01-01,865000.00
2008-02-01,952000.00
2008-03-01,840000.00
2008-04-01,846000.00
2008-05-01,873000.00
2008-06-01,804000.00
2008-07-01,799000.00
2008-08-01,774000.00
2008-09-01,775000.00
2008-10-01,789000.00
2008-11-01,685000.00
2008-12-01,705000.00
2009-01-01,688000.00
2009-02-01,698000.00
2009-03-01,633000.00
2009-04-01,631000.00
2009-05-01,677000.00
2009-06-01,643000.00
2009-07-01,654000.00
2009-08-01,650000.00
2009-09-01,621000.00
2009-10-01,607000.00
2009-11-01,669000.00
2009-12-01,620000.00
2010-01-01,641000.00
2010-02-01,602000.00
2010-03-01,658000.00
2010-04-01,666000.00
2010-05-01,648000.00
2010-06-01,650000.00
2010-07-01,672000.00
2010-08-01,652000.00
2010-09-01,666000.00
2010-10-01,651000.00
2010-11-01,625000.00
2010-12-01,635000.00
2011-01-01,619000.00
2011-02-01,647000.00
2011-03-01,752000.00
2011-04-01,692000.00
2011-05-01,654000.00
2011-06-01,728000.00
2011-07-01,726000.00
2011-08-01,727000.00
2011-09-01,745000.00
2011-10-01,729000.00
2011-11-01,784000.00
2011-12-01,730000.00
2012-01-01,785000.00
2012-02-01,752000.00
2012-03-01,829000.00
2012-04-01,752000.00
2012-05-01,745000.00
2012-06-01,724000.00
2012-07-01,744000.00
2012-08-01,791000.00
2012-09-01,730000.00
2012-10-01,755000.00
2012-11-01,735000.00
2012-12-01,783000.00
2013-01-01,793000.00
2013-02-01,793000.00
2013-03-01,794000.00
2013-04-01,863000.00
2013-05-01,799000.00
2013-06-01,805000.00
2013-07-01,788000.00
2013-08-01,771000.00
2013-09-01,825000.00
2013-10-01,804000.00
2013-11-01,776000.00
2013-12-01,781000.00
2014-01-01,828000.00
2014-02-01,875000.00
2014-03-01,829000.00
2014-04-01,857000.00
2014-05-01,883000.00
2014-06-01,882000.00
2014-07-01,868000.00
2014-08-01,838000.00
2014-09-01,904000.00
2014-10-01,905000.00
2014-11-01,932000.00
2014-12-01,934000.00
2015-01-01,902000.00
2015-02-01,931000.00
2015-03-01,930000.00
2015-04-01,948000.00
2015-05-01,970000.00
2015-06-01,930000.00
2015-07-01,942000.00
2015-08-01,1003000.00
2015-09-01,1005000.00
2015-10-01,1011000.00
2015-11-01,1005000.00
2015-12-01,1053000.00
2016-01-01,934000.00
2016-02-01,1079000.00
2016-03-01,1008000.00
2016-04-01,974000.00
2016-05-01,1018000.00
2016-06-01,1040000.00
2016-07-01,1019000.00
2016-08-01,1027000.00
2016-09-01,957000.00
2016-10-01,993000.00
2016-11-01,1066000.00
2016-12-01,1041000.00
2017-01-01,1012000.00
2017-02-01,998000.00
2017-03-01,1007000.00
2017-04-01,994000.00
2017-05-01,986000.00
2017-06-01,1032000.00
2017-07-01,1030000.00
2017-08-01,1002000.00
2017-09-01,993000.00
2017-10-01,1074000.00
2017-11-01,1038000.00
2017-12-01,1021000.00
2018-01-01,1027000.00
2018-02-01,1028000.00
2018-03-01,1013000.00
2018-04-01,1036000.00
