Date,JTSTSL
2000-12-01,5235000.00
2001-01-01,6066000.00
2001-02-01,5383000.00
2001-03-01,5655000.00
2001-04-01,5545000.00
2001-05-01,5439000.00
2001-06-01,5252000.00
2001-07-01,5303000.00
2001-08-01,5142000.00
2001-09-01,5169000.00
2001-10-01,5501000.00
2001-11-01,5053000.00
2001-12-01,4783000.00
2002-01-01,5202000.00
2002-02-01,4953000.00
2002-03-01,4609000.00
2002-04-01,5027000.00
2002-05-01,4979000.00
2002-06-01,4793000.00
2002-07-01,5119000.00
2002-08-01,4860000.00
2002-09-01,4890000.00
2002-10-01,4805000.00
2002-11-01,4761000.00
2002-12-01,4918000.00
2003-01-01,5015000.00
2003-02-01,4779000.00
2003-03-01,4586000.00
2003-04-01,4781000.00
2003-05-01,4671000.00
2003-06-01,4783000.00
2003-07-01,4750000.00
2003-08-01,4747000.00
2003-09-01,4752000.00
2003-10-01,4789000.00
2003-11-01,4611000.00
2003-12-01,4732000.00
2004-01-01,4795000.00
2004-02-01,4571000.00
2004-03-01,4874000.00
2004-04-01,4900000.00
2004-05-01,4654000.00
2004-06-01,4881000.00
2004-07-01,4885000.00
2004-08-01,4985000.00
2004-09-01,4807000.00
2004-10-01,4781000.00
2004-11-01,5098000.00
2004-12-01,4991000.00
2005-01-01,5177000.00
2005-02-01,5006000.00
2005-03-01,5071000.00
2005-04-01,4970000.00
2005-05-01,5105000.00
2005-06-01,5074000.00
2005-07-01,4917000.00
2005-08-01,5220000.00
2005-09-01,5305000.00
2005-10-01,4960000.00
2005-11-01,4949000.00
2005-12-01,4945000.00
2006-01-01,5043000.00
2006-02-01,4983000.00
2006-03-01,5037000.00
2006-04-01,5012000.00
2006-05-01,5417000.00
2006-06-01,5136000.00
2006-07-01,5183000.00
2006-08-01,5001000.00
2006-09-01,5007000.00
2006-10-01,5171000.00
2006-11-01,5291000.00
2006-12-01,5108000.00
2007-01-01,5144000.00
2007-02-01,5094000.00
2007-03-01,5123000.00
2007-04-01,5138000.00
2007-05-01,5080000.00
2007-06-01,5065000.00
2007-07-01,5118000.00
2007-08-01,5105000.00
2007-09-01,5031000.00
2007-10-01,5129000.00
2007-11-01,5031000.00
2007-12-01,4926000.00
2008-01-01,5005000.00
2008-02-01,5010000.00
2008-03-01,4762000.00
2008-04-01,5121000.00
2008-05-01,4728000.00
2008-06-01,4900000.00
2008-07-01,4713000.00
2008-08-01,4815000.00
2008-09-01,4751000.00
2008-10-01,4895000.00
2008-11-01,4605000.00
2008-12-01,4814000.00
2009-01-01,4974000.00
2009-02-01,4674000.00
2009-03-01,4536000.00
2009-04-01,4655000.00
2009-05-01,4146000.00
2009-06-01,4192000.00
2009-07-01,4297000.00
2009-08-01,4060000.00
2009-09-01,4084000.00
2009-10-01,3951000.00
2009-11-01,3873000.00
2009-12-01,3989000.00
2010-01-01,3894000.00
2010-02-01,3830000.00
2010-03-01,3949000.00
2010-04-01,3892000.00
2010-05-01,3831000.00
2010-06-01,4223000.00
2010-07-01,4278000.00
2010-08-01,4009000.00
2010-09-01,4026000.00
2010-10-01,3784000.00
2010-11-01,3843000.00
2010-12-01,4026000.00
2011-01-01,3908000.00
2011-02-01,3838000.00
2011-03-01,3980000.00
2011-04-01,3924000.00
2011-05-01,4035000.00
2011-06-01,4094000.00
2011-07-01,4082000.00
2011-08-01,4120000.00
2011-09-01,4115000.00
2011-10-01,4011000.00
2011-11-01,4001000.00
2011-12-01,3994000.00
2012-01-01,4010000.00
2012-02-01,4175000.00
2012-03-01,4134000.00
2012-04-01,4260000.00
2012-05-01,4336000.00
2012-06-01,4367000.00
2012-07-01,4138000.00
2012-08-01,4360000.00
2012-09-01,4059000.00
2012-10-01,4194000.00
2012-11-01,4171000.00
2012-12-01,4038000.00
2013-01-01,4288000.00
2013-02-01,4183000.00
2013-03-01,4117000.00
2013-04-01,4371000.00
2013-05-01,4358000.00
2013-06-01,4299000.00
2013-07-01,4392000.00
2013-08-01,4531000.00
2013-09-01,4514000.00
2013-10-01,4297000.00
2013-11-01,4271000.00
2013-12-01,4298000.00
2014-01-01,4457000.00
2014-02-01,4428000.00
2014-03-01,4468000.00
2014-04-01,4519000.00
2014-05-01,4549000.00
2014-06-01,4560000.00
2014-07-01,4786000.00
2014-08-01,4641000.00
2014-09-01,4862000.00
2014-10-01,4938000.00
2014-11-01,4611000.00
2014-12-01,4770000.00
2015-01-01,4847000.00
2015-02-01,4711000.00
2015-03-01,4998000.00
2015-04-01,4895000.00
2015-05-01,4785000.00
2015-06-01,5012000.00
2015-07-01,4863000.00
2015-08-01,5004000.00
2015-09-01,5052000.00
2015-10-01,4990000.00
2015-11-01,4978000.00
2015-12-01,5175000.00
2016-01-01,5048000.00
2016-02-01,5182000.00
2016-03-01,5037000.00
2016-04-01,5119000.00
2016-05-01,5129000.00
2016-06-01,5033000.00
2016-07-01,5052000.00
2016-08-01,5191000.00
2016-09-01,4990000.00
2016-10-01,5070000.00
2016-11-01,5042000.00
2016-12-01,5022000.00
2017-01-01,5224000.00
2017-02-01,5031000.00
2017-03-01,5172000.00
2017-04-01,5111000.00
2017-05-01,5266000.00
2017-06-01,5296000.00
2017-07-01,5407000.00
2017-08-01,5346000.00
2017-09-01,5344000.00
2017-10-01,5273000.00
2017-11-01,5254000.00
2017-12-01,5314000.00
2018-01-01,5319000.00
2018-02-01,5173000.00
2018-03-01,5322000.00
2018-04-01,5408000.00
