Date,JTU2300TSL
2000-12-01,474000.00
2001-01-01,546000.00
2001-02-01,458000.00
2001-03-01,412000.00
2001-04-01,429000.00
2001-05-01,388000.00
2001-06-01,414000.00
2001-07-01,458000.00
2001-08-01,472000.00
2001-09-01,431000.00
2001-10-01,503000.00
2001-11-01,510000.00
2001-12-01,453000.00
2002-01-01,513000.00
2002-02-01,383000.00
2002-03-01,354000.00
2002-04-01,415000.00
2002-05-01,374000.00
2002-06-01,373000.00
2002-07-01,488000.00
2002-08-01,430000.00
2002-09-01,446000.00
2002-10-01,504000.00
2002-11-01,402000.00
2002-12-01,465000.00
2003-01-01,537000.00
2003-02-01,356000.00
2003-03-01,345000.00
2003-04-01,379000.00
2003-05-01,369000.00
2003-06-01,388000.00
2003-07-01,457000.00
2003-08-01,522000.00
2003-09-01,440000.00
2003-10-01,493000.00
2003-11-01,471000.00
2003-12-01,451000.00
2004-01-01,518000.00
2004-02-01,394000.00
2004-03-01,382000.00
2004-04-01,396000.00
2004-05-01,336000.00
2004-06-01,404000.00
2004-07-01,417000.00
2004-08-01,466000.00
2004-09-01,428000.00
2004-10-01,485000.00
2004-11-01,452000.00
2004-12-01,440000.00
2005-01-01,595000.00
2005-02-01,387000.00
2005-03-01,338000.00
2005-04-01,387000.00
2005-05-01,405000.00
2005-06-01,380000.00
2005-07-01,421000.00
2005-08-01,535000.00
2005-09-01,502000.00
2005-10-01,509000.00
2005-11-01,431000.00
2005-12-01,500000.00
2006-01-01,523000.00
2006-02-01,357000.00
2006-03-01,375000.00
2006-04-01,390000.00
2006-05-01,417000.00
2006-06-01,364000.00
2006-07-01,454000.00
2006-08-01,450000.00
2006-09-01,393000.00
2006-10-01,484000.00
2006-11-01,490000.00
2006-12-01,456000.00
2007-01-01,488000.00
2007-02-01,360000.00
2007-03-01,309000.00
2007-04-01,381000.00
2007-05-01,360000.00
2007-06-01,352000.00
2007-07-01,459000.00
2007-08-01,499000.00
2007-09-01,419000.00
2007-10-01,461000.00
2007-11-01,422000.00
2007-12-01,443000.00
2008-01-01,499000.00
2008-02-01,344000.00
2008-03-01,363000.00
2008-04-01,442000.00
2008-05-01,351000.00
2008-06-01,382000.00
2008-07-01,434000.00
2008-08-01,488000.00
2008-09-01,400000.00
2008-10-01,498000.00
2008-11-01,499000.00
2008-12-01,497000.00
2009-01-01,611000.00
2009-02-01,382000.00
2009-03-01,389000.00
2009-04-01,443000.00
2009-05-01,339000.00
2009-06-01,298000.00
2009-07-01,429000.00
2009-08-01,360000.00
2009-09-01,387000.00
2009-10-01,416000.00
2009-11-01,342000.00
2009-12-01,425000.00
2010-01-01,481000.00
2010-02-01,297000.00
2010-03-01,310000.00
2010-04-01,335000.00
2010-05-01,300000.00
2010-06-01,243000.00
2010-07-01,361000.00
2010-08-01,350000.00
2010-09-01,343000.00
2010-10-01,375000.00
2010-11-01,354000.00
2010-12-01,466000.00
2011-01-01,386000.00
2011-02-01,270000.00
2011-03-01,293000.00
2011-04-01,342000.00
2011-05-01,307000.00
2011-06-01,319000.00
2011-07-01,340000.00
2011-08-01,354000.00
2011-09-01,345000.00
2011-10-01,351000.00
2011-11-01,321000.00
2011-12-01,339000.00
2012-01-01,372000.00
2012-02-01,277000.00
2012-03-01,255000.00
2012-04-01,285000.00
2012-05-01,306000.00
2012-06-01,298000.00
2012-07-01,359000.00
2012-08-01,348000.00
2012-09-01,344000.00
2012-10-01,330000.00
2012-11-01,410000.00
2012-12-01,300000.00
2013-01-01,362000.00
2013-02-01,278000.00
2013-03-01,291000.00
2013-04-01,280000.00
2013-05-01,272000.00
2013-06-01,277000.00
2013-07-01,312000.00
2013-08-01,313000.00
2013-09-01,289000.00
2013-10-01,341000.00
2013-11-01,293000.00
2013-12-01,336000.00
2014-01-01,268000.00
2014-02-01,208000.00
2014-03-01,201000.00
2014-04-01,238000.00
2014-05-01,270000.00
2014-06-01,242000.00
2014-07-01,353000.00
2014-08-01,337000.00
2014-09-01,270000.00
2014-10-01,332000.00
2014-11-01,314000.00
2014-12-01,403000.00
2015-01-01,359000.00
2015-02-01,257000.00
2015-03-01,287000.00
2015-04-01,266000.00
2015-05-01,252000.00
2015-06-01,298000.00
2015-07-01,291000.00
2015-08-01,343000.00
2015-09-01,326000.00
2015-10-01,314000.00
2015-11-01,297000.00
2015-12-01,303000.00
2016-01-01,319000.00
2016-02-01,285000.00
2016-03-01,281000.00
2016-04-01,319000.00
2016-05-01,301000.00
2016-06-01,257000.00
2016-07-01,335000.00
2016-08-01,373000.00
2016-09-01,289000.00
2016-10-01,350000.00
2016-11-01,322000.00
2016-12-01,469000.00
2017-01-01,402000.00
2017-02-01,278000.00
2017-03-01,322000.00
2017-04-01,362000.00
2017-05-01,326000.00
2017-06-01,299000.00
2017-07-01,395000.00
2017-08-01,410000.00
2017-09-01,381000.00
2017-10-01,379000.00
2017-11-01,323000.00
2017-12-01,303000.00
2018-01-01,370000.00
2018-02-01,239000.00
2018-03-01,313000.00
2018-04-01,320000.00
