Date,JTUHIL
2000-12-01,4053000.00
2001-01-01,5862000.00
2001-02-01,4486000.00
2001-03-01,5264000.00
2001-04-01,5946000.00
2001-05-01,5841000.00
2001-06-01,5776000.00
2001-07-01,5730000.00
2001-08-01,5421000.00
2001-09-01,5208000.00
2001-10-01,5414000.00
2001-11-01,4253000.00
2001-12-01,3526000.00
2002-01-01,4903000.00
2002-02-01,3985000.00
2002-03-01,4326000.00
2002-04-01,5480000.00
2002-05-01,5334000.00
2002-06-01,5478000.00
2002-07-01,5538000.00
2002-08-01,5238000.00
2002-09-01,5049000.00
2002-10-01,5153000.00
2002-11-01,4274000.00
2002-12-01,3658000.00
2003-01-01,4983000.00
2003-02-01,3833000.00
2003-03-01,4140000.00
2003-04-01,5221000.00
2003-05-01,4999000.00
2003-06-01,5431000.00
2003-07-01,5203000.00
2003-08-01,4985000.00
2003-09-01,5058000.00
2003-10-01,5226000.00
2003-11-01,4125000.00
2003-12-01,3715000.00
2004-01-01,4771000.00
2004-02-01,3824000.00
2004-03-01,4902000.00
2004-04-01,5652000.00
2004-05-01,5356000.00
2004-06-01,5686000.00
2004-07-01,5381000.00
2004-08-01,5540000.00
2004-09-01,5218000.00
2004-10-01,5413000.00
2004-11-01,4591000.00
2004-12-01,3902000.00
2005-01-01,5109000.00
2005-02-01,4325000.00
2005-03-01,4913000.00
2005-04-01,5821000.00
2005-05-01,5729000.00
2005-06-01,6130000.00
2005-07-01,5793000.00
2005-08-01,5903000.00
2005-09-01,5653000.00
2005-10-01,5298000.00
2005-11-01,4682000.00
2005-12-01,3733000.00
2006-01-01,5049000.00
2006-02-01,4357000.00
2006-03-01,5050000.00
2006-04-01,5612000.00
2006-05-01,5931000.00
2006-06-01,6087000.00
2006-07-01,5919000.00
2006-08-01,5772000.00
2006-09-01,5502000.00
2006-10-01,5515000.00
2006-11-01,4915000.00
2006-12-01,3782000.00
2007-01-01,5066000.00
2007-02-01,4250000.00
2007-03-01,5036000.00
2007-04-01,5647000.00
2007-05-01,5758000.00
2007-06-01,6042000.00
2007-07-01,5619000.00
2007-08-01,5662000.00
2007-09-01,5404000.00
2007-10-01,5570000.00
2007-11-01,4616000.00
2007-12-01,3569000.00
2008-01-01,4705000.00
2008-02-01,4038000.00
2008-03-01,4444000.00
2008-04-01,5351000.00
2008-05-01,5058000.00
2008-06-01,5521000.00
2008-07-01,4957000.00
2008-08-01,4964000.00
2008-09-01,4500000.00
2008-10-01,4726000.00
2008-11-01,3499000.00
2008-12-01,3001000.00
2009-01-01,4005000.00
2009-02-01,3280000.00
2009-03-01,3481000.00
2009-04-01,4228000.00
2009-05-01,4187000.00
2009-06-01,4301000.00
2009-07-01,4295000.00
2009-08-01,4185000.00
2009-09-01,4007000.00
2009-10-01,3990000.00
2009-11-01,3541000.00
2009-12-01,2690000.00
2010-01-01,3735000.00
2010-02-01,3084000.00
2010-03-01,3911000.00
2010-04-01,4510000.00
2010-05-01,4815000.00
2010-06-01,4735000.00
2010-07-01,4553000.00
2010-08-01,4317000.00
2010-09-01,4131000.00
2010-10-01,4279000.00
2010-11-01,3657000.00
2010-12-01,2932000.00
2011-01-01,3772000.00
2011-02-01,3313000.00
2011-03-01,4040000.00
2011-04-01,4641000.00
2011-05-01,4617000.00
2011-06-01,5006000.00
2011-07-01,4552000.00
2011-08-01,4602000.00
2011-09-01,4467000.00
2011-10-01,4432000.00
2011-11-01,3814000.00
2011-12-01,2997000.00
2012-01-01,4140000.00
2012-02-01,3627000.00
2012-03-01,4182000.00
2012-04-01,4697000.00
2012-05-01,4968000.00
2012-06-01,5151000.00
2012-07-01,4672000.00
2012-08-01,4910000.00
2012-09-01,4396000.00
2012-10-01,4513000.00
2012-11-01,3979000.00
2012-12-01,3097000.00
2013-01-01,4277000.00
2013-02-01,3683000.00
2013-03-01,4026000.00
2013-04-01,4948000.00
2013-05-01,5140000.00
2013-06-01,5077000.00
2013-07-01,4898000.00
2013-08-01,5251000.00
2013-09-01,4812000.00
2013-10-01,4697000.00
2013-11-01,4221000.00
2013-12-01,3267000.00
2014-01-01,4462000.00
2014-02-01,3831000.00
2014-03-01,4439000.00
2014-04-01,5232000.00
2014-05-01,5412000.00
2014-06-01,5509000.00
2014-07-01,5365000.00
2014-08-01,5274000.00
2014-09-01,5252000.00
2014-10-01,5442000.00
2014-11-01,4673000.00
2014-12-01,3738000.00
2015-01-01,4832000.00
2015-02-01,4154000.00
2015-03-01,4777000.00
2015-04-01,5554000.00
2015-05-01,5749000.00
2015-06-01,5856000.00
2015-07-01,5492000.00
2015-08-01,5706000.00
2015-09-01,5246000.00
2015-10-01,5659000.00
2015-11-01,4935000.00
2015-12-01,4067000.00
2016-01-01,4926000.00
2016-02-01,4533000.00
2016-03-01,4971000.00
2016-04-01,5647000.00
2016-05-01,5822000.00
2016-06-01,6008000.00
2016-07-01,5724000.00
2016-08-01,5894000.00
2016-09-01,5381000.00
2016-10-01,5569000.00
2016-11-01,4867000.00
2016-12-01,3898000.00
2017-01-01,5249000.00
2017-02-01,4352000.00
2017-03-01,4985000.00
2017-04-01,5633000.00
2017-05-01,6099000.00
2017-06-01,6272000.00
2017-07-01,5924000.00
2017-08-01,6123000.00
2017-09-01,5459000.00
2017-10-01,5975000.00
2017-11-01,5077000.00
2017-12-01,4111000.00
2018-01-01,5355000.00
2018-02-01,4612000.00
2018-03-01,5139000.00
2018-04-01,5990000.00
