Date,LMJVTTUVUSM647N
2000-12-01,4391000.00
2001-01-01,5569000.00
2001-02-01,4443000.00
2001-03-01,4465000.00
2001-04-01,5213000.00
2001-05-01,4515000.00
2001-06-01,4162000.00
2001-07-01,4778000.00
2001-08-01,4143000.00
2001-09-01,3960000.00
2001-10-01,3872000.00
2001-11-01,3132000.00
2001-12-01,3059000.00
2002-01-01,3930000.00
2002-02-01,3176000.00
2002-03-01,3458000.00
2002-04-01,3781000.00
2002-05-01,3575000.00
2002-06-01,3259000.00
2002-07-01,3676000.00
2002-08-01,3504000.00
2002-09-01,3307000.00
2002-10-01,3800000.00
2002-11-01,3157000.00
2002-12-01,2634000.00
2003-01-01,3953000.00
2003-02-01,3192000.00
2003-03-01,2981000.00
2003-04-01,3641000.00
2003-05-01,3205000.00
2003-06-01,3235000.00
2003-07-01,3517000.00
2003-08-01,3293000.00
2003-09-01,3068000.00
2003-10-01,3461000.00
2003-11-01,2924000.00
2003-12-01,2917000.00
2004-01-01,3585000.00
2004-02-01,3223000.00
2004-03-01,3312000.00
2004-04-01,3922000.00
2004-05-01,3643000.00
2004-06-01,3317000.00
2004-07-01,4177000.00
2004-08-01,3637000.00
2004-09-01,3714000.00
2004-10-01,4047000.00
2004-11-01,3005000.00
2004-12-01,3342000.00
2005-01-01,3775000.00
2005-02-01,3669000.00
2005-03-01,3767000.00
2005-04-01,4538000.00
2005-05-01,3879000.00
2005-06-01,3908000.00
2005-07-01,4580000.00
2005-08-01,4096000.00
2005-09-01,4204000.00
2005-10-01,4524000.00
2005-11-01,3989000.00
2005-12-01,3770000.00
2006-01-01,4412000.00
2006-02-01,4049000.00
2006-03-01,4409000.00
2006-04-01,4975000.00
2006-05-01,4388000.00
2006-06-01,4256000.00
2006-07-01,4401000.00
2006-08-01,4587000.00
2006-09-01,4491000.00
2006-10-01,4690000.00
2006-11-01,4113000.00
2006-12-01,3999000.00
2007-01-01,4717000.00
2007-02-01,4288000.00
2007-03-01,4583000.00
2007-04-01,5070000.00
2007-05-01,4564000.00
2007-06-01,4532000.00
2007-07-01,4727000.00
2007-08-01,4586000.00
2007-09-01,4504000.00
2007-10-01,4482000.00
2007-11-01,3943000.00
2007-12-01,3860000.00
2008-01-01,4366000.00
2008-02-01,3863000.00
2008-03-01,3920000.00
2008-04-01,4317000.00
2008-05-01,3974000.00
2008-06-01,3721000.00
2008-07-01,4040000.00
2008-08-01,3699000.00
2008-09-01,3274000.00
2008-10-01,3451000.00
2008-11-01,2769000.00
2008-12-01,2571000.00
2009-01-01,2868000.00
2009-02-01,2632000.00
2009-03-01,2429000.00
2009-04-01,2533000.00
2009-05-01,2427000.00
2009-06-01,2408000.00
2009-07-01,2373000.00
2009-08-01,2356000.00
2009-09-01,2493000.00
2009-10-01,2553000.00
2009-11-01,2164000.00
2009-12-01,2145000.00
2010-01-01,2744000.00
2010-02-01,2435000.00
2010-03-01,2610000.00
2010-04-01,3408000.00
2010-05-01,2893000.00
2010-06-01,2662000.00
2010-07-01,3137000.00
2010-08-01,2961000.00
2010-09-01,2789000.00
2010-10-01,3194000.00
2010-11-01,2710000.00
2010-12-01,2553000.00
2011-01-01,3036000.00
2011-02-01,2906000.00
2011-03-01,3081000.00
2011-04-01,3486000.00
2011-05-01,3110000.00
2011-06-01,3234000.00
2011-07-01,3647000.00
2011-08-01,3236000.00
2011-09-01,3505000.00
2011-10-01,3594000.00
2011-11-01,2935000.00
2011-12-01,3048000.00
2012-01-01,3769000.00
2012-02-01,3341000.00
2012-03-01,3796000.00
2012-04-01,3893000.00
2012-05-01,3692000.00
2012-06-01,3791000.00
2012-07-01,3901000.00
2012-08-01,3738000.00
2012-09-01,3542000.00
2012-10-01,3906000.00
2012-11-01,3303000.00
2012-12-01,3213000.00
2013-01-01,3797000.00
2013-02-01,3778000.00
2013-03-01,3868000.00
2013-04-01,4207000.00
2013-05-01,3887000.00
2013-06-01,3897000.00
2013-07-01,4105000.00
2013-08-01,4028000.00
2013-09-01,3974000.00
2013-10-01,4317000.00
2013-11-01,3601000.00
2013-12-01,3407000.00
2014-01-01,3954000.00
2014-02-01,3961000.00
2014-03-01,4140000.00
2014-04-01,4851000.00
2014-05-01,4619000.00
2014-06-01,4656000.00
2014-07-01,4873000.00
2014-08-01,5076000.00
2014-09-01,4629000.00
2014-10-01,5166000.00
2014-11-01,4459000.00
2014-12-01,4413000.00
2015-01-01,5068000.00
2015-02-01,4978000.00
2015-03-01,5102000.00
2015-04-01,5982000.00
2015-05-01,5431000.00
2015-06-01,5128000.00
2015-07-01,6139000.00
2015-08-01,5494000.00
2015-09-01,5400000.00
2015-10-01,5774000.00
2015-11-01,4969000.00
2015-12-01,4972000.00
2016-01-01,5684000.00
2016-02-01,5429000.00
2016-03-01,5829000.00
2016-04-01,6286000.00
2016-05-01,5707000.00
2016-06-01,5602000.00
2016-07-01,6269000.00
2016-08-01,5642000.00
2016-09-01,5686000.00
2016-10-01,5732000.00
2016-11-01,5361000.00
2016-12-01,5044000.00
2017-01-01,5392000.00
2017-02-01,5440000.00
2017-03-01,5476000.00
2017-04-01,6511000.00
2017-05-01,5696000.00
2017-06-01,6070000.00
2017-07-01,6500000.00
2017-08-01,6166000.00
2017-09-01,6265000.00
2017-10-01,6306000.00
2017-11-01,5673000.00
2017-12-01,5222000.00
2018-01-01,6151000.00
2018-02-01,5897000.00
2018-03-01,6469000.00
