Date,MSPNHSUS
1963-01-01,17200.00
1963-02-01,17700.00
1963-03-01,18200.00
1963-04-01,18200.00
1963-05-01,17500.00
1963-06-01,18000.00
1963-07-01,18400.00
1963-08-01,17800.00
1963-09-01,17900.00
1963-10-01,17600.00
1963-11-01,18400.00
1963-12-01,18700.00
1964-01-01,17800.00
1964-02-01,18000.00
1964-03-01,19000.00
1964-04-01,18800.00
1964-05-01,19300.00
1964-06-01,18800.00
1964-07-01,19100.00
1964-08-01,18900.00
1964-09-01,18900.00
1964-10-01,18900.00
1964-11-01,19300.00
1964-12-01,21000.00
1965-01-01,20700.00
1965-02-01,20400.00
1965-03-01,19800.00
1965-04-01,19900.00
1965-05-01,19600.00
1965-06-01,19800.00
1965-07-01,21000.00
1965-08-01,20200.00
1965-09-01,19600.00
1965-10-01,19900.00
1965-11-01,20600.00
1965-12-01,20300.00
1966-01-01,21200.00
1966-02-01,20900.00
1966-03-01,20800.00
1966-04-01,23000.00
1966-05-01,22300.00
1966-06-01,21200.00
1966-07-01,21800.00
1966-08-01,20700.00
1966-09-01,22200.00
1966-10-01,20800.00
1966-11-01,21700.00
1966-12-01,21700.00
1967-01-01,22200.00
1967-02-01,22400.00
1967-03-01,22400.00
1967-04-01,22300.00
1967-05-01,23700.00
1967-06-01,23900.00
1967-07-01,23300.00
1967-08-01,21700.00
1967-09-01,22800.00
1967-10-01,22300.00
1967-11-01,23100.00
1967-12-01,22200.00
1968-01-01,23400.00
1968-02-01,23500.00
1968-03-01,24600.00
1968-04-01,24500.00
1968-05-01,25300.00
1968-06-01,25400.00
1968-07-01,24600.00
1968-08-01,25000.00
1968-09-01,25000.00
1968-10-01,25600.00
1968-11-01,24600.00
1968-12-01,26500.00
1969-01-01,24600.00
1969-02-01,26000.00
1969-03-01,26200.00
1969-04-01,25900.00
1969-05-01,26900.00
1969-06-01,25200.00
1969-07-01,26800.00
1969-08-01,24900.00
1969-09-01,26000.00
1969-10-01,24400.00
1969-11-01,24900.00
1969-12-01,25100.00
1970-01-01,23600.00
1970-02-01,24100.00
1970-03-01,24100.00
1970-04-01,24200.00
1970-05-01,25700.00
1970-06-01,23800.00
1970-07-01,22900.00
1970-08-01,23500.00
1970-09-01,22600.00
1970-10-01,22100.00
1970-11-01,23500.00
1970-12-01,22300.00
1971-01-01,23900.00
1971-02-01,24500.00
1971-03-01,24300.00
1971-04-01,25800.00
1971-05-01,25500.00
1971-06-01,26100.00
1971-07-01,25200.00
1971-08-01,25300.00
1971-09-01,25400.00
1971-10-01,25600.00
1971-11-01,25700.00
1971-12-01,25300.00
1972-01-01,24700.00
1972-02-01,26500.00
1972-03-01,27400.00
1972-04-01,26700.00
1972-05-01,27000.00
1972-06-01,26800.00
1972-07-01,27700.00
1972-08-01,28100.00
1972-09-01,28000.00
1972-10-01,28900.00
1972-11-01,29100.00
1972-12-01,29700.00
1973-01-01,29900.00
1973-02-01,29700.00
1973-03-01,31400.00
1973-04-01,32800.00
1973-05-01,32000.00
1973-06-01,33100.00
1973-07-01,34200.00
1973-08-01,33200.00
1973-09-01,33200.00
1973-10-01,33300.00
1973-11-01,34000.00
1973-12-01,35700.00
1974-01-01,34200.00
1974-02-01,34900.00
1974-03-01,36000.00
1974-04-01,35700.00
1974-05-01,35700.00
1974-06-01,35100.00
1974-07-01,36800.00
1974-08-01,35700.00
1974-09-01,36200.00
1974-10-01,37200.00
1974-11-01,37300.00
1974-12-01,37400.00
1975-01-01,37200.00
1975-02-01,37900.00
1975-03-01,38800.00
1975-04-01,39200.00
1975-05-01,39500.00
1975-06-01,37900.00
1975-07-01,38600.00
1975-08-01,38200.00
1975-09-01,39700.00
1975-10-01,40700.00
1975-11-01,41100.00
1975-12-01,42100.00
1976-01-01,41600.00
1976-02-01,42700.00
1976-03-01,43600.00
1976-04-01,43300.00
1976-05-01,43600.00
1976-06-01,46100.00
1976-07-01,44600.00
1976-08-01,44200.00
1976-09-01,44700.00
1976-10-01,45300.00
1976-11-01,45800.00
1976-12-01,45900.00
1977-01-01,45500.00
1977-02-01,47400.00
1977-03-01,46200.00
1977-04-01,48700.00
1977-05-01,49300.00
1977-06-01,48700.00
1977-07-01,48600.00
1977-08-01,49000.00
1977-09-01,48500.00
1977-10-01,51400.00
1977-11-01,51800.00
1977-12-01,52700.00
1978-01-01,52300.00
1978-02-01,53200.00
1978-03-01,53200.00
1978-04-01,53300.00
1978-05-01,55700.00
1978-06-01,56700.00
1978-07-01,54800.00
1978-08-01,56100.00
1978-09-01,57300.00
1978-10-01,58300.00
1978-11-01,58700.00
1978-12-01,59900.00
1979-01-01,60300.00
1979-02-01,61200.00
1979-03-01,60400.00
1979-04-01,62600.00
1979-05-01,62800.00
1979-06-01,64200.00
1979-07-01,63800.00
1979-08-01,64000.00
1979-09-01,66000.00
1979-10-01,62300.00
1979-11-01,63900.00
1979-12-01,61500.00
1980-01-01,62900.00
1980-02-01,64900.00
1980-03-01,62600.00
1980-04-01,63100.00
1980-05-01,63100.00
1980-06-01,64900.00
1980-07-01,64000.00
1980-08-01,63400.00
1980-09-01,68300.00
1980-10-01,65600.00
1980-11-01,66700.00
1980-12-01,67000.00
1981-01-01,67600.00
1981-02-01,66200.00
1981-03-01,66700.00
1981-04-01,68700.00
1981-05-01,70800.00
1981-06-01,68800.00
1981-07-01,69500.00
1981-08-01,72600.00
1981-09-01,65800.00
1981-10-01,69600.00
1981-11-01,71200.00
1981-12-01,68400.00
1982-01-01,66200.00
1982-02-01,65700.00
