Date,MTSR133FMS
1980-10-01,38923000000.00
1980-11-01,39175000000.00
1980-12-01,48904000000.00
1981-01-01,51147000000.00
1981-02-01,38129000000.00
1981-03-01,44357000000.00
1981-04-01,74188000000.00
1981-05-01,38243000000.00
1981-06-01,70429000000.00
1981-07-01,47829000000.00
1981-08-01,47669000000.00
1981-09-01,60279000000.00
1981-10-01,45467000000.00
1981-11-01,44317000000.00
1981-12-01,57407000000.00
1982-01-01,55269000000.00
1982-02-01,43042000000.00
1982-03-01,45291000000.00
1982-04-01,75777000000.00
1982-05-01,36753000000.00
1982-06-01,66353000000.00
1982-07-01,44675000000.00
1982-08-01,44924000000.00
1982-09-01,59694000000.00
1982-10-01,40539000000.00
1982-11-01,42007000000.00
1982-12-01,54498000000.00
1983-01-01,57505000000.00
1983-02-01,38816000000.00
1983-03-01,43504000000.00
1983-04-01,66234000000.00
1983-05-01,33755000000.00
1983-06-01,66517000000.00
1983-07-01,43948000000.00
1983-08-01,49683000000.00
1983-09-01,63556000000.00
1983-10-01,45157000000.00
1983-11-01,46202000000.00
1983-12-01,58044000000.00
1984-01-01,62537000000.00
1984-02-01,47886000000.00
1984-03-01,44464000000.00
1984-04-01,80180000000.00
1984-05-01,37459000000.00
1984-06-01,69282000000.00
1984-07-01,52017000000.00
1984-08-01,55209000000.00
1984-09-01,68019000000.00
1984-10-01,52251000000.00
1984-11-01,51494000000.00
1984-12-01,62404000000.00
1985-01-01,70454000000.00
1985-02-01,54049000000.00
1985-03-01,49613000000.00
1985-04-01,94599000000.00
1985-05-01,39794000000.00
1985-06-01,72151000000.00
1985-07-01,57650000000.00
1985-08-01,55781000000.00
1985-09-01,73811000000.00
1985-10-01,57886000000.00
1985-11-01,51166000000.00
1985-12-01,68196000000.00
1986-01-01,76698000000.00
1986-02-01,53370000000.00
1986-03-01,49557000000.00
1986-04-01,91438000000.00
1986-05-01,46246000000.00
1986-06-01,77024000000.00
1986-07-01,62974000000.00
1986-08-01,56523000000.00
1986-09-01,78013000000.00
1986-10-01,59012000000.00
1986-11-01,52967000000.00
1986-12-01,78035000000.00
1987-01-01,81771000000.00
1987-02-01,55463000000.00
1987-03-01,56515000000.00
1987-04-01,122897000000.00
1987-05-01,47691000000.00
1987-06-01,82945000000.00
1987-07-01,64223000000.00
1987-08-01,60213000000.00
1987-09-01,92410000000.00
1987-10-01,62295000000.00
1987-11-01,56915000000.00
1987-12-01,85469000000.00
1988-01-01,81740000000.00
1988-02-01,60279000000.00
1988-03-01,65664000000.00
1988-04-01,109266000000.00
1988-05-01,59635000000.00
1988-06-01,99140000000.00
1988-07-01,60631000000.00
1988-08-01,69390000000.00
1988-09-01,97742000000.00
1988-10-01,63582000000.00
1988-11-01,64330000000.00
1988-12-01,93655000000.00
1989-01-01,89306000000.00
1989-02-01,61897000000.00
1989-03-01,68205000000.00
1989-04-01,128892000000.00
1989-05-01,71025000000.00
1989-06-01,108249000000.00
1989-07-01,66191000000.00
1989-08-01,76136000000.00
1989-09-01,99233000000.00
1989-10-01,68420000000.00
1989-11-01,71174000000.00
1989-12-01,89122000000.00
1990-01-01,99524000000.00
1990-02-01,65141000000.00
1990-03-01,64805000000.00
1990-04-01,139604000000.00
1990-05-01,69186000000.00
1990-06-01,110601000000.00
1990-07-01,72329000000.00
1990-08-01,78462000000.00
1990-09-01,102939000000.00
1990-10-01,76986000000.00
1990-11-01,70507000000.00
1990-12-01,101900000000.00
1991-01-01,100713000000.00
1991-02-01,67657000000.00
1991-03-01,64805000000.00
1991-04-01,140380000000.00
1991-05-01,63560000000.00
1991-06-01,103389000000.00
1991-07-01,78593000000.00
1991-08-01,76426000000.00
1991-09-01,109350000000.00
1991-10-01,78065000000.00
1991-11-01,73095000000.00
1991-12-01,103636000000.00
1992-01-01,104031000000.00
1992-02-01,62747000000.00
1992-03-01,72127000000.00
1992-04-01,138351000000.00
1992-05-01,62184000000.00
1992-06-01,120878000000.00
1992-07-01,79050000000.00
1992-08-01,78101000000.00
1992-09-01,118189000000.00
1992-10-01,76829000000.00
1992-11-01,74629000000.00
1992-12-01,113686000000.00
1993-01-01,112716000000.00
1993-02-01,65979000000.00
1993-03-01,83288000000.00
1993-04-01,132017000000.00
1993-05-01,70642000000.00
1993-06-01,128570000000.00
1993-07-01,80630000000.00
1993-08-01,86737000000.00
1993-09-01,127504000000.00
1993-10-01,78662000000.00
1993-11-01,83102000000.00
1993-12-01,125403000000.00
1994-01-01,122961000000.00
1994-02-01,73186000000.00
1994-03-01,93107000000.00
1994-04-01,141321000000.00
1994-05-01,83541000000.00
1994-06-01,138119000000.00
1994-07-01,84822000000.00
1994-08-01,97333000000.00
1994-09-01,135894000000.00
1994-10-01,89098000000.00
1994-11-01,87748000000.00
1994-12-01,130886000000.00
1995-01-01,131877000000.00
1995-02-01,82620000000.00
1995-03-01,92608000000.00
1995-04-01,165472000000.00
1995-05-01,90481000000.00
1995-06-01,147945000000.00
1995-07-01,92823000000.00
1995-08-01,96640000000.00
1995-09-01,143298000000.00
1995-10-01,95593000000.00
1995-11-01,90086000000.00
1995-12-01,138347000000.00
1996-01-01,142999000000.00
1996-02-01,89428000000.00
1996-03-01,89087000000.00
1996-04-01,203468000000.00
1996-05-01,90122000000.00
1996-06-01,151995000000.00
1996-07-01,103893000000.00
1996-08-01,99996000000.00
1996-09-01,157670000000.00
1996-10-01,99656000000.00
1996-11-01,97850000000.00
1996-12-01,148488000000.00
1997-01-01,150718000000.00
1997-02-01,90293000000.00
1997-03-01,108074000000.00
1997-04-01,228588000000.00
1997-05-01,94493000000.00
1997-06-01,173361000000.00
1997-07-01,109178000000.00
1997-08-01,103483000000.00
1997-09-01,174772000000.00
1997-10-01,114898000000.00
1997-11-01,103481000000.00
1997-12-01,167998000000.00
1998-01-01,162610000000.00
1998-02-01,97952000000.00
1998-03-01,117930000000.00
1998-04-01,261002000000.00
1998-05-01,95278000000.00
1998-06-01,187858000000.00
1998-07-01,119723000000.00
1998-08-01,111741000000.00
1998-09-01,180995000000.00
1998-10-01,119974000000.00
1998-11-01,113978000000.00
1998-12-01,178646000000.00
1999-01-01,171728000000.00
1999-02-01,99502000000.00
1999-03-01,130416000000.00
1999-04-01,266229000000.00
1999-05-01,98663000000.00
1999-06-01,199507000000.00
1999-07-01,121923000000.00
1999-08-01,126324000000.00
1999-09-01,200413000000.00
1999-10-01,121035000000.00
1999-11-01,121375000000.00
1999-12-01,201196000000.00
2000-01-01,189478000000.00
2000-02-01,108675000000.00
2000-03-01,135582000000.00
2000-04-01,295151000000.00
2000-05-01,146002000000.00
2000-06-01,214875000000.00
2000-07-01,134074000000.00
2000-08-01,138128000000.00
2000-09-01,219490000000.00
2000-10-01,135836000000.00
2000-11-01,125666000000.00
2000-12-01,200489000000.00
2001-01-01,219215000000.00
2001-02-01,110481000000.00
2001-03-01,130074000000.00
2001-04-01,331796000000.00
2001-05-01,125590000000.00
2001-06-01,202887000000.00
2001-07-01,127842000000.00
2001-08-01,122559000000.00
2001-09-01,158611000000.00
2001-10-01,157163000000.00
2001-11-01,121233000000.00
2001-12-01,187914000000.00
2002-01-01,203452000000.00
2002-02-01,97962000000.00
2002-03-01,111220000000.00
2002-04-01,237426000000.00
2002-05-01,102496000000.00
2002-06-01,182633000000.00
2002-07-01,134409000000.00
2002-08-01,124619000000.00
2002-09-01,192698000000.00
2002-10-01,124543000000.00
2002-11-01,120017000000.00
2002-12-01,182787000000.00
2003-01-01,187884000000.00
2003-02-01,89477000000.00
2003-03-01,120358000000.00
2003-04-01,231160000000.00
2003-05-01,103411000000.00
2003-06-01,193043000000.00
2003-07-01,123551000000.00
2003-08-01,114243000000.00
2003-09-01,191632000000.00
2003-10-01,135825000000.00
2003-11-01,118207000000.00
2003-12-01,186730000000.00
2004-01-01,185169000000.00
2004-02-01,92009000000.00
2004-03-01,132425000000.00
2004-04-01,220091000000.00
2004-05-01,115450000000.00
2004-06-01,214382000000.00
2004-07-01,134415000000.00
2004-08-01,137729000000.00
2004-09-01,207351000000.00
2004-10-01,136896000000.00
2004-11-01,134547000000.00
2004-12-01,215749000000.00
2005-01-01,202217000000.00
2005-02-01,100871000000.00
2005-03-01,148759000000.00
2005-04-01,277614000000.00
2005-05-01,152731000000.00
2005-06-01,234808000000.00
2005-07-01,142092000000.00
2005-08-01,155438000000.00
2005-09-01,251628000000.00
2005-10-01,149488000000.00
2005-11-01,138840000000.00
2005-12-01,241883000000.00
2006-01-01,230010000000.00
2006-02-01,112853000000.00
2006-03-01,164563000000.00
2006-04-01,315090000000.00
2006-05-01,192657000000.00
2006-06-01,264355000000.00
2006-07-01,159761000000.00
2006-08-01,153878000000.00
2006-09-01,283298000000.00
2006-10-01,167693000000.00
2006-11-01,145866000000.00
2006-12-01,259969000000.00
2007-01-01,260609000000.00
2007-02-01,120312000000.00
2007-03-01,166490000000.00
2007-04-01,383641000000.00
2007-05-01,164239000000.00
2007-06-01,276517000000.00
2007-07-01,170439000000.00
2007-08-01,166545000000.00
2007-09-01,285354000000.00
2007-10-01,178175000000.00
2007-11-01,151055000000.00
2007-12-01,276982000000.00
2008-01-01,255217000000.00
