Date,MZMV
1959-01-01,1.85
1959-04-01,1.87
1959-07-01,1.85
1959-10-01,1.86
1960-01-01,1.89
1960-04-01,1.88
1960-07-01,1.86
1960-10-01,1.82
1961-01-01,1.80
1961-04-01,1.81
1961-07-01,1.82
1961-10-01,1.83
1962-01-01,1.84
1962-04-01,1.83
1962-07-01,1.83
1962-10-01,1.80
1963-01-01,1.80
1963-04-01,1.79
1963-07-01,1.79
1963-10-01,1.79
1964-01-01,1.81
1964-04-01,1.80
1964-07-01,1.80
1964-10-01,1.78
1965-01-01,1.80
1965-04-01,1.81
1965-07-01,1.82
1965-10-01,1.83
1966-01-01,1.86
1966-04-01,1.89
1966-07-01,1.93
1966-10-01,1.97
1967-01-01,1.98
1967-04-01,1.97
1967-07-01,1.97
1967-10-01,1.98
1968-01-01,2.03
1968-04-01,2.07
1968-07-01,2.08
1968-10-01,2.09
1969-01-01,2.13
1969-04-01,2.16
1969-07-01,2.21
1969-10-01,2.23
1970-01-01,2.27
1970-04-01,2.34
1970-07-01,2.35
1970-10-01,2.31
1971-01-01,2.35
1971-04-01,2.33
1971-07-01,2.32
1971-10-01,2.30
1972-01-01,2.33
1972-04-01,2.36
1972-07-01,2.34
1972-10-01,2.35
1973-01-01,2.40
1973-04-01,2.44
1973-07-01,2.46
1973-10-01,2.52
1974-01-01,2.52
1974-04-01,2.57
1974-07-01,2.59
1974-10-01,2.62
1975-01-01,2.60
1975-04-01,2.58
1975-07-01,2.59
1975-10-01,2.62
1976-01-01,2.63
1976-04-01,2.60
1976-07-01,2.59
1976-10-01,2.57
1977-01-01,2.57
1977-04-01,2.60
1977-07-01,2.63
1977-10-01,2.64
1978-01-01,2.65
1978-04-01,2.76
1978-07-01,2.82
1978-10-01,2.91
1979-01-01,3.01
1979-04-01,3.07
1979-07-01,3.10
1979-10-01,3.20
1980-01-01,3.28
1980-04-01,3.35
1980-07-01,3.22
1980-10-01,3.33
1981-01-01,3.55
1981-04-01,3.47
1981-07-01,3.53
1981-10-01,3.45
1982-01-01,3.34
1982-04-01,3.35
1982-07-01,3.32
1982-10-01,3.18
1983-01-01,2.73
1983-04-01,2.64
1983-07-01,2.69
1983-10-01,2.75
1984-01-01,2.80
1984-04-01,2.81
1984-07-01,2.87
1984-10-01,2.84
1985-01-01,2.77
1985-04-01,2.73
1985-07-01,2.70
1985-10-01,2.67
1986-01-01,2.66
1986-04-01,2.57
1986-07-01,2.49
1986-10-01,2.41
1987-01-01,2.38
1987-04-01,2.39
1987-07-01,2.44
1987-10-01,2.50
1988-01-01,2.51
1988-04-01,2.54
1988-07-01,2.58
1988-10-01,2.64
1989-01-01,2.72
1989-04-01,2.80
1989-07-01,2.79
1989-10-01,2.74
1990-01-01,2.75
1990-04-01,2.75
1990-07-01,2.73
1990-10-01,2.69
1991-01-01,2.64
1991-04-01,2.60
1991-07-01,2.58
1991-10-01,2.54
1992-01-01,2.48
1992-04-01,2.45
1992-07-01,2.43
1992-10-01,2.42
1993-01-01,2.42
1993-04-01,2.42
1993-07-01,2.41
1993-10-01,2.42
1994-01-01,2.44
1994-04-01,2.48
1994-07-01,2.52
1994-10-01,2.58
1995-01-01,2.63
1995-04-01,2.65
1995-07-01,2.63
1995-10-01,2.63
1996-01-01,2.61
1996-04-01,2.62
1996-07-01,2.61
1996-10-01,2.61
1997-01-01,2.60
1997-04-01,2.60
1997-07-01,2.58
1997-10-01,2.55
1998-01-01,2.51
1998-04-01,2.47
1998-07-01,2.43
1998-10-01,2.37
1999-01-01,2.33
1999-04-01,2.31
1999-07-01,2.30
1999-10-01,2.31
2000-01-01,2.28
2000-04-01,2.30
2000-07-01,2.27
2000-10-01,2.25
2001-01-01,2.16
2001-04-01,2.08
2001-07-01,2.00
2001-10-01,1.91
2002-01-01,1.88
2002-04-01,1.88
2002-07-01,1.86
2002-10-01,1.83
2003-01-01,1.81
2003-04-01,1.81
2003-07-01,1.81
2003-10-01,1.85
2004-01-01,1.86
2004-04-01,1.85
2004-07-01,1.87
2004-10-01,1.89
2005-01-01,1.93
2005-04-01,1.95
2005-07-01,1.96
2005-10-01,1.96
2006-01-01,1.98
2006-04-01,1.99
2006-07-01,1.98
2006-10-01,1.96
2007-01-01,1.96
2007-04-01,1.93
2007-07-01,1.88
2007-10-01,1.82
2008-01-01,1.75
2008-04-01,1.71
2008-07-01,1.69
2008-10-01,1.62
2009-01-01,1.53
2009-04-01,1.50
2009-07-01,1.50
2009-10-01,1.52
2010-01-01,1.55
2010-04-01,1.58
2010-07-01,1.58
2010-10-01,1.57
2011-01-01,1.56
2011-04-01,1.54
2011-07-01,1.50
2011-10-01,1.49
2012-01-01,1.49
2012-04-01,1.48
2012-07-01,1.45
2012-10-01,1.43
2013-01-01,1.42
2013-04-01,1.41
2013-07-01,1.40
2013-10-01,1.40
2014-01-01,1.38
2014-04-01,1.39
2014-07-01,1.39
2014-10-01,1.38
2015-01-01,1.36
2015-04-01,1.36
2015-07-01,1.35
2015-10-01,1.34
2016-01-01,1.32
2016-04-01,1.31
2016-07-01,1.30
2016-10-01,1.30
2017-01-01,1.30
2017-04-01,1.30
2017-07-01,1.30
2017-10-01,1.30
2018-01-01,1.31
