Date,NPPTTL
2002-04-01,109052155.00
2002-05-01,108972610.00
2002-06-01,108941990.00
2002-07-01,108926290.00
2002-08-01,108885225.00
2002-09-01,108725110.00
2002-10-01,108785790.00
2002-11-01,108830235.00
2002-12-01,108817814.00
2003-01-01,108772352.00
2003-02-01,108707086.00
2003-03-01,108633000.00
2003-04-01,108720826.00
2003-05-01,108604091.00
2003-06-01,108579893.00
2003-07-01,108563242.00
2003-08-01,108556806.00
2003-09-01,108690593.00
2003-10-01,108842085.00
2003-11-01,109001767.00
2003-12-01,109138014.00
2004-01-01,109190393.00
2004-02-01,109387920.00
2004-03-01,109575000.00
2004-04-01,109705134.00
2004-05-01,109882785.00
2004-06-01,110057220.00
2004-07-01,110146007.00
2004-08-01,110344315.00
2004-09-01,110468665.00
2004-10-01,110646455.00
2004-11-01,110731400.00
2004-12-01,110983733.00
2005-01-01,111161655.00
2005-02-01,111296676.00
2005-03-01,111440000.00
2005-04-01,111731108.00
2005-05-01,111895311.00
2005-06-01,112150558.00
2005-07-01,112367345.00
2005-08-01,112579094.00
2005-09-01,112551450.00
2005-10-01,112709452.00
2005-11-01,113077657.00
2005-12-01,113282608.00
2006-01-01,113560177.00
2006-02-01,113944509.00
2006-03-01,114156000.00
2006-04-01,114244673.00
2006-05-01,114417829.00
2006-06-01,114542603.00
2006-07-01,114686611.00
2006-08-01,114881226.00
2006-09-01,114925737.00
2006-10-01,115052968.00
2006-11-01,115093789.00
2006-12-01,115190389.00
2007-01-01,115437276.00
2007-02-01,115526856.00
2007-03-01,115647000.00
2007-04-01,115754477.00
2007-05-01,115808533.00
2007-06-01,115830979.00
2007-07-01,115912193.00
2007-08-01,115895212.00
2007-09-01,115883461.00
2007-10-01,115846615.00
2007-11-01,115951567.00
2007-12-01,115944402.00
2008-01-01,116058122.00
2008-02-01,115991300.00
2008-03-01,115840000.00
2008-04-01,115524219.00
2008-05-01,115192726.00
2008-06-01,114875484.00
2008-07-01,114530202.00
2008-08-01,114125641.00
2008-09-01,113726331.00
2008-10-01,113254403.00
2008-11-01,112619114.00
2008-12-01,112047888.00
2009-01-01,111361960.00
2009-02-01,110526405.00
2009-03-01,109989000.00
2009-04-01,109463032.00
2009-05-01,109045370.00
2009-06-01,108662590.00
2009-07-01,108460806.00
2009-08-01,108234654.00
2009-09-01,108114498.00
2009-10-01,107972967.00
2009-11-01,107765263.00
2009-12-01,107624002.00
2010-01-01,107582746.00
2010-02-01,107437556.00
2010-03-01,107401000.00
2010-04-01,107542052.00
2010-05-01,107679733.00
2010-06-01,107764681.00
2010-07-01,107886811.00
2010-08-01,107992142.00
2010-09-01,108132453.00
2010-10-01,108303101.00
2010-11-01,108443224.00
2010-12-01,108552892.00
2011-01-01,108705708.00
2011-02-01,108886035.00
2011-03-01,109122000.00
2011-04-01,109417884.00
2011-05-01,109661171.00
2011-06-01,109906744.00
2011-07-01,110082883.00
2011-08-01,110278001.00
2011-09-01,110477935.00
2011-10-01,110644540.00
2011-11-01,110829403.00
2011-12-01,111061729.00
2012-01-01,111279305.00
2012-02-01,111557906.00
2012-03-01,111826000.00
2012-04-01,111930322.00
2012-05-01,112106936.00
2012-06-01,112176221.00
2012-07-01,112335006.00
2012-08-01,112510057.00
2012-09-01,112627131.00
2012-10-01,112876898.00
2012-11-01,113057172.00
2012-12-01,113286229.00
2013-01-01,113489864.00
2013-02-01,113653671.00
2013-03-01,113833000.00
2013-04-01,113968199.00
2013-05-01,114196835.00
2013-06-01,114419462.00
2013-07-01,114603591.00
2013-08-01,114788258.00
2013-09-01,115044445.00
2013-10-01,115242438.00
2013-11-01,115429312.00
2013-12-01,115586037.00
2014-01-01,115798125.00
2014-02-01,115972428.00
2014-03-01,116162000.00
2014-04-01,116482893.00
2014-05-01,116695931.00
2014-06-01,116971703.00
2014-07-01,117208021.00
2014-08-01,117414346.00
2014-09-01,117659554.00
2014-10-01,117892552.00
2014-11-01,118105907.00
2014-12-01,118402548.00
2015-01-01,118581580.00
2015-02-01,118814976.00
2015-03-01,118973000.00
2015-04-01,119157434.00
2015-05-01,119469847.00
2015-06-01,119697403.00
2015-07-01,119896291.00
2015-08-01,120083903.00
2015-09-01,120291122.00
2015-10-01,120475213.00
2015-11-01,120654581.00
2015-12-01,120938042.00
2016-01-01,121062535.00
2016-02-01,121292549.00
2016-03-01,121515000.00
2016-04-01,121681903.00
2016-05-01,121778481.00
2016-06-01,122010610.00
2016-07-01,122200444.00
2016-08-01,122349257.00
2016-09-01,122571546.00
2016-10-01,122660530.00
2016-11-01,122878147.00
2016-12-01,123007630.00
2017-01-01,123252682.00
2017-02-01,123532620.00
2017-03-01,123655000.00
2017-04-01,123810373.00
2017-05-01,124012451.00
2017-06-01,124166035.00
2017-07-01,124368583.00
2017-08-01,124538230.00
2017-09-01,124621918.00
2017-10-01,124783074.00
2017-11-01,124983136.00
2017-12-01,125232605.00
2018-01-01,125473964.00
2018-02-01,125714734.00
2018-03-01,125913201.00
2018-04-01,126076188.00
2018-05-01,126254416.00
