Date,PCETRIM1M158SFRBDAL
1977-02-01,6.98
1977-03-01,6.42
1977-04-01,4.77
1977-05-01,5.76
1977-06-01,6.24
1977-07-01,5.70
1977-08-01,6.21
1977-09-01,4.94
1977-10-01,4.68
1977-11-01,6.58
1977-12-01,5.55
1978-01-01,4.73
1978-02-01,5.47
1978-03-01,6.14
1978-04-01,6.74
1978-05-01,8.00
1978-06-01,6.46
1978-07-01,6.64
1978-08-01,6.75
1978-09-01,7.11
1978-10-01,8.62
1978-11-01,7.83
1978-12-01,6.24
1979-01-01,8.48
1979-02-01,7.65
1979-03-01,6.57
1979-04-01,6.75
1979-05-01,9.10
1979-06-01,6.97
1979-07-01,7.86
1979-08-01,8.92
1979-09-01,8.45
1979-10-01,9.70
1979-11-01,7.76
1979-12-01,8.10
1980-01-01,9.79
1980-02-01,10.08
1980-03-01,9.46
1980-04-01,6.28
1980-05-01,9.11
1980-06-01,8.86
1980-07-01,6.52
1980-08-01,8.51
1980-09-01,9.63
1980-10-01,8.57
1980-11-01,8.60
1980-12-01,8.13
1981-01-01,9.20
1981-02-01,10.14
1981-03-01,7.22
1981-04-01,7.38
1981-05-01,6.93
1981-06-01,5.89
1981-07-01,6.81
1981-08-01,7.45
1981-09-01,7.34
1981-10-01,6.19
1981-11-01,6.09
1981-12-01,5.01
1982-01-01,5.38
1982-02-01,4.71
1982-03-01,5.09
1982-04-01,3.33
1982-05-01,5.91
1982-06-01,5.53
1982-07-01,7.11
1982-08-01,4.23
1982-09-01,3.10
1982-10-01,5.36
1982-11-01,2.74
1982-12-01,2.97
1983-01-01,5.72
1983-02-01,3.90
1983-03-01,2.30
1983-04-01,4.98
1983-05-01,3.16
1983-06-01,3.40
1983-07-01,3.81
1983-08-01,3.16
1983-09-01,4.20
1983-10-01,2.58
1983-11-01,4.10
1983-12-01,2.44
1984-01-01,5.14
1984-02-01,4.53
1984-03-01,4.05
1984-04-01,4.86
1984-05-01,2.20
1984-06-01,3.48
1984-07-01,4.89
1984-08-01,4.13
1984-09-01,4.02
1984-10-01,3.48
1984-11-01,2.08
1984-12-01,3.78
1985-01-01,3.35
1985-02-01,5.70
1985-03-01,4.11
1985-04-01,2.37
1985-05-01,3.26
1985-06-01,4.21
1985-07-01,2.50
1985-08-01,4.00
1985-09-01,3.47
1985-10-01,2.97
1985-11-01,3.86
1985-12-01,3.88
1986-01-01,4.57
1986-02-01,2.73
1986-03-01,1.64
1986-04-01,2.97
1986-05-01,2.30
1986-06-01,3.94
1986-07-01,2.76
1986-08-01,2.92
1986-09-01,3.71
1986-10-01,3.72
1986-11-01,2.92
1986-12-01,3.01
1987-01-01,4.87
1987-02-01,3.40
1987-03-01,4.08
1987-04-01,4.97
1987-05-01,3.31
1987-06-01,3.23
1987-07-01,2.75
1987-08-01,4.66
1987-09-01,3.44
1987-10-01,3.98
1987-11-01,2.98
1987-12-01,1.86
1988-01-01,4.76
1988-02-01,2.81
1988-03-01,3.76
1988-04-01,4.42
1988-05-01,3.14
1988-06-01,4.52
1988-07-01,4.95
1988-08-01,3.96
1988-09-01,5.30
1988-10-01,3.37
1988-11-01,3.43
1988-12-01,3.60
1989-01-01,5.26
1989-02-01,3.94
1989-03-01,3.90
1989-04-01,4.35
1989-05-01,4.08
1989-06-01,3.10
1989-07-01,3.82
1989-08-01,2.91
1989-09-01,3.40
1989-10-01,5.14
1989-11-01,3.26
1989-12-01,3.83
1990-01-01,4.21
1990-02-01,3.53
1990-03-01,5.41
1990-04-01,3.86
1990-05-01,2.87
1990-06-01,4.76
1990-07-01,4.02
1990-08-01,5.19
1990-09-01,3.36
1990-10-01,3.68
1990-11-01,1.71
1990-12-01,3.33
1991-01-01,3.93
1991-02-01,2.42
1991-03-01,1.93
1991-04-01,2.80
1991-05-01,4.18
1991-06-01,2.15
1991-07-01,2.51
1991-08-01,2.78
1991-09-01,3.15
1991-10-01,2.86
1991-11-01,3.42
1991-12-01,3.69
1992-01-01,2.51
1992-02-01,2.58
1992-03-01,3.01
1992-04-01,2.25
1992-05-01,2.53
1992-06-01,2.13
1992-07-01,2.69
