Date,RETAILSMNSA
1992-01-01,130683000000.00
1992-02-01,131244000000.00
1992-03-01,142488000000.00
1992-04-01,147175000000.00
1992-05-01,152420000000.00
1992-06-01,151849000000.00
1992-07-01,152586000000.00
1992-08-01,152476000000.00
1992-09-01,148158000000.00
1992-10-01,155987000000.00
1992-11-01,154824000000.00
1992-12-01,191347000000.00
1993-01-01,137020000000.00
1993-02-01,134462000000.00
1993-03-01,153025000000.00
1993-04-01,158615000000.00
1993-05-01,163519000000.00
1993-06-01,162964000000.00
1993-07-01,164590000000.00
1993-08-01,163989000000.00
1993-09-01,159298000000.00
1993-10-01,163992000000.00
1993-11-01,169980000000.00
1993-12-01,206174000000.00
1994-01-01,145276000000.00
1994-02-01,146332000000.00
1994-03-01,173562000000.00
1994-04-01,170795000000.00
1994-05-01,175527000000.00
1994-06-01,178509000000.00
1994-07-01,173198000000.00
1994-08-01,182445000000.00
1994-09-01,175128000000.00
1994-10-01,178642000000.00
1994-11-01,184272000000.00
1994-12-01,221549000000.00
1995-01-01,158004000000.00
1995-02-01,155156000000.00
1995-03-01,181910000000.00
1995-04-01,176635000000.00
1995-05-01,190269000000.00
1995-06-01,191609000000.00
1995-07-01,182909000000.00
1995-08-01,193370000000.00
1995-09-01,182521000000.00
1995-10-01,184276000000.00
1995-11-01,193405000000.00
1995-12-01,227552000000.00
1996-01-01,167372000000.00
1996-02-01,173941000000.00
1996-03-01,191851000000.00
1996-04-01,191886000000.00
1996-05-01,205797000000.00
1996-06-01,196842000000.00
1996-07-01,197140000000.00
1996-08-01,204270000000.00
1996-09-01,189424000000.00
1996-10-01,201927000000.00
1996-11-01,203621000000.00
1996-12-01,237478000000.00
1997-01-01,181073000000.00
1997-02-01,178428000000.00
1997-03-01,203750000000.00
1997-04-01,199219000000.00
1997-05-01,211516000000.00
1997-06-01,205491000000.00
1997-07-01,208856000000.00
1997-08-01,211952000000.00
1997-09-01,201415000000.00
1997-10-01,210145000000.00
1997-11-01,207533000000.00
1997-12-01,249389000000.00
1998-01-01,187445000000.00
1998-02-01,183767000000.00
1998-03-01,207973000000.00
1998-04-01,212262000000.00
1998-05-01,221155000000.00
1998-06-01,220867000000.00
1998-07-01,217687000000.00
1998-08-01,216605000000.00
