Date,REVOLNS
1968-01-01,1401000000.00
1968-02-01,1418000000.00
1968-03-01,1439000000.00
1968-04-01,1494000000.00
1968-05-01,1536000000.00
1968-06-01,1598000000.00
1968-07-01,1649000000.00
1968-08-01,1719000000.00
1968-09-01,1788000000.00
1968-10-01,1881000000.00
1968-11-01,1922000000.00
1968-12-01,2105000000.00
1969-01-01,2271000000.00
1969-02-01,2310000000.00
1969-03-01,2349000000.00
1969-04-01,2462000000.00
1969-05-01,2586000000.00
1969-06-01,2698000000.00
1969-07-01,2803000000.00
1969-08-01,2919000000.00
1969-09-01,3081000000.00
1969-10-01,3210000000.00
1969-11-01,3343000000.00
1969-12-01,3720000000.00
1970-01-01,3909000000.00
1970-02-01,3950000000.00
1970-03-01,3967000000.00
1970-04-01,4057000000.00
1970-05-01,4114000000.00
1970-06-01,4229000000.00
1970-07-01,4336000000.00
1970-08-01,4447000000.00
1970-09-01,4603000000.00
1970-10-01,4686000000.00
1970-11-01,4767000000.00
1970-12-01,5130000000.00
1971-01-01,7544000000.00
1971-02-01,7467000000.00
1971-03-01,7364000000.00
1971-04-01,7461000000.00
1971-05-01,7568000000.00
1971-06-01,7643000000.00
1971-07-01,7769000000.00
1971-08-01,7936000000.00
1971-09-01,8149000000.00
1971-10-01,8097000000.00
1971-11-01,8102000000.00
1971-12-01,8529000000.00
1972-01-01,8467000000.00
1972-02-01,8305000000.00
1972-03-01,8257000000.00
1972-04-01,8380000000.00
1972-05-01,8467000000.00
1972-06-01,8670000000.00
1972-07-01,8833000000.00
1972-08-01,9070000000.00
1972-09-01,9274000000.00
1972-10-01,9192000000.00
1972-11-01,9217000000.00
1972-12-01,9701000000.00
1973-01-01,9772000000.00
1973-02-01,9705000000.00
1973-03-01,9627000000.00
1973-04-01,9741000000.00
1973-05-01,9903000000.00
1973-06-01,10215000000.00
1973-07-01,10414000000.00
1973-08-01,10772000000.00
1973-09-01,10912000000.00
1973-10-01,10946000000.00
1973-11-01,11140000000.00
1973-12-01,11710000000.00
1974-01-01,11791000000.00
1974-02-01,11572000000.00
1974-03-01,11349000000.00
1974-04-01,11495000000.00
1974-05-01,11802000000.00
1974-06-01,12138000000.00
1974-07-01,12515000000.00
1974-08-01,12981000000.00
1974-09-01,13175000000.00
1974-10-01,13176000000.00
1974-11-01,13272000000.00
1974-12-01,13682000000.00
1975-01-01,13846000000.00
1975-02-01,13559000000.00
1975-03-01,13206000000.00
1975-04-01,13296000000.00
1975-05-01,13322000000.00
1975-06-01,13429000000.00
1975-07-01,13717000000.00
1975-08-01,14057000000.00
1975-09-01,14306000000.00
1975-10-01,14300000000.00
1975-11-01,14307000000.00
1975-12-01,15020000000.00
1976-01-01,15113000000.00
1976-02-01,14805000000.00
1976-03-01,14456000000.00
1976-04-01,14614000000.00
1976-05-01,14688000000.00
1976-06-01,14889000000.00
1976-07-01,15329000000.00
1976-08-01,15671000000.00
1976-09-01,16033000000.00
1976-10-01,16099000000.00
1976-11-01,16239000000.00
1976-12-01,17190000000.00
1977-01-01,32211000000.00
1977-02-01,31587000000.00
1977-03-01,31441000000.00
1977-04-01,31933000000.00
1977-05-01,32445000000.00
1977-06-01,32939000000.00
1977-07-01,33276000000.00
1977-08-01,33954000000.00
1977-09-01,34575000000.00
1977-10-01,35040000000.00
1977-11-01,36014000000.00
1977-12-01,39274000000.00
1978-01-01,38795000000.00
1978-02-01,38142000000.00
1978-03-01,38032000000.00
1978-04-01,38423000000.00
1978-05-01,38963000000.00
1978-06-01,39880000000.00
1978-07-01,40546000000.00
1978-08-01,41601000000.00
1978-09-01,42587000000.00
1978-10-01,42991000000.00
1978-11-01,44166000000.00
1978-12-01,48309000000.00
1979-01-01,47800000000.00
1979-02-01,47068000000.00
1979-03-01,46770000000.00
1979-04-01,47245000000.00
1979-05-01,47855000000.00
1979-06-01,48545000000.00
1979-07-01,48918000000.00
1979-08-01,50304000000.00
1979-09-01,51230000000.00
1979-10-01,51928000000.00
1979-11-01,53270000000.00
1979-12-01,56937000000.00
1980-01-01,56164000000.00
1980-02-01,55153000000.00
1980-03-01,54146000000.00
1980-04-01,53491000000.00
1980-05-01,53036000000.00
1980-06-01,52850000000.00
1980-07-01,52833000000.00
