Date,RTWVDIN684NMFRBDAL
1988-01-01,100.00
1988-02-01,99.95
1988-03-01,98.41
1988-04-01,97.36
1988-05-01,97.43
1988-06-01,97.99
1988-07-01,99.42
1988-08-01,100.50
1988-09-01,100.93
1988-10-01,98.69
1988-11-01,97.11
1988-12-01,96.25
1989-01-01,97.44
1989-02-01,97.66
1989-03-01,99.08
1989-04-01,98.91
1989-05-01,100.63
1989-06-01,102.15
1989-07-01,100.17
1989-08-01,100.28
1989-09-01,101.10
1989-10-01,99.72
1989-11-01,99.67
1989-12-01,98.43
1990-01-01,98.42
1990-02-01,98.97
1990-03-01,99.72
1990-04-01,98.98
1990-05-01,98.32
1990-06-01,98.70
1990-07-01,97.12
1990-08-01,95.91
1990-09-01,95.96
1990-10-01,94.47
1990-11-01,94.05
1990-12-01,94.62
1991-01-01,93.77
1991-02-01,92.98
1991-03-01,95.33
1991-04-01,95.93
1991-05-01,96.03
1991-06-01,96.82
1991-07-01,96.86
1991-08-01,96.07
1991-09-01,95.24
1991-10-01,94.47
1991-11-01,93.43
1991-12-01,93.32
1992-01-01,93.42
1992-02-01,95.08
1992-03-01,96.57
1992-04-01,95.95
1992-05-01,95.65
1992-06-01,94.83
1992-07-01,93.68
1992-08-01,93.31
1992-09-01,94.65
1992-10-01,96.93
1992-11-01,99.62
1992-12-01,99.71
1993-01-01,100.53
1993-02-01,100.39
1993-03-01,99.75
1993-04-01,99.02
1993-05-01,99.19
1993-06-01,100.10
1993-07-01,100.86
1993-08-01,101.66
1993-09-01,101.61
1993-10-01,102.41
1993-11-01,102.65
1993-12-01,103.10
1994-01-01,103.28
1994-02-01,104.30
1994-03-01,105.09
1994-04-01,105.76
1994-05-01,105.19
1994-06-01,104.77
1994-07-01,103.90
1994-08-01,103.71
1994-09-01,102.36
1994-10-01,101.75
1994-11-01,102.27
1994-12-01,104.33
1995-01-01,105.42
1995-02-01,104.58
1995-03-01,103.63
1995-04-01,100.83
1995-05-01,100.35
1995-06-01,100.85
1995-07-01,100.16
1995-08-01,101.57
1995-09-01,102.10
1995-10-01,101.83
1995-11-01,102.31
1995-12-01,103.30
1996-01-01,104.07
1996-02-01,104.32
1996-03-01,104.15
1996-04-01,104.25
1996-05-01,104.76
1996-06-01,104.72
1996-07-01,104.78
1996-08-01,104.52
1996-09-01,104.89
1996-10-01,104.68
1996-11-01,103.72
1996-12-01,105.00
1997-01-01,105.40
1997-02-01,106.93
1997-03-01,108.15
1997-04-01,109.13
1997-05-01,107.87
1997-06-01,107.92
1997-07-01,108.49
1997-08-01,110.06
1997-09-01,109.93
1997-10-01,109.98
1997-11-01,111.50
1997-12-01,113.89
1998-01-01,115.30
1998-02-01,114.53
1998-03-01,113.89
1998-04-01,114.42
1998-05-01,115.11
1998-06-01,116.96
1998-07-01,118.09
1998-08-01,120.78
1998-09-01,119.08
1998-10-01,117.85
1998-11-01,117.89
1998-12-01,117.57
1999-01-01,117.07
1999-02-01,117.36
1999-03-01,118.80
1999-04-01,117.58
1999-05-01,116.24
1999-06-01,117.08
1999-07-01,118.11
1999-08-01,117.52
1999-09-01,116.71
1999-10-01,116.40
1999-11-01,116.59
1999-12-01,116.68
2000-01-01,116.01
2000-02-01,117.10
2000-03-01,117.88
2000-04-01,118.74
2000-05-01,121.22
2000-06-01,120.07
2000-07-01,119.91
2000-08-01,120.39
2000-09-01,121.76
2000-10-01,123.72
2000-11-01,124.87
2000-12-01,122.74
2001-01-01,122.89
2001-02-01,124.13
2001-03-01,126.20
2001-04-01,126.32
2001-05-01,125.64
2001-06-01,125.87
2001-07-01,126.13
2001-08-01,124.88
2001-09-01,126.31
2001-10-01,126.76
2001-11-01,127.85
2001-12-01,126.61
2002-01-01,127.96
2002-02-01,128.25
2002-03-01,127.61
2002-04-01,127.15
2002-05-01,125.34
2002-06-01,123.84
2002-07-01,122.85
2002-08-01,124.43
2002-09-01,125.16
2002-10-01,125.68
2002-11-01,124.42
2002-12-01,123.29
2003-01-01,121.68
2003-02-01,121.19
2003-03-01,120.17
2003-04-01,118.78
2003-05-01,113.32
2003-06-01,112.13
2003-07-01,113.98
2003-08-01,115.70
2003-09-01,114.15
2003-10-01,111.33
2003-11-01,110.27
2003-12-01,108.84
2004-01-01,107.07
2004-02-01,108.58
2004-03-01,109.74
2004-04-01,111.14
2004-05-01,113.56
2004-06-01,112.33
2004-07-01,110.56
2004-08-01,110.29
2004-09-01,109.36
2004-10-01,107.16
2004-11-01,103.55
2004-12-01,102.82
2005-01-01,104.01
2005-02-01,104.73
2005-03-01,103.80
2005-04-01,105.45
2005-05-01,106.37
2005-06-01,106.64
2005-07-01,106.71
2005-08-01,105.36
2005-09-01,105.18
2005-10-01,106.34
2005-11-01,106.22
2005-12-01,104.56
2006-01-01,103.98
2006-02-01,104.07
2006-03-01,104.79
2006-04-01,104.34
2006-05-01,101.64
2006-06-01,102.91
2006-07-01,103.30
2006-08-01,102.12
2006-09-01,102.03
2006-10-01,102.23
2006-11-01,101.44
2006-12-01,101.16
2007-01-01,102.87
2007-02-01,102.54
2007-03-01,102.62
2007-04-01,100.70
2007-05-01,99.28
2007-06-01,98.34
2007-07-01,96.66
2007-08-01,97.27
2007-09-01,95.47
2007-10-01,92.44
2007-11-01,91.43
2007-12-01,93.02
2008-01-01,93.52
