Date,RTWVDKY684NMFRBDAL
1988-01-01,100.00
1988-02-01,100.64
1988-03-01,99.25
1988-04-01,98.36
1988-05-01,98.73
1988-06-01,100.26
1988-07-01,102.71
1988-08-01,104.14
1988-09-01,104.32
1988-10-01,101.91
1988-11-01,99.62
1988-12-01,99.09
1989-01-01,101.31
1989-02-01,101.76
1989-03-01,103.18
1989-04-01,104.00
1989-05-01,106.81
1989-06-01,108.55
1989-07-01,105.56
1989-08-01,106.06
1989-09-01,107.06
1989-10-01,104.77
1989-11-01,104.25
1989-12-01,102.37
1990-01-01,101.66
1990-02-01,101.93
1990-03-01,102.93
1990-04-01,102.03
1990-05-01,101.04
1990-06-01,101.61
1990-07-01,99.48
1990-08-01,97.62
1990-09-01,97.49
1990-10-01,95.39
1990-11-01,94.59
1990-12-01,95.46
1991-01-01,95.01
1991-02-01,93.81
1991-03-01,97.68
1991-04-01,99.14
1991-05-01,99.53
1991-06-01,101.14
1991-07-01,100.96
1991-08-01,99.83
1991-09-01,98.53
1991-10-01,97.60
1991-11-01,95.85
1991-12-01,94.89
1992-01-01,94.82
1992-02-01,96.55
1992-03-01,98.49
1992-04-01,97.82
1992-05-01,96.98
1992-06-01,95.67
1992-07-01,94.03
1992-08-01,93.44
1992-09-01,94.14
1992-10-01,96.09
1992-11-01,99.33
1992-12-01,99.39
1993-01-01,100.39
1993-02-01,99.95
1993-03-01,99.03
1993-04-01,97.35
1993-05-01,97.19
1993-06-01,97.74
1993-07-01,98.77
1993-08-01,98.75
1993-09-01,98.45
1993-10-01,99.54
1993-11-01,100.34
1993-12-01,100.78
1994-01-01,101.12
1994-02-01,101.49
1994-03-01,101.96
1994-04-01,102.38
1994-05-01,101.78
1994-06-01,101.23
1994-07-01,100.07
1994-08-01,100.03
1994-09-01,98.78
1994-10-01,98.12
1994-11-01,98.58
1994-12-01,100.59
1995-01-01,101.63
1995-02-01,100.83
1995-03-01,99.31
1995-04-01,96.20
1995-05-01,95.98
1995-06-01,96.30
1995-07-01,95.92
1995-08-01,97.83
1995-09-01,98.77
1995-10-01,98.58
1995-11-01,99.13
1995-12-01,99.93
1996-01-01,100.85
1996-02-01,101.03
1996-03-01,100.99
1996-04-01,101.12
1996-05-01,101.47
1996-06-01,101.61
1996-07-01,101.58
1996-08-01,101.30
1996-09-01,101.73
1996-10-01,101.76
1996-11-01,100.91
1996-12-01,102.09
1997-01-01,102.93
1997-02-01,104.74
1997-03-01,105.76
1997-04-01,106.67
1997-05-01,105.27
1997-06-01,105.26
1997-07-01,106.08
1997-08-01,107.64
1997-09-01,107.33
1997-10-01,107.22
1997-11-01,108.49
1997-12-01,110.78
1998-01-01,112.22
1998-02-01,111.50
1998-03-01,111.23
1998-04-01,111.44
1998-05-01,111.75
1998-06-01,113.35
1998-07-01,114.07
1998-08-01,115.98
1998-09-01,113.87
1998-10-01,112.02
1998-11-01,112.38
1998-12-01,111.85
1999-01-01,112.21
1999-02-01,113.81
1999-03-01,115.48
1999-04-01,114.99
1999-05-01,114.29
1999-06-01,115.48
1999-07-01,116.29
1999-08-01,115.13
1999-09-01,114.67
1999-10-01,113.92
1999-11-01,114.78
1999-12-01,114.92
2000-01-01,114.60
2000-02-01,116.41
2000-03-01,117.39
2000-04-01,118.21
2000-05-01,121.07
2000-06-01,119.28
2000-07-01,119.69
2000-08-01,120.74
2000-09-01,122.54
2000-10-01,124.43
2000-11-01,125.53
2000-12-01,123.32
2001-01-01,123.13
2001-02-01,124.47
2001-03-01,126.83
2001-04-01,127.63
2001-05-01,127.41
2001-06-01,128.13
2001-07-01,128.32
2001-08-01,126.37
2001-09-01,127.11
2001-10-01,127.75
2001-11-01,128.91
2001-12-01,127.93
2002-01-01,129.51
2002-02-01,130.13
2002-03-01,129.48
2002-04-01,128.77
2002-05-01,126.14
2002-06-01,124.04
2002-07-01,122.32
2002-08-01,124.04
2002-09-01,124.65
2002-10-01,125.39
2002-11-01,123.73
2002-12-01,122.51
2003-01-01,120.10
2003-02-01,119.62
2003-03-01,119.00
2003-04-01,118.00
2003-05-01,112.87
2003-06-01,111.75
2003-07-01,113.57
2003-08-01,115.06
2003-09-01,113.41
2003-10-01,110.07
2003-11-01,109.17
2003-12-01,107.08
2004-01-01,105.40
2004-02-01,106.64
