Date,RTWVDME684NMFRBDAL
1988-01-01,100.00
1988-02-01,99.99
1988-03-01,98.64
1988-04-01,97.71
1988-05-01,97.88
1988-06-01,98.63
1988-07-01,100.05
1988-08-01,101.13
1988-09-01,101.57
1988-10-01,99.57
1988-11-01,97.97
1988-12-01,97.13
1989-01-01,98.29
1989-02-01,98.45
1989-03-01,99.88
1989-04-01,99.64
1989-05-01,100.98
1989-06-01,102.33
1989-07-01,100.40
1989-08-01,100.74
1989-09-01,101.56
1989-10-01,100.26
1989-11-01,100.20
1989-12-01,99.06
1990-01-01,98.98
1990-02-01,99.40
1990-03-01,100.02
1990-04-01,99.13
1990-05-01,98.58
1990-06-01,99.04
1990-07-01,97.50
1990-08-01,96.37
1990-09-01,96.65
1990-10-01,95.58
1990-11-01,95.12
1990-12-01,95.54
1991-01-01,94.83
1991-02-01,94.07
1991-03-01,96.47
1991-04-01,97.26
1991-05-01,97.36
1991-06-01,98.12
1991-07-01,98.31
1991-08-01,97.49
1991-09-01,96.74
1991-10-01,96.03
1991-11-01,94.96
1991-12-01,94.72
1992-01-01,94.61
1992-02-01,95.83
1992-03-01,97.10
1992-04-01,96.38
1992-05-01,95.97
1992-06-01,95.22
1992-07-01,94.05
1992-08-01,93.70
1992-09-01,94.89
1992-10-01,96.79
1992-11-01,99.11
1992-12-01,99.33
1993-01-01,100.13
1993-02-01,100.01
1993-03-01,99.55
1993-04-01,98.77
1993-05-01,98.70
1993-06-01,99.27
1993-07-01,99.89
1993-08-01,100.55
1993-09-01,100.43
1993-10-01,100.99
1993-11-01,101.11
1993-12-01,101.22
1994-01-01,101.80
1994-02-01,102.39
1994-03-01,102.84
1994-04-01,103.13
1994-05-01,102.47
1994-06-01,102.20
1994-07-01,101.23
1994-08-01,101.09
1994-09-01,99.98
1994-10-01,99.48
1994-11-01,99.79
1994-12-01,101.12
1995-01-01,101.55
1995-02-01,100.93
1995-03-01,99.76
1995-04-01,97.16
1995-05-01,96.90
1995-06-01,97.13
1995-07-01,96.78
1995-08-01,98.05
1995-09-01,98.95
1995-10-01,98.81
1995-11-01,99.07
1995-12-01,99.87
1996-01-01,100.69
1996-02-01,100.74
1996-03-01,100.67
1996-04-01,100.65
1996-05-01,100.95
1996-06-01,101.08
1996-07-01,101.14
1996-08-01,101.01
1996-09-01,101.34
1996-10-01,101.32
1996-11-01,100.58
