Date,RTWVDMN684NMFRBDAL
1988-01-01,100.00
1988-02-01,100.65
1988-03-01,99.13
1988-04-01,98.17
1988-05-01,98.47
1988-06-01,100.00
1988-07-01,102.68
1988-08-01,103.93
1988-09-01,104.18
1988-10-01,101.65
1988-11-01,99.06
1988-12-01,98.47
1989-01-01,100.32
1989-02-01,100.74
1989-03-01,102.43
1989-04-01,102.38
1989-05-01,104.80
1989-06-01,106.72
1989-07-01,104.23
1989-08-01,104.63
1989-09-01,105.60
1989-10-01,103.82
1989-11-01,103.67
1989-12-01,102.11
1990-01-01,101.74
1990-02-01,101.89
1990-03-01,103.35
1990-04-01,102.70
1990-05-01,101.51
1990-06-01,102.06
1990-07-01,100.01
1990-08-01,98.28
1990-09-01,97.92
1990-10-01,95.77
1990-11-01,95.08
1990-12-01,96.01
1991-01-01,95.53
1991-02-01,94.34
1991-03-01,97.91
1991-04-01,99.18
1991-05-01,99.51
1991-06-01,101.03
1991-07-01,100.86
1991-08-01,99.75
1991-09-01,98.51
1991-10-01,97.63
1991-11-01,96.05
1991-12-01,95.25
1992-01-01,95.22
1992-02-01,96.73
1992-03-01,98.53
1992-04-01,97.80
1992-05-01,96.94
1992-06-01,95.77
1992-07-01,94.20
1992-08-01,93.67
1992-09-01,94.41
1992-10-01,96.59
1992-11-01,99.78
1992-12-01,99.86
1993-01-01,100.93
1993-02-01,101.05
1993-03-01,100.36
1993-04-01,98.80
1993-05-01,98.75
1993-06-01,99.54
1993-07-01,100.59
1993-08-01,100.70
1993-09-01,100.13
1993-10-01,100.99
1993-11-01,101.78
1993-12-01,102.05
1994-01-01,102.64
1994-02-01,102.91
1994-03-01,103.06
1994-04-01,103.29
1994-05-01,102.52
1994-06-01,102.00
1994-07-01,100.79
1994-08-01,100.61
1994-09-01,99.40
1994-10-01,98.66
1994-11-01,99.14
1994-12-01,100.84
1995-01-01,101.42
1995-02-01,100.71
1995-03-01,99.14
1995-04-01,96.45
1995-05-01,96.27
1995-06-01,96.44
1995-07-01,96.06
1995-08-01,97.75
1995-09-01,98.59
1995-10-01,98.20
1995-11-01,98.60
1995-12-01,99.34
1996-01-01,100.45
1996-02-01,100.47
1996-03-01,100.56
1996-04-01,100.90
1996-05-01,101.33
1996-06-01,101.45
1996-07-01,101.36
1996-08-01,100.91
1996-09-01,101.42
1996-10-01,101.67
1996-11-01,100.93
1996-12-01,102.02
1997-01-01,103.14
1997-02-01,105.18
1997-03-01,106.13
1997-04-01,106.85
1997-05-01,105.45
1997-06-01,105.33
1997-07-01,107.11
1997-08-01,109.39
1997-09-01,110.08
1997-10-01,110.60
1997-11-01,112.01
1997-12-01,115.99
1998-01-01,119.34
1998-02-01,117.07
1998-03-01,116.26
1998-04-01,116.21
1998-05-01,116.62
1998-06-01,118.80
1998-07-01,119.74
1998-08-01,121.69
1998-09-01,118.70
1998-10-01,116.16
1998-11-01,116.26
1998-12-01,115.74
1999-01-01,115.53
1999-02-01,116.86
1999-03-01,118.76
1999-04-01,118.67
1999-05-01,118.12
1999-06-01,119.08
1999-07-01,119.84
1999-08-01,118.73
