Date,RTWVDND684NMFRBDAL
1988-01-01,100.00
1988-02-01,98.99
1988-03-01,97.19
1988-04-01,96.05
1988-05-01,95.97
1988-06-01,95.95
1988-07-01,96.61
1988-08-01,97.81
1988-09-01,98.29
1988-10-01,96.35
1988-11-01,95.48
1988-12-01,94.29
1989-01-01,94.50
1989-02-01,94.43
1989-03-01,96.23
1989-04-01,96.41
1989-05-01,97.41
1989-06-01,98.17
1989-07-01,96.66
1989-08-01,96.33
1989-09-01,96.99
1989-10-01,96.06
1989-11-01,95.66
1989-12-01,94.55
1990-01-01,94.68
1990-02-01,95.74
1990-03-01,95.41
1990-04-01,94.32
1990-05-01,94.33
1990-06-01,94.32
1990-07-01,92.85
1990-08-01,92.05
1990-09-01,93.01
1990-10-01,92.51
1990-11-01,92.17
1990-12-01,92.06
1991-01-01,90.94
1991-02-01,90.83
1991-03-01,92.75
1991-04-01,93.53
1991-05-01,93.45
1991-06-01,93.98
1991-07-01,94.13
1991-08-01,93.25
1991-09-01,92.53
1991-10-01,93.41
1991-11-01,92.55
1991-12-01,92.78
1992-01-01,93.08
1992-02-01,94.87
1992-03-01,96.23
1992-04-01,95.60
1992-05-01,95.62
1992-06-01,94.79
1992-07-01,93.36
1992-08-01,92.90
1992-09-01,94.59
1992-10-01,96.68
1992-11-01,99.40
1992-12-01,99.39
1993-01-01,100.19
1993-02-01,99.69
1993-03-01,99.29
1993-04-01,99.53
1993-05-01,100.12
1993-06-01,101.29
1993-07-01,101.97
1993-08-01,103.54
1993-09-01,103.73
1993-10-01,104.58
1993-11-01,104.22
1993-12-01,104.66
1994-01-01,104.26
1994-02-01,105.74
1994-03-01,106.68
1994-04-01,107.67
1994-05-01,106.98
1994-06-01,106.73
1994-07-01,105.76
1994-08-01,105.77
1994-09-01,104.47
1994-10-01,103.99
1994-11-01,104.57
1994-12-01,106.38
1995-01-01,109.27
1995-02-01,108.28
1995-03-01,108.11
1995-04-01,104.98
1995-05-01,104.07
1995-06-01,104.84
1995-07-01,103.50
1995-08-01,104.52
1995-09-01,104.72
1995-10-01,103.30
1995-11-01,104.04
1995-12-01,104.72
1996-01-01,104.78
1996-02-01,104.99
1996-03-01,104.77
1996-04-01,104.59
1996-05-01,105.06
1996-06-01,104.96
1996-07-01,104.90
1996-08-01,104.69
