Date,RTWVDVT684NMFRBDAL
1988-01-01,100.00
1988-02-01,99.45
1988-03-01,97.81
1988-04-01,96.89
1988-05-01,97.03
1988-06-01,96.82
1988-07-01,97.26
1988-08-01,98.77
1988-09-01,99.39
1988-10-01,97.32
1988-11-01,97.05
1988-12-01,95.84
1989-01-01,95.92
1989-02-01,95.66
1989-03-01,96.34
1989-04-01,96.26
1989-05-01,96.61
1989-06-01,97.26
1989-07-01,95.83
1989-08-01,95.07
1989-09-01,95.87
1989-10-01,95.06
1989-11-01,94.69
1989-12-01,93.98
1990-01-01,94.75
1990-02-01,96.25
1990-03-01,95.46
1990-04-01,94.39
1990-05-01,94.67
1990-06-01,94.78
1990-07-01,93.37
1990-08-01,92.84
1990-09-01,94.17
1990-10-01,93.68
1990-11-01,93.43
1990-12-01,93.47
1991-01-01,91.66
1991-02-01,91.45
1991-03-01,92.23
1991-04-01,92.43
1991-05-01,92.14
1991-06-01,91.94
1991-07-01,92.27
1991-08-01,91.91
1991-09-01,91.59
1991-10-01,91.01
1991-11-01,90.72
1991-12-01,91.93
1992-01-01,92.31
1992-02-01,94.53
1992-03-01,95.66
1992-04-01,95.18
1992-05-01,95.78
1992-06-01,95.42
1992-07-01,94.85
1992-08-01,94.85
1992-09-01,97.47
1992-10-01,99.84
1992-11-01,101.58
1992-12-01,101.95
1993-01-01,102.69
1993-02-01,101.75
1993-03-01,101.23
1993-04-01,101.98
1993-05-01,102.27
1993-06-01,103.08
1993-07-01,103.40
1993-08-01,105.22
1993-09-01,106.08
1993-10-01,106.73
1993-11-01,106.06
1993-12-01,107.09
1994-01-01,106.67
1994-02-01,108.91
1994-03-01,110.40
1994-04-01,111.52
1994-05-01,111.30
1994-06-01,111.37
1994-07-01,110.83
1994-08-01,110.75
1994-09-01,109.14
1994-10-01,108.88
1994-11-01,109.57
1994-12-01,111.47
1995-01-01,113.06
1995-02-01,112.27
1995-03-01,112.49
1995-04-01,109.88
1995-05-01,108.88
1995-06-01,109.91
1995-07-01,108.76
1995-08-01,109.38
1995-09-01,109.45
1995-10-01,109.38
1995-11-01,109.71
1995-12-01,110.82
1996-01-01,111.26
1996-02-01,111.70
1996-03-01,111.20
1996-04-01,110.93
1996-05-01,111.33
1996-06-01,111.23
1996-07-01,111.58
1996-08-01,111.69
1996-09-01,111.84
1996-10-01,111.05
1996-11-01,109.92
1996-12-01,111.54
1997-01-01,111.75
1997-02-01,113.34
1997-03-01,114.79
1997-04-01,116.13
1997-05-01,114.72
1997-06-01,114.61
1997-07-01,114.98
1997-08-01,116.65
1997-09-01,116.74
1997-10-01,117.16
1997-11-01,119.82
1997-12-01,124.91
1998-01-01,126.97
1998-02-01,125.74
1998-03-01,124.42
1998-04-01,125.09
1998-05-01,125.94
1998-06-01,127.83
1998-07-01,129.12
1998-08-01,132.43
1998-09-01,130.94
1998-10-01,130.59
1998-11-01,130.42
1998-12-01,130.33
1999-01-01,129.05
1999-02-01,128.83
1999-03-01,130.89
1999-04-01,129.70
1999-05-01,128.08
1999-06-01,128.67
1999-07-01,130.10
1999-08-01,129.55
1999-09-01,128.73
1999-10-01,128.29
1999-11-01,128.40
1999-12-01,128.58
2000-01-01,127.76
2000-02-01,129.03
2000-03-01,130.38
2000-04-01,131.23
2000-05-01,133.97
2000-06-01,132.05
2000-07-01,132.68
2000-08-01,133.82
2000-09-01,135.36
2000-10-01,137.52
2000-11-01,139.12
2000-12-01,137.19
2001-01-01,137.26
2001-02-01,138.50
2001-03-01,141.33
2001-04-01,142.09
2001-05-01,141.42
2001-06-01,141.79
2001-07-01,142.21
2001-08-01,140.87
2001-09-01,142.05
2001-10-01,142.52
2001-11-01,144.42
2001-12-01,143.55
2002-01-01,145.57
2002-02-01,145.59
2002-03-01,145.37
2002-04-01,144.72
2002-05-01,141.32
2002-06-01,138.66
2002-07-01,136.88
2002-08-01,138.71
