Date,RTWVDWA684NMFRBDAL
1988-01-01,100.00
1988-02-01,100.60
1988-03-01,98.93
1988-04-01,97.61
1988-05-01,97.54
1988-06-01,98.80
1988-07-01,101.40
1988-08-01,101.90
1988-09-01,102.30
1988-10-01,99.74
1988-11-01,97.03
1988-12-01,96.75
1989-01-01,98.46
1989-02-01,98.88
1989-03-01,100.15
1989-04-01,99.98
1989-05-01,102.38
1989-06-01,104.66
1989-07-01,102.54
1989-08-01,103.21
1989-09-01,104.14
1989-10-01,102.52
1989-11-01,103.07
1989-12-01,102.50
1990-01-01,102.49
1990-02-01,102.40
1990-03-01,104.80
1990-04-01,104.57
1990-05-01,102.94
1990-06-01,103.53
1990-07-01,101.54
1990-08-01,99.92
1990-09-01,98.44
1990-10-01,95.85
1990-11-01,95.74
1990-12-01,97.37
1991-01-01,97.36
1991-02-01,96.09
1991-03-01,100.28
1991-04-01,101.41
1991-05-01,101.90
1991-06-01,103.87
1991-07-01,103.44
1991-08-01,102.19
1991-09-01,100.79
1991-10-01,99.57
1991-11-01,97.89
1991-12-01,96.68
1992-01-01,96.28
1992-02-01,97.39
1992-03-01,99.49
1992-04-01,98.67
1992-05-01,97.43
1992-06-01,96.14
1992-07-01,94.88
1992-08-01,94.48
1992-09-01,94.31
1992-10-01,95.93
1992-11-01,99.16
1992-12-01,99.19
1993-01-01,99.76
1993-02-01,99.80
1993-03-01,99.08
1993-04-01,96.79
1993-05-01,96.41
1993-06-01,96.63
1993-07-01,97.51
1993-08-01,96.84
1993-09-01,96.44
1993-10-01,97.37
1993-11-01,98.08
1993-12-01,97.84
1994-01-01,101.19
1994-02-01,99.96
1994-03-01,99.94
1994-04-01,99.79
1994-05-01,99.12
1994-06-01,98.55
1994-07-01,97.04
1994-08-01,96.80
1994-09-01,95.99
1994-10-01,95.27
1994-11-01,95.23
1994-12-01,95.99
1995-01-01,95.58
1995-02-01,95.02
1995-03-01,92.35
1995-04-01,88.99
1995-05-01,89.13
1995-06-01,88.92
1995-07-01,89.44
1995-08-01,92.08
1995-09-01,93.66
1995-10-01,93.57
1995-11-01,94.12
1995-12-01,94.28
1996-01-01,95.80
1996-02-01,95.52
1996-03-01,95.72
1996-04-01,95.84
1996-05-01,95.78
1996-06-01,96.47
1996-07-01,96.78
1996-08-01,96.08
1996-09-01,96.76
1996-10-01,97.64
1996-11-01,97.27
1996-12-01,97.94
1997-01-01,99.27
1997-02-01,101.16
1997-03-01,102.00
1997-04-01,102.24
1997-05-01,100.71
1997-06-01,99.99
1997-07-01,101.26
1997-08-01,103.47
1997-09-01,104.66
1997-10-01,105.56
1997-11-01,107.48
1997-12-01,113.42
1998-01-01,116.66
1998-02-01,114.19
1998-03-01,113.90
1998-04-01,113.67
1998-05-01,114.84
1998-06-01,117.21
1998-07-01,117.82
1998-08-01,119.10
1998-09-01,117.14
1998-10-01,113.66
1998-11-01,113.61
1998-12-01,113.21
1999-01-01,112.94
1999-02-01,114.69
1999-03-01,116.94
1999-04-01,117.65
1999-05-01,117.84
1999-06-01,118.61
1999-07-01,119.15
1999-08-01,117.08
1999-09-01,116.45
1999-10-01,115.49
1999-11-01,116.75
1999-12-01,116.70
2000-01-01,116.59
2000-02-01,119.07
2000-03-01,120.42
2000-04-01,120.82
2000-05-01,124.02
2000-06-01,122.34
2000-07-01,123.24
2000-08-01,124.51
2000-09-01,126.63
2000-10-01,128.48
2000-11-01,129.19
2000-12-01,127.56
2001-01-01,127.75
2001-02-01,128.97
2001-03-01,131.62
2001-04-01,133.38
2001-05-01,133.51
2001-06-01,134.85
2001-07-01,134.99
2001-08-01,132.66
2001-09-01,133.19
2001-10-01,134.31
2001-11-01,134.73
2001-12-01,134.67
2002-01-01,135.68
2002-02-01,136.21
2002-03-01,136.04
2002-04-01,135.41
2002-05-01,132.75
2002-06-01,130.61
2002-07-01,128.66
2002-08-01,129.98
2002-09-01,130.77
2002-10-01,132.16
2002-11-01,130.06
2002-12-01,128.81
2003-01-01,126.32
2003-02-01,126.42
2003-03-01,126.67
2003-04-01,125.98
2003-05-01,121.94
2003-06-01,121.63
2003-07-01,122.84
2003-08-01,123.80
2003-09-01,122.36
2003-10-01,119.22
2003-11-01,118.55
2003-12-01,116.28
2004-01-01,114.81
2004-02-01,115.31
2004-03-01,116.99
2004-04-01,117.10
2004-05-01,119.84
2004-06-01,118.88
2004-07-01,117.60
2004-08-01,117.62
2004-09-01,117.23
2004-10-01,116.18
2004-11-01,113.05
2004-12-01,111.57
2005-01-01,111.80
2005-02-01,112.13
2005-03-01,112.03
2005-04-01,113.66
2005-05-01,113.86
2005-06-01,115.01
2005-07-01,115.91
2005-08-01,114.62
2005-09-01,115.91
2005-10-01,117.74
2005-11-01,118.28
2005-12-01,116.78
2006-01-01,115.31
2006-02-01,115.49
2006-03-01,116.19
2006-04-01,115.56
2006-05-01,113.53
2006-06-01,115.32
2006-07-01,115.21
2006-08-01,114.34
2006-09-01,114.25
2006-10-01,114.32
2006-11-01,113.10
2006-12-01,112.19
2007-01-01,113.24
2007-02-01,112.85
2007-03-01,113.15
2007-04-01,111.76
2007-05-01,111.04
2007-06-01,110.68
2007-07-01,108.51
2007-08-01,108.00
2007-09-01,106.99
2007-10-01,104.98
2007-11-01,103.84
2007-12-01,104.40
2008-01-01,103.47
2008-02-01,101.97
2008-03-01,100.93
2008-04-01,100.90
2008-05-01,101.78
2008-06-01,102.63
2008-07-01,101.76
2008-08-01,103.42
2008-09-01,105.51
2008-10-01,110.20
2008-11-01,110.59
2008-12-01,108.47
2009-01-01,108.86
2009-02-01,111.15
2009-03-01,112.52
2009-04-01,110.48
2009-05-01,107.69
2009-06-01,107.24
2009-07-01,106.13
2009-08-01,104.91
2009-09-01,104.21
2009-10-01,103.00
2009-11-01,102.38
2009-12-01,102.51
2010-01-01,102.16
2010-02-01,102.61
2010-03-01,102.53
2010-04-01,101.88
2010-05-01,103.96
2010-06-01,104.39
2010-07-01,102.34
2010-08-01,101.10
2010-09-01,100.51
2010-10-01,98.21
2010-11-01,98.26
2010-12-01,98.83
2011-01-01,97.88
2011-02-01,97.12
2011-03-01,97.19
2011-04-01,96.04
2011-05-01,96.11
2011-06-01,95.91
2011-07-01,94.81
2011-08-01,95.06
2011-09-01,97.10
2011-10-01,97.70
2011-11-01,97.89
2011-12-01,98.21
2012-01-01,97.52
2012-02-01,96.52
2012-03-01,97.90
2012-04-01,97.75
2012-05-01,98.78
2012-06-01,99.67
2012-07-01,98.54
2012-08-01,97.94
2012-09-01,97.72
2012-10-01,97.70
2012-11-01,97.84
2012-12-01,97.33
2013-01-01,97.36
2013-02-01,98.20
2013-03-01,99.41
2013-04-01,98.99
2013-05-01,99.56
2013-06-01,100.31
2013-07-01,100.36
2013-08-01,100.31
2013-09-01,100.47
2013-10-01,99.50
2013-11-01,100.07
2013-12-01,100.54
2014-01-01,101.19
2014-02-01,101.02
2014-03-01,101.61
2014-04-01,100.94
2014-05-01,100.72
2014-06-01,100.73
2014-07-01,99.79
2014-08-01,100.17
2014-09-01,101.67
2014-10-01,102.86
2014-11-01,104.15
2014-12-01,105.17
2015-01-01,106.00
2015-02-01,106.66
2015-03-01,108.33
2015-04-01,107.26
2015-05-01,107.10
2015-06-01,108.30
2015-07-01,108.85
2015-08-01,110.68
2015-09-01,111.93
2015-10-01,111.19
2015-11-01,112.24
2015-12-01,112.66
2016-01-01,114.24
2016-02-01,112.46
2016-03-01,111.38
2016-04-01,109.89
2016-05-01,111.08
2016-06-01,111.14
2016-07-01,111.00
2016-08-01,109.93
2016-09-01,110.86
2016-10-01,112.52
2016-11-01,114.37
2016-12-01,116.17
2017-01-01,115.72
2017-02-01,114.54
2017-03-01,114.98
2017-04-01,114.27
2017-05-01,114.25
2017-06-01,113.07
2017-07-01,111.34
2017-08-01,110.03
2017-09-01,109.89
2017-10-01,111.46
2017-11-01,111.79
2017-12-01,111.08
2018-01-01,108.70
2018-02-01,107.48
2018-03-01,108.49
