Date,S4247SM144NCEN
1992-01-01,11322000000.00
1992-02-01,10217000000.00
1992-03-01,11139000000.00
1992-04-01,11193000000.00
1992-05-01,11310000000.00
1992-06-01,11887000000.00
1992-07-01,12206000000.00
1992-08-01,11479000000.00
1992-09-01,11566000000.00
1992-10-01,12630000000.00
1992-11-01,11254000000.00
1992-12-01,11330000000.00
1993-01-01,10438000000.00
1993-02-01,10230000000.00
1993-03-01,11393000000.00
1993-04-01,11297000000.00
1993-05-01,11113000000.00
1993-06-01,10404000000.00
1993-07-01,10156000000.00
1993-08-01,10738000000.00
1993-09-01,10498000000.00
1993-10-01,11133000000.00
1993-11-01,10530000000.00
1993-12-01,9798000000.00
1994-01-01,10187000000.00
1994-02-01,9906000000.00
1994-03-01,10749000000.00
1994-04-01,9677000000.00
1994-05-01,10102000000.00
1994-06-01,10176000000.00
1994-07-01,10300000000.00
1994-08-01,11671000000.00
1994-09-01,10560000000.00
1994-10-01,10674000000.00
1994-11-01,10595000000.00
1994-12-01,10802000000.00
1995-01-01,10524000000.00
1995-02-01,10070000000.00
1995-03-01,10578000000.00
1995-04-01,10450000000.00
1995-05-01,11345000000.00
1995-06-01,10822000000.00
1995-07-01,10116000000.00
1995-08-01,10966000000.00
1995-09-01,10074000000.00
1995-10-01,10391000000.00
1995-11-01,10308000000.00
1995-12-01,10834000000.00
1996-01-01,11354000000.00
1996-02-01,11002000000.00
1996-03-01,11424000000.00
1996-04-01,12122000000.00
1996-05-01,12491000000.00
1996-06-01,10773000000.00
1996-07-01,11632000000.00
1996-08-01,11934000000.00
1996-09-01,11549000000.00
1996-10-01,13185000000.00
1996-11-01,12717000000.00
1996-12-01,13310000000.00
1997-01-01,13676000000.00
1997-02-01,11903000000.00
1997-03-01,11990000000.00
1997-04-01,11274000000.00
1997-05-01,11705000000.00
1997-06-01,11063000000.00
1997-07-01,11074000000.00
1997-08-01,11866000000.00
1997-09-01,11024000000.00
1997-10-01,11571000000.00
1997-11-01,10772000000.00
1997-12-01,11590000000.00
1998-01-01,10198000000.00
1998-02-01,9445000000.00
1998-03-01,9918000000.00
1998-04-01,10164000000.00
1998-05-01,10297000000.00
1998-06-01,10131000000.00
1998-07-01,10282000000.00
1998-08-01,9321000000.00
1998-09-01,9713000000.00
1998-10-01,10113000000.00
1998-11-01,9657000000.00
1998-12-01,9776000000.00
1999-01-01,9314000000.00
1999-02-01,8529000000.00
1999-03-01,10395000000.00
1999-04-01,11240000000.00
1999-05-01,11302000000.00
1999-06-01,11621000000.00
1999-07-01,11923000000.00
1999-08-01,12880000000.00
1999-09-01,12586000000.00
1999-10-01,12840000000.00
1999-11-01,13104000000.00
1999-12-01,14005000000.00
2000-01-01,13637000000.00
2000-02-01,14771000000.00
2000-03-01,15795000000.00
2000-04-01,14546000000.00
2000-05-01,15710000000.00
2000-06-01,16972000000.00
2000-07-01,16097000000.00
2000-08-01,16803000000.00
2000-09-01,17553000000.00
2000-10-01,18144000000.00
2000-11-01,17300000000.00
2000-12-01,18438000000.00
2001-01-01,18980000000.00
2001-02-01,16521000000.00
2001-03-01,16328000000.00
2001-04-01,16889000000.00
2001-05-01,18078000000.00
2001-06-01,16165000000.00
2001-07-01,15209000000.00
2001-08-01,16122000000.00
2001-09-01,15848000000.00
2001-10-01,14786000000.00
2001-11-01,13480000000.00
2001-12-01,13123000000.00
2002-01-01,13850000000.00
2002-02-01,12180000000.00
2002-03-01,14599000000.00
2002-04-01,16524000000.00
2002-05-01,16870000000.00
2002-06-01,15308000000.00
