Date,SUUR0000SAF116
1999-12-01,100.00
2000-01-01,100.30
2000-02-01,100.50
2000-03-01,100.80
2000-04-01,101.00
2000-05-01,101.00
2000-06-01,101.30
2000-07-01,101.70
2000-08-01,101.80
2000-09-01,102.00
2000-10-01,102.20
2000-11-01,102.40
2000-12-01,102.40
2001-01-01,102.60
2001-02-01,102.80
2001-03-01,103.10
2001-04-01,103.30
2001-05-01,103.50
2001-06-01,103.90
2001-07-01,104.10
2001-08-01,104.20
2001-09-01,104.40
2001-10-01,104.80
2001-11-01,104.80
2001-12-01,104.80
2002-01-01,105.30
2002-02-01,105.60
2002-03-01,105.70
2002-04-01,106.00
2002-05-01,106.20
2002-06-01,106.40
2002-07-01,106.50
2002-08-01,106.60
2002-09-01,106.60
2002-10-01,107.10
2002-11-01,107.10
2002-12-01,107.20
2003-01-01,107.60
2003-02-01,107.60
2003-03-01,107.90
2003-04-01,107.90
2003-05-01,108.10
2003-06-01,108.10
2003-07-01,108.20
2003-08-01,108.20
2003-09-01,108.50
2003-10-01,108.80
2003-11-01,109.00
2003-12-01,109.10
2004-01-01,109.50
2004-02-01,109.70
2004-03-01,110.10
2004-04-01,110.70
2004-05-01,110.70
2004-06-01,111.00
2004-07-01,111.00
2004-08-01,111.20
2004-09-01,111.70
2004-10-01,111.90
2004-11-01,112.10
2004-12-01,111.90
2005-01-01,112.00
2005-02-01,112.60
2005-03-01,112.80
2005-04-01,113.00
2005-05-01,112.80
2005-06-01,112.70
2005-07-01,112.80
2005-08-01,112.60
2005-09-01,113.10
2005-10-01,113.50
2005-11-01,113.50
2005-12-01,113.50
2006-01-01,114.50
2006-02-01,115.40
2006-03-01,115.80
2006-04-01,115.80
2006-05-01,116.20
2006-06-01,116.50
2006-07-01,116.50
2006-08-01,116.30
2006-09-01,116.60
2006-10-01,116.80
2006-11-01,116.50
2006-12-01,116.40
2007-01-01,117.49
2007-02-01,118.29
2007-03-01,118.80
2007-04-01,119.47
2007-05-01,119.75
2007-06-01,120.24
2007-07-01,120.21
2007-08-01,120.50
2007-09-01,120.84
2007-10-01,121.28
2007-11-01,121.01
2007-12-01,121.10
2008-01-01,122.10
2008-02-01,123.06
2008-03-01,123.30
2008-04-01,123.97
2008-05-01,123.98
2008-06-01,123.97
2008-07-01,124.28
2008-08-01,124.84
2008-09-01,125.33
2008-10-01,125.83
2008-11-01,125.85
2008-12-01,126.28
2009-01-01,127.11
2009-02-01,127.33
2009-03-01,127.29
2009-04-01,127.00
2009-05-01,127.21
2009-06-01,127.36
2009-07-01,127.66
2009-08-01,127.94
2009-09-01,128.03
2009-10-01,128.45
2009-11-01,128.50
2009-12-01,128.04
2010-01-01,128.31
2010-02-01,128.45
2010-03-01,128.30
2010-04-01,128.10
2010-05-01,128.38
2010-06-01,128.56
2010-07-01,129.07
2010-08-01,129.14
2010-09-01,129.49
2010-10-01,129.70
2010-11-01,129.20
2010-12-01,129.12
2011-01-01,129.63
2011-02-01,129.97
2011-03-01,129.87
2011-04-01,130.27
2011-05-01,130.32
2011-06-01,130.48
2011-07-01,130.31
2011-08-01,130.45
2011-09-01,130.53
2011-10-01,130.48
2011-11-01,130.37
2011-12-01,130.31
2012-01-01,131.62
2012-02-01,132.10
2012-03-01,131.67
2012-04-01,131.74
2012-05-01,132.23
2012-06-01,132.57
2012-07-01,132.33
2012-08-01,132.02
2012-09-01,132.33
2012-10-01,132.44
2012-11-01,132.46
2012-12-01,132.63
2013-01-01,133.28
2013-02-01,134.09
2013-03-01,134.24
2013-04-01,134.45
2013-05-01,134.56
2013-06-01,134.51
2013-07-01,134.83
2013-08-01,134.78
2013-09-01,134.64
2013-10-01,134.85
2013-11-01,134.86
2013-12-01,135.11
2014-01-01,135.22
2014-02-01,135.40
2014-03-01,135.55
2014-04-01,135.45
2014-05-01,135.66
2014-06-01,135.30
2014-07-01,135.22
2014-08-01,136.03
2014-09-01,136.08
2014-10-01,136.19
2014-11-01,136.97
2014-12-01,136.53
2015-01-01,136.56
2015-02-01,136.84
2015-03-01,136.84
2015-04-01,136.67
2015-05-01,136.92
2015-06-01,136.18
2015-07-01,136.24
2015-08-01,136.37
2015-09-01,136.39
2015-10-01,137.43
2015-11-01,137.34
2015-12-01,136.86
2016-01-01,137.60
2016-02-01,138.30
2016-03-01,138.33
2016-04-01,138.33
2016-05-01,138.20
2016-06-01,138.04
2016-07-01,137.96
2016-08-01,137.91
2016-09-01,138.29
2016-10-01,139.06
2016-11-01,138.86
2016-12-01,138.85
2017-01-01,139.64
2017-02-01,139.70
2017-03-01,139.92
2017-04-01,140.20
2017-05-01,139.78
2017-06-01,139.64
2017-07-01,139.71
2017-08-01,139.90
2017-09-01,140.39
2017-10-01,140.81
2017-11-01,141.01
2017-12-01,140.87
2018-01-01,141.20
2018-02-01,141.68
2018-03-01,141.74
2018-04-01,142.03
2018-05-01,141.62
