Date,SUUR0000SETG
1999-12-01,100.00
2000-01-01,99.70
2000-02-01,102.10
2000-03-01,104.10
2000-04-01,103.70
2000-05-01,104.60
2000-06-01,105.50
2000-07-01,106.30
2000-08-01,106.40
2000-09-01,104.70
2000-10-01,103.70
2000-11-01,104.30
2000-12-01,104.40
2001-01-01,104.50
2001-02-01,104.80
2001-03-01,104.10
2001-04-01,104.00
2001-05-01,104.50
2001-06-01,107.40
2001-07-01,106.60
2001-08-01,105.40
2001-09-01,104.90
2001-10-01,103.00
2001-11-01,101.70
2001-12-01,101.80
2002-01-01,102.10
2002-02-01,102.80
2002-03-01,103.20
2002-04-01,104.10
2002-05-01,105.00
2002-06-01,104.30
2002-07-01,103.80
2002-08-01,103.60
2002-09-01,102.00
2002-10-01,100.80
2002-11-01,100.70
2002-12-01,101.00
2003-01-01,100.60
2003-02-01,101.60
2003-03-01,102.50
2003-04-01,103.20
2003-05-01,105.50
2003-06-01,106.90
2003-07-01,107.60
2003-08-01,105.90
2003-09-01,104.80
2003-10-01,104.80
2003-11-01,103.00
2003-12-01,101.90
2004-01-01,102.40
2004-02-01,103.10
2004-03-01,104.00
2004-04-01,104.60
2004-05-01,104.20
2004-06-01,105.20
2004-07-01,105.80
2004-08-01,102.60
2004-09-01,101.00
2004-10-01,102.20
2004-11-01,102.80
2004-12-01,101.30
2005-01-01,100.90
2005-02-01,102.10
2005-03-01,104.20
2005-04-01,106.50
2005-05-01,108.10
2005-06-01,110.30
2005-07-01,111.80
2005-08-01,109.90
2005-09-01,109.00
2005-10-01,109.60
2005-11-01,108.60
2005-12-01,107.10
2006-01-01,108.30
2006-02-01,109.20
2006-03-01,109.80
2006-04-01,111.20
2006-05-01,113.30
2006-06-01,115.90
2006-07-01,116.80
2006-08-01,114.50
2006-09-01,112.30
2006-10-01,110.90
2006-11-01,107.80
2006-12-01,106.80
2007-01-01,108.56
2007-02-01,109.68
2007-03-01,110.63
2007-04-01,111.29
2007-05-01,111.92
2007-06-01,114.48
2007-07-01,115.19
2007-08-01,114.05
2007-09-01,113.17
2007-10-01,114.03
2007-11-01,114.60
2007-12-01,114.51
2008-01-01,114.93
2008-02-01,116.43
2008-03-01,119.30
2008-04-01,120.35
2008-05-01,124.50
2008-06-01,130.15
2008-07-01,131.99
2008-08-01,130.47
2008-09-01,126.80
2008-10-01,122.24
2008-11-01,118.69
2008-12-01,116.64
2009-01-01,115.24
2009-02-01,113.79
2009-03-01,113.65
2009-04-01,113.01
2009-05-01,112.94
2009-06-01,115.08
2009-07-01,117.74
2009-08-01,117.68
2009-09-01,117.97
2009-10-01,118.73
2009-11-01,120.07
2009-12-01,120.09
2010-01-01,118.36
2010-02-01,118.98
2010-03-01,120.41
2010-04-01,122.65
2010-05-01,124.72
2010-06-01,126.11
2010-07-01,125.43
2010-08-01,124.05
2010-09-01,123.03
2010-10-01,123.09
2010-11-01,124.89
2010-12-01,125.95
2011-01-01,127.87
2011-02-01,130.24
2011-03-01,132.24
2011-04-01,132.66
2011-05-01,132.42
2011-06-01,132.79
2011-07-01,132.80
2011-08-01,132.76
2011-09-01,131.69
2011-10-01,130.91
2011-11-01,130.75
2011-12-01,129.53
2012-01-01,128.36
2012-02-01,129.43
2012-03-01,131.70
2012-04-01,134.09
2012-05-01,135.12
2012-06-01,134.53
2012-07-01,132.22
2012-08-01,130.84
2012-09-01,130.99
2012-10-01,131.71
2012-11-01,132.31
2012-12-01,132.72
2013-01-01,132.99
2013-02-01,133.37
2013-03-01,135.75
2013-04-01,136.55
2013-05-01,138.74
2013-06-01,138.81
2013-07-01,135.76
2013-08-01,132.18
2013-09-01,131.88
2013-10-01,133.85
2013-11-01,136.36
2013-12-01,131.91
2014-01-01,128.92
2014-02-01,130.07
2014-03-01,131.63
2014-04-01,135.77
2014-05-01,142.14
2014-06-01,142.75
2014-07-01,134.84
2014-08-01,128.58
2014-09-01,127.56
2014-10-01,129.67
2014-11-01,131.00
2014-12-01,126.56
2015-01-01,124.96
2015-02-01,125.72
2015-03-01,125.81
2015-04-01,128.00
2015-05-01,133.83
2015-06-01,135.72
2015-07-01,128.86
2015-08-01,123.53
2015-09-01,122.62
2015-10-01,125.47
2015-11-01,127.39
2015-12-01,123.84
2016-01-01,123.56
2016-02-01,124.83
2016-03-01,124.79
2016-04-01,128.10
2016-05-01,132.53
2016-06-01,132.46
2016-07-01,125.00
2016-08-01,120.60
2016-09-01,119.99
2016-10-01,120.92
2016-11-01,122.23
2016-12-01,120.10
2017-01-01,121.05
2017-02-01,123.77
2017-03-01,124.86
2017-04-01,128.05
2017-05-01,130.05
2017-06-01,128.85
2017-07-01,123.42
2017-08-01,118.68
2017-09-01,119.05
2017-10-01,121.57
2017-11-01,121.41
2017-12-01,118.06
2018-01-01,118.27
2018-02-01,121.14
2018-03-01,121.96
2018-04-01,123.86
2018-05-01,125.72
