Date,TLCOMCON
2002-01-01,4887000000.00
2002-02-01,4825000000.00
2002-03-01,5102000000.00
2002-04-01,5267000000.00
2002-05-01,5220000000.00
2002-06-01,5361000000.00
2002-07-01,5261000000.00
2002-08-01,5605000000.00
2002-09-01,5711000000.00
2002-10-01,5597000000.00
2002-11-01,5202000000.00
2002-12-01,4482000000.00
2003-01-01,4344000000.00
2003-02-01,4320000000.00
2003-03-01,4595000000.00
2003-04-01,4865000000.00
2003-05-01,5166000000.00
2003-06-01,5546000000.00
2003-07-01,5595000000.00
2003-08-01,5852000000.00
2003-09-01,5751000000.00
2003-10-01,5610000000.00
2003-11-01,5146000000.00
2003-12-01,4741000000.00
2004-01-01,4524000000.00
2004-02-01,4626000000.00
2004-03-01,4981000000.00
2004-04-01,5366000000.00
2004-05-01,5715000000.00
2004-06-01,6122000000.00
2004-07-01,6306000000.00
2004-08-01,6198000000.00
2004-09-01,6332000000.00
2004-10-01,6049000000.00
2004-11-01,5732000000.00
2004-12-01,5106000000.00
2005-01-01,4825000000.00
2005-02-01,4976000000.00
2005-03-01,5334000000.00
2005-04-01,5629000000.00
2005-05-01,5994000000.00
2005-06-01,6058000000.00
2005-07-01,6099000000.00
2005-08-01,6399000000.00
2005-09-01,6378000000.00
2005-10-01,6524000000.00
2005-11-01,6232000000.00
2005-12-01,5794000000.00
2006-01-01,5572000000.00
2006-02-01,5410000000.00
2006-03-01,5792000000.00
2006-04-01,5969000000.00
2006-05-01,6475000000.00
2006-06-01,6739000000.00
2006-07-01,6711000000.00
2006-08-01,6975000000.00
2006-09-01,7126000000.00
2006-10-01,6876000000.00
2006-11-01,6777000000.00
2006-12-01,6291000000.00
2007-01-01,5935000000.00
2007-02-01,6133000000.00
2007-03-01,6579000000.00
2007-04-01,7061000000.00
2007-05-01,7834000000.00
2007-06-01,8107000000.00
2007-07-01,8021000000.00
2007-08-01,8432000000.00
2007-09-01,8469000000.00
2007-10-01,8380000000.00
2007-11-01,7826000000.00
2007-12-01,6907000000.00
2008-01-01,6790000000.00
2008-02-01,6903000000.00
2008-03-01,7012000000.00
2008-04-01,7460000000.00
2008-05-01,7739000000.00
2008-06-01,7827000000.00
2008-07-01,7881000000.00
2008-08-01,7670000000.00
2008-09-01,7539000000.00
2008-10-01,7207000000.00
2008-11-01,6522000000.00
2008-12-01,5663000000.00
2009-01-01,5004000000.00
2009-02-01,4970000000.00
2009-03-01,5112000000.00
2009-04-01,5097000000.00
2009-05-01,4962000000.00
2009-06-01,4743000000.00
2009-07-01,4601000000.00
2009-08-01,4451000000.00
2009-09-01,4470000000.00
2009-10-01,3989000000.00
2009-11-01,3812000000.00
2009-12-01,3525000000.00
2010-01-01,3119000000.00
2010-02-01,3095000000.00
2010-03-01,3250000000.00
2010-04-01,3375000000.00
2010-05-01,3404000000.00
2010-06-01,3636000000.00
2010-07-01,3424000000.00
2010-08-01,3652000000.00
2010-09-01,3596000000.00
2010-10-01,3446000000.00
2010-11-01,3223000000.00
2010-12-01,2882000000.00
2011-01-01,2689000000.00
2011-02-01,2803000000.00
2011-03-01,3088000000.00
2011-04-01,3465000000.00
2011-05-01,3693000000.00
2011-06-01,3981000000.00
2011-07-01,3974000000.00
2011-08-01,4207000000.00
2011-09-01,4023000000.00
2011-10-01,3797000000.00
2011-11-01,3687000000.00
2011-12-01,3409000000.00
2012-01-01,3207000000.00
2012-02-01,3270000000.00
2012-03-01,3588000000.00
2012-04-01,3919000000.00
2012-05-01,4033000000.00
2012-06-01,4223000000.00
2012-07-01,4232000000.00
2012-08-01,4345000000.00
2012-09-01,4420000000.00
2012-10-01,4418000000.00
2012-11-01,4038000000.00
2012-12-01,3642000000.00
2013-01-01,3543000000.00
2013-02-01,3774000000.00
2013-03-01,3920000000.00
2013-04-01,4210000000.00
2013-05-01,4427000000.00
2013-06-01,4549000000.00
2013-07-01,4726000000.00
2013-08-01,4779000000.00
2013-09-01,4929000000.00
2013-10-01,5020000000.00
2013-11-01,4845000000.00
2013-12-01,4438000000.00
2014-01-01,3894000000.00
2014-02-01,4155000000.00
2014-03-01,4492000000.00
2014-04-01,4857000000.00
2014-05-01,5148000000.00
2014-06-01,5433000000.00
2014-07-01,5542000000.00
2014-08-01,5855000000.00
2014-09-01,6164000000.00
2014-10-01,6244000000.00
2014-11-01,5740000000.00
2014-12-01,5319000000.00
2015-01-01,4648000000.00
2015-02-01,4529000000.00
2015-03-01,4983000000.00
2015-04-01,5446000000.00
2015-05-01,5708000000.00
2015-06-01,5661000000.00
2015-07-01,5717000000.00
2015-08-01,5997000000.00
2015-09-01,6082000000.00
2015-10-01,6143000000.00
2015-11-01,5604000000.00
2015-12-01,5380000000.00
2016-01-01,5107000000.00
2016-02-01,5299000000.00
2016-03-01,5580000000.00
2016-04-01,6062000000.00
2016-05-01,6445000000.00
2016-06-01,6572000000.00
2016-07-01,6651000000.00
2016-08-01,7000000000.00
2016-09-01,6997000000.00
2016-10-01,7206000000.00
2016-11-01,6982000000.00
2016-12-01,6678000000.00
2017-01-01,6022000000.00
2017-02-01,6124000000.00
2017-03-01,6559000000.00
2017-04-01,7098000000.00
2017-05-01,7639000000.00
2017-06-01,7759000000.00
2017-07-01,7646000000.00
2017-08-01,7719000000.00
2017-09-01,7942000000.00
2017-10-01,7983000000.00
2017-11-01,7591000000.00
2017-12-01,7236000000.00
2018-01-01,6572000000.00
2018-02-01,7032000000.00
2018-03-01,7283000000.00
2018-04-01,7498000000.00
