Date,TLPWRCON
2002-01-01,3402000000.00
2002-02-01,3324000000.00
2002-03-01,3433000000.00
2002-04-01,3479000000.00
2002-05-01,3141000000.00
2002-06-01,2946000000.00
2002-07-01,3010000000.00
2002-08-01,2781000000.00
2002-09-01,2630000000.00
2002-10-01,2815000000.00
2002-11-01,2978000000.00
2002-12-01,2865000000.00
2003-01-01,3343000000.00
2003-02-01,3377000000.00
2003-03-01,3576000000.00
2003-04-01,3712000000.00
2003-05-01,3361000000.00
2003-06-01,3536000000.00
2003-07-01,3133000000.00
2003-08-01,3529000000.00
2003-09-01,3885000000.00
2003-10-01,3656000000.00
2003-11-01,2949000000.00
2003-12-01,3394000000.00
2004-01-01,3360000000.00
2004-02-01,2714000000.00
2004-03-01,2985000000.00
2004-04-01,2809000000.00
2004-05-01,2500000000.00
2004-06-01,2614000000.00
2004-07-01,2610000000.00
2004-08-01,3236000000.00
2004-09-01,3550000000.00
2004-10-01,3226000000.00
2004-11-01,3091000000.00
2004-12-01,2944000000.00
2005-01-01,2977000000.00
2005-02-01,2821000000.00
2005-03-01,2895000000.00
2005-04-01,2913000000.00
2005-05-01,3257000000.00
2005-06-01,3276000000.00
2005-07-01,3249000000.00
2005-08-01,3281000000.00
2005-09-01,3326000000.00
2005-10-01,3528000000.00
2005-11-01,3456000000.00
2005-12-01,3394000000.00
2006-01-01,3193000000.00
2006-02-01,3388000000.00
2006-03-01,3434000000.00
2006-04-01,3290000000.00
2006-05-01,3344000000.00
2006-06-01,3515000000.00
2006-07-01,3336000000.00
2006-08-01,3553000000.00
2006-09-01,3551000000.00
2006-10-01,3753000000.00
2006-11-01,3897000000.00
2006-12-01,3988000000.00
2007-01-01,3951000000.00
2007-02-01,4273000000.00
2007-03-01,4633000000.00
2007-04-01,4589000000.00
2007-05-01,5078000000.00
2007-06-01,5495000000.00
2007-07-01,5486000000.00
2007-08-01,5954000000.00
2007-09-01,5971000000.00
2007-10-01,7130000000.00
2007-11-01,6876000000.00
2007-12-01,6620000000.00
2008-01-01,6840000000.00
2008-02-01,6633000000.00
2008-03-01,6425000000.00
2008-04-01,6314000000.00
2008-05-01,6376000000.00
2008-06-01,6342000000.00
2008-07-01,6409000000.00
2008-08-01,6351000000.00
2008-09-01,6549000000.00
2008-10-01,7946000000.00
2008-11-01,7538000000.00
2008-12-01,7352000000.00
2009-01-01,6150000000.00
2009-02-01,6582000000.00
2009-03-01,7528000000.00
2009-04-01,7080000000.00
2009-05-01,7388000000.00
2009-06-01,7691000000.00
2009-07-01,7888000000.00
2009-08-01,7900000000.00
2009-09-01,7526000000.00
2009-10-01,8269000000.00
2009-11-01,7584000000.00
2009-12-01,7276000000.00
2010-01-01,5114000000.00
2010-02-01,4975000000.00
2010-03-01,5306000000.00
2010-04-01,5880000000.00
2010-05-01,6012000000.00
2010-06-01,6564000000.00
2010-07-01,6319000000.00
2010-08-01,6541000000.00
2010-09-01,6526000000.00
2010-10-01,7903000000.00
2010-11-01,8490000000.00
2010-12-01,8316000000.00
2011-01-01,4925000000.00
2011-02-01,4920000000.00
2011-03-01,5197000000.00
2011-04-01,5514000000.00
2011-05-01,5685000000.00
2011-06-01,6394000000.00
2011-07-01,6148000000.00
2011-08-01,6568000000.00
2011-09-01,6702000000.00
2011-10-01,7521000000.00
2011-11-01,7899000000.00
2011-12-01,7713000000.00
2012-01-01,7661000000.00
2012-02-01,7538000000.00
2012-03-01,7597000000.00
2012-04-01,7899000000.00
2012-05-01,8327000000.00
2012-06-01,8260000000.00
2012-07-01,7780000000.00
2012-08-01,7856000000.00
2012-09-01,8257000000.00
2012-10-01,9012000000.00
2012-11-01,9010000000.00
2012-12-01,8239000000.00
2013-01-01,6247000000.00
2013-02-01,6080000000.00
2013-03-01,6192000000.00
2013-04-01,6696000000.00
2013-05-01,7117000000.00
2013-06-01,7924000000.00
2013-07-01,7905000000.00
2013-08-01,8095000000.00
2013-09-01,8522000000.00
2013-10-01,9319000000.00
2013-11-01,9586000000.00
2013-12-01,9636000000.00
2014-01-01,9503000000.00
2014-02-01,9600000000.00
2014-03-01,9646000000.00
2014-04-01,9724000000.00
2014-05-01,9604000000.00
2014-06-01,9681000000.00
2014-07-01,9460000000.00
2014-08-01,8898000000.00
2014-09-01,8573000000.00
2014-10-01,8925000000.00
2014-11-01,8423000000.00
2014-12-01,8052000000.00
2015-01-01,7291000000.00
2015-02-01,7715000000.00
2015-03-01,8451000000.00
2015-04-01,9048000000.00
2015-05-01,9365000000.00
2015-06-01,9557000000.00
2015-07-01,9382000000.00
2015-08-01,9178000000.00
2015-09-01,8614000000.00
2015-10-01,8264000000.00
2015-11-01,8188000000.00
2015-12-01,7920000000.00
2016-01-01,7756000000.00
2016-02-01,7843000000.00
2016-03-01,8133000000.00
2016-04-01,8485000000.00
2016-05-01,9031000000.00
2016-06-01,9442000000.00
2016-07-01,9101000000.00
2016-08-01,9026000000.00
2016-09-01,9135000000.00
2016-10-01,9364000000.00
2016-11-01,9349000000.00
2016-12-01,9091000000.00
2017-01-01,8142000000.00
2017-02-01,8053000000.00
2017-03-01,8091000000.00
2017-04-01,7989000000.00
2017-05-01,8480000000.00
2017-06-01,8476000000.00
2017-07-01,8317000000.00
2017-08-01,8225000000.00
2017-09-01,8326000000.00
2017-10-01,8376000000.00
2017-11-01,8800000000.00
2017-12-01,8542000000.00
2018-01-01,7665000000.00
2018-02-01,7585000000.00
2018-03-01,7740000000.00
2018-04-01,8037000000.00
