Date,U22BTI
1992-01-01,3507000000.00
1992-02-01,3431000000.00
1992-03-01,3444000000.00
1992-04-01,3452000000.00
1992-05-01,3454000000.00
1992-06-01,3435000000.00
1992-07-01,3490000000.00
1992-08-01,3433000000.00
1992-09-01,3406000000.00
1992-10-01,3332000000.00
1992-11-01,3356000000.00
1992-12-01,3458000000.00
1993-01-01,3533000000.00
1993-02-01,3525000000.00
1993-03-01,3488000000.00
1993-04-01,3459000000.00
1993-05-01,3423000000.00
1993-06-01,3421000000.00
1993-07-01,3419000000.00
1993-08-01,3355000000.00
1993-09-01,3312000000.00
1993-10-01,3281000000.00
1993-11-01,3258000000.00
1993-12-01,3389000000.00
1994-01-01,3397000000.00
1994-02-01,3441000000.00
1994-03-01,3403000000.00
1994-04-01,3428000000.00
1994-05-01,3404000000.00
1994-06-01,3424000000.00
1994-07-01,3486000000.00
1994-08-01,3493000000.00
1994-09-01,3526000000.00
1994-10-01,3510000000.00
1994-11-01,3584000000.00
1994-12-01,3704000000.00
1995-01-01,3878000000.00
1995-02-01,4067000000.00
1995-03-01,4162000000.00
1995-04-01,4312000000.00
1995-05-01,4393000000.00
1995-06-01,4547000000.00
1995-07-01,4749000000.00
1995-08-01,4685000000.00
1995-09-01,4672000000.00
1995-10-01,4520000000.00
1995-11-01,4472000000.00
1995-12-01,4445000000.00
1996-01-01,4400000000.00
1996-02-01,4395000000.00
1996-03-01,4304000000.00
1996-04-01,4251000000.00
1996-05-01,4113000000.00
1996-06-01,3959000000.00
1996-07-01,3922000000.00
1996-08-01,3905000000.00
1996-09-01,3933000000.00
1996-10-01,3853000000.00
1996-11-01,3825000000.00
1996-12-01,3960000000.00
1997-01-01,3967000000.00
1997-02-01,3980000000.00
1997-03-01,4136000000.00
1997-04-01,3989000000.00
1997-05-01,3953000000.00
1997-06-01,3781000000.00
1997-07-01,3820000000.00
1997-08-01,3818000000.00
1997-09-01,3844000000.00
1997-10-01,3836000000.00
1997-11-01,3843000000.00
1997-12-01,4030000000.00
1998-01-01,4131000000.00
1998-02-01,4206000000.00
1998-03-01,4274000000.00
1998-04-01,4295000000.00
1998-05-01,4294000000.00
1998-06-01,4349000000.00
1998-07-01,4390000000.00
1998-08-01,4399000000.00
1998-09-01,4294000000.00
1998-10-01,4176000000.00
1998-11-01,4153000000.00
1998-12-01,3921000000.00
1999-01-01,4082000000.00
1999-02-01,4043000000.00
1999-03-01,4040000000.00
1999-04-01,4009000000.00
1999-05-01,3971000000.00
1999-06-01,3941000000.00
1999-07-01,3963000000.00
1999-08-01,4252000000.00
1999-09-01,4368000000.00
1999-10-01,4346000000.00
1999-11-01,4333000000.00
1999-12-01,4314000000.00
2000-01-01,4483000000.00
2000-02-01,4530000000.00
2000-03-01,4493000000.00
2000-04-01,4552000000.00
2000-05-01,4649000000.00
2000-06-01,4595000000.00
2000-07-01,4666000000.00
2000-08-01,4611000000.00
2000-09-01,4574000000.00
2000-10-01,4534000000.00
2000-11-01,4452000000.00
2000-12-01,4408000000.00
2001-01-01,4354000000.00
2001-02-01,4396000000.00
2001-03-01,4248000000.00
2001-04-01,4237000000.00
2001-05-01,4170000000.00
2001-06-01,4100000000.00
2001-07-01,4137000000.00
2001-08-01,4111000000.00
2001-09-01,4145000000.00
2001-10-01,4122000000.00
2001-11-01,4060000000.00
2001-12-01,3998000000.00
2002-01-01,3985000000.00
2002-02-01,3925000000.00
2002-03-01,3875000000.00
2002-04-01,3835000000.00
2002-05-01,3759000000.00
2002-06-01,3749000000.00
2002-07-01,3700000000.00
2002-08-01,3669000000.00
2002-09-01,3812000000.00
2002-10-01,3878000000.00
2002-11-01,3835000000.00
2002-12-01,3912000000.00
2003-01-01,3962000000.00
2003-02-01,3914000000.00
2003-03-01,3781000000.00
2003-04-01,3835000000.00
2003-05-01,3815000000.00
2003-06-01,3810000000.00
2003-07-01,3790000000.00
2003-08-01,3733000000.00
2003-09-01,3730000000.00
2003-10-01,3656000000.00
2003-11-01,3654000000.00
2003-12-01,3658000000.00
2004-01-01,3763000000.00
2004-02-01,3712000000.00
2004-03-01,3626000000.00
2004-04-01,3668000000.00
2004-05-01,3747000000.00
2004-06-01,3797000000.00
2004-07-01,3895000000.00
2004-08-01,3983000000.00
2004-09-01,3881000000.00
2004-10-01,4022000000.00
2004-11-01,4033000000.00
2004-12-01,4024000000.00
2005-01-01,4145000000.00
2005-02-01,4128000000.00
2005-03-01,4071000000.00
2005-04-01,4028000000.00
2005-05-01,4034000000.00
2005-06-01,3959000000.00
2005-07-01,3974000000.00
2005-08-01,3914000000.00
2005-09-01,3864000000.00
2005-10-01,3804000000.00
2005-11-01,3746000000.00
2005-12-01,3878000000.00
2006-01-01,3918000000.00
2006-02-01,3997000000.00
2006-03-01,4038000000.00
2006-04-01,4071000000.00
2006-05-01,4113000000.00
2006-06-01,4100000000.00
2006-07-01,4040000000.00
2006-08-01,4030000000.00
2006-09-01,4013000000.00
2006-10-01,3961000000.00
2006-11-01,4030000000.00
2006-12-01,4055000000.00
2007-01-01,4157000000.00
2007-02-01,4218000000.00
2007-03-01,4091000000.00
2007-04-01,4072000000.00
2007-05-01,4094000000.00
2007-06-01,4021000000.00
2007-07-01,4079000000.00
2007-08-01,4037000000.00
2007-09-01,4070000000.00
2007-10-01,4021000000.00
2007-11-01,4020000000.00
2007-12-01,4146000000.00
2008-01-01,4203000000.00
2008-02-01,4268000000.00
2008-03-01,4284000000.00
2008-04-01,4309000000.00
2008-05-01,4265000000.00
2008-06-01,4229000000.00
2008-07-01,4231000000.00
2008-08-01,4310000000.00
2008-09-01,4334000000.00
2008-10-01,4427000000.00
2008-11-01,4499000000.00
2008-12-01,4308000000.00
2009-01-01,4225000000.00
2009-02-01,4247000000.00
2009-03-01,4085000000.00
2009-04-01,4048000000.00
2009-05-01,3904000000.00
2009-06-01,3865000000.00
2009-07-01,3824000000.00
2009-08-01,3822000000.00
2009-09-01,3776000000.00
2009-10-01,3700000000.00
2009-11-01,3732000000.00
2009-12-01,3668000000.00
2010-01-01,3754000000.00
2010-02-01,3772000000.00
2010-03-01,3866000000.00
2010-04-01,3918000000.00
2010-05-01,4055000000.00
2010-06-01,4112000000.00
2010-07-01,3997000000.00
2010-08-01,4052000000.00
2010-09-01,4045000000.00
2010-10-01,4059000000.00
2010-11-01,4120000000.00
2010-12-01,3836000000.00
2011-01-01,3999000000.00
2011-02-01,4070000000.00
2011-03-01,4083000000.00
2011-04-01,4080000000.00
2011-05-01,4038000000.00
2011-06-01,4041000000.00
2011-07-01,4041000000.00
2011-08-01,4080000000.00
2011-09-01,4064000000.00
2011-10-01,4059000000.00
2011-11-01,4012000000.00
2011-12-01,4028000000.00
2012-01-01,4085000000.00
2012-02-01,4125000000.00
2012-03-01,4124000000.00
2012-04-01,4113000000.00
2012-05-01,4039000000.00
2012-06-01,4032000000.00
2012-07-01,4035000000.00
2012-08-01,4032000000.00
2012-09-01,4049000000.00
2012-10-01,4065000000.00
2012-11-01,4094000000.00
2012-12-01,4161000000.00
2013-01-01,4166000000.00
2013-02-01,4229000000.00
2013-03-01,4243000000.00
2013-04-01,4271000000.00
2013-05-01,4257000000.00
2013-06-01,4336000000.00
2013-07-01,4447000000.00
2013-08-01,4506000000.00
2013-09-01,4539000000.00
2013-10-01,4514000000.00
2013-11-01,4519000000.00
2013-12-01,4572000000.00
2014-01-01,4607000000.00
2014-02-01,4656000000.00
2014-03-01,4686000000.00
2014-04-01,4678000000.00
2014-05-01,5241000000.00
2014-06-01,5261000000.00
2014-07-01,5327000000.00
2014-08-01,5378000000.00
2014-09-01,5385000000.00
2014-10-01,5379000000.00
2014-11-01,5428000000.00
2014-12-01,4741000000.00
2015-01-01,4792000000.00
2015-02-01,4792000000.00
2015-03-01,4758000000.00
2015-04-01,5148000000.00
2015-05-01,5127000000.00
2015-06-01,5031000000.00
2015-07-01,5050000000.00
2015-08-01,5064000000.00
2015-09-01,5002000000.00
2015-10-01,4942000000.00
2015-11-01,4842000000.00
2015-12-01,4822000000.00
2016-01-01,4892000000.00
2016-02-01,4913000000.00
2016-03-01,4854000000.00
2016-04-01,4824000000.00
2016-05-01,4773000000.00
2016-06-01,4690000000.00
2016-07-01,4731000000.00
2016-08-01,4680000000.00
2016-09-01,4710000000.00
2016-10-01,4673000000.00
2016-11-01,4663000000.00
2016-12-01,4789000000.00
2017-01-01,4816000000.00
2017-02-01,4771000000.00
2017-03-01,4728000000.00
2017-04-01,4701000000.00
