Date,U22BVS
1992-01-01,2506000000.00
1992-02-01,2609000000.00
1992-03-01,2683000000.00
1992-04-01,2675000000.00
1992-05-01,2692000000.00
1992-06-01,2827000000.00
1992-07-01,2662000000.00
1992-08-01,2808000000.00
1992-09-01,2822000000.00
1992-10-01,2881000000.00
1992-11-01,2717000000.00
1992-12-01,2634000000.00
1993-01-01,2625000000.00
1993-02-01,2732000000.00
1993-03-01,2846000000.00
1993-04-01,2848000000.00
1993-05-01,2824000000.00
1993-06-01,2879000000.00
1993-07-01,2738000000.00
1993-08-01,2878000000.00
1993-09-01,2849000000.00
1993-10-01,2834000000.00
1993-11-01,2725000000.00
1993-12-01,2601000000.00
1994-01-01,2683000000.00
1994-02-01,2785000000.00
1994-03-01,2899000000.00
1994-04-01,2948000000.00
1994-05-01,2931000000.00
1994-06-01,3045000000.00
1994-07-01,2871000000.00
1994-08-01,3181000000.00
1994-09-01,3135000000.00
1994-10-01,3252000000.00
1994-11-01,3114000000.00
1994-12-01,3016000000.00
1995-01-01,3205000000.00
1995-02-01,3377000000.00
1995-03-01,3481000000.00
1995-04-01,3385000000.00
1995-05-01,3572000000.00
1995-06-01,3669000000.00
1995-07-01,3293000000.00
1995-08-01,3665000000.00
1995-09-01,3689000000.00
1995-10-01,3716000000.00
1995-11-01,3521000000.00
1995-12-01,3268000000.00
1996-01-01,3424000000.00
1996-02-01,3510000000.00
1996-03-01,3462000000.00
1996-04-01,3371000000.00
1996-05-01,3346000000.00
1996-06-01,3343000000.00
1996-07-01,3187000000.00
1996-08-01,3378000000.00
1996-09-01,3402000000.00
1996-10-01,3414000000.00
1996-11-01,3235000000.00
1996-12-01,3067000000.00
1997-01-01,3193000000.00
1997-02-01,3292000000.00
1997-03-01,3265000000.00
1997-04-01,3261000000.00
1997-05-01,3249000000.00
1997-06-01,3271000000.00
1997-07-01,3121000000.00
1997-08-01,3312000000.00
1997-09-01,3431000000.00
1997-10-01,3560000000.00
1997-11-01,3470000000.00
1997-12-01,3548000000.00
1998-01-01,3478000000.00
1998-02-01,3529000000.00
1998-03-01,3689000000.00
1998-04-01,3647000000.00
1998-05-01,3711000000.00
1998-06-01,3822000000.00
1998-07-01,3649000000.00
1998-08-01,3736000000.00
1998-09-01,3608000000.00
1998-10-01,3689000000.00
1998-11-01,3286000000.00
1998-12-01,3570000000.00
1999-01-01,3361000000.00
1999-02-01,3497000000.00
1999-03-01,3409000000.00
1999-04-01,3408000000.00
1999-05-01,3400000000.00
1999-06-01,3534000000.00
1999-07-01,3345000000.00
1999-08-01,4167000000.00
1999-09-01,4067000000.00
1999-10-01,4200000000.00
1999-11-01,3964000000.00
1999-12-01,3841000000.00
2000-01-01,3889000000.00
2000-02-01,4046000000.00
2000-03-01,4206000000.00
2000-04-01,4107000000.00
2000-05-01,4100000000.00
2000-06-01,4013000000.00
2000-07-01,3848000000.00
2000-08-01,4044000000.00
2000-09-01,3924000000.00
2000-10-01,4075000000.00
2000-11-01,3933000000.00
2000-12-01,3800000000.00
2001-01-01,3892000000.00
2001-02-01,4027000000.00
2001-03-01,4033000000.00
2001-04-01,3816000000.00
2001-05-01,4006000000.00
2001-06-01,3798000000.00
2001-07-01,3757000000.00
2001-08-01,4055000000.00
2001-09-01,3696000000.00
2001-10-01,3950000000.00
2001-11-01,3533000000.00
2001-12-01,3254000000.00
2002-01-01,3514000000.00
2002-02-01,3366000000.00
2002-03-01,3543000000.00
2002-04-01,3566000000.00
2002-05-01,3777000000.00
2002-06-01,3648000000.00
2002-07-01,3663000000.00
2002-08-01,3884000000.00
2002-09-01,3727000000.00
2002-10-01,3895000000.00
2002-11-01,3536000000.00
2002-12-01,3412000000.00
2003-01-01,3595000000.00
2003-02-01,3541000000.00
2003-03-01,3660000000.00
2003-04-01,3665000000.00
2003-05-01,3743000000.00
2003-06-01,3826000000.00
2003-07-01,3582000000.00
2003-08-01,3687000000.00
2003-09-01,3621000000.00
2003-10-01,3774000000.00
2003-11-01,3356000000.00
2003-12-01,3386000000.00
2004-01-01,3434000000.00
2004-02-01,3343000000.00
2004-03-01,3689000000.00
2004-04-01,3511000000.00
2004-05-01,3591000000.00
2004-06-01,3800000000.00
2004-07-01,3746000000.00
2004-08-01,4055000000.00
2004-09-01,3834000000.00
2004-10-01,3876000000.00
2004-11-01,3805000000.00
2004-12-01,3823000000.00
2005-01-01,3737000000.00
2005-02-01,3662000000.00
2005-03-01,3942000000.00
2005-04-01,3818000000.00
2005-05-01,3954000000.00
2005-06-01,4119000000.00
2005-07-01,3711000000.00
2005-08-01,4013000000.00
2005-09-01,3795000000.00
2005-10-01,3858000000.00
2005-11-01,3811000000.00
2005-12-01,3764000000.00
2006-01-01,3868000000.00
2006-02-01,3592000000.00
2006-03-01,4017000000.00
2006-04-01,3693000000.00
2006-05-01,4242000000.00
2006-06-01,4244000000.00
2006-07-01,3959000000.00
2006-08-01,4340000000.00
2006-09-01,4058000000.00
2006-10-01,4253000000.00
2006-11-01,4079000000.00
2006-12-01,4096000000.00
2007-01-01,4136000000.00
2007-02-01,3846000000.00
2007-03-01,4184000000.00
2007-04-01,4141000000.00
2007-05-01,4385000000.00
2007-06-01,4347000000.00
2007-07-01,4248000000.00
2007-08-01,4492000000.00
2007-09-01,4259000000.00
2007-10-01,4604000000.00
2007-11-01,4295000000.00
2007-12-01,3998000000.00
2008-01-01,4282000000.00
2008-02-01,4121000000.00
2008-03-01,4320000000.00
2008-04-01,4332000000.00
2008-05-01,4368000000.00
2008-06-01,4488000000.00
2008-07-01,4467000000.00
2008-08-01,4574000000.00
2008-09-01,4531000000.00
2008-10-01,4676000000.00
2008-11-01,3927000000.00
2008-12-01,3863000000.00
2009-01-01,3498000000.00
2009-02-01,4350000000.00
2009-03-01,4098000000.00
2009-04-01,3983000000.00
2009-05-01,3878000000.00
2009-06-01,4164000000.00
2009-07-01,4091000000.00
2009-08-01,4009000000.00
2009-09-01,4000000000.00
2009-10-01,4037000000.00
2009-11-01,3770000000.00
2009-12-01,3808000000.00
2010-01-01,3773000000.00
2010-02-01,3764000000.00
2010-03-01,4330000000.00
2010-04-01,4006000000.00
2010-05-01,4144000000.00
2010-06-01,4358000000.00
2010-07-01,4282000000.00
2010-08-01,4479000000.00
2010-09-01,4432000000.00
2010-10-01,4463000000.00
2010-11-01,4247000000.00
2010-12-01,4209000000.00
2011-01-01,4205000000.00
2011-02-01,4076000000.00
2011-03-01,4648000000.00
2011-04-01,4401000000.00
2011-05-01,4441000000.00
2011-06-01,4561000000.00
2011-07-01,4417000000.00
2011-08-01,4558000000.00
2011-09-01,4422000000.00
2011-10-01,4476000000.00
2011-11-01,4345000000.00
2011-12-01,4175000000.00
2012-01-01,4217000000.00
2012-02-01,4192000000.00
2012-03-01,4472000000.00
2012-04-01,4422000000.00
2012-05-01,4500000000.00
2012-06-01,4579000000.00
2012-07-01,4595000000.00
2012-08-01,4775000000.00
2012-09-01,4497000000.00
2012-10-01,4824000000.00
2012-11-01,4489000000.00
2012-12-01,4243000000.00
2013-01-01,4664000000.00
2013-02-01,4365000000.00
2013-03-01,4796000000.00
2013-04-01,4893000000.00
2013-05-01,5019000000.00
2013-06-01,4942000000.00
2013-07-01,5091000000.00
2013-08-01,5156000000.00
2013-09-01,4889000000.00
2013-10-01,5143000000.00
2013-11-01,4573000000.00
2013-12-01,4439000000.00
2014-01-01,4601000000.00
2014-02-01,4257000000.00
2014-03-01,4607000000.00
2014-04-01,4535000000.00
2014-05-01,5362000000.00
2014-06-01,5370000000.00
2014-07-01,5465000000.00
2014-08-01,5374000000.00
2014-09-01,5432000000.00
2014-10-01,5700000000.00
2014-11-01,5053000000.00
2014-12-01,4676000000.00
2015-01-01,4759000000.00
2015-02-01,4522000000.00
2015-03-01,4969000000.00
2015-04-01,5008000000.00
2015-05-01,5026000000.00
2015-06-01,5354000000.00
2015-07-01,5318000000.00
2015-08-01,5281000000.00
2015-09-01,5300000000.00
2015-10-01,5388000000.00
2015-11-01,4886000000.00
2015-12-01,4884000000.00
2016-01-01,4889000000.00
2016-02-01,4981000000.00
2016-03-01,5359000000.00
2016-04-01,5071000000.00
2016-05-01,5181000000.00
2016-06-01,5356000000.00
2016-07-01,5042000000.00
2016-08-01,5437000000.00
2016-09-01,5302000000.00
2016-10-01,5314000000.00
2016-11-01,5103000000.00
2016-12-01,4762000000.00
2017-01-01,5182000000.00
2017-02-01,4868000000.00
2017-03-01,5582000000.00
2017-04-01,5046000000.00
2017-05-01,5422000000.00
2017-06-01,5560000000.00
2017-07-01,5161000000.00
2017-08-01,5758000000.00
2017-09-01,5460000000.00
2017-10-01,5795000000.00
2017-11-01,5385000000.00
2017-12-01,5019000000.00
2018-01-01,5554000000.00
2018-02-01,5114000000.00
2018-03-01,5665000000.00
2018-04-01,5478000000.00
