Date,U34FVS
1992-01-01,660000000.00
1992-02-01,737000000.00
1992-03-01,819000000.00
1992-04-01,706000000.00
1992-05-01,659000000.00
1992-06-01,660000000.00
1992-07-01,630000000.00
1992-08-01,702000000.00
1992-09-01,811000000.00
1992-10-01,873000000.00
1992-11-01,876000000.00
1992-12-01,675000000.00
1993-01-01,618000000.00
1993-02-01,682000000.00
1993-03-01,828000000.00
1993-04-01,584000000.00
1993-05-01,609000000.00
1993-06-01,675000000.00
1993-07-01,690000000.00
1993-08-01,810000000.00
1993-09-01,1007000000.00
1993-10-01,972000000.00
1993-11-01,928000000.00
1993-12-01,751000000.00
1994-01-01,661000000.00
1994-02-01,772000000.00
1994-03-01,795000000.00
1994-04-01,664000000.00
1994-05-01,716000000.00
1994-06-01,766000000.00
1994-07-01,699000000.00
1994-08-01,873000000.00
1994-09-01,1078000000.00
1994-10-01,1104000000.00
1994-11-01,1060000000.00
1994-12-01,907000000.00
1995-01-01,756000000.00
1995-02-01,910000000.00
1995-03-01,979000000.00
1995-04-01,802000000.00
1995-05-01,805000000.00
1995-06-01,869000000.00
1995-07-01,861000000.00
1995-08-01,1008000000.00
1995-09-01,1209000000.00
1995-10-01,1285000000.00
1995-11-01,1230000000.00
1995-12-01,877000000.00
1996-01-01,671000000.00
1996-02-01,798000000.00
1996-03-01,882000000.00
1996-04-01,643000000.00
1996-05-01,665000000.00
1996-06-01,674000000.00
1996-07-01,600000000.00
1996-08-01,773000000.00
1996-09-01,914000000.00
1996-10-01,874000000.00
1996-11-01,778000000.00
1996-12-01,719000000.00
1997-01-01,645000000.00
1997-02-01,734000000.00
1997-03-01,712000000.00
1997-04-01,553000000.00
1997-05-01,598000000.00
1997-06-01,618000000.00
1997-07-01,554000000.00
1997-08-01,645000000.00
1997-09-01,818000000.00
1997-10-01,817000000.00
1997-11-01,793000000.00
1997-12-01,740000000.00
1998-01-01,605000000.00
1998-02-01,680000000.00
1998-03-01,732000000.00
1998-04-01,612000000.00
1998-05-01,578000000.00
1998-06-01,634000000.00
1998-07-01,579000000.00
1998-08-01,639000000.00
1998-09-01,792000000.00
1998-10-01,816000000.00
1998-11-01,838000000.00
1998-12-01,822000000.00
1999-01-01,645000000.00
1999-02-01,695000000.00
1999-03-01,727000000.00
1999-04-01,652000000.00
1999-05-01,685000000.00
1999-06-01,718000000.00
1999-07-01,666000000.00
1999-08-01,825000000.00
1999-09-01,994000000.00
1999-10-01,842000000.00
1999-11-01,741000000.00
1999-12-01,737000000.00
2000-01-01,696000000.00
2000-02-01,774000000.00
2000-03-01,849000000.00
2000-04-01,641000000.00
2000-05-01,584000000.00
2000-06-01,766000000.00
2000-07-01,733000000.00
2000-08-01,756000000.00
2000-09-01,836000000.00
2000-10-01,880000000.00
2000-11-01,884000000.00
2000-12-01,779000000.00
2001-01-01,601000000.00
2001-02-01,714000000.00
2001-03-01,766000000.00
2001-04-01,479000000.00
2001-05-01,561000000.00
2001-06-01,648000000.00
2001-07-01,643000000.00
2001-08-01,661000000.00
2001-09-01,701000000.00
2001-10-01,871000000.00
2001-11-01,1043000000.00
2001-12-01,1254000000.00
2002-01-01,661000000.00
2002-02-01,725000000.00
2002-03-01,773000000.00
2002-04-01,584000000.00
2002-05-01,688000000.00
2002-06-01,705000000.00
2002-07-01,630000000.00
2002-08-01,665000000.00
2002-09-01,733000000.00
2002-10-01,767000000.00
2002-11-01,905000000.00
2002-12-01,813000000.00
2003-01-01,570000000.00
2003-02-01,605000000.00
2003-03-01,622000000.00
2003-04-01,517000000.00
2003-05-01,572000000.00
2003-06-01,627000000.00
2003-07-01,631000000.00
2003-08-01,665000000.00
2003-09-01,782000000.00
2003-10-01,917000000.00
2003-11-01,969000000.00
2003-12-01,882000000.00
2004-01-01,649000000.00
2004-02-01,659000000.00
2004-03-01,790000000.00
2004-04-01,695000000.00
2004-05-01,710000000.00
2004-06-01,776000000.00
2004-07-01,777000000.00
2004-08-01,933000000.00
2004-09-01,975000000.00
2004-10-01,1173000000.00
2004-11-01,1257000000.00
2004-12-01,1155000000.00
2005-01-01,839000000.00
2005-02-01,821000000.00
2005-03-01,904000000.00
2005-04-01,671000000.00
2005-05-01,724000000.00
2005-06-01,733000000.00
2005-07-01,605000000.00
2005-08-01,753000000.00
2005-09-01,802000000.00
2005-10-01,975000000.00
2005-11-01,1040000000.00
2005-12-01,1102000000.00
2006-01-01,775000000.00
2006-02-01,813000000.00
2006-03-01,661000000.00
2006-04-01,606000000.00
2006-05-01,654000000.00
2006-06-01,726000000.00
2006-07-01,655000000.00
2006-08-01,772000000.00
2006-09-01,851000000.00
2006-10-01,952000000.00
2006-11-01,1080000000.00
2006-12-01,1043000000.00
2007-01-01,695000000.00
2007-02-01,632000000.00
2007-03-01,639000000.00
2007-04-01,550000000.00
2007-05-01,535000000.00
2007-06-01,564000000.00
2007-07-01,498000000.00
2007-08-01,590000000.00
2007-09-01,556000000.00
2007-10-01,726000000.00
2007-11-01,820000000.00
2007-12-01,745000000.00
2008-01-01,536000000.00
2008-02-01,500000000.00
2008-03-01,515000000.00
2008-04-01,514000000.00
2008-05-01,505000000.00
2008-06-01,478000000.00
2008-07-01,431000000.00
2008-08-01,432000000.00
2008-09-01,459000000.00
2008-10-01,586000000.00
2008-11-01,501000000.00
2008-12-01,497000000.00
2009-01-01,268000000.00
2009-02-01,263000000.00
2009-03-01,303000000.00
2009-04-01,208000000.00
2009-05-01,275000000.00
2009-06-01,230000000.00
2009-07-01,239000000.00
2009-08-01,217000000.00
2009-09-01,256000000.00
2009-10-01,379000000.00
2009-11-01,369000000.00
2009-12-01,319000000.00
2010-01-01,197000000.00
2010-02-01,165000000.00
2010-03-01,183000000.00
2010-04-01,141000000.00
2010-05-01,166000000.00
2010-06-01,187000000.00
2010-07-01,158000000.00
2010-08-01,115000000.00
2010-09-01,193000000.00
2010-10-01,247000000.00
2010-11-01,314000000.00
2010-12-01,316000000.00
2011-01-01,197000000.00
2011-02-01,198000000.00
2011-03-01,226000000.00
2011-04-01,166000000.00
2011-05-01,199000000.00
2011-06-01,221000000.00
2011-07-01,198000000.00
2011-08-01,208000000.00
2011-09-01,226000000.00
2011-10-01,278000000.00
2011-11-01,362000000.00
2011-12-01,409000000.00
2012-01-01,195000000.00
2012-02-01,197000000.00
2012-03-01,268000000.00
2012-04-01,207000000.00
2012-05-01,226000000.00
2012-06-01,229000000.00
2012-07-01,220000000.00
2012-08-01,196000000.00
2012-09-01,251000000.00
2012-10-01,261000000.00
2012-11-01,383000000.00
2012-12-01,406000000.00
2013-01-01,198000000.00
2013-02-01,204000000.00
2013-03-01,227000000.00
2013-04-01,191000000.00
2013-05-01,232000000.00
2013-06-01,173000000.00
2013-07-01,215000000.00
2013-08-01,229000000.00
2013-09-01,244000000.00
2013-10-01,310000000.00
2013-11-01,358000000.00
2013-12-01,382000000.00
2014-01-01,183000000.00
2014-02-01,240000000.00
2014-03-01,308000000.00
2014-04-01,218000000.00
2014-05-01,267000000.00
2014-06-01,250000000.00
2014-07-01,233000000.00
2014-08-01,240000000.00
2014-09-01,219000000.00
2014-10-01,237000000.00
2014-11-01,294000000.00
2014-12-01,242000000.00
2015-01-01,139000000.00
2015-02-01,163000000.00
2015-03-01,137000000.00
2015-04-01,159000000.00
2015-05-01,182000000.00
2015-06-01,278000000.00
2015-07-01,258000000.00
2015-08-01,276000000.00
2015-09-01,311000000.00
2015-10-01,377000000.00
2015-11-01,377000000.00
2015-12-01,366000000.00
2016-01-01,220000000.00
2016-02-01,239000000.00
2016-03-01,246000000.00
2016-04-01,220000000.00
2016-05-01,249000000.00
2016-06-01,247000000.00
2016-07-01,204000000.00
2016-08-01,221000000.00
2016-09-01,210000000.00
2016-10-01,284000000.00
2016-11-01,286000000.00
2016-12-01,333000000.00
2017-01-01,215000000.00
2017-02-01,206000000.00
2017-03-01,241000000.00
2017-04-01,211000000.00
2017-05-01,245000000.00
2017-06-01,244000000.00
2017-07-01,219000000.00
2017-08-01,255000000.00
2017-09-01,264000000.00
2017-10-01,353000000.00
2017-11-01,339000000.00
2017-12-01,287000000.00
2018-01-01,152000000.00
2018-02-01,201000000.00
2018-03-01,218000000.00
2018-04-01,187000000.00
