Date,U34JTI
1992-01-01,5030000000.00
1992-02-01,5004000000.00
1992-03-01,4965000000.00
1992-04-01,4904000000.00
1992-05-01,4876000000.00
1992-06-01,4710000000.00
1992-07-01,4865000000.00
1992-08-01,4887000000.00
1992-09-01,4660000000.00
1992-10-01,4411000000.00
1992-11-01,4329000000.00
1992-12-01,4246000000.00
1993-01-01,4127000000.00
1993-02-01,4166000000.00
1993-03-01,4008000000.00
1993-04-01,4006000000.00
1993-05-01,3967000000.00
1993-06-01,3777000000.00
1993-07-01,3765000000.00
1993-08-01,3776000000.00
1993-09-01,3816000000.00
1993-10-01,3892000000.00
1993-11-01,3608000000.00
1993-12-01,3593000000.00
1994-01-01,3641000000.00
1994-02-01,3688000000.00
1994-03-01,3520000000.00
1994-04-01,3668000000.00
1994-05-01,3815000000.00
1994-06-01,3809000000.00
1994-07-01,3829000000.00
1994-08-01,3793000000.00
1994-09-01,3545000000.00
1994-10-01,3491000000.00
1994-11-01,3470000000.00
1994-12-01,3464000000.00
1995-01-01,3384000000.00
1995-02-01,3622000000.00
1995-03-01,3515000000.00
1995-04-01,3583000000.00
1995-05-01,3513000000.00
1995-06-01,3605000000.00
1995-07-01,3608000000.00
1995-08-01,3607000000.00
1995-09-01,3632000000.00
1995-10-01,3594000000.00
1995-11-01,3721000000.00
1995-12-01,3785000000.00
1996-01-01,3715000000.00
1996-02-01,3728000000.00
1996-03-01,3695000000.00
1996-04-01,3774000000.00
1996-05-01,3774000000.00
1996-06-01,3616000000.00
1996-07-01,3821000000.00
1996-08-01,3892000000.00
1996-09-01,3744000000.00
1996-10-01,3841000000.00
1996-11-01,3693000000.00
1996-12-01,3433000000.00
1997-01-01,3546000000.00
1997-02-01,3619000000.00
1997-03-01,3490000000.00
1997-04-01,3626000000.00
1997-05-01,3667000000.00
1997-06-01,3654000000.00
1997-07-01,3768000000.00
1997-08-01,3787000000.00
1997-09-01,3674000000.00
1997-10-01,3479000000.00
1997-11-01,3517000000.00
1997-12-01,3462000000.00
1998-01-01,3426000000.00
1998-02-01,3426000000.00
1998-03-01,3375000000.00
1998-04-01,3443000000.00
1998-05-01,3469000000.00
1998-06-01,3459000000.00
1998-07-01,3614000000.00
1998-08-01,3543000000.00
1998-09-01,3394000000.00
1998-10-01,3380000000.00
1998-11-01,3379000000.00
1998-12-01,3313000000.00
1999-01-01,3237000000.00
1999-02-01,3294000000.00
1999-03-01,3293000000.00
1999-04-01,3320000000.00
1999-05-01,3349000000.00
1999-06-01,3272000000.00
1999-07-01,3342000000.00
1999-08-01,3337000000.00
1999-09-01,3414000000.00
1999-10-01,3355000000.00
1999-11-01,3364000000.00
1999-12-01,3207000000.00
2000-01-01,3219000000.00
2000-02-01,3266000000.00
2000-03-01,3255000000.00
2000-04-01,3378000000.00
2000-05-01,3450000000.00
2000-06-01,3353000000.00
2000-07-01,3402000000.00
2000-08-01,3453000000.00
2000-09-01,3333000000.00
2000-10-01,3305000000.00
2000-11-01,3303000000.00
2000-12-01,3174000000.00
2001-01-01,3302000000.00
2001-02-01,3326000000.00
