Date,U34KNO
1992-02-01,3309000000.00
1992-03-01,4066000000.00
1992-04-01,3499000000.00
1992-05-01,3426000000.00
1992-06-01,3890000000.00
1992-07-01,3187000000.00
1992-08-01,3320000000.00
1992-09-01,3784000000.00
1992-10-01,3636000000.00
1992-11-01,3465000000.00
1992-12-01,4111000000.00
1993-01-01,3246000000.00
1993-02-01,3527000000.00
1993-03-01,3817000000.00
1993-04-01,3433000000.00
1993-05-01,3451000000.00
1993-06-01,3866000000.00
1993-07-01,3174000000.00
1993-08-01,3390000000.00
1993-09-01,3736000000.00
1993-10-01,3803000000.00
1993-11-01,3809000000.00
1993-12-01,4088000000.00
1994-01-01,3518000000.00
1994-02-01,3665000000.00
1994-03-01,4188000000.00
1994-04-01,3586000000.00
1994-05-01,3705000000.00
1994-06-01,4193000000.00
1994-07-01,3477000000.00
1994-08-01,3836000000.00
1994-09-01,4104000000.00
1994-10-01,3983000000.00
1994-11-01,3963000000.00
1994-12-01,4547000000.00
1995-01-01,3997000000.00
1995-02-01,4320000000.00
1995-03-01,4423000000.00
1995-04-01,3821000000.00
1995-05-01,4110000000.00
1995-06-01,4696000000.00
1995-07-01,3756000000.00
1995-08-01,4312000000.00
1995-09-01,4837000000.00
1995-10-01,4400000000.00
1995-11-01,4456000000.00
1995-12-01,5432000000.00
1996-01-01,4213000000.00
1996-02-01,4645000000.00
1996-03-01,4933000000.00
1996-04-01,4351000000.00
1996-05-01,4665000000.00
1996-06-01,5090000000.00
1996-07-01,4238000000.00
1996-08-01,4550000000.00
1996-09-01,5038000000.00
1996-10-01,4611000000.00
1996-11-01,4763000000.00
1996-12-01,5420000000.00
1997-01-01,4278000000.00
1997-02-01,4611000000.00
1997-03-01,4876000000.00
1997-04-01,4473000000.00
1997-05-01,4465000000.00
1997-06-01,5061000000.00
1997-07-01,4205000000.00
1997-08-01,4698000000.00
1997-09-01,5239000000.00
1997-10-01,5000000000.00
1997-11-01,4747000000.00
1997-12-01,5603000000.00
1998-01-01,4459000000.00
1998-02-01,4797000000.00
1998-03-01,5111000000.00
1998-04-01,4645000000.00
1998-05-01,4673000000.00
1998-06-01,5176000000.00
1998-07-01,4567000000.00
1998-08-01,4420000000.00
1998-09-01,5402000000.00
1998-10-01,4665000000.00
1998-11-01,4668000000.00
1998-12-01,5420000000.00
1999-01-01,4358000000.00
1999-02-01,4761000000.00
1999-03-01,5239000000.00
1999-04-01,4652000000.00
1999-05-01,5016000000.00
1999-06-01,4712000000.00
1999-07-01,4358000000.00
1999-08-01,4589000000.00
1999-09-01,5874000000.00
1999-10-01,4555000000.00
1999-11-01,4861000000.00
1999-12-01,6037000000.00
2000-01-01,4735000000.00
2000-02-01,4951000000.00
2000-03-01,6061000000.00
2000-04-01,4696000000.00
2000-05-01,5043000000.00
2000-06-01,6154000000.00
2000-07-01,4852000000.00
2000-08-01,5288000000.00
2000-09-01,6431000000.00
2000-10-01,6370000000.00
2000-11-01,5374000000.00
2000-12-01,6387000000.00
2001-01-01,4909000000.00
2001-02-01,5099000000.00
2001-03-01,6135000000.00
2001-04-01,4893000000.00
2001-05-01,5056000000.00
2001-06-01,5999000000.00
2001-07-01,4251000000.00
2001-08-01,4769000000.00
2001-09-01,5258000000.00
2001-10-01,4539000000.00
2001-11-01,4898000000.00
2001-12-01,6125000000.00
2002-01-01,4391000000.00
2002-02-01,4516000000.00
2002-03-01,5666000000.00
2002-04-01,4775000000.00
2002-05-01,4940000000.00
