Date,U34SUO
1992-01-01,88041000000.00
1992-02-01,88442000000.00
1992-03-01,87846000000.00
1992-04-01,85805000000.00
1992-05-01,85202000000.00
1992-06-01,84274000000.00
1992-07-01,83642000000.00
1992-08-01,82428000000.00
1992-09-01,82459000000.00
1992-10-01,81539000000.00
1992-11-01,82261000000.00
1992-12-01,84933000000.00
1993-01-01,85823000000.00
1993-02-01,85417000000.00
1993-03-01,84871000000.00
1993-04-01,84585000000.00
1993-05-01,83987000000.00
1993-06-01,82426000000.00
1993-07-01,82240000000.00
1993-08-01,81899000000.00
1993-09-01,81725000000.00
1993-10-01,82251000000.00
1993-11-01,82160000000.00
1993-12-01,81606000000.00
1994-01-01,82300000000.00
1994-02-01,82527000000.00
1994-03-01,81141000000.00
1994-04-01,80717000000.00
1994-05-01,79854000000.00
1994-06-01,80521000000.00
1994-07-01,81082000000.00
1994-08-01,80201000000.00
1994-09-01,80937000000.00
1994-10-01,81771000000.00
1994-11-01,81334000000.00
1994-12-01,82707000000.00
1995-01-01,83855000000.00
1995-02-01,83940000000.00
1995-03-01,83967000000.00
1995-04-01,84732000000.00
1995-05-01,85362000000.00
1995-06-01,84997000000.00
1995-07-01,85219000000.00
1995-08-01,84332000000.00
1995-09-01,85152000000.00
1995-10-01,87293000000.00
1995-11-01,87529000000.00
1995-12-01,88992000000.00
1996-01-01,90465000000.00
1996-02-01,91637000000.00
1996-03-01,91254000000.00
1996-04-01,91047000000.00
1996-05-01,90492000000.00
1996-06-01,89316000000.00
1996-07-01,89799000000.00
1996-08-01,88991000000.00
1996-09-01,87202000000.00
1996-10-01,89284000000.00
1996-11-01,89476000000.00
1996-12-01,87936000000.00
1997-01-01,88686000000.00
1997-02-01,91086000000.00
1997-03-01,91125000000.00
1997-04-01,90948000000.00
1997-05-01,90519000000.00
1997-06-01,90534000000.00
1997-07-01,91984000000.00
1997-08-01,91082000000.00
1997-09-01,91508000000.00
1997-10-01,90931000000.00
1997-11-01,90440000000.00
1997-12-01,90670000000.00
1998-01-01,93021000000.00
1998-02-01,94412000000.00
1998-03-01,94266000000.00
1998-04-01,94045000000.00
1998-05-01,94974000000.00
1998-06-01,94962000000.00
1998-07-01,94529000000.00
1998-08-01,93655000000.00
1998-09-01,93700000000.00
1998-10-01,93709000000.00
1998-11-01,93042000000.00
1998-12-01,94383000000.00
1999-01-01,95607000000.00
1999-02-01,96361000000.00
1999-03-01,97427000000.00
1999-04-01,98682000000.00
1999-05-01,99435000000.00
1999-06-01,98849000000.00
1999-07-01,99380000000.00
1999-08-01,99315000000.00
1999-09-01,101800000000.00
1999-10-01,104945000000.00
1999-11-01,106950000000.00
1999-12-01,113076000000.00
2000-01-01,115982000000.00
2000-02-01,117099000000.00
2000-03-01,119063000000.00
2000-04-01,121151000000.00
2000-05-01,121274000000.00
2000-06-01,127619000000.00
2000-07-01,128255000000.00
2000-08-01,128308000000.00
2000-09-01,129236000000.00
2000-10-01,129993000000.00
2000-11-01,130532000000.00
2000-12-01,129732000000.00
2001-01-01,129716000000.00
2001-02-01,129148000000.00
2001-03-01,126218000000.00
2001-04-01,123043000000.00
2001-05-01,120895000000.00
2001-06-01,118261000000.00
2001-07-01,115681000000.00
2001-08-01,113014000000.00
2001-09-01,111352000000.00
2001-10-01,109908000000.00
2001-11-01,108944000000.00
2001-12-01,109040000000.00
2002-01-01,108054000000.00
2002-02-01,107504000000.00
2002-03-01,105764000000.00
2002-04-01,105337000000.00
2002-05-01,104130000000.00
2002-06-01,102778000000.00
2002-07-01,100975000000.00
2002-08-01,98622000000.00
2002-09-01,96791000000.00
2002-10-01,95182000000.00
2002-11-01,93930000000.00
2002-12-01,95045000000.00
2003-01-01,96298000000.00
2003-02-01,97162000000.00
2003-03-01,97494000000.00
2003-04-01,97499000000.00
2003-05-01,97529000000.00
2003-06-01,97136000000.00
2003-07-01,96317000000.00
2003-08-01,96255000000.00
2003-09-01,97101000000.00
2003-10-01,98805000000.00
2003-11-01,98765000000.00
2003-12-01,100783000000.00
2004-01-01,101631000000.00
2004-02-01,103079000000.00
2004-03-01,105433000000.00
2004-04-01,105516000000.00
2004-05-01,105857000000.00
2004-06-01,105853000000.00
2004-07-01,104276000000.00
2004-08-01,102575000000.00
2004-09-01,105009000000.00
2004-10-01,105311000000.00
2004-11-01,104710000000.00
2004-12-01,106383000000.00
2005-01-01,107813000000.00
2005-02-01,109275000000.00
2005-03-01,110720000000.00
2005-04-01,110018000000.00
2005-05-01,108794000000.00
2005-06-01,110672000000.00
2005-07-01,109998000000.00
2005-08-01,110061000000.00
2005-09-01,110447000000.00
2005-10-01,110052000000.00
2005-11-01,109223000000.00
2005-12-01,109603000000.00
2006-01-01,109768000000.00
2006-02-01,110811000000.00
2006-03-01,114135000000.00
2006-04-01,115022000000.00
2006-05-01,113499000000.00
2006-06-01,114098000000.00
2006-07-01,115450000000.00
2006-08-01,114650000000.00
2006-09-01,116565000000.00
2006-10-01,117065000000.00
2006-11-01,118620000000.00
2006-12-01,120801000000.00
2007-01-01,121168000000.00
2007-02-01,123327000000.00
2007-03-01,122346000000.00
2007-04-01,121947000000.00
2007-05-01,122012000000.00
2007-06-01,120647000000.00
2007-07-01,121609000000.00
2007-08-01,121813000000.00
2007-09-01,122739000000.00
2007-10-01,123100000000.00
2007-11-01,122138000000.00
2007-12-01,123228000000.00
2008-01-01,123398000000.00
2008-02-01,124713000000.00
2008-03-01,125733000000.00
2008-04-01,124891000000.00
2008-05-01,123662000000.00
2008-06-01,124070000000.00
2008-07-01,122734000000.00
2008-08-01,121992000000.00
2008-09-01,122489000000.00
2008-10-01,121632000000.00
2008-11-01,121580000000.00
2008-12-01,121892000000.00
2009-01-01,120521000000.00
2009-02-01,120757000000.00
2009-03-01,121539000000.00
2009-04-01,120586000000.00
2009-05-01,119486000000.00
2009-06-01,118916000000.00
2009-07-01,117879000000.00
2009-08-01,116132000000.00
2009-09-01,117105000000.00
2009-10-01,116015000000.00
2009-11-01,114535000000.00
2009-12-01,115502000000.00
2010-01-01,115125000000.00
2010-02-01,115095000000.00
2010-03-01,115954000000.00
2010-04-01,115774000000.00
2010-05-01,115006000000.00
2010-06-01,114938000000.00
2010-07-01,114044000000.00
2010-08-01,114273000000.00
2010-09-01,116587000000.00
2010-10-01,115248000000.00
2010-11-01,114508000000.00
2010-12-01,117450000000.00
2011-01-01,118719000000.00
2011-02-01,120899000000.00
2011-03-01,122061000000.00
2011-04-01,122265000000.00
2011-05-01,122058000000.00
2011-06-01,122989000000.00
2011-07-01,123072000000.00
2011-08-01,123135000000.00
2011-09-01,125340000000.00
2011-10-01,127001000000.00
2011-11-01,126827000000.00
2011-12-01,128710000000.00
2012-01-01,128970000000.00
2012-02-01,130629000000.00
2012-03-01,131632000000.00
2012-04-01,132214000000.00
2012-05-01,131527000000.00
2012-06-01,130630000000.00
2012-07-01,130059000000.00
2012-08-01,129117000000.00
2012-09-01,129661000000.00
2012-10-01,128982000000.00
2012-11-01,127401000000.00
2012-12-01,128980000000.00
2013-01-01,127887000000.00
2013-02-01,126924000000.00
2013-03-01,124931000000.00
2013-04-01,124781000000.00
2013-05-01,124166000000.00
2013-06-01,123374000000.00
2013-07-01,122186000000.00
2013-08-01,119557000000.00
2013-09-01,118909000000.00
2013-10-01,118229000000.00
2013-11-01,117138000000.00
2013-12-01,115990000000.00
2014-01-01,115368000000.00
2014-02-01,115403000000.00
2014-03-01,115653000000.00
2014-04-01,115542000000.00
2014-05-01,113903000000.00
2014-06-01,113033000000.00
2014-07-01,112030000000.00
2014-08-01,111019000000.00
2014-09-01,111297000000.00
2014-10-01,111153000000.00
2014-11-01,110025000000.00
2014-12-01,109575000000.00
2015-01-01,109609000000.00
2015-02-01,109853000000.00
2015-03-01,111188000000.00
2015-04-01,111454000000.00
2015-05-01,111065000000.00
2015-06-01,110416000000.00
2015-07-01,110007000000.00
2015-08-01,109120000000.00
2015-09-01,109089000000.00
2015-10-01,108519000000.00
2015-11-01,107492000000.00
2015-12-01,107944000000.00
2016-01-01,108365000000.00
2016-02-01,108905000000.00
2016-03-01,109897000000.00
2016-04-01,110752000000.00
2016-05-01,110698000000.00
2016-06-01,110566000000.00
2016-07-01,110211000000.00
2016-08-01,109098000000.00
2016-09-01,109645000000.00
2016-10-01,109456000000.00
2016-11-01,108595000000.00
2016-12-01,109484000000.00
2017-01-01,110286000000.00
2017-02-01,111210000000.00
2017-03-01,112082000000.00
2017-04-01,112436000000.00
2017-05-01,112053000000.00
