Date,U35BUO
1992-01-01,437000000.00
1992-02-01,500000000.00
1992-03-01,537000000.00
1992-04-01,501000000.00
1992-05-01,437000000.00
1992-06-01,420000000.00
1992-07-01,449000000.00
1992-08-01,477000000.00
1992-09-01,515000000.00
1992-10-01,541000000.00
1992-11-01,410000000.00
1992-12-01,410000000.00
1993-01-01,604000000.00
1993-02-01,662000000.00
1993-03-01,640000000.00
1993-04-01,607000000.00
1993-05-01,558000000.00
1993-06-01,494000000.00
1993-07-01,490000000.00
1993-08-01,566000000.00
1993-09-01,604000000.00
1993-10-01,607000000.00
1993-11-01,549000000.00
1993-12-01,470000000.00
1994-01-01,712000000.00
1994-02-01,862000000.00
1994-03-01,778000000.00
1994-04-01,758000000.00
1994-05-01,740000000.00
1994-06-01,726000000.00
1994-07-01,726000000.00
1994-08-01,708000000.00
1994-09-01,742000000.00
1994-10-01,740000000.00
1994-11-01,773000000.00
1994-12-01,769000000.00
1995-01-01,902000000.00
1995-02-01,779000000.00
1995-03-01,815000000.00
1995-04-01,705000000.00
1995-05-01,721000000.00
1995-06-01,716000000.00
1995-07-01,731000000.00
1995-08-01,747000000.00
1995-09-01,678000000.00
1995-10-01,672000000.00
1995-11-01,677000000.00
1995-12-01,725000000.00
1996-01-01,940000000.00
1996-02-01,906000000.00
1996-03-01,784000000.00
1996-04-01,769000000.00
1996-05-01,699000000.00
1996-06-01,730000000.00
1996-07-01,613000000.00
1996-08-01,683000000.00
1996-09-01,662000000.00
1996-10-01,664000000.00
1996-11-01,613000000.00
1996-12-01,529000000.00
1997-01-01,816000000.00
1997-02-01,836000000.00
1997-03-01,692000000.00
1997-04-01,615000000.00
1997-05-01,653000000.00
1997-06-01,655000000.00
1997-07-01,685000000.00
1997-08-01,724000000.00
1997-09-01,832000000.00
1997-10-01,739000000.00
1997-11-01,733000000.00
1997-12-01,668000000.00
1998-01-01,890000000.00
1998-02-01,982000000.00
1998-03-01,852000000.00
1998-04-01,752000000.00
1998-05-01,737000000.00
1998-06-01,748000000.00
1998-07-01,709000000.00
1998-08-01,697000000.00
1998-09-01,790000000.00
1998-10-01,766000000.00
1998-11-01,858000000.00
1998-12-01,766000000.00
1999-01-01,1120000000.00
1999-02-01,1091000000.00
1999-03-01,1092000000.00
1999-04-01,974000000.00
1999-05-01,800000000.00
1999-06-01,882000000.00
1999-07-01,954000000.00
