Date,U35SVS
1992-01-01,5553000000.00
1992-02-01,6404000000.00
1992-03-01,6990000000.00
1992-04-01,6616000000.00
1992-05-01,6723000000.00
1992-06-01,7272000000.00
1992-07-01,6377000000.00
1992-08-01,6808000000.00
1992-09-01,7763000000.00
1992-10-01,7135000000.00
1992-11-01,7053000000.00
1992-12-01,7119000000.00
1993-01-01,5954000000.00
1993-02-01,7037000000.00
1993-03-01,7597000000.00
1993-04-01,6996000000.00
1993-05-01,7167000000.00
1993-06-01,7946000000.00
1993-07-01,6735000000.00
1993-08-01,7359000000.00
1993-09-01,8249000000.00
1993-10-01,7539000000.00
1993-11-01,7621000000.00
1993-12-01,7446000000.00
1994-01-01,6532000000.00
1994-02-01,7680000000.00
1994-03-01,8248000000.00
1994-04-01,7713000000.00
1994-05-01,7935000000.00
1994-06-01,8762000000.00
1994-07-01,7356000000.00
1994-08-01,8111000000.00
1994-09-01,8856000000.00
1994-10-01,8003000000.00
1994-11-01,8171000000.00
1994-12-01,8164000000.00
1995-01-01,7127000000.00
1995-02-01,8200000000.00
1995-03-01,8900000000.00
1995-04-01,7833000000.00
1995-05-01,8141000000.00
1995-06-01,9291000000.00
1995-07-01,7505000000.00
1995-08-01,8773000000.00
1995-09-01,9658000000.00
1995-10-01,8454000000.00
1995-11-01,8590000000.00
1995-12-01,8579000000.00
1996-01-01,7212000000.00
1996-02-01,8263000000.00
1996-03-01,9192000000.00
1996-04-01,8472000000.00
1996-05-01,8590000000.00
1996-06-01,9811000000.00
1996-07-01,7965000000.00
1996-08-01,8852000000.00
1996-09-01,9885000000.00
1996-10-01,8853000000.00
1996-11-01,9170000000.00
1996-12-01,9018000000.00
1997-01-01,7539000000.00
1997-02-01,8895000000.00
1997-03-01,9545000000.00
1997-04-01,9162000000.00
1997-05-01,9015000000.00
1997-06-01,10297000000.00
1997-07-01,8432000000.00
1997-08-01,9242000000.00
1997-09-01,11048000000.00
1997-10-01,9660000000.00
1997-11-01,9637000000.00
1997-12-01,9644000000.00
1998-01-01,8035000000.00
1998-02-01,9656000000.00
1998-03-01,10385000000.00
1998-04-01,9228000000.00
1998-05-01,9334000000.00
1998-06-01,10673000000.00
1998-07-01,8755000000.00
1998-08-01,9571000000.00
1998-09-01,11237000000.00
1998-10-01,9428000000.00
1998-11-01,9569000000.00
1998-12-01,10153000000.00
1999-01-01,8031000000.00
1999-02-01,9539000000.00
1999-03-01,10525000000.00
1999-04-01,9504000000.00
1999-05-01,9666000000.00
1999-06-01,10794000000.00
1999-07-01,8983000000.00
1999-08-01,10229000000.00
1999-09-01,11219000000.00
1999-10-01,9674000000.00
1999-11-01,9946000000.00
1999-12-01,10203000000.00
2000-01-01,8925000000.00
2000-02-01,10276000000.00
2000-03-01,11403000000.00
2000-04-01,9966000000.00
2000-05-01,10395000000.00
2000-06-01,11735000000.00
2000-07-01,9375000000.00
2000-08-01,10398000000.00
2000-09-01,11809000000.00
2000-10-01,10121000000.00
2000-11-01,10369000000.00
2000-12-01,10671000000.00
2001-01-01,8919000000.00
2001-02-01,10155000000.00
2001-03-01,11176000000.00
2001-04-01,9557000000.00
2001-05-01,10076000000.00
2001-06-01,10870000000.00
2001-07-01,8314000000.00
2001-08-01,9381000000.00
2001-09-01,9691000000.00
2001-10-01,8702000000.00
2001-11-01,8283000000.00
2001-12-01,8944000000.00
2002-01-01,7234000000.00
2002-02-01,8123000000.00
2002-03-01,9323000000.00
2002-04-01,8552000000.00
2002-05-01,8911000000.00
2002-06-01,9359000000.00
2002-07-01,7784000000.00
2002-08-01,8498000000.00
2002-09-01,9382000000.00
2002-10-01,8452000000.00
2002-11-01,8536000000.00
2002-12-01,8691000000.00
2003-01-01,7337000000.00
2003-02-01,7732000000.00
2003-03-01,8892000000.00
2003-04-01,7946000000.00
2003-05-01,8209000000.00
2003-06-01,8908000000.00
2003-07-01,7649000000.00
2003-08-01,8058000000.00
2003-09-01,9401000000.00
2003-10-01,8456000000.00
2003-11-01,8420000000.00
2003-12-01,8898000000.00
2004-01-01,7268000000.00
2004-02-01,7980000000.00
2004-03-01,9294000000.00
2004-04-01,8438000000.00
2004-05-01,8663000000.00
2004-06-01,9418000000.00
2004-07-01,8178000000.00
2004-08-01,9017000000.00
2004-09-01,9828000000.00
2004-10-01,8784000000.00
2004-11-01,9039000000.00
2004-12-01,9177000000.00
2005-01-01,7965000000.00
2005-02-01,8565000000.00
2005-03-01,9570000000.00
2005-04-01,8909000000.00
2005-05-01,9227000000.00
2005-06-01,9976000000.00
2005-07-01,8515000000.00
2005-08-01,9779000000.00
2005-09-01,10507000000.00
2005-10-01,9706000000.00
2005-11-01,9721000000.00
2005-12-01,9537000000.00
2006-01-01,8624000000.00
2006-02-01,8944000000.00
2006-03-01,10457000000.00
2006-04-01,9371000000.00
2006-05-01,10477000000.00
2006-06-01,10900000000.00
2006-07-01,9265000000.00
