Date,U36ZUO
1992-01-01,21689000000.00
1992-02-01,21219000000.00
1992-03-01,20736000000.00
1992-04-01,21252000000.00
1992-05-01,21195000000.00
1992-06-01,20616000000.00
1992-07-01,20058000000.00
1992-08-01,19581000000.00
1992-09-01,18931000000.00
1992-10-01,18587000000.00
1992-11-01,18199000000.00
1992-12-01,18630000000.00
1993-01-01,19539000000.00
1993-02-01,19213000000.00
1993-03-01,19087000000.00
1993-04-01,18677000000.00
1993-05-01,18214000000.00
1993-06-01,17854000000.00
1993-07-01,18419000000.00
1993-08-01,18385000000.00
1993-09-01,18581000000.00
1993-10-01,18373000000.00
1993-11-01,17618000000.00
1993-12-01,17067000000.00
1994-01-01,16822000000.00
1994-02-01,16455000000.00
1994-03-01,16164000000.00
1994-04-01,15969000000.00
1994-05-01,15356000000.00
1994-06-01,14590000000.00
1994-07-01,14987000000.00
1994-08-01,14412000000.00
1994-09-01,14510000000.00
1994-10-01,14302000000.00
1994-11-01,13944000000.00
1994-12-01,16878000000.00
1995-01-01,17777000000.00
1995-02-01,17560000000.00
1995-03-01,16997000000.00
1995-04-01,16602000000.00
1995-05-01,16403000000.00
1995-06-01,16470000000.00
1995-07-01,16209000000.00
1995-08-01,15804000000.00
1995-09-01,15814000000.00
1995-10-01,15464000000.00
1995-11-01,15190000000.00
1995-12-01,15072000000.00
1996-01-01,16003000000.00
1996-02-01,15833000000.00
1996-03-01,15771000000.00
1996-04-01,15317000000.00
1996-05-01,15106000000.00
1996-06-01,16433000000.00
1996-07-01,15687000000.00
1996-08-01,15307000000.00
1996-09-01,14931000000.00
1996-10-01,14636000000.00
1996-11-01,15128000000.00
1996-12-01,16003000000.00
1997-01-01,16055000000.00
1997-02-01,15627000000.00
1997-03-01,15448000000.00
1997-04-01,15358000000.00
1997-05-01,15250000000.00
1997-06-01,15861000000.00
1997-07-01,15446000000.00
1997-08-01,15041000000.00
1997-09-01,15279000000.00
1997-10-01,14926000000.00
1997-11-01,15037000000.00
1997-12-01,16275000000.00
1998-01-01,16304000000.00
1998-02-01,16190000000.00
1998-03-01,15859000000.00
1998-04-01,15407000000.00
1998-05-01,14934000000.00
1998-06-01,15642000000.00
1998-07-01,15166000000.00
1998-08-01,14715000000.00
1998-09-01,15968000000.00
1998-10-01,16168000000.00
1998-11-01,15854000000.00
1998-12-01,17034000000.00
1999-01-01,18007000000.00
1999-02-01,17702000000.00
1999-03-01,19300000000.00
1999-04-01,18996000000.00
1999-05-01,18662000000.00
1999-06-01,18257000000.00
1999-07-01,17958000000.00
1999-08-01,17638000000.00
1999-09-01,17314000000.00
1999-10-01,17263000000.00
1999-11-01,17149000000.00
1999-12-01,18246000000.00
2000-01-01,19658000000.00
2000-02-01,20469000000.00
2000-03-01,19918000000.00
2000-04-01,19210000000.00
2000-05-01,19451000000.00
2000-06-01,18844000000.00
2000-07-01,18253000000.00
2000-08-01,17574000000.00
2000-09-01,18346000000.00
2000-10-01,18226000000.00
2000-11-01,18446000000.00
2000-12-01,18368000000.00
2001-01-01,18116000000.00
2001-02-01,17890000000.00
2001-03-01,21937000000.00
2001-04-01,22487000000.00
2001-05-01,22153000000.00
2001-06-01,21852000000.00
2001-07-01,21317000000.00
2001-08-01,20833000000.00
2001-09-01,20513000000.00
2001-10-01,20533000000.00
2001-11-01,20324000000.00
2001-12-01,20676000000.00
2002-01-01,20480000000.00
2002-02-01,22607000000.00
2002-03-01,22335000000.00
2002-04-01,23234000000.00
2002-05-01,22728000000.00
2002-06-01,22587000000.00
2002-07-01,21705000000.00
2002-08-01,21522000000.00
2002-09-01,21979000000.00
2002-10-01,22231000000.00
2002-11-01,21837000000.00
2002-12-01,22124000000.00
2003-01-01,22292000000.00
2003-02-01,21873000000.00
2003-03-01,21763000000.00
2003-04-01,21534000000.00
2003-05-01,21143000000.00
2003-06-01,21014000000.00
2003-07-01,20312000000.00
2003-08-01,21970000000.00
2003-09-01,21253000000.00
2003-10-01,20705000000.00
2003-11-01,21977000000.00
2003-12-01,22733000000.00
2004-01-01,24086000000.00
2004-02-01,24611000000.00
2004-03-01,24141000000.00
2004-04-01,23652000000.00
2004-05-01,23068000000.00
2004-06-01,22517000000.00
2004-07-01,21877000000.00
2004-08-01,21588000000.00
2004-09-01,20730000000.00
2004-10-01,21144000000.00
2004-11-01,21847000000.00
2004-12-01,24194000000.00
2005-01-01,24589000000.00
2005-02-01,23844000000.00
2005-03-01,23444000000.00
2005-04-01,22997000000.00
2005-05-01,22283000000.00
2005-06-01,21499000000.00
2005-07-01,20934000000.00
2005-08-01,20311000000.00
2005-09-01,19788000000.00
2005-10-01,19172000000.00
2005-11-01,18709000000.00
2005-12-01,18518000000.00
2006-01-01,19911000000.00
2006-02-01,22519000000.00
2006-03-01,22191000000.00
2006-04-01,21469000000.00
2006-05-01,20855000000.00
2006-06-01,23218000000.00
2006-07-01,22454000000.00
2006-08-01,23319000000.00
2006-09-01,22844000000.00
2006-10-01,22479000000.00
2006-11-01,23606000000.00
2006-12-01,25128000000.00
2007-01-01,27549000000.00
2007-02-01,27689000000.00
2007-03-01,27644000000.00
2007-04-01,27071000000.00
2007-05-01,27702000000.00
2007-06-01,27145000000.00
2007-07-01,26622000000.00
2007-08-01,27347000000.00
2007-09-01,26661000000.00
2007-10-01,26324000000.00
2007-11-01,25698000000.00
2007-12-01,26506000000.00
2008-01-01,26930000000.00
2008-02-01,28272000000.00
2008-03-01,28751000000.00
2008-04-01,28023000000.00
2008-05-01,26888000000.00
2008-06-01,27266000000.00
2008-07-01,26217000000.00
2008-08-01,25589000000.00
2008-09-01,28249000000.00
2008-10-01,27175000000.00
2008-11-01,26293000000.00
2008-12-01,31290000000.00
2009-01-01,31094000000.00
2009-02-01,30206000000.00
2009-03-01,29292000000.00
2009-04-01,28483000000.00
2009-05-01,27653000000.00
2009-06-01,26751000000.00
2009-07-01,25687000000.00
2009-08-01,25994000000.00
2009-09-01,25492000000.00
2009-10-01,24401000000.00
2009-11-01,23286000000.00
2009-12-01,23048000000.00
2010-01-01,24042000000.00
2010-02-01,24809000000.00
2010-03-01,24901000000.00
2010-04-01,24623000000.00
2010-05-01,23882000000.00
2010-06-01,23552000000.00
2010-07-01,22587000000.00
2010-08-01,21974000000.00
2010-09-01,21145000000.00
2010-10-01,20713000000.00
2010-11-01,21028000000.00
2010-12-01,21238000000.00
2011-01-01,24792000000.00
2011-02-01,23492000000.00
2011-03-01,24827000000.00
2011-04-01,25551000000.00
2011-05-01,25635000000.00
2011-06-01,26302000000.00
2011-07-01,25408000000.00
2011-08-01,24567000000.00
2011-09-01,25410000000.00
2011-10-01,24581000000.00
2011-11-01,23759000000.00
2011-12-01,22961000000.00
2012-01-01,23314000000.00
2012-02-01,23455000000.00
2012-03-01,22297000000.00
2012-04-01,21512000000.00
2012-05-01,20352000000.00
2012-06-01,22681000000.00
2012-07-01,23202000000.00
2012-08-01,21929000000.00
2012-09-01,21573000000.00
2012-10-01,20453000000.00
2012-11-01,19060000000.00
2012-12-01,24122000000.00
2013-01-01,24475000000.00
2013-02-01,24278000000.00
2013-03-01,23685000000.00
2013-04-01,23498000000.00
2013-05-01,24395000000.00
2013-06-01,26516000000.00
2013-07-01,26327000000.00
2013-08-01,26137000000.00
2013-09-01,26662000000.00
2013-10-01,26333000000.00
2013-11-01,26474000000.00
2013-12-01,26072000000.00
2014-01-01,25573000000.00
2014-02-01,25678000000.00
2014-03-01,28225000000.00
2014-04-01,35551000000.00
2014-05-01,34961000000.00
2014-06-01,34353000000.00
2014-07-01,33435000000.00
2014-08-01,32569000000.00
2014-09-01,31266000000.00
2014-10-01,30333000000.00
2014-11-01,29220000000.00
2014-12-01,28592000000.00
2015-01-01,30500000000.00
2015-02-01,31725000000.00
2015-03-01,31726000000.00
2015-04-01,31286000000.00
2015-05-01,31109000000.00
2015-06-01,33387000000.00
2015-07-01,33370000000.00
2015-08-01,32570000000.00
2015-09-01,28632000000.00
2015-10-01,27911000000.00
2015-11-01,27519000000.00
2015-12-01,27468000000.00
2016-01-01,27134000000.00
2016-02-01,25525000000.00
2016-03-01,27669000000.00
2016-04-01,27114000000.00
2016-05-01,25805000000.00
2016-06-01,25782000000.00
2016-07-01,24433000000.00
2016-08-01,24204000000.00
2016-09-01,24126000000.00
2016-10-01,24753000000.00
2016-11-01,25243000000.00
2016-12-01,29228000000.00
2017-01-01,29607000000.00
2017-02-01,24611000000.00
2017-03-01,24767000000.00
2017-04-01,25140000000.00
2017-05-01,23848000000.00
2017-06-01,26713000000.00
2017-07-01,25666000000.00
2017-08-01,24314000000.00
2017-09-01,30901000000.00
2017-10-01,30471000000.00
2017-11-01,30663000000.00
2017-12-01,27054000000.00
2018-01-01,25908000000.00
2018-02-01,29340000000.00
2018-03-01,29777000000.00
2018-04-01,29477000000.00
