Date,UCDGTI
1992-01-01,21289000000.00
1992-02-01,21579000000.00
1992-03-01,21168000000.00
1992-04-01,21156000000.00
1992-05-01,21395000000.00
1992-06-01,21148000000.00
1992-07-01,21131000000.00
1992-08-01,21460000000.00
1992-09-01,21124000000.00
1992-10-01,21170000000.00
1992-11-01,21201000000.00
1992-12-01,20124000000.00
1993-01-01,20755000000.00
1993-02-01,20926000000.00
1993-03-01,20854000000.00
1993-04-01,21249000000.00
1993-05-01,21476000000.00
1993-06-01,20729000000.00
1993-07-01,20555000000.00
1993-08-01,21402000000.00
1993-09-01,21335000000.00
1993-10-01,21646000000.00
1993-11-01,21738000000.00
1993-12-01,21065000000.00
1994-01-01,21882000000.00
1994-02-01,22317000000.00
1994-03-01,22048000000.00
1994-04-01,22030000000.00
1994-05-01,22422000000.00
1994-06-01,22029000000.00
1994-07-01,22628000000.00
1994-08-01,23219000000.00
1994-09-01,23134000000.00
1994-10-01,23229000000.00
1994-11-01,23660000000.00
1994-12-01,23094000000.00
1995-01-01,24125000000.00
1995-02-01,24867000000.00
1995-03-01,24578000000.00
1995-04-01,24747000000.00
1995-05-01,24992000000.00
1995-06-01,24501000000.00
1995-07-01,24547000000.00
1995-08-01,24851000000.00
1995-09-01,24421000000.00
1995-10-01,24752000000.00
1995-11-01,24895000000.00
1995-12-01,24328000000.00
1996-01-01,25468000000.00
1996-02-01,25841000000.00
1996-03-01,25366000000.00
1996-04-01,25379000000.00
1996-05-01,25539000000.00
1996-06-01,24747000000.00
1996-07-01,24940000000.00
1996-08-01,25383000000.00
1996-09-01,24975000000.00
1996-10-01,24871000000.00
1996-11-01,24524000000.00
1996-12-01,23825000000.00
1997-01-01,24776000000.00
1997-02-01,25340000000.00
1997-03-01,24984000000.00
1997-04-01,25070000000.00
1997-05-01,25278000000.00
1997-06-01,24893000000.00
1997-07-01,24794000000.00
1997-08-01,24905000000.00
1997-09-01,25122000000.00
1997-10-01,24869000000.00
1997-11-01,24753000000.00
1997-12-01,23978000000.00
1998-01-01,24992000000.00
1998-02-01,25577000000.00
1998-03-01,25427000000.00
1998-04-01,25067000000.00
1998-05-01,25273000000.00
1998-06-01,24413000000.00
1998-07-01,24685000000.00
1998-08-01,24706000000.00
1998-09-01,24642000000.00
1998-10-01,24630000000.00
1998-11-01,24958000000.00
1998-12-01,23966000000.00
1999-01-01,24988000000.00
1999-02-01,25244000000.00
1999-03-01,25560000000.00
1999-04-01,25141000000.00
1999-05-01,25660000000.00
1999-06-01,25214000000.00
1999-07-01,25507000000.00
1999-08-01,25625000000.00
1999-09-01,25417000000.00
1999-10-01,25595000000.00
1999-11-01,25990000000.00
1999-12-01,25073000000.00
2000-01-01,26048000000.00
2000-02-01,26510000000.00
2000-03-01,26148000000.00
2000-04-01,27348000000.00
2000-05-01,26979000000.00
2000-06-01,26676000000.00
2000-07-01,27274000000.00
2000-08-01,27834000000.00
2000-09-01,27392000000.00
2000-10-01,27529000000.00
2000-11-01,27207000000.00
2000-12-01,26108000000.00
