Date,UDXDNO
1992-02-01,110799000000.00
1992-03-01,121005000000.00
1992-04-01,115851000000.00
1992-05-01,116024000000.00
1992-06-01,124815000000.00
1992-07-01,99120000000.00
1992-08-01,109205000000.00
1992-09-01,119360000000.00
1992-10-01,120657000000.00
1992-11-01,113299000000.00
1992-12-01,118429000000.00
1993-01-01,108300000000.00
1993-02-01,123643000000.00
1993-03-01,129058000000.00
1993-04-01,120443000000.00
1993-05-01,118116000000.00
1993-06-01,132816000000.00
1993-07-01,100925000000.00
1993-08-01,117618000000.00
1993-09-01,127290000000.00
1993-10-01,128992000000.00
1993-11-01,125275000000.00
1993-12-01,127832000000.00
1994-01-01,121884000000.00
1994-02-01,133892000000.00
1994-03-01,142319000000.00
1994-04-01,132797000000.00
1994-05-01,134803000000.00
1994-06-01,148345000000.00
1994-07-01,114732000000.00
1994-08-01,137346000000.00
1994-09-01,147113000000.00
1994-10-01,144031000000.00
1994-11-01,143561000000.00
1994-12-01,142748000000.00
1995-01-01,137765000000.00
1995-02-01,149808000000.00
1995-03-01,158978000000.00
1995-04-01,140957000000.00
1995-05-01,147107000000.00
1995-06-01,155218000000.00
1995-07-01,119414000000.00
1995-08-01,145442000000.00
1995-09-01,161536000000.00
1995-10-01,153498000000.00
1995-11-01,151428000000.00
1995-12-01,152990000000.00
1996-01-01,142772000000.00
1996-02-01,153602000000.00
1996-03-01,161454000000.00
1996-04-01,149232000000.00
1996-05-01,157521000000.00
1996-06-01,165222000000.00
1996-07-01,135125000000.00
1996-08-01,149648000000.00
1996-09-01,168214000000.00
1996-10-01,163658000000.00
1996-11-01,155010000000.00
1996-12-01,150637000000.00
1997-01-01,149196000000.00
1997-02-01,166115000000.00
1997-03-01,173016000000.00
1997-04-01,164209000000.00
1997-05-01,161896000000.00
1997-06-01,180886000000.00
1997-07-01,146950000000.00
1997-08-01,165806000000.00
1997-09-01,185375000000.00
1997-10-01,178699000000.00
1997-11-01,178425000000.00
1997-12-01,170267000000.00
1998-01-01,157280000000.00
1998-02-01,176425000000.00
1998-03-01,186536000000.00
1998-04-01,170911000000.00
1998-05-01,171606000000.00
1998-06-01,183145000000.00
1998-07-01,142283000000.00
1998-08-01,169912000000.00
1998-09-01,186231000000.00
1998-10-01,176507000000.00
1998-11-01,171252000000.00
1998-12-01,173849000000.00
1999-01-01,163229000000.00
1999-02-01,178753000000.00
1999-03-01,195149000000.00
1999-04-01,174958000000.00
1999-05-01,177102000000.00
1999-06-01,193307000000.00
1999-07-01,154499000000.00
1999-08-01,183112000000.00
1999-09-01,197735000000.00
1999-10-01,186509000000.00
1999-11-01,179235000000.00
1999-12-01,190763000000.00
2000-01-01,175560000000.00
2000-02-01,183627000000.00
2000-03-01,205698000000.00
2000-04-01,182293000000.00
2000-05-01,186373000000.00
2000-06-01,210244000000.00
2000-07-01,156861000000.00
2000-08-01,183030000000.00
2000-09-01,205327000000.00
2000-10-01,182784000000.00
2000-11-01,177853000000.00
2000-12-01,184416000000.00
2001-01-01,161429000000.00
2001-02-01,170448000000.00
2001-03-01,189504000000.00
2001-04-01,161046000000.00
2001-05-01,174902000000.00
2001-06-01,182486000000.00
2001-07-01,140787000000.00
2001-08-01,167302000000.00
2001-09-01,161312000000.00
2001-10-01,157225000000.00
2001-11-01,153949000000.00
2001-12-01,157561000000.00
2002-01-01,146260000000.00
2002-02-01,157814000000.00
2002-03-01,169847000000.00
2002-04-01,163896000000.00
2002-05-01,171784000000.00
2002-06-01,166696000000.00
2002-07-01,144644000000.00
2002-08-01,170679000000.00
2002-09-01,165857000000.00
2002-10-01,169566000000.00
2002-11-01,157613000000.00
2002-12-01,153746000000.00
2003-01-01,152437000000.00
2003-02-01,159315000000.00
2003-03-01,175159000000.00
2003-04-01,158304000000.00
2003-05-01,164659000000.00
2003-06-01,175346000000.00
2003-07-01,145291000000.00
2003-08-01,161550000000.00
2003-09-01,179417000000.00
2003-10-01,180534000000.00
2003-11-01,164093000000.00
2003-12-01,170901000000.00
2004-01-01,154781000000.00
2004-02-01,169771000000.00
2004-03-01,200807000000.00
2004-04-01,174896000000.00
2004-05-01,175829000000.00
2004-06-01,187569000000.00
2004-07-01,158721000000.00
2004-08-01,178374000000.00
2004-09-01,188665000000.00
2004-10-01,176916000000.00
2004-11-01,179240000000.00
2004-12-01,187610000000.00
2005-01-01,169414000000.00
2005-02-01,181888000000.00
2005-03-01,198900000000.00
2005-04-01,184337000000.00
2005-05-01,199938000000.00
2005-06-01,214295000000.00
2005-07-01,164341000000.00
2005-08-01,203664000000.00
2005-09-01,207292000000.00
2005-10-01,201937000000.00
2005-11-01,207127000000.00
2005-12-01,214252000000.00
2006-01-01,186033000000.00
2006-02-01,197722000000.00
2006-03-01,238610000000.00
2006-04-01,199113000000.00
2006-05-01,212739000000.00
2006-06-01,224946000000.00
2006-07-01,179417000000.00
2006-08-01,206636000000.00
2006-09-01,228707000000.00
2006-10-01,211287000000.00
2006-11-01,205149000000.00
2006-12-01,218780000000.00
2007-01-01,193215000000.00
2007-02-01,200907000000.00
2007-03-01,241323000000.00
2007-04-01,218403000000.00
2007-05-01,221968000000.00
2007-06-01,235138000000.00
2007-07-01,202951000000.00
2007-08-01,227096000000.00
2007-09-01,222612000000.00
2007-10-01,223903000000.00
2007-11-01,215942000000.00
2007-12-01,232942000000.00
2008-01-01,207082000000.00
2008-02-01,216198000000.00
2008-03-01,233430000000.00
2008-04-01,216155000000.00
2008-05-01,217739000000.00
2008-06-01,227274000000.00
2008-07-01,196953000000.00
2008-08-01,203979000000.00
2008-09-01,207169000000.00
2008-10-01,185702000000.00
2008-11-01,159443000000.00
2008-12-01,167373000000.00
2009-01-01,129655000000.00
2009-02-01,127549000000.00
2009-03-01,147547000000.00
2009-04-01,130138000000.00
2009-05-01,135034000000.00
2009-06-01,146682000000.00
2009-07-01,137164000000.00
2009-08-01,145820000000.00
2009-09-01,157281000000.00
2009-10-01,153841000000.00
2009-11-01,143135000000.00
2009-12-01,157964000000.00
2010-01-01,146876000000.00
2010-02-01,155761000000.00
2010-03-01,181784000000.00
2010-04-01,170176000000.00
2010-05-01,171909000000.00
2010-06-01,186525000000.00
2010-07-01,164451000000.00
2010-08-01,180456000000.00
2010-09-01,196937000000.00
2010-10-01,182262000000.00
2010-11-01,174280000000.00
2010-12-01,188706000000.00
2011-01-01,167410000000.00
2011-02-01,174743000000.00
2011-03-01,214294000000.00
2011-04-01,182284000000.00
2011-05-01,192009000000.00
2011-06-01,200985000000.00
2011-07-01,179861000000.00
2011-08-01,204803000000.00
2011-09-01,205802000000.00
2011-10-01,197043000000.00
2011-11-01,196338000000.00
2011-12-01,221347000000.00
2012-01-01,194240000000.00
2012-02-01,212209000000.00
2012-03-01,224664000000.00
2012-04-01,203247000000.00
2012-05-01,212175000000.00
2012-06-01,215103000000.00
2012-07-01,196027000000.00
2012-08-01,196721000000.00
2012-09-01,209075000000.00
2012-10-01,212569000000.00
