Date,UDXTUO
1992-01-01,197103000000.00
1992-02-01,198356000000.00
1992-03-01,197398000000.00
1992-04-01,195940000000.00
1992-05-01,194280000000.00
1992-06-01,192490000000.00
1992-07-01,191894000000.00
1992-08-01,189345000000.00
1992-09-01,188055000000.00
1992-10-01,186218000000.00
1992-11-01,186676000000.00
1992-12-01,189625000000.00
1993-01-01,194874000000.00
1993-02-01,195966000000.00
1993-03-01,196819000000.00
1993-04-01,197068000000.00
1993-05-01,194933000000.00
1993-06-01,191468000000.00
1993-07-01,192174000000.00
1993-08-01,191407000000.00
1993-09-01,189909000000.00
1993-10-01,189885000000.00
1993-11-01,188252000000.00
1993-12-01,189640000000.00
1994-01-01,194448000000.00
1994-02-01,196645000000.00
1994-03-01,197601000000.00
1994-04-01,198500000000.00
1994-05-01,198140000000.00
1994-06-01,199825000000.00
1994-07-01,201972000000.00
1994-08-01,201271000000.00
1994-09-01,201521000000.00
1994-10-01,204019000000.00
1994-11-01,204303000000.00
1994-12-01,205800000000.00
1995-01-01,213294000000.00
1995-02-01,215378000000.00
1995-03-01,216955000000.00
1995-04-01,217450000000.00
1995-05-01,218467000000.00
1995-06-01,216360000000.00
1995-07-01,216697000000.00
1995-08-01,215711000000.00
1995-09-01,214516000000.00
1995-10-01,217000000000.00
1995-11-01,217571000000.00
1995-12-01,218453000000.00
1996-01-01,224846000000.00
1996-02-01,228622000000.00
1996-03-01,228135000000.00
1996-04-01,228550000000.00
1996-05-01,228671000000.00
1996-06-01,226472000000.00
1996-07-01,228694000000.00
1996-08-01,227816000000.00
1996-09-01,224888000000.00
1996-10-01,226824000000.00
1996-11-01,226029000000.00
1996-12-01,223827000000.00
1997-01-01,229642000000.00
1997-02-01,234638000000.00
1997-03-01,236137000000.00
1997-04-01,238000000000.00
1997-05-01,237636000000.00
1997-06-01,236074000000.00
1997-07-01,240058000000.00
1997-08-01,239402000000.00
1997-09-01,241103000000.00
1997-10-01,241343000000.00
1997-11-01,241099000000.00
1997-12-01,240969000000.00
1998-01-01,247038000000.00
1998-02-01,250325000000.00
1998-03-01,248785000000.00
1998-04-01,247802000000.00
1998-05-01,247390000000.00
1998-06-01,245475000000.00
1998-07-01,244465000000.00
1998-08-01,241846000000.00
1998-09-01,240017000000.00
1998-10-01,237301000000.00
1998-11-01,235931000000.00
1998-12-01,237024000000.00
1999-01-01,241137000000.00
1999-02-01,244966000000.00
1999-03-01,246866000000.00
1999-04-01,249426000000.00
1999-05-01,249218000000.00
1999-06-01,246241000000.00
1999-07-01,249293000000.00
1999-08-01,249241000000.00
1999-09-01,251360000000.00
1999-10-01,254980000000.00
1999-11-01,256562000000.00
1999-12-01,262028000000.00
2000-01-01,270312000000.00
2000-02-01,274079000000.00
2000-03-01,277127000000.00
2000-04-01,280042000000.00
2000-05-01,280782000000.00
2000-06-01,284615000000.00
2000-07-01,286249000000.00
2000-08-01,285237000000.00
2000-09-01,285047000000.00
2000-10-01,285233000000.00
2000-11-01,285056000000.00
2000-12-01,282331000000.00
2001-01-01,285103000000.00
2001-02-01,285029000000.00
2001-03-01,279134000000.00
2001-04-01,274194000000.00
2001-05-01,270546000000.00
2001-06-01,265882000000.00
2001-07-01,263903000000.00
2001-08-01,259259000000.00
2001-09-01,255003000000.00
2001-10-01,249752000000.00
2001-11-01,247918000000.00
2001-12-01,247687000000.00
2002-01-01,248000000000.00
2002-02-01,247808000000.00
2002-03-01,244393000000.00
2002-04-01,244157000000.00
2002-05-01,243026000000.00
2002-06-01,237532000000.00
2002-07-01,235987000000.00
2002-08-01,230561000000.00
2002-09-01,226657000000.00
2002-10-01,224569000000.00
2002-11-01,221477000000.00
2002-12-01,219913000000.00
2003-01-01,223179000000.00
2003-02-01,227610000000.00
2003-03-01,227590000000.00
2003-04-01,227191000000.00
2003-05-01,226134000000.00
2003-06-01,224203000000.00
2003-07-01,223867000000.00
2003-08-01,223838000000.00
2003-09-01,224042000000.00
2003-10-01,228032000000.00
2003-11-01,231147000000.00
2003-12-01,233974000000.00
2004-01-01,240828000000.00
2004-02-01,248752000000.00
2004-03-01,256553000000.00
2004-04-01,259865000000.00
2004-05-01,262937000000.00
2004-06-01,261977000000.00
2004-07-01,261571000000.00
2004-08-01,260654000000.00
2004-09-01,262269000000.00
2004-10-01,262959000000.00
2004-11-01,264620000000.00
2004-12-01,266366000000.00
2005-01-01,271492000000.00
2005-02-01,278184000000.00
2005-03-01,281363000000.00
2005-04-01,281787000000.00
2005-05-01,281965000000.00
2005-06-01,283876000000.00
2005-07-01,283966000000.00
2005-08-01,287393000000.00
2005-09-01,290604000000.00
2005-10-01,293714000000.00
2005-11-01,296573000000.00
2005-12-01,298406000000.00
2006-01-01,306267000000.00
2006-02-01,312989000000.00
2006-03-01,319707000000.00
2006-04-01,324834000000.00
2006-05-01,328302000000.00
2006-06-01,329204000000.00
2006-07-01,333194000000.00
2006-08-01,330346000000.00
2006-09-01,332733000000.00
2006-10-01,335997000000.00
2006-11-01,337910000000.00
2006-12-01,341803000000.00
2007-01-01,349930000000.00
2007-02-01,356147000000.00
2007-03-01,360097000000.00
2007-04-01,363640000000.00
2007-05-01,364166000000.00
2007-06-01,358405000000.00
2007-07-01,360288000000.00
2007-08-01,359739000000.00
2007-09-01,358799000000.00
2007-10-01,360921000000.00
2007-11-01,361617000000.00
2007-12-01,366674000000.00
2008-01-01,376175000000.00
2008-02-01,381667000000.00
