Date,UDXTVS
1992-01-01,77279000000.00
1992-02-01,85995000000.00
1992-03-01,95107000000.00
1992-04-01,88723000000.00
1992-05-01,89392000000.00
1992-06-01,99143000000.00
1992-07-01,83121000000.00
1992-08-01,89549000000.00
1992-09-01,98404000000.00
1992-10-01,93877000000.00
1992-11-01,90864000000.00
1992-12-01,93797000000.00
1993-01-01,81287000000.00
1993-02-01,91534000000.00
1993-03-01,101420000000.00
1993-04-01,92424000000.00
1993-05-01,93525000000.00
1993-06-01,103926000000.00
1993-07-01,85507000000.00
1993-08-01,94786000000.00
1993-09-01,105452000000.00
1993-10-01,99705000000.00
1993-11-01,99468000000.00
1993-12-01,102073000000.00
1994-01-01,88450000000.00
1994-02-01,99382000000.00
1994-03-01,109041000000.00
1994-04-01,100994000000.00
1994-05-01,104166000000.00
1994-06-01,114338000000.00
1994-07-01,94772000000.00
1994-08-01,107487000000.00
1994-09-01,116205000000.00
1994-10-01,110679000000.00
1994-11-01,110191000000.00
1994-12-01,113611000000.00
1995-01-01,100896000000.00
1995-02-01,111952000000.00
1995-03-01,122798000000.00
1995-04-01,110276000000.00
1995-05-01,114264000000.00
1995-06-01,126351000000.00
1995-07-01,101826000000.00
1995-08-01,117335000000.00
1995-09-01,128204000000.00
1995-10-01,120505000000.00
1995-11-01,118388000000.00
1995-12-01,121749000000.00
1996-01-01,103867000000.00
1996-02-01,116491000000.00
1996-03-01,128940000000.00
1996-04-01,116930000000.00
1996-05-01,121170000000.00
1996-06-01,133453000000.00
1996-07-01,109058000000.00
1996-08-01,121571000000.00
1996-09-01,133964000000.00
1996-10-01,125914000000.00
1996-11-01,124331000000.00
1996-12-01,126878000000.00
1997-01-01,109350000000.00
1997-02-01,124664000000.00
1997-03-01,138578000000.00
1997-04-01,126573000000.00
1997-05-01,126952000000.00
1997-06-01,145426000000.00
1997-07-01,119212000000.00
1997-08-01,129851000000.00
1997-09-01,147672000000.00
1997-10-01,135545000000.00
1997-11-01,130378000000.00
1997-12-01,137876000000.00
1998-01-01,116265000000.00
1998-02-01,133238000000.00
1998-03-01,147892000000.00
1998-04-01,130717000000.00
1998-05-01,131090000000.00
1998-06-01,150904000000.00
1998-07-01,122113000000.00
1998-08-01,131481000000.00
1998-09-01,147520000000.00
1998-10-01,135640000000.00
1998-11-01,132750000000.00
1998-12-01,139096000000.00
1999-01-01,116607000000.00
1999-02-01,131734000000.00
1999-03-01,147112000000.00
1999-04-01,132243000000.00
1999-05-01,134836000000.00
1999-06-01,151810000000.00
1999-07-01,126302000000.00
1999-08-01,137463000000.00
1999-09-01,151592000000.00
1999-10-01,139344000000.00
1999-11-01,137834000000.00
1999-12-01,143531000000.00
2000-01-01,125466000000.00
2000-02-01,138168000000.00
2000-03-01,157137000000.00
2000-04-01,139908000000.00
2000-05-01,143901000000.00
2000-06-01,160420000000.00
2000-07-01,132067000000.00
2000-08-01,144164000000.00
2000-09-01,159662000000.00
2000-10-01,145143000000.00
2000-11-01,140080000000.00
2000-12-01,147711000000.00
2001-01-01,125765000000.00
2001-02-01,134699000000.00
2001-03-01,149762000000.00
2001-04-01,128361000000.00
2001-05-01,135131000000.00
2001-06-01,144322000000.00
2001-07-01,118919000000.00
2001-08-01,129807000000.00
2001-09-01,133184000000.00
2001-10-01,127007000000.00
2001-11-01,120212000000.00
2001-12-01,124742000000.00
2002-01-01,109629000000.00
2002-02-01,117216000000.00
2002-03-01,132158000000.00
2002-04-01,123250000000.00
2002-05-01,127502000000.00
2002-06-01,134425000000.00
2002-07-01,116570000000.00
2002-08-01,125998000000.00
2002-09-01,132468000000.00
2002-10-01,125624000000.00
2002-11-01,120298000000.00
2002-12-01,121772000000.00
2003-01-01,110043000000.00
2003-02-01,115089000000.00
2003-03-01,131497000000.00
2003-04-01,119757000000.00
2003-05-01,122993000000.00
2003-06-01,133322000000.00
2003-07-01,116463000000.00
2003-08-01,122894000000.00
2003-09-01,134758000000.00
2003-10-01,129645000000.00
2003-11-01,121084000000.00
2003-12-01,129173000000.00
2004-01-01,112631000000.00
2004-02-01,119955000000.00
2004-03-01,142940000000.00
2004-04-01,130296000000.00
2004-05-01,130568000000.00
2004-06-01,143949000000.00
2004-07-01,126106000000.00
2004-08-01,136796000000.00
2004-09-01,144956000000.00
2004-10-01,137172000000.00
2004-11-01,134591000000.00
2004-12-01,142707000000.00
2005-01-01,127119000000.00
2005-02-01,132514000000.00
2005-03-01,153169000000.00
2005-04-01,140762000000.00
2005-05-01,143131000000.00
2005-06-01,155536000000.00
2005-07-01,131510000000.00
2005-08-01,147944000000.00
2005-09-01,156252000000.00
2005-10-01,148771000000.00
2005-11-01,145017000000.00
2005-12-01,152376000000.00
2006-01-01,137678000000.00
2006-02-01,144042000000.00
2006-03-01,167502000000.00
2006-04-01,147707000000.00
2006-05-01,158718000000.00
2006-06-01,170901000000.00
2006-07-01,144795000000.00
2006-08-01,161740000000.00
2006-09-01,164784000000.00
2006-10-01,158235000000.00
2006-11-01,150854000000.00
2006-12-01,156204000000.00
2007-01-01,143886000000.00
2007-02-01,146742000000.00
2007-03-01,170231000000.00
2007-04-01,160994000000.00
2007-05-01,166308000000.00
2007-06-01,174734000000.00
2007-07-01,154075000000.00
2007-08-01,168720000000.00
2007-09-01,168805000000.00
2007-10-01,168396000000.00
2007-11-01,157919000000.00
2007-12-01,160269000000.00
2008-01-01,153172000000.00
2008-02-01,157585000000.00
2008-03-01,170953000000.00
2008-04-01,167983000000.00
2008-05-01,168688000000.00
2008-06-01,179047000000.00
2008-07-01,164644000000.00
2008-08-01,165902000000.00
2008-09-01,172329000000.00
2008-10-01,162276000000.00
2008-11-01,139123000000.00
2008-12-01,142397000000.00
2009-01-01,120252000000.00
2009-02-01,120226000000.00
2009-03-01,133835000000.00
2009-04-01,123945000000.00
2009-05-01,121416000000.00
2009-06-01,132630000000.00
2009-07-01,124467000000.00
2009-08-01,126521000000.00
2009-09-01,132777000000.00
2009-10-01,131050000000.00
2009-11-01,122052000000.00
2009-12-01,128406000000.00
2010-01-01,118325000000.00
2010-02-01,120742000000.00
2010-03-01,142858000000.00
2010-04-01,138625000000.00
2010-05-01,137959000000.00
2010-06-01,146777000000.00
2010-07-01,134503000000.00
2010-08-01,141565000000.00
