Date,UMTUNO
1992-02-01,85595000000.00
1992-03-01,94054000000.00
1992-04-01,88970000000.00
1992-05-01,86786000000.00
1992-06-01,94084000000.00
1992-07-01,74816000000.00
1992-08-01,79969000000.00
1992-09-01,90120000000.00
1992-10-01,94129000000.00
1992-11-01,86909000000.00
1992-12-01,98761000000.00
1993-01-01,83955000000.00
1993-02-01,93069000000.00
1993-03-01,99994000000.00
1993-04-01,89259000000.00
1993-05-01,85821000000.00
1993-06-01,98725000000.00
1993-07-01,78801000000.00
1993-08-01,89219000000.00
1993-09-01,94820000000.00
1993-10-01,94865000000.00
1993-11-01,92242000000.00
1993-12-01,101210000000.00
1994-01-01,95851000000.00
1994-02-01,98499000000.00
1994-03-01,106804000000.00
1994-04-01,96587000000.00
1994-05-01,98070000000.00
1994-06-01,110407000000.00
1994-07-01,87220000000.00
1994-08-01,100447000000.00
1994-09-01,109196000000.00
1994-10-01,107454000000.00
1994-11-01,106709000000.00
1994-12-01,113426000000.00
1995-01-01,104815000000.00
1995-02-01,112387000000.00
1995-03-01,121780000000.00
1995-04-01,103917000000.00
1995-05-01,108594000000.00
1995-06-01,116183000000.00
1995-07-01,90510000000.00
1995-08-01,108543000000.00
1995-09-01,122169000000.00
1995-10-01,112490000000.00
1995-11-01,113759000000.00
1995-12-01,123534000000.00
1996-01-01,112730000000.00
1996-02-01,115419000000.00
1996-03-01,132134000000.00
1996-04-01,110315000000.00
1996-05-01,117229000000.00
1996-06-01,124509000000.00
1996-07-01,101464000000.00
1996-08-01,108019000000.00
1996-09-01,125069000000.00
1996-10-01,120739000000.00
1996-11-01,122674000000.00
1996-12-01,123393000000.00
1997-01-01,112718000000.00
1997-02-01,124573000000.00
1997-03-01,130249000000.00
1997-04-01,121654000000.00
1997-05-01,117121000000.00
1997-06-01,134196000000.00
1997-07-01,109533000000.00
1997-08-01,120736000000.00
1997-09-01,136517000000.00
1997-10-01,129603000000.00
1997-11-01,135365000000.00
1997-12-01,131224000000.00
1998-01-01,120711000000.00
1998-02-01,130492000000.00
1998-03-01,137670000000.00
1998-04-01,126100000000.00
1998-05-01,122757000000.00
1998-06-01,134068000000.00
1998-07-01,105530000000.00
1998-08-01,122173000000.00
1998-09-01,137247000000.00
1998-10-01,124747000000.00
1998-11-01,125021000000.00
1998-12-01,134147000000.00
1999-01-01,124440000000.00
1999-02-01,129440000000.00
1999-03-01,144337000000.00
1999-04-01,124943000000.00
1999-05-01,126497000000.00
1999-06-01,137247000000.00
1999-07-01,115898000000.00
1999-08-01,129564000000.00
1999-09-01,142515000000.00
1999-10-01,136526000000.00
1999-11-01,129475000000.00
1999-12-01,150861000000.00
2000-01-01,136363000000.00
2000-02-01,134700000000.00
2000-03-01,152112000000.00
2000-04-01,133678000000.00
2000-05-01,134995000000.00
2000-06-01,176510000000.00
2000-07-01,118036000000.00
2000-08-01,135377000000.00
2000-09-01,152497000000.00
2000-10-01,133291000000.00
2000-11-01,135668000000.00
2000-12-01,145587000000.00
2001-01-01,123866000000.00
2001-02-01,128157000000.00
2001-03-01,145813000000.00
2001-04-01,118874000000.00
2001-05-01,127127000000.00
2001-06-01,133520000000.00
2001-07-01,103451000000.00
2001-08-01,118740000000.00
2001-09-01,119261000000.00
2001-10-01,122982000000.00
2001-11-01,111017000000.00
2001-12-01,123304000000.00
2002-01-01,106403000000.00
2002-02-01,119455000000.00
2002-03-01,131091000000.00
2002-04-01,116894000000.00
2002-05-01,120463000000.00
2002-06-01,118378000000.00
2002-07-01,106673000000.00
2002-08-01,121145000000.00
2002-09-01,119461000000.00
2002-10-01,116221000000.00
2002-11-01,112972000000.00
2002-12-01,119277000000.00
2003-01-01,110752000000.00
2003-02-01,118619000000.00
2003-03-01,131644000000.00
2003-04-01,115538000000.00
2003-05-01,117195000000.00
2003-06-01,126075000000.00
2003-07-01,103948000000.00
2003-08-01,116160000000.00
2003-09-01,126475000000.00
2003-10-01,128806000000.00
2003-11-01,120379000000.00
2003-12-01,134437000000.00
2004-01-01,116551000000.00
2004-02-01,125899000000.00
2004-03-01,149821000000.00
2004-04-01,126809000000.00
2004-05-01,125971000000.00
2004-06-01,136362000000.00
2004-07-01,119112000000.00
2004-08-01,126514000000.00
2004-09-01,136607000000.00
2004-10-01,128424000000.00
2004-11-01,132187000000.00
2004-12-01,143662000000.00
2005-01-01,127223000000.00
2005-02-01,133772000000.00
2005-03-01,147107000000.00
2005-04-01,132603000000.00
2005-05-01,145778000000.00
2005-06-01,159480000000.00
2005-07-01,120986000000.00
2005-08-01,146664000000.00
2005-09-01,148141000000.00
2005-10-01,147740000000.00
2005-11-01,156063000000.00
2005-12-01,169244000000.00
2006-01-01,136575000000.00
2006-02-01,150202000000.00
2006-03-01,182335000000.00
2006-04-01,148084000000.00
2006-05-01,152339000000.00
2006-06-01,168726000000.00
2006-07-01,137238000000.00
2006-08-01,152597000000.00
2006-09-01,181956000000.00
2006-10-01,157999000000.00
2006-11-01,160672000000.00
2006-12-01,176772000000.00
2007-01-01,150969000000.00
2007-02-01,155784000000.00
2007-03-01,187140000000.00
2007-04-01,167002000000.00
2007-05-01,165674000000.00
2007-06-01,178130000000.00
2007-07-01,159564000000.00
2007-08-01,176253000000.00
2007-09-01,171979000000.00
2007-10-01,171454000000.00
2007-11-01,165768000000.00
2007-12-01,198147000000.00
2008-01-01,167446000000.00
2008-02-01,173627000000.00
2008-03-01,193523000000.00
2008-04-01,169293000000.00
2008-05-01,171741000000.00
2008-06-01,183560000000.00
2008-07-01,157326000000.00
2008-08-01,161105000000.00
2008-09-01,167933000000.00
2008-10-01,142663000000.00
2008-11-01,123805000000.00
2008-12-01,145854000000.00
2009-01-01,99873000000.00
2009-02-01,97253000000.00
2009-03-01,117044000000.00
2009-04-01,97799000000.00
2009-05-01,104774000000.00
2009-06-01,113678000000.00
2009-07-01,106605000000.00
2009-08-01,111796000000.00
2009-09-01,122779000000.00
2009-10-01,117182000000.00
2009-11-01,108227000000.00
2009-12-01,129731000000.00
2010-01-01,122445000000.00
2010-02-01,126866000000.00
2010-03-01,149897000000.00
2010-04-01,133298000000.00
2010-05-01,135473000000.00
2010-06-01,147277000000.00
2010-07-01,129880000000.00
2010-08-01,139560000000.00
2010-09-01,159004000000.00
2010-10-01,140157000000.00
2010-11-01,138640000000.00
2010-12-01,159141000000.00
2011-01-01,139967000000.00
2011-02-01,140459000000.00
2011-03-01,175511000000.00
2011-04-01,144954000000.00
2011-05-01,154445000000.00
2011-06-01,160906000000.00
2011-07-01,142531000000.00
2011-08-01,161533000000.00
2011-09-01,166578000000.00
2011-10-01,151357000000.00
2011-11-01,155094000000.00
2011-12-01,185933000000.00
2012-01-01,156198000000.00
2012-02-01,171315000000.00
2012-03-01,180856000000.00
2012-04-01,153917000000.00
2012-05-01,161388000000.00
2012-06-01,172599000000.00
2012-07-01,155826000000.00
2012-08-01,145217000000.00
2012-09-01,166367000000.00
2012-10-01,163260000000.00
2012-11-01,154348000000.00
2012-12-01,185944000000.00
2013-01-01,146445000000.00
2013-02-01,164096000000.00
2013-03-01,164892000000.00
2013-04-01,154572000000.00
2013-05-01,170361000000.00
2013-06-01,190517000000.00
2013-07-01,148016000000.00
2013-08-01,155669000000.00
2013-09-01,178857000000.00
2013-10-01,165231000000.00
2013-11-01,164307000000.00
2013-12-01,183329000000.00
2014-01-01,148612000000.00
2014-02-01,161380000000.00
2014-03-01,184147000000.00
2014-04-01,166463000000.00
2014-05-01,164609000000.00
2014-06-01,188648000000.00
2014-07-01,217003000000.00
2014-08-01,163207000000.00
2014-09-01,179667000000.00
2014-10-01,167372000000.00
2014-11-01,155127000000.00
2014-12-01,175083000000.00
2015-01-01,147269000000.00
2015-02-01,147588000000.00
2015-03-01,178950000000.00
2015-04-01,154748000000.00
2015-05-01,147848000000.00
2015-06-01,180279000000.00
2015-07-01,154716000000.00
2015-08-01,151692000000.00
2015-09-01,161731000000.00
2015-10-01,158891000000.00
2015-11-01,153120000000.00
2015-12-01,166909000000.00
2016-01-01,141062000000.00
2016-02-01,145503000000.00
2016-03-01,170904000000.00
2016-04-01,152669000000.00
2016-05-01,152091000000.00
2016-06-01,160286000000.00
2016-07-01,139980000000.00
2016-08-01,152560000000.00
2016-09-01,161845000000.00
2016-10-01,162309000000.00
2016-11-01,150562000000.00
2016-12-01,165760000000.00
2017-01-01,140263000000.00
2017-02-01,144444000000.00
2017-03-01,183848000000.00
2017-04-01,154343000000.00
2017-05-01,159152000000.00
2017-06-01,194005000000.00
2017-07-01,145951000000.00
2017-08-01,161367000000.00
2017-09-01,180666000000.00
2017-10-01,164290000000.00
2017-11-01,165340000000.00
2017-12-01,183017000000.00
2018-01-01,150987000000.00
2018-02-01,165720000000.00
2018-03-01,201910000000.00
2018-04-01,172466000000.00
2018-05-01,180829000000.00
