Date,UMTUVS
1992-01-01,76624000000.00
1992-02-01,87439000000.00
1992-03-01,95889000000.00
1992-04-01,89377000000.00
1992-05-01,89223000000.00
1992-06-01,99190000000.00
1992-07-01,80120000000.00
1992-08-01,87860000000.00
1992-09-01,95759000000.00
1992-10-01,92868000000.00
1992-11-01,90643000000.00
1992-12-01,95500000000.00
1993-01-01,80489000000.00
1993-02-01,91406000000.00
1993-03-01,101334000000.00
1993-04-01,92265000000.00
1993-05-01,92545000000.00
1993-06-01,102302000000.00
1993-07-01,80041000000.00
1993-08-01,91944000000.00
1993-09-01,101014000000.00
1993-10-01,97949000000.00
1993-11-01,96185000000.00
1993-12-01,99962000000.00
1994-01-01,86416000000.00
1994-02-01,98079000000.00
1994-03-01,106961000000.00
1994-04-01,97952000000.00
1994-05-01,100536000000.00
1994-06-01,110353000000.00
1994-07-01,87682000000.00
1994-08-01,103062000000.00
1994-09-01,110427000000.00
1994-10-01,105706000000.00
1994-11-01,105815000000.00
1994-12-01,109013000000.00
1995-01-01,97736000000.00
1995-02-01,109236000000.00
1995-03-01,118815000000.00
1995-04-01,106674000000.00
1995-05-01,109284000000.00
1995-06-01,120271000000.00
1995-07-01,92213000000.00
1995-08-01,109577000000.00
1995-09-01,120571000000.00
1995-10-01,113465000000.00
1995-11-01,112079000000.00
1995-12-01,116245000000.00
1996-01-01,98321000000.00
1996-02-01,112001000000.00
1996-03-01,120802000000.00
1996-04-01,111140000000.00
1996-05-01,115751000000.00
1996-06-01,125198000000.00
1996-07-01,98306000000.00
1996-08-01,114092000000.00
1996-09-01,124647000000.00
1996-10-01,116249000000.00
1996-11-01,116730000000.00
1996-12-01,119089000000.00
1997-01-01,102992000000.00
1997-02-01,119744000000.00
1997-03-01,129729000000.00
1997-04-01,121924000000.00
1997-05-01,120645000000.00
1997-06-01,136178000000.00
1997-07-01,108782000000.00
1997-08-01,121518000000.00
1997-09-01,136542000000.00
1997-10-01,127667000000.00
1997-11-01,124108000000.00
1997-12-01,130045000000.00
1998-01-01,109353000000.00
1998-02-01,128594000000.00
1998-03-01,141420000000.00
1998-04-01,125545000000.00
1998-05-01,125985000000.00
1998-06-01,139333000000.00
1998-07-01,108600000000.00
1998-08-01,124430000000.00
1998-09-01,139906000000.00
1998-10-01,131185000000.00
1998-11-01,129008000000.00
1998-12-01,133926000000.00
1999-01-01,112666000000.00
1999-02-01,128295000000.00
1999-03-01,142626000000.00
1999-04-01,128430000000.00
1999-05-01,131245000000.00
1999-06-01,144289000000.00
1999-07-01,114198000000.00
1999-08-01,133126000000.00
1999-09-01,143505000000.00
1999-10-01,133996000000.00
1999-11-01,131946000000.00
1999-12-01,138530000000.00
2000-01-01,121378000000.00
2000-02-01,132983000000.00
2000-03-01,149501000000.00
2000-04-01,134294000000.00
2000-05-01,139660000000.00
2000-06-01,152889000000.00
2000-07-01,118782000000.00
2000-08-01,137360000000.00
2000-09-01,149722000000.00
2000-10-01,136780000000.00
2000-11-01,132941000000.00
2000-12-01,138756000000.00
2001-01-01,118434000000.00
2001-02-01,129909000000.00
2001-03-01,144525000000.00
2001-04-01,122688000000.00
2001-05-01,132674000000.00
2001-06-01,140094000000.00
2001-07-01,109104000000.00
2001-08-01,126650000000.00
2001-09-01,128053000000.00
2001-10-01,122194000000.00
2001-11-01,118064000000.00
2001-12-01,122194000000.00
2002-01-01,105692000000.00
2002-02-01,114914000000.00
2002-03-01,129764000000.00
2002-04-01,119958000000.00
2002-05-01,124965000000.00
2002-06-01,129811000000.00
2002-07-01,106555000000.00
2002-08-01,121988000000.00
2002-09-01,128721000000.00
2002-10-01,122508000000.00
2002-11-01,117149000000.00
2002-12-01,116551000000.00
2003-01-01,105217000000.00
2003-02-01,113486000000.00
2003-03-01,128479000000.00
2003-04-01,114592000000.00
2003-05-01,118878000000.00
2003-06-01,127958000000.00
2003-07-01,106650000000.00
2003-08-01,116277000000.00
2003-09-01,128682000000.00
2003-10-01,123336000000.00
2003-11-01,116424000000.00
2003-12-01,123017000000.00
2004-01-01,107270000000.00
2004-02-01,117833000000.00
2004-03-01,138147000000.00
2004-04-01,122788000000.00
2004-05-01,124483000000.00
2004-06-01,136801000000.00
2004-07-01,113746000000.00
2004-08-01,128610000000.00
2004-09-01,137027000000.00
2004-10-01,129584000000.00
2004-11-01,125751000000.00
2004-12-01,133492000000.00
2005-01-01,119596000000.00
2005-02-01,126332000000.00
2005-03-01,145605000000.00
2005-04-01,133873000000.00
2005-05-01,136364000000.00
2005-06-01,147852000000.00
2005-07-01,118301000000.00
2005-08-01,140180000000.00
2005-09-01,146390000000.00
2005-10-01,140390000000.00
2005-11-01,136999000000.00
2005-12-01,146367000000.00
2006-01-01,127283000000.00
2006-02-01,134993000000.00
2006-03-01,159226000000.00
2006-04-01,138210000000.00
2006-05-01,149835000000.00
2006-06-01,161424000000.00
2006-07-01,130703000000.00
2006-08-01,154723000000.00
2006-09-01,157682000000.00
2006-10-01,150147000000.00
2006-11-01,145556000000.00
2006-12-01,151406000000.00
2007-01-01,135243000000.00
2007-02-01,143638000000.00
2007-03-01,169129000000.00
2007-04-01,153730000000.00
2007-05-01,162630000000.00
2007-06-01,172338000000.00
2007-07-01,145565000000.00
2007-08-01,167574000000.00
2007-09-01,167847000000.00
2007-10-01,164582000000.00
2007-11-01,156220000000.00
2007-12-01,159397000000.00
2008-01-01,147846000000.00
2008-02-01,158313000000.00
2008-03-01,172420000000.00
2008-04-01,164047000000.00
2008-05-01,167021000000.00
2008-06-01,180301000000.00
2008-07-01,155378000000.00
2008-08-01,162751000000.00
2008-09-01,170013000000.00
2008-10-01,154754000000.00
2008-11-01,134975000000.00
2008-12-01,141395000000.00
2009-01-01,114296000000.00
2009-02-01,119470000000.00
