Date,UMVPNO
1992-02-01,23624000000.00
1992-03-01,24304000000.00
1992-04-01,25293000000.00
1992-05-01,25983000000.00
1992-06-01,24972000000.00
1992-07-01,16776000000.00
1992-08-01,22623000000.00
1992-09-01,22930000000.00
1992-10-01,26377000000.00
1992-11-01,24654000000.00
1992-12-01,21392000000.00
1993-01-01,23848000000.00
1993-02-01,27889000000.00
1993-03-01,27980000000.00
1993-04-01,27404000000.00
1993-05-01,27443000000.00
1993-06-01,27478000000.00
1993-07-01,16406000000.00
1993-08-01,23558000000.00
1993-09-01,26241000000.00
1993-10-01,30026000000.00
1993-11-01,28064000000.00
1993-12-01,25591000000.00
1994-01-01,27953000000.00
1994-02-01,32551000000.00
1994-03-01,32332000000.00
1994-04-01,31339000000.00
1994-05-01,32182000000.00
1994-06-01,32452000000.00
1994-07-01,20109000000.00
1994-08-01,31821000000.00
1994-09-01,31541000000.00
1994-10-01,32866000000.00
1994-11-01,32637000000.00
1994-12-01,29523000000.00
1995-01-01,31013000000.00
1995-02-01,35558000000.00
1995-03-01,35796000000.00
1995-04-01,32320000000.00
1995-05-01,32217000000.00
1995-06-01,33064000000.00
1995-07-01,18915000000.00
1995-08-01,31795000000.00
1995-09-01,33567000000.00
1995-10-01,34133000000.00
1995-11-01,32086000000.00
1995-12-01,28422000000.00
1996-01-01,30312000000.00
1996-02-01,34899000000.00
1996-03-01,30452000000.00
1996-04-01,34426000000.00
1996-05-01,35192000000.00
1996-06-01,34506000000.00
1996-07-01,22814000000.00
1996-08-01,32662000000.00
1996-09-01,34860000000.00
1996-10-01,34672000000.00
1996-11-01,33613000000.00
1996-12-01,27304000000.00
1997-01-01,33678000000.00
1997-02-01,37663000000.00
1997-03-01,35463000000.00
1997-04-01,36758000000.00
1997-05-01,35499000000.00
1997-06-01,36185000000.00
1997-07-01,24456000000.00
1997-08-01,35967000000.00
1997-09-01,37114000000.00
1997-10-01,40300000000.00
1997-11-01,36748000000.00
1997-12-01,32596000000.00
1998-01-01,32753000000.00
1998-02-01,39915000000.00
1998-03-01,39980000000.00
1998-04-01,38166000000.00
1998-05-01,38855000000.00
1998-06-01,33270000000.00
1998-07-01,20365000000.00
1998-08-01,36858000000.00
1998-09-01,40548000000.00
1998-10-01,44119000000.00
1998-11-01,40243000000.00
1998-12-01,35862000000.00
1999-01-01,39116000000.00
1999-02-01,44402000000.00
1999-03-01,45411000000.00
1999-04-01,42890000000.00
1999-05-01,42817000000.00
1999-06-01,45257000000.00
1999-07-01,26040000000.00
1999-08-01,44187000000.00
1999-09-01,44344000000.00
1999-10-01,45503000000.00
1999-11-01,41666000000.00
1999-12-01,37894000000.00
2000-01-01,40572000000.00
2000-02-01,43356000000.00
2000-03-01,46025000000.00
2000-04-01,39773000000.00
2000-05-01,41863000000.00
2000-06-01,44011000000.00
2000-07-01,25012000000.00
2000-08-01,38586000000.00
2000-09-01,41160000000.00
2000-10-01,41266000000.00
2000-11-01,36082000000.00
2000-12-01,30764000000.00
2001-01-01,32196000000.00
2001-02-01,36455000000.00
2001-03-01,41107000000.00
2001-04-01,35673000000.00
2001-05-01,40163000000.00
2001-06-01,38468000000.00
2001-07-01,23697000000.00
2001-08-01,38807000000.00
2001-09-01,33478000000.00
2001-10-01,38414000000.00
2001-11-01,36436000000.00
2001-12-01,31412000000.00
2002-01-01,36469000000.00
2002-02-01,37565000000.00
2002-03-01,38983000000.00
2002-04-01,42184000000.00
2002-05-01,44328000000.00
2002-06-01,40458000000.00
2002-07-01,28502000000.00
2002-08-01,43435000000.00
2002-09-01,40656000000.00
2002-10-01,46298000000.00
2002-11-01,39147000000.00
2002-12-01,32137000000.00
2003-01-01,40176000000.00
2003-02-01,41784000000.00
2003-03-01,44035000000.00
2003-04-01,40364000000.00
2003-05-01,42531000000.00
