Date,UNAPUO
1992-01-01,135072000000.00
1992-02-01,133862000000.00
1992-03-01,134588000000.00
1992-04-01,134790000000.00
1992-05-01,135588000000.00
1992-06-01,134500000000.00
1992-07-01,133540000000.00
1992-08-01,131715000000.00
1992-09-01,130335000000.00
1992-10-01,130824000000.00
1992-11-01,127866000000.00
1992-12-01,127007000000.00
1993-01-01,125122000000.00
1993-02-01,126670000000.00
1993-03-01,123913000000.00
1993-04-01,122265000000.00
1993-05-01,120451000000.00
1993-06-01,122020000000.00
1993-07-01,120167000000.00
1993-08-01,118459000000.00
1993-09-01,116305000000.00
1993-10-01,114656000000.00
1993-11-01,114000000000.00
1993-12-01,110465000000.00
1994-01-01,111906000000.00
1994-02-01,111385000000.00
1994-03-01,108891000000.00
1994-04-01,107642000000.00
1994-05-01,106879000000.00
1994-06-01,106256000000.00
1994-07-01,104822000000.00
1994-08-01,103713000000.00
1994-09-01,103034000000.00
1994-10-01,101547000000.00
1994-11-01,102190000000.00
1994-12-01,100718000000.00
1995-01-01,100006000000.00
1995-02-01,100382000000.00
1995-03-01,100331000000.00
1995-04-01,98873000000.00
1995-05-01,99999000000.00
1995-06-01,98881000000.00
1995-07-01,98603000000.00
1995-08-01,98965000000.00
1995-09-01,102351000000.00
1995-10-01,101665000000.00
1995-11-01,104261000000.00
1995-12-01,109104000000.00
1996-01-01,114468000000.00
1996-02-01,115860000000.00
1996-03-01,120642000000.00
1996-04-01,120009000000.00
1996-05-01,122523000000.00
1996-06-01,123243000000.00
1996-07-01,125273000000.00
1996-08-01,122684000000.00
1996-09-01,126632000000.00
1996-10-01,130148000000.00
1996-11-01,130630000000.00
1996-12-01,130309000000.00
1997-01-01,132373000000.00
1997-02-01,133200000000.00
1997-03-01,132516000000.00
1997-04-01,131054000000.00
1997-05-01,130503000000.00
1997-06-01,131936000000.00
1997-07-01,130125000000.00
1997-08-01,131384000000.00
1997-09-01,130601000000.00
1997-10-01,133033000000.00
1997-11-01,144658000000.00
1997-12-01,143452000000.00
1998-01-01,145371000000.00
1998-02-01,144653000000.00
1998-03-01,143660000000.00
1998-04-01,145087000000.00
1998-05-01,145561000000.00
1998-06-01,145183000000.00
1998-07-01,145074000000.00
1998-08-01,147834000000.00
1998-09-01,145962000000.00
1998-10-01,144484000000.00
1998-11-01,142293000000.00
1998-12-01,137728000000.00
1999-01-01,140811000000.00
1999-02-01,138400000000.00
1999-03-01,135760000000.00
1999-04-01,132028000000.00
1999-05-01,129972000000.00
1999-06-01,128715000000.00
1999-07-01,127759000000.00
1999-08-01,127008000000.00
1999-09-01,126921000000.00
1999-10-01,125420000000.00
1999-11-01,123977000000.00
1999-12-01,126824000000.00
2000-01-01,127543000000.00
2000-02-01,126379000000.00
2000-03-01,126585000000.00
2000-04-01,125167000000.00
2000-05-01,122404000000.00
2000-06-01,126321000000.00
2000-07-01,125737000000.00
2000-08-01,126160000000.00
2000-09-01,129800000000.00
2000-10-01,127217000000.00
2000-11-01,129319000000.00
2000-12-01,138975000000.00
2001-01-01,140335000000.00
2001-02-01,139005000000.00
2001-03-01,141229000000.00
2001-04-01,141436000000.00
2001-05-01,140338000000.00
