Date,UTCGVS
1992-01-01,39517000000.00
1992-02-01,45254000000.00
1992-03-01,51679000000.00
1992-04-01,45020000000.00
1992-05-01,44475000000.00
1992-06-01,53336000000.00
1992-07-01,42102000000.00
1992-08-01,44513000000.00
1992-09-01,52072000000.00
1992-10-01,46478000000.00
1992-11-01,46811000000.00
1992-12-01,55011000000.00
1993-01-01,40816000000.00
1993-02-01,45418000000.00
1993-03-01,53204000000.00
1993-04-01,45759000000.00
1993-05-01,46667000000.00
1993-06-01,53588000000.00
1993-07-01,42286000000.00
1993-08-01,46500000000.00
1993-09-01,52752000000.00
1993-10-01,48381000000.00
1993-11-01,49043000000.00
1993-12-01,56445000000.00
1994-01-01,41953000000.00
1994-02-01,48287000000.00
1994-03-01,55140000000.00
1994-04-01,47948000000.00
1994-05-01,49534000000.00
1994-06-01,57080000000.00
1994-07-01,44961000000.00
1994-08-01,50248000000.00
1994-09-01,57211000000.00
1994-10-01,50992000000.00
1994-11-01,52742000000.00
1994-12-01,60339000000.00
1995-01-01,46178000000.00
1995-02-01,53208000000.00
1995-03-01,60255000000.00
1995-04-01,51724000000.00
1995-05-01,53626000000.00
1995-06-01,63071000000.00
1995-07-01,47005000000.00
1995-08-01,53289000000.00
1995-09-01,62159000000.00
1995-10-01,54246000000.00
1995-11-01,56125000000.00
1995-12-01,65281000000.00
1996-01-01,47017000000.00
1996-02-01,55972000000.00
1996-03-01,65014000000.00
1996-04-01,53844000000.00
1996-05-01,57062000000.00
1996-06-01,66425000000.00
1996-07-01,50210000000.00
1996-08-01,56577000000.00
1996-09-01,66029000000.00
1996-10-01,56978000000.00
1996-11-01,59793000000.00
1996-12-01,69714000000.00
1997-01-01,49921000000.00
1997-02-01,60061000000.00
1997-03-01,71103000000.00
1997-04-01,60553000000.00
1997-05-01,61727000000.00
1997-06-01,75238000000.00
1997-07-01,58312000000.00
1997-08-01,62104000000.00
1997-09-01,74584000000.00
1997-10-01,64095000000.00
1997-11-01,64551000000.00
1997-12-01,76983000000.00
1998-01-01,55408000000.00
1998-02-01,66037000000.00
1998-03-01,78215000000.00
1998-04-01,63677000000.00
1998-05-01,64737000000.00
1998-06-01,79424000000.00
1998-07-01,58922000000.00
1998-08-01,63560000000.00
1998-09-01,77262000000.00
1998-10-01,67265000000.00
1998-11-01,68452000000.00
1998-12-01,78777000000.00
1999-01-01,56842000000.00
1999-02-01,65819000000.00
1999-03-01,78434000000.00
1999-04-01,65999000000.00
1999-05-01,67967000000.00
1999-06-01,79604000000.00
1999-07-01,62347000000.00
1999-08-01,68690000000.00
1999-09-01,77911000000.00
1999-10-01,68350000000.00
1999-11-01,68501000000.00
1999-12-01,79290000000.00
2000-01-01,60732000000.00
2000-02-01,66792000000.00
2000-03-01,80217000000.00
2000-04-01,68834000000.00
2000-05-01,72534000000.00
2000-06-01,84503000000.00
2000-07-01,63779000000.00
2000-08-01,70285000000.00
2000-09-01,83298000000.00
2000-10-01,70014000000.00
2000-11-01,70988000000.00
2000-12-01,83420000000.00
2001-01-01,61043000000.00
2001-02-01,67748000000.00
2001-03-01,80633000000.00
2001-04-01,63380000000.00
2001-05-01,66804000000.00
2001-06-01,77467000000.00
2001-07-01,58341000000.00
2001-08-01,63230000000.00
2001-09-01,70033000000.00
2001-10-01,61019000000.00
2001-11-01,60229000000.00
2001-12-01,72072000000.00
2002-01-01,51828000000.00
2002-02-01,57070000000.00
2002-03-01,69501000000.00
2002-04-01,58008000000.00
2002-05-01,60887000000.00
2002-06-01,68180000000.00
2002-07-01,54901000000.00
2002-08-01,58966000000.00
2002-09-01,66962000000.00
