Date,W875RX1
1959-01-01,2151800000000.00
1959-02-01,2160400000000.00
1959-03-01,2176200000000.00
1959-04-01,2190700000000.00
1959-05-01,2205700000000.00
1959-06-01,2212800000000.00
1959-07-01,2210700000000.00
1959-08-01,2198200000000.00
1959-09-01,2197400000000.00
1959-10-01,2201200000000.00
1959-11-01,2215700000000.00
1959-12-01,2239600000000.00
1960-01-01,2252500000000.00
1960-02-01,2253600000000.00
1960-03-01,2255500000000.00
1960-04-01,2263600000000.00
1960-05-01,2269400000000.00
1960-06-01,2268400000000.00
1960-07-01,2270900000000.00
1960-08-01,2267400000000.00
1960-09-01,2268600000000.00
1960-10-01,2275600000000.00
1960-11-01,2261700000000.00
1960-12-01,2247300000000.00
1961-01-01,2268600000000.00
1961-02-01,2269000000000.00
1961-03-01,2279800000000.00
1961-04-01,2288400000000.00
1961-05-01,2300900000000.00
1961-06-01,2320100000000.00
1961-07-01,2325800000000.00
1961-08-01,2335100000000.00
1961-09-01,2339900000000.00
1961-10-01,2364400000000.00
1961-11-01,2386700000000.00
1961-12-01,2399000000000.00
1962-01-01,2394700000000.00
1962-02-01,2407300000000.00
1962-03-01,2422900000000.00
1962-04-01,2437300000000.00
1962-05-01,2439900000000.00
1962-06-01,2445100000000.00
1962-07-01,2455500000000.00
1962-08-01,2457800000000.00
1962-09-01,2460600000000.00
1962-10-01,2467600000000.00
1962-11-01,2481600000000.00
1962-12-01,2494300000000.00
1963-01-01,2488000000000.00
1963-02-01,2494100000000.00
1963-03-01,2504800000000.00
1963-04-01,2512800000000.00
1963-05-01,2522400000000.00
1963-06-01,2536900000000.00
1963-07-01,2537900000000.00
1963-08-01,2547500000000.00
1963-09-01,2564600000000.00
1963-10-01,2579700000000.00
1963-11-01,2585100000000.00
1963-12-01,2602900000000.00
1964-01-01,2604200000000.00
1964-02-01,2627100000000.00
1964-03-01,2639400000000.00
1964-04-01,2655800000000.00
1964-05-01,2672800000000.00
1964-06-01,2683900000000.00
1964-07-01,2695100000000.00
1964-08-01,2715400000000.00
1964-09-01,2726500000000.00
1964-10-01,2728400000000.00
1964-11-01,2746400000000.00
1964-12-01,2772800000000.00
1965-01-01,2779200000000.00
1965-02-01,2793900000000.00
1965-03-01,2806800000000.00
1965-04-01,2818800000000.00
1965-05-01,2835900000000.00
1965-06-01,2843900000000.00
1965-07-01,2862800000000.00
1965-08-01,2877800000000.00
1965-09-01,2900200000000.00
1965-10-01,2929800000000.00
1965-11-01,2951300000000.00
1965-12-01,2966900000000.00
1966-01-01,2975400000000.00
1966-02-01,2988400000000.00
1966-03-01,3002400000000.00
1966-04-01,3003500000000.00
1966-05-01,3013500000000.00
1966-06-01,3031400000000.00
1966-07-01,3045300000000.00
1966-08-01,3053300000000.00
1966-09-01,3060000000000.00
1966-10-01,3075000000000.00
1966-11-01,3086700000000.00
1966-12-01,3082000000000.00
1967-01-01,3109700000000.00
1967-02-01,3108200000000.00
1967-03-01,3120200000000.00
1967-04-01,3121100000000.00
1967-05-01,3125700000000.00
1967-06-01,3138000000000.00
1967-07-01,3153200000000.00
1967-08-01,3165600000000.00
1967-09-01,3169000000000.00
1967-10-01,3164900000000.00
1967-11-01,3183800000000.00
1967-12-01,3213000000000.00
1968-01-01,3217100000000.00
1968-02-01,3243000000000.00
1968-03-01,3258600000000.00
1968-04-01,3270700000000.00
1968-05-01,3289700000000.00
1968-06-01,3304500000000.00
1968-07-01,3324900000000.00
1968-08-01,3335900000000.00
1968-09-01,3351300000000.00
1968-10-01,3356400000000.00
1968-11-01,3370600000000.00
1968-12-01,3383000000000.00
1969-01-01,3384600000000.00
1969-02-01,3397400000000.00
1969-03-01,3413500000000.00
