Date,WRMFNS
1980-02-04,41900000000.00
1980-02-11,41900000000.00
1980-02-18,43200000000.00
1980-02-25,44400000000.00
1980-03-03,45900000000.00
1980-03-10,46700000000.00
1980-03-17,47200000000.00
1980-03-24,47600000000.00
1980-03-31,47400000000.00
1980-04-07,46900000000.00
1980-04-14,46900000000.00
1980-04-21,46600000000.00
1980-04-28,46700000000.00
1980-05-05,46600000000.00
1980-05-12,48000000000.00
1980-05-19,49600000000.00
1980-05-26,51100000000.00
1980-06-02,52000000000.00
1980-06-09,53400000000.00
1980-06-16,54400000000.00
1980-06-23,55300000000.00
1980-06-30,56200000000.00
1980-07-07,56800000000.00
1980-07-14,57800000000.00
1980-07-21,58400000000.00
1980-07-28,58900000000.00
1980-08-04,59500000000.00
1980-08-11,60100000000.00
1980-08-18,60400000000.00
1980-08-25,60500000000.00
1980-09-01,60300000000.00
1980-09-08,60000000000.00
1980-09-15,59900000000.00
1980-09-22,59800000000.00
1980-09-29,59900000000.00
1980-10-06,59800000000.00
1980-10-13,60100000000.00
1980-10-20,60000000000.00
1980-10-27,60200000000.00
1980-11-03,60900000000.00
1980-11-10,61000000000.00
1980-11-17,60900000000.00
1980-11-24,60700000000.00
1980-12-01,60500000000.00
1980-12-08,60600000000.00
1980-12-15,60700000000.00
1980-12-22,60500000000.00
1980-12-29,59800000000.00
1981-01-05,59000000000.00
1981-01-12,59900000000.00
1981-01-19,62100000000.00
1981-01-26,64700000000.00
1981-02-02,66500000000.00
1981-02-09,68800000000.00
1981-02-16,71200000000.00
1981-02-23,73100000000.00
1981-03-02,75700000000.00
1981-03-09,77600000000.00
1981-03-16,80100000000.00
1981-03-23,82900000000.00
1981-03-30,86100000000.00
1981-04-06,88900000000.00
1981-04-13,92200000000.00
1981-04-20,94000000000.00
1981-04-27,94700000000.00
1981-05-04,95700000000.00
1981-05-11,96500000000.00
1981-05-18,97000000000.00
1981-05-25,96900000000.00
1981-06-01,97000000000.00
1981-06-08,97600000000.00
1981-06-15,99000000000.00
1981-06-22,100400000000.00
1981-06-29,102400000000.00
1981-07-06,104600000000.00
1981-07-13,107000000000.00
1981-07-20,109900000000.00
1981-07-27,112400000000.00
1981-08-03,114300000000.00
1981-08-10,116400000000.00
1981-08-17,118400000000.00
1981-08-24,120500000000.00
1981-08-31,122500000000.00
1981-09-07,124400000000.00
1981-09-14,126100000000.00
1981-09-21,128100000000.00
1981-09-28,130300000000.00
1981-10-05,131400000000.00
1981-10-12,132300000000.00
1981-10-19,134000000000.00
1981-10-26,135900000000.00
1981-11-02,137800000000.00
1981-11-09,138500000000.00
1981-11-16,140500000000.00
1981-11-23,142900000000.00
1981-11-30,145300000000.00
1981-12-07,147200000000.00
1981-12-14,149400000000.00
1981-12-21,150200000000.00
1981-12-28,149600000000.00
1982-01-04,148900000000.00
1982-01-11,149800000000.00
1982-01-18,152800000000.00
1982-01-25,154100000000.00
1982-02-01,154800000000.00
1982-02-08,154500000000.00
1982-02-15,154400000000.00
1982-02-22,154100000000.00
1982-03-01,154000000000.00
1982-03-08,154900000000.00
1982-03-15,156500000000.00
1982-03-22,158000000000.00
1982-03-29,159500000000.00
1982-04-05,160100000000.00
1982-04-12,161100000000.00
1982-04-19,160900000000.00
1982-04-26,160300000000.00
1982-05-03,159800000000.00
1982-05-10,160100000000.00
1982-05-17,162000000000.00
1982-05-24,163500000000.00
1982-05-31,166300000000.00
1982-06-07,167200000000.00
1982-06-14,169000000000.00
1982-06-21,169300000000.00
1982-06-28,169600000000.00
1982-07-05,169100000000.00
1982-07-12,165500000000.00
1982-07-19,166400000000.00
1982-07-26,168000000000.00
1982-08-02,169800000000.00
1982-08-09,172300000000.00
1982-08-16,174800000000.00
1982-08-23,176300000000.00
1982-08-30,178400000000.00
1982-09-06,178500000000.00
1982-09-13,178800000000.00
1982-09-20,178800000000.00
1982-09-27,178500000000.00
1982-10-04,178000000000.00
1982-10-11,178800000000.00
1982-10-18,180200000000.00
1982-10-25,181000000000.00
1982-11-01,182700000000.00
1982-11-08,183600000000.00
1982-11-15,184300000000.00
1982-11-22,185400000000.00
1982-11-29,185500000000.00
1982-12-06,185600000000.00
1982-12-13,184400000000.00
1982-12-20,181000000000.00
1982-12-27,173900000000.00
1983-01-03,168700000000.00
1983-01-10,165300000000.00
1983-01-17,163600000000.00
1983-01-24,160800000000.00
1983-01-31,159200000000.00
1983-02-07,157600000000.00
1983-02-14,156100000000.00
1983-02-21,154200000000.00
1983-02-28,153000000000.00
1983-03-07,151500000000.00
1983-03-14,150000000000.00
1983-03-21,149200000000.00
1983-03-28,148800000000.00
1983-04-04,147000000000.00
1983-04-11,145800000000.00
1983-04-18,144400000000.00
1983-04-25,141300000000.00
1983-05-02,138900000000.00
1983-05-09,137200000000.00
1983-05-16,136200000000.00
1983-05-23,136400000000.00
1983-05-30,136400000000.00
1983-06-06,136200000000.00
1983-06-13,136600000000.00
1983-06-20,135800000000.00
1983-06-27,134500000000.00
1983-07-04,133800000000.00
1983-07-11,133700000000.00
1983-07-18,134400000000.00
1983-07-25,134400000000.00
1983-08-01,134000000000.00
1983-08-08,134300000000.00
1983-08-15,135200000000.00
1983-08-22,135100000000.00
1983-08-29,134500000000.00
1983-09-05,134200000000.00
1983-09-12,133800000000.00
1983-09-19,133400000000.00
1983-09-26,133000000000.00
1983-10-03,132800000000.00
1983-10-10,132700000000.00
1983-10-17,133100000000.00
1983-10-24,133400000000.00
1983-10-31,133500000000.00
1983-11-07,133900000000.00
1983-11-14,134600000000.00
1983-11-21,134400000000.00
1983-11-28,133900000000.00
1983-12-05,133500000000.00
1983-12-12,133800000000.00
1983-12-19,133900000000.00
1983-12-26,133500000000.00
1984-01-02,132600000000.00
1984-01-09,131800000000.00
1984-01-16,133100000000.00
1984-01-23,133300000000.00
1984-01-30,133500000000.00
1984-02-06,134800000000.00
1984-02-13,136600000000.00
1984-02-20,137900000000.00
1984-02-27,138800000000.00
1984-03-05,139000000000.00
1984-03-12,139700000000.00
1984-03-19,140100000000.00
1984-03-26,140400000000.00
1984-04-02,140700000000.00
1984-04-09,141600000000.00
1984-04-16,142200000000.00
1984-04-23,141600000000.00
1984-04-30,140600000000.00
1984-05-07,139700000000.00
1984-05-14,141300000000.00
1984-05-21,142300000000.00
1984-05-28,143400000000.00
1984-06-04,143600000000.00
1984-06-11,144000000000.00
1984-06-18,144000000000.00
1984-06-25,143900000000.00
1984-07-02,144000000000.00
1984-07-09,144000000000.00
1984-07-16,145600000000.00
1984-07-23,146400000000.00
1984-07-30,146800000000.00
1984-08-06,146600000000.00
1984-08-13,145300000000.00
1984-08-20,144900000000.00
1984-08-27,145600000000.00
1984-09-03,145800000000.00
1984-09-10,146100000000.00
1984-09-17,147500000000.00
1984-09-24,147600000000.00
1984-10-01,147900000000.00
1984-10-08,148300000000.00
1984-10-15,150400000000.00
1984-10-22,151300000000.00
1984-10-29,151600000000.00
1984-11-05,152800000000.00
1984-11-12,155200000000.00
1984-11-19,156600000000.00
1984-11-26,158500000000.00
1984-12-03,159600000000.00
1984-12-10,161000000000.00
1984-12-17,162600000000.00
1984-12-24,162800000000.00
1984-12-31,162200000000.00
1985-01-07,161600000000.00
1985-01-14,166700000000.00
1985-01-21,168100000000.00
1985-01-28,168200000000.00
1985-02-04,168000000000.00
1985-02-11,169400000000.00
1985-02-18,169800000000.00
1985-02-25,170600000000.00
1985-03-04,171600000000.00
1985-03-11,172800000000.00
1985-03-18,172400000000.00
1985-03-25,172900000000.00
1985-04-01,171900000000.00
1985-04-08,172600000000.00
1985-04-15,172900000000.00
1985-04-22,171500000000.00
1985-04-29,168800000000.00
1985-05-06,166900000000.00
1985-05-13,167000000000.00
1985-05-20,167000000000.00
1985-05-27,167300000000.00
1985-06-03,168000000000.00
1985-06-10,169200000000.00
1985-06-17,170600000000.00
1985-06-24,171700000000.00
1985-07-01,170800000000.00
1985-07-08,169500000000.00
1985-07-15,171800000000.00
1985-07-22,171300000000.00
1985-07-29,170900000000.00
1985-08-05,170600000000.00
1985-08-12,171900000000.00
1985-08-19,171800000000.00
1985-08-26,172200000000.00
1985-09-02,171900000000.00
1985-09-09,171200000000.00
1985-09-16,171700000000.00
1985-09-23,171900000000.00
1985-09-30,171400000000.00
1985-10-07,171000000000.00
1985-10-14,172300000000.00
1985-10-21,172200000000.00
1985-10-28,172000000000.00
1985-11-04,171600000000.00
1985-11-11,171800000000.00
1985-11-18,171300000000.00
1985-11-25,172200000000.00
1985-12-02,171900000000.00
1985-12-09,172500000000.00
1985-12-16,172000000000.00
1985-12-23,171400000000.00
1985-12-30,170100000000.00
1986-01-06,167700000000.00
1986-01-13,172100000000.00
1986-01-20,174700000000.00
1986-01-27,176000000000.00
1986-02-03,175700000000.00
1986-02-10,176800000000.00
1986-02-17,177100000000.00
1986-02-24,176900000000.00
1986-03-03,178400000000.00
1986-03-10,180400000000.00
1986-03-17,182000000000.00
1986-03-24,183500000000.00
1986-03-31,185300000000.00
1986-04-07,185700000000.00
1986-04-14,189600000000.00
1986-04-21,188800000000.00
1986-04-28,187800000000.00
1986-05-05,186500000000.00
1986-05-12,188300000000.00
1986-05-19,189400000000.00
1986-05-26,191900000000.00
1986-06-02,191600000000.00
1986-06-09,192300000000.00
1986-06-16,194100000000.00
1986-06-23,195000000000.00
1986-06-30,193400000000.00
1986-07-07,192900000000.00
1986-07-14,194900000000.00
1986-07-21,196400000000.00
1986-07-28,197100000000.00
1986-08-04,196600000000.00
1986-08-11,197500000000.00
1986-08-18,196100000000.00
1986-08-25,196200000000.00
1986-09-01,195000000000.00
1986-09-08,194700000000.00
1986-09-15,196400000000.00
1986-09-22,200000000000.00
1986-09-29,200800000000.00
1986-10-06,200500000000.00
1986-10-13,202600000000.00
1986-10-20,202200000000.00
1986-10-27,203300000000.00
1986-11-03,203000000000.00
1986-11-10,202000000000.00
1986-11-17,202500000000.00
1986-11-24,204100000000.00
1986-12-01,202800000000.00
1986-12-08,202900000000.00
1986-12-15,203900000000.00
1986-12-22,204400000000.00
1986-12-29,203400000000.00
1987-01-05,202800000000.00
1987-01-12,205000000000.00
1987-01-19,205900000000.00
1987-01-26,206500000000.00
1987-02-02,205000000000.00
1987-02-09,206800000000.00
1987-02-16,207400000000.00
1987-02-23,207000000000.00
1987-03-02,207300000000.00
1987-03-09,208500000000.00
1987-03-16,209200000000.00
1987-03-23,208200000000.00
1987-03-30,207700000000.00
1987-04-06,207000000000.00
1987-04-13,208800000000.00
1987-04-20,209300000000.00
1987-04-27,209000000000.00
1987-05-04,207200000000.00
1987-05-11,204800000000.00
1987-05-18,204500000000.00
1987-05-25,207300000000.00
1987-06-01,208200000000.00
1987-06-08,208900000000.00
1987-06-15,207600000000.00
1987-06-22,205900000000.00
1987-06-29,204500000000.00
1987-07-06,204800000000.00
1987-07-13,206700000000.00
1987-07-20,206400000000.00
1987-07-27,207100000000.00
1987-08-03,207400000000.00
1987-08-10,208600000000.00
1987-08-17,208900000000.00
1987-08-24,210000000000.00
1987-08-31,210300000000.00
1987-09-07,210700000000.00
1987-09-14,213800000000.00
1987-09-21,213800000000.00
1987-09-28,212200000000.00
1987-10-05,211700000000.00
1987-10-12,212900000000.00
1987-10-19,214100000000.00
1987-10-26,218400000000.00
1987-11-02,215700000000.00
1987-11-09,215500000000.00
1987-11-16,215600000000.00
1987-11-23,216200000000.00
1987-11-30,215600000000.00
1987-12-07,216500000000.00
1987-12-14,217900000000.00
1987-12-21,217800000000.00
1987-12-28,216500000000.00
1988-01-04,214000000000.00
1988-01-11,217200000000.00
1988-01-18,222800000000.00
1988-01-25,224600000000.00
1988-02-01,225500000000.00
1988-02-08,225700000000.00
1988-02-15,226900000000.00
1988-02-22,228100000000.00
1988-02-29,228700000000.00
1988-03-07,228800000000.00
1988-03-14,230000000000.00
1988-03-21,231700000000.00
1988-03-28,232500000000.00
1988-04-04,232000000000.00
1988-04-11,234200000000.00
1988-04-18,232700000000.00
1988-04-25,233000000000.00
1988-05-02,230000000000.00
1988-05-09,227900000000.00
1988-05-16,228300000000.00
1988-05-23,230200000000.00
1988-05-30,230100000000.00
1988-06-06,227700000000.00
1988-06-13,227400000000.00
1988-06-20,225600000000.00
1988-06-27,225800000000.00
1988-07-04,223900000000.00
1988-07-11,225100000000.00
1988-07-18,227100000000.00
1988-07-25,227400000000.00
1988-08-01,226900000000.00
1988-08-08,225500000000.00
1988-08-15,226500000000.00
1988-08-22,229300000000.00
1988-08-29,229000000000.00
1988-09-05,227600000000.00
1988-09-12,227900000000.00
1988-09-19,227700000000.00
1988-09-26,227700000000.00
1988-10-03,227200000000.00
1988-10-10,226900000000.00
1988-10-17,227900000000.00
1988-10-24,228600000000.00
1988-10-31,229400000000.00
1988-11-07,230900000000.00
1988-11-14,232700000000.00
1988-11-21,236300000000.00
1988-11-28,238000000000.00
1988-12-05,236800000000.00
1988-12-12,237600000000.00
1988-12-19,237600000000.00
1988-12-26,236400000000.00
1989-01-02,235700000000.00
1989-01-09,234800000000.00
1989-01-16,240600000000.00
1989-01-23,242100000000.00
1989-01-30,241000000000.00
1989-02-06,241000000000.00
1989-02-13,244000000000.00
1989-02-20,246200000000.00
1989-02-27,248600000000.00
1989-03-06,251500000000.00
1989-03-13,252900000000.00
1989-03-20,254000000000.00
1989-03-27,256200000000.00
1989-04-03,257100000000.00
1989-04-10,258500000000.00
1989-04-17,260100000000.00
1989-04-24,259800000000.00
1989-05-01,257300000000.00
1989-05-08,256500000000.00
1989-05-15,257700000000.00
1989-05-22,260800000000.00
1989-05-29,261000000000.00
1989-06-05,261900000000.00
1989-06-12,264500000000.00
1989-06-19,266000000000.00
1989-06-26,267900000000.00
1989-07-03,268000000000.00
1989-07-10,271500000000.00
1989-07-17,274800000000.00
1989-07-24,276800000000.00
1989-07-31,278500000000.00
1989-08-07,280400000000.00
1989-08-14,283200000000.00
1989-08-21,286600000000.00
1989-08-28,289500000000.00
1989-09-04,289800000000.00
1989-09-11,292100000000.00
1989-09-18,295100000000.00
1989-09-25,296200000000.00
1989-10-02,297000000000.00
1989-10-09,297800000000.00
1989-10-16,298600000000.00
1989-10-23,302400000000.00
1989-10-30,304500000000.00
1989-11-06,307200000000.00
1989-11-13,309800000000.00
1989-11-20,309400000000.00
1989-11-27,312100000000.00
1989-12-04,312000000000.00
1989-12-11,313200000000.00
1989-12-18,313500000000.00
1989-12-25,313900000000.00
1990-01-01,312800000000.00
1990-01-08,314300000000.00
1990-01-15,318500000000.00
1990-01-22,321800000000.00
1990-01-29,323600000000.00
1990-02-05,326000000000.00
1990-02-12,329000000000.00
1990-02-19,329100000000.00
1990-02-26,331900000000.00
1990-03-05,330500000000.00
1990-03-12,333000000000.00
1990-03-19,333800000000.00
1990-03-26,335100000000.00
1990-04-02,332400000000.00
1990-04-09,333600000000.00
1990-04-16,333500000000.00
1990-04-23,332600000000.00
1990-04-30,330900000000.00
1990-05-07,326400000000.00
1990-05-14,325300000000.00
1990-05-21,321200000000.00
1990-05-28,322800000000.00
1990-06-04,323200000000.00
1990-06-11,324100000000.00
1990-06-18,327400000000.00
1990-06-25,326200000000.00
1990-07-02,325400000000.00
1990-07-09,324000000000.00
1990-07-16,328600000000.00
1990-07-23,328000000000.00
1990-07-30,330000000000.00
1990-08-06,330500000000.00
1990-08-13,335600000000.00
1990-08-20,337300000000.00
1990-08-27,342200000000.00
1990-09-03,341800000000.00
1990-09-10,341900000000.00
1990-09-17,342900000000.00
1990-09-24,343700000000.00
1990-10-01,343200000000.00
1990-10-08,344100000000.00
1990-10-15,345200000000.00
1990-10-22,345700000000.00
1990-10-29,345900000000.00
1990-11-05,343800000000.00
1990-11-12,345800000000.00
1990-11-19,345400000000.00
1990-11-26,348600000000.00
1990-12-03,348500000000.00
1990-12-10,349700000000.00
1990-12-17,349900000000.00
1990-12-24,349900000000.00
1990-12-31,349000000000.00
1991-01-07,345900000000.00
1991-01-14,357900000000.00
1991-01-21,363300000000.00
1991-01-28,364800000000.00
1991-02-04,364800000000.00
1991-02-11,367300000000.00
1991-02-18,366600000000.00
1991-02-25,372000000000.00
1991-03-04,373900000000.00
1991-03-11,376000000000.00
1991-03-18,377700000000.00
1991-03-25,380000000000.00
1991-04-01,377400000000.00
1991-04-08,378600000000.00
1991-04-15,379400000000.00
1991-04-22,377400000000.00
1991-04-29,372900000000.00
1991-05-06,369400000000.00
1991-05-13,370400000000.00
1991-05-20,369600000000.00
1991-05-27,371700000000.00
1991-06-03,370400000000.00
