Date,B069RC1
1959-01-01,5100000000.00
1959-02-01,5100000000.00
1959-03-01,5200000000.00
1959-04-01,5300000000.00
1959-05-01,5300000000.00
1959-06-01,5400000000.00
1959-07-01,5500000000.00
1959-08-01,5600000000.00
1959-09-01,5700000000.00
1959-10-01,5700000000.00
1959-11-01,5800000000.00
1959-12-01,5900000000.00
1960-01-01,5900000000.00
1960-02-01,6000000000.00
1960-03-01,6100000000.00
1960-04-01,6100000000.00
1960-05-01,6200000000.00
1960-06-01,6200000000.00
1960-07-01,6300000000.00
1960-08-01,6300000000.00
1960-09-01,6400000000.00
1960-10-01,6400000000.00
1960-11-01,6500000000.00
1960-12-01,6500000000.00
1961-01-01,6500000000.00
1961-02-01,6500000000.00
1961-03-01,6500000000.00
1961-04-01,6500000000.00
1961-05-01,6500000000.00
1961-06-01,6500000000.00
1961-07-01,6500000000.00
1961-08-01,6500000000.00
1961-09-01,6500000000.00
1961-10-01,6600000000.00
1961-11-01,6600000000.00
1961-12-01,6600000000.00
1962-01-01,6600000000.00
1962-02-01,6600000000.00
1962-03-01,6700000000.00
1962-04-01,6800000000.00
1962-05-01,6800000000.00
1962-06-01,6900000000.00
1962-07-01,7000000000.00
1962-08-01,7100000000.00
1962-09-01,7200000000.00
1962-10-01,7200000000.00
1962-11-01,7300000000.00
1962-12-01,7400000000.00
1963-01-01,7400000000.00
1963-02-01,7500000000.00
1963-03-01,7600000000.00
1963-04-01,7700000000.00
1963-05-01,7800000000.00
1963-06-01,7900000000.00
1963-07-01,8000000000.00
1963-08-01,8100000000.00
1963-09-01,8200000000.00
1963-10-01,8300000000.00
1963-11-01,8400000000.00
1963-12-01,8400000000.00
1964-01-01,8400000000.00
1964-02-01,8500000000.00
1964-03-01,8600000000.00
1964-04-01,8700000000.00
1964-05-01,8800000000.00
1964-06-01,8900000000.00
1964-07-01,9000000000.00
1964-08-01,9100000000.00
1964-09-01,9200000000.00
1964-10-01,9300000000.00
1964-11-01,9300000000.00
1964-12-01,9400000000.00
1965-01-01,9400000000.00
1965-02-01,9500000000.00
1965-03-01,9600000000.00
1965-04-01,9800000000.00
1965-05-01,9900000000.00
1965-06-01,10000000000.00
1965-07-01,10100000000.00
1965-08-01,10100000000.00
1965-09-01,10200000000.00
1965-10-01,10200000000.00
1965-11-01,10200000000.00
1965-12-01,10300000000.00
1966-01-01,10300000000.00
1966-02-01,10400000000.00
1966-03-01,10500000000.00
1966-04-01,10600000000.00
1966-05-01,10600000000.00
1966-06-01,10700000000.00
1966-07-01,10700000000.00
1966-08-01,10700000000.00
1966-09-01,10800000000.00
1966-10-01,10900000000.00
1966-11-01,10900000000.00
1966-12-01,11000000000.00
1967-01-01,11000000000.00
1967-02-01,11100000000.00
1967-03-01,11100000000.00
1967-04-01,11100000000.00
1967-05-01,11100000000.00
1967-06-01,11100000000.00
1967-07-01,11100000000.00
1967-08-01,11200000000.00
1967-09-01,11200000000.00
1967-10-01,11200000000.00
1967-11-01,11300000000.00
1967-12-01,11400000000.00
1968-01-01,11500000000.00
1968-02-01,11600000000.00
1968-03-01,11700000000.00
1968-04-01,11800000000.00
1968-05-01,12000000000.00
1968-06-01,12100000000.00
